51099894ecd2982536ed49557e41a67f03b82054752eaf05b4180632bb7f0d59,0a4c633d0f13d04e29cd8eb1262dfb21f19a5a46c3cd4bbec89c5677b2f57000,4bfef0779dae97ff8fb83142cbab62510943be7f06e5550b5722d12f955ad77d,f0e525480dd72061e4cd12f5171487761934c4c2bbfd49bb7df91795b443861f,461bb92b2f735a02948588e3f6bbfbc956a15b14312a2abfb21e47a7b23d6a86,d2dc12f25a01a7afa4d858b995c8130ac2c86875e41406daf3a6be4994f6ee09,7705e80487616a997ca850382e3d39367d81dbbcf83b85ec3485af36b22533c3
"真步真步的神奇旅程！　旅行的少女與邊境的大樹","劇情活動主題曲\n-｢優雅少女旅程｣編曲-\n\n時間 / 02:02\n作曲 / 金山秀士（Dream Monster）\n編曲 / 多田彰文","bgm_M618","bgm_M618_juke","2:02","0:00","237"
"哀執的植物羊","劇情活動Boss戰\n-｢優雅少女旅程｣編曲-\n\n時間 / 01:30\n時間 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_M621","bgm_M621_juke","1:30","0:00","238"
"優雅少女旅程","角色歌曲\n\n時間 / 01:36\n演唱　 / 真步（内田真礼）\n作詞 / 金山秀士（Dream Monster）\n作曲 / 金山秀士（Dream Monster）\n編曲 / 金山秀士（Dream Monster）","bgm_M617","bgm_M617","1:36","0:55","239"
"點讚！最愛！大集合！　至高祭典與少女祕密的本命任務","劇情活動主題曲\n-｢O-TA-O-TA WORLD｣編曲-\n\n時間 / 01:34\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / 市橋卓也（Cygames）","bgm_M623","bgm_M623_juke","1:34","0:00","240"
"瘋狂直播主‧輝美","劇情活動Boss戰\n\n時間 / 02:00\n作曲 / 榎本 三和子（Cygames）\n編曲 / 榎本 三和子（Cygames）","bgm_M625","bgm_M625_juke","2:00","0:00","241"
"O-TA-O-TA WORLD","角色歌曲\n\n時間 / 01:35\n演唱　 / 智（茅原実里）\n　　　七七香（佳村はるか）\n　　　鈴（小岩井ことり）\n作詞 / Heart's Cry (TOKYO LOGIC)\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / Heart's Cry (TOKYO LOGIC)","bgm_M622","bgm_M622","1:35","1:01","242"
"部族精神　高揭之劍與榮耀和平之橋","故事劇情主題曲\n-「Knight's Soul」編曲-\n\n時間 / 01:37\n作曲 / 設楽哲也\n編曲 / 畑田浩孝（Cygames）","bgm_M630","bgm_M630_juke","1:37","0:00","243"
"黑曜魔像","故事劇情Boss戰\n\n時間 / 01:59\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M634","bgm_M634_juke","1:59","0:00","244"
"Knight's Soul","角色歌曲\n\n時間 / 01:28\n歌　 / 茉莉（下田麻美）\n　　　克莉絲提娜（たかはし智秋）\n作詞 / eNu\n作曲 / 設楽哲也\n編曲 / 設楽哲也","bgm_M637","bgm_M637","1:28","0:52","245"
"Happy Happening　幸福的雙子天使與聖誕夜的禮物","故事劇情主題曲\n-｢初雪雙胞胎的求愛｣編曲-\n\n時間 / 01:08\n作曲 / 森本練\n編曲 / 中村早織（Cygames）","bgm_M638","bgm_M638_juke","1:08","0:00","246"
"不幸福的多倫多獸","故事劇情Boss戰\n\n時間 / 02:01\n作曲 / 守谷勇人\n編曲 / 守谷勇人","bgm_M641","bgm_M641_juke","2:01","0:00","247"
"初雪雙胞胎的求愛","角色歌曲\n\n時間 / 01:29\n演唱　 /依里（原紗友里）\n　　　茜里（浅倉杏美）\n作詞 / 森本練\n作曲 / 森本練\n編曲 / 森本練","bgm_M656","bgm_M656","1:29","0:52","248"
"煙霧繚繞忘年奇譚　為旭日初升舉杯","故事劇情主題曲\n-《ma.sa.yu.me.》編曲-\n\n時間／01:21\n作曲／ウツミタカアキ\n編曲／佐藤遥（Cygames）","bgm_M647","bgm_M647_juke","1:21","0:00","249"
"汙穢的湯之神‧陽卵","故事劇情Boss戰\n\n時間／01:54\n作曲／亀井瑠美\n編曲／亀井瑠美","bgm_M650","bgm_M650_juke","1:54","0:00","250"
"ma.sa.yu.me.","角色歌曲\n\n時間／01:39\n演唱／帆稀（大西沙織）\n　　　美里（國府田マリ子）\n作詞／ウツミタカアキ\n作曲／ウツミタカアキ\n編曲／ウツミタカアキ","bgm_M666","bgm_M666","1:39","1:05","251"
"新春每日溫泉","故事劇情迷你內容\n-《ma.sa.yu.me.》編曲-\n\n時間／02:04\n作曲／ウツミタカアキ\n編曲／Enarak（Cygames）","bgm_M651","bgm_M651_juke","2:04","0:00","252"
"終炎的理想鄉","終炎的理想鄉\n\n時間／01:03\n作曲／中町友洋\n編曲／中町友洋","bgm_M643","bgm_M643_juke","1:03","0:00","253"
"甦醒的威脅們","終炎的理想鄉Boss戰\n\n時間／02:05\n作曲／植田能平\n編曲／植田能平","bgm_M645","bgm_M645_juke","2:05","0:00","254"
"虛偽的救濟者","終炎的理想鄉Boss戰\n\n時間／01:35\n作曲／千葉梓（Cygames）、関根修平（Cygames）\n編曲／関根修平（Cygames）","bgm_M646","bgm_M646_Mode1_juke","1:35","0:00","255"
"司掌終炎的魔術師","終炎的理想鄉Boss戰\n\n時間／01:40\n作曲／千葉梓（Cygames）、関根修平（Cygames）\n編曲／関根修平（Cygames）","bgm_M646","bgm_M646_Mode2_juke","1:40","0:00","256"
"追尋奧祕力量之人","終炎的理想鄉Boss戰\n-《Mirage Game》時間／編曲-\n\n時間／02:00\n作曲／田中公平\n編曲／吉川美矩、関根修平（Cygames）","bgm_M646","bgm_M646_Mode3_juke","2:00","0:00","257"
"嚮往著希望的樂園","故事劇情主題曲\n-《Never Lose Again》編曲-\n\n時間／01:00\n作曲／奥井康介\n編曲／榎本三和子（Cygames）","bgm_M659","bgm_M659_juke","1:00","0:00","258"
"即便在充滿不確定性的未來","故事劇情主題曲\n-《Never Lose Again》編曲-\n\n時間／01:17\n作曲／奥井康介\n編曲／Enarak（Cygames）","bgm_M660","bgm_M660_juke","1:17","0:00","259"
"樂園守護者","故事劇情Boss戰\n\n時間／02:12\n作曲／西木康智\n編曲／佐藤遥（Cygames）","bgm_M664","bgm_M664_juke","2:12","0:00","260"
"象徵久遠庭園之人","故事劇情Boss戰\n\n時間／03:26\n作曲／畑田浩孝（Cygames）\n編曲／畑田浩孝（Cygames）","bgm_M665","bgm_M665_juke","3:26","0:00","261"
"Never Lose Again","角色歌曲\n\n時間／01:22\n演唱／矛依未（潘めぐみ）\n作詞／稲葉エミ\n作曲／奥井康介\n編曲／奥井康介","bgm_M667","bgm_M667","1:22","0:42","262"
"貓與懷舊點心的咖啡廳　歡迎光臨Café Naschkatze","故事劇情主題曲\n-《喵喵的奮力一擊》編曲-\n\n時間／01:39\n作曲／TAKT（TRYTONELABO）\n編曲／佐藤遥（Cygames）","bgm_M668","bgm_M668_juke","1:39","0:00","263"
"祈福託災的招財貓","故事劇情Boss戰\n\n時間／01:34\n作曲／多田彰文\n編曲／多田彰文","bgm_M671","bgm_M671_juke","1:34","0:00","264"
"喵喵的奮力一擊","角色歌曲\n\n時間／01:35\n演唱　／珠希（沼倉愛美）\n作詞／TAKT（TRYTONELABO）\n作曲／TAKT（TRYTONELABO）\n編曲／TAKT（TRYTONELABO）","bgm_M674","bgm_M674","1:35","0:51","265"
"Dears　歡迎回家與我回來了的約定","故事劇情主題曲\n-《我的色彩STORY》編曲-\n\n時間／01:21\n作曲／高木龍一（Dream Monster）\n編曲／Max Mullowney（Cygames）","bgm_MC017","bgm_MC017_juke","1:21","0:00","266"
"大王猩猩","故事劇情Boss戰\n\n時間／02:31\n作曲／小半大\n編曲／小半大","bgm_MC020","bgm_MC020_juke","2:31","0:00","267"
"我的色彩STORY","角色歌曲\n\n時間／01:29\n演唱　／栞（小清水亞美）\n作詞／Cocoro. （Dream Monster）\n作曲／高木龍一（Dream Monster）\n編曲／高木龍一（Dream Monster）","bgm_MC034","bgm_MC034","1:29","0:59","268"
"魔物生態報告書","故事劇情迷你內容\n-《我的色彩STORY》編曲-\n\n時間／02:19\n作曲／高木龍一（Dream Monster）\n編曲／Enarak（Cygames）","bgm_MC021","bgm_MC021_juke","2:19","0:00","269"
"萬花綻放的新天地","主線冒險\n\n時間／02:06\n作曲／佐藤遥（Cygames）\n編曲／佐藤遥（Cygames）","bgm_MC001","bgm_MC001_juke","2:06","0:00","270"
"吉歐‧提格尼亞的戰鬥","主線冒險\n\n時間／01:23\n作曲／長谷部翔（Cygames）\n編曲／長谷部翔（Cygames）","bgm_MC022","bgm_MC022_juke","1:23","0:00","271"
"Connect‧With‧Blue　直至少女前往天際","故事劇情主題曲\n-「羽翼的序幕」編曲-\n\n時間 / 02:09\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 畑田浩孝（Cygames）","bgm_MC026","bgm_MC026_juke","2:09","0:00","272"
"智慧的鍊金術師‧莫夫","故事劇情Boss戰\n\n時間 / 02:08\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC029","bgm_MC029_juke","2:08","0:00","273"
"羽翼的序幕","角色歌曲\n\n時間 / 01:32\n演唱 / 吉塔（金元寿子）\n作詞 / 真崎エリカ\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 本多友紀 (Arte Refact)","bgm_MC035","bgm_MC035","1:32","1:03","274"
"蘭德索爾一期一會","故事劇情迷你內容\n-「羽翼的序幕」編曲-\n\n時間 / 01:58\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 亀井瑠美","bgm_MC030","bgm_MC030_juke","1:58","0:00","275"
"次元斷層","次元斷層\n\n時間 / 01:07\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC007","bgm_MC007_juke","1:07","0:00","276"
"出現於次元夾縫的威脅","次元斷層\n\n時間 / 01:46\n作曲 / 中村博\n編曲 / 中村博","bgm_MC008","bgm_MC008_juke","1:46","0:00","277"
"華麗世界的強敵","主線冒險Boss戰\n\n時間 / 01:32\n作曲 / 中町友洋\n編曲 / 中町友洋","bgm_MC023","bgm_MC023_juke","1:32","0:00","278"
"吸血鬼傳聞錄　黑夜與美麗的饗宴","故事劇情主題曲\n-《Gothical Radical † Eternal Wedding》\n編曲-\n\n時間 / 01:13\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 佐藤遥（Cygames）","bgm_MC036","bgm_MC036_juke","1:13","0:00","279"
"變貌的從者‧布拉德","故事劇情Boss戰\n\n時間 / 02:07\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC039","bgm_MC039_juke","2:07","0:00","280"
"Gothical Radical † Eternal Wedding","角色歌曲\n\n時間 / 01:29\n演唱　 / 伊莉亞（丹下桜）\n作詞 / 毛蟹（LIVE LAB.）\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 毛蟹（LIVE LAB.）","bgm_MC052","bgm_MC052","1:29","0:48","281"
"雪的審美會","故事劇情迷你內容\n-《Gothical Radical † Eternal Wedding》\n編曲-\n\n時間 / 01:28\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 中村早織（Cygames）","bgm_MC040","bgm_MC040_juke","1:28","0:00","282"
"Princess Fight☆","主線冒險\n\n時間 / 00:54\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M06","bgm_M06_juke","0:54","0:00","283"
"艾爾皮斯島之戰","主線冒險\n\n時間 / 01:10\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","bgm_M169","bgm_M169_juke","1:10","0:00","284"
"大間的排光海水大作戰　祕密主義者與禁斷之海","故事劇情主題曲\n-《變身萬花筒》編曲-\n\n時間 / 01:14\n作曲 / やしきん\n編曲 / 守谷勇人","bgm_MC046","bgm_MC046_juke","1:14","0:00","285"
"復活的白色島鯨","故事劇情Boss戰\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 中町友洋","bgm_MC048","bgm_MC048_juke","2:28","0:00","286"
"變身萬花筒","角色歌曲\n\n時間 / 01:29\n演唱　 / 似似花（井口裕香）\n作詞 / 高瀬愛虹\n作曲 / やしきん\n編曲 / やしきん","bgm_MC055","bgm_MC055","1:29","0:51","287"
"公主的祕密","故事劇情迷你內容\n-《變身萬花筒》編曲-\n\n時間 / 01:42\n作曲 / やしきん\n編曲 / 塚越廉","bgm_MC049","bgm_MC049_juke","1:42","0:00","288"
"美食獵人號，出發前進！","巡遊 ｢Precious Journey｣編曲\n\n時間 / 01:39\n作曲 / 東大路憲太\n編曲 / 市橋卓也（Cygames）","bgm_MC043","bgm_MC043_juke","1:39","0:00","289"
"戰慄幽奇海岸　～夏日度假村驚悚怪談～","故事劇情主題曲\n-「愛的羈絆」編曲-\n\n時間 / 01:08\n作曲 / 松坂康司（SUPA LOVE）\n編曲 / 関根修平（Cygames）","bgm_MC056","bgm_MC056_juke","1:08","0:00","290"
"怨恨亡靈","故事劇情Boss戰\n\n時間 / 01:27\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_MC058","bgm_MC058_juke","1:27","0:00","291"
"愛的羈絆","角色歌曲\n\n時間 / 01:33\n演唱　 / 蘭法（原田彩楓）\n作詞 / 松坂康司（SUPA LOVE）\n作曲 / 松坂康司（SUPA LOVE）\n編曲 / 松坂康司（SUPA LOVE）","bgm_MC072","bgm_MC072_juke","1:33","0:55","292"
"Precious Journey","角色歌曲\n\n時間 / 01:50\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美來）\n　　　凱留（立花理香）\n　　　莉莉（鈴木みのり）\n　　　可璃亞（前田佳織里）\n　　　普蕾西亞（高尾奏音）\n作詞 / マイクスギヤマ\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC070","bgm_MC070_juke","1:50","1:00","293"
"晚霞色的漫步","角色歌曲\n\n時間 / 01:32\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美來）\n　　　凱留（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 白戸佑輔（Dream Monster）\n編曲 / 白戸佑輔（Dream Monster）","bgm_MC071","bgm_MC071_juke","1:32","0:52","294"
"魔法師的青春時日　魔法學園與奇蹟之鐘","故事劇情主題曲\n-「那個春天，從日記的續篇開始」編曲-\n\n時間 / 01:24\n作曲 / 瀬名航（SOVA）\n編曲 / 中川峻彰","bgm_MC063","bgm_MC063_juke","1:24","0:00","295"
"被解放的暴魔‧阿爾杰什","故事劇情BOSS戰\n\n時間 / 02:25\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC066","bgm_MC066_juke","2:25","0:00","296"
"那個春天，從日記的續篇開始","角色歌曲\n\n時間 / 01:29\n演唱　 / 凱留（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 瀬名航（SOVA）\n編曲 / 瀬名航（SOVA）","bgm_MC073","bgm_MC073","1:29","0:42","297"
"萊拉耶爾","角色主題曲\n-「萬花綻放的新天地」編曲-\n\n時間 / 02:37\n作曲 / 守谷勇人、佐藤遥（Cygames）\n編曲 / 守谷勇人","bgm_MC024","bgm_MC024_juke","2:37","0:00","298"
"做好要學習的準備了嗎？","小遊戲\n-「那個春天，從日記的續篇開始」編曲-\n\n時間 / 01:19\n作曲 / 瀬名航（SOVA）\n編曲 / 畑田浩孝（Cygames）","bgm_MC067","bgm_MC067_juke","1:19","0:00","299"
"放學後的讀書會","小遊戲\n-「那個春天，從日記的續篇開始」編曲-\n\n時間 / 01:15\n作曲 / 瀬名航（SOVA）\n編曲 / Enarak（Cygames）","bgm_MC068","bgm_MC068_juke","1:15","0:00","300"
"浪漫薩拉薩利亞　～沙漠的新娘與不可思議的神燈～","故事劇情主題曲\n-「Adenium」編曲-\n\n時間 / 01:46\n作曲 / 山口朗彦\n編曲 / 畑田浩孝（Cygames）","bgm_MC075","bgm_MC075_juke","1:46","0:00","301"
"哈立德","故事劇情Boss戰\n\n時間 / 02:18\n作曲 / 植田能平\n編曲 / 植田能平","bgm_MC077","bgm_MC077_juke","2:18","0:00","302"
"Adenium","角色歌曲\n\n時間 / 01:37\n演唱　 / 咲戀（堀江由衣）\n　　　流夏（佐藤利奈）\n作詞 / 山口朗彦\n作曲 / 山口朗彦\n編曲 / 山口朗彦","bgm_MC074","bgm_MC074","1:37","0:57","303"
"蠻賊三姊妹","角色主題曲\n\n時間 / 01:59\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC032","bgm_MC032_juke","1:59","0:00","304"
"夢幻的婚姻模擬遊戲","故事劇情迷你內容\n-「Adenium」編曲-\n\n時間 / 02:52\n作曲 / 山口朗彦\n編曲 / 佐藤遥（Cygames）","bgm_MC078","bgm_MC078_juke","2:52","0:00","305"
"有魔物！！","主線冒險Boss戰\n\n時間 / 00:50\n作曲 / 本田晃弘（Cygames）\n編曲 / 多田彰文","bgm_M17","bgm_M17_02_juke","0:50","0:00","306"
"新天地的強敵","主線冒險Boss戰\n\n時間 / 01:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M170","bgm_M170_juke","1:02","0:00","307"
"Criminal Rookie　天使們的悖論","故事劇情主題曲\n-「Ylide Lotus」編曲-\n\n時間 / 01:31\n作曲 / 宮谷礼治\n編曲 / 佐藤遥（Cygames）","bgm_MC082","bgm_MC082_juke","1:31","0:00","308"
"最終冒險★","故事劇情Boss戰\n\n時間 / 02:15\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC085","bgm_MC085_juke","2:15","0:00","309"
"Ylide Lotus","角色歌曲\n\n時間 / 01:27\n演唱　 / 莉莉（鈴木みのり）\n　　　可璃亞（前田佳織里）\n　　　普蕾西亞（高尾奏音）\n作詞 / 宮谷礼治\n作曲 / 宮谷礼治\n編曲 / アッシュ井上（Dream Monster）","bgm_MC089","bgm_MC089","1:27","0:41","310"
"旅行與成長（與反省）的記錄","故事劇情迷你內容\n-「Ylide Lotus」編曲-\n\n時間 / 01:35\n作曲 / 宮谷礼治\n編曲 / 田山里奈","bgm_MC083B","bgm_MC083B_02_juke","1:35","0:00","311"
"幻變少女","角色主題曲\n\n時間 / 02:41\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC002","bgm_MC002_juke","2:41","0:00","312"
"探險","探險\n\n時間 / 01:21\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M615","bgm_M615_juke","1:21","0:00","313"
"聖誕哭泣寶貝　為誰存在的幸福之日","故事劇情主題曲\n-《Christmas Blessing》編曲-\n\n時間 / 01:06\n作曲 / 高橋修平（SUPA LOVE）\n編曲 / 松尾早人","bgm_MC091","bgm_MC091_juke","1:06","0:00","314"
"巴西利斯克‧阿洛斯","故事劇情Boss戰\n\n時間 / 01:50\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_MC094","bgm_MC094_juke","1:50","0:00","315"
"Christmas Blessing","角色歌曲\n\n時間 / 01:32\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　克蕾琪塔（Lynn）\n作詞 / 藤原優樹 （SUPA LOVE）\n作曲 / 高橋修平 （SUPA LOVE）\n編曲 / 高橋修平 （SUPA LOVE）\n弦樂編曲 / 曽木琢磨 （SUPA LOVE）","bgm_MC090","bgm_MC090","1:32","0:50","316"
"降臨期日曆","故事劇情迷你內容\n-《Christmas Blessing》編曲-\n\n時間 / 02:09\n作曲 / 高橋修平（SUPA LOVE）\n編曲 / Enarak（Cygames）","bgm_MC095","bgm_MC095_juke","2:09","0:00","317"
"業火燃燒的密林","主線冒險\n\n時間 / 02:02\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC079","bgm_MC079_juke","2:02","0:00","318"
"吉歐‧格黑納之戰","主線冒險\n\n時間 / 01:38\n作曲 / 植田能平\n編曲 / 植田能平","bgm_MC086","bgm_MC086_juke","1:38","0:00","319"
"迎春夢想家們！　新年隕石碎碎平安！？","故事劇情主題曲\n-《未來的夢》編曲-\n\n時間 / 01:10\n作曲 / 篠崎あやと\n編曲 / 塚越廉","bgm_MC099","bgm_MC099_juke","1:10","0:00","320"
"夢中隕石","故事劇情Boss戰\n\n時間 / 02:44\n作曲 / 佐藤遥（Cygames）\n編曲 / 佐藤遥（Cygames）","bgm_MC101","bgm_MC101_juke","2:44","0:00","321"
"未來的夢","角色歌曲\n\n時間 / 01:27\n演唱　 / 初音（大橋彩香）\n作詞 / 篠崎あやと\n作曲 / 篠崎あやと\n編曲 / 篠崎あやと","bgm_MC107","bgm_MC107","1:27","0:59","322"
"初夢挑戰","故事劇情迷你內容\n-《未來的夢》編曲-\n\n時間 / 01:31\n作曲 / 篠崎あやと\n編曲 / 小出大和（Cygames）","bgm_MC102","bgm_MC102_juke","1:31","0:00","323"
"焚燒世界的強敵","主線冒險Boss戰\n\n時間 / 01:40\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC087","bgm_MC087_juke","1:40","0:00","324"
"天才發明家三女、布武機","EX冒險Boss戰\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","bgm_MC081","bgm_MC081_Fubuki_juke","1:45","0:00","325"
"受難體質的次女、若菜","EX冒險Boss戰\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","bgm_MC081","bgm_MC081_Wakana_juke","1:45","0:00","326"
"心胸開闊的長女、倭","EX冒險Boss戰\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","bgm_MC081","bgm_MC081_Yamato_juke","1:45","0:00","327"
"涅妃‧涅羅","角色主題曲\n-《業火燃燒的密林》編曲-\n\n時間 / 02:30\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC096","bgm_MC096_juke","2:30","0:00","328"
"映於鏡中的訪客","故事劇情主題曲\n-《Prayer》編曲-\n\n時間 / 01:28\n作曲 / 伊藤翼\n編曲 / Enarak（Cygames）","bgm_MC110","bgm_MC110_juke","1:28","0:00","329"
"再一次。並且，再也不會。","故事劇情主題曲\n-《Prayer》編曲-\n\n時間 / 02:31\n作曲 / 伊藤翼\n編曲 / 佐藤遥（Cygames）","bgm_MC111","bgm_MC111_juke","2:31","0:00","330"
"紅霧精靈","故事劇情Boss戰\n\n時間 / 01:51\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC114","bgm_MC114_juke","1:51","0:00","331"
"顯露苦衷 埃拉＆志那都","故事劇情頭目戰\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC115","bgm_MC115_juke","2:28","0:00","332"
"Prayer","角色歌曲\n\n時間 / 01:36\n演唱　 / 厄莉絲（桑島法子）\n　　　優衣（種田梨沙）\n作詞 / 磯谷佳江\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_MC108","bgm_MC108","1:36","1:02","333"
"Another Wish‧Log","故事劇情迷你內容\n-《Prayer》編曲-\n\n時間 / 04:38\n作曲 / 伊藤翼\n編曲 / 吉川美矩","bgm_MC116","bgm_MC116_juke","4:38","0:00","334"
"穿越焚燒的世界","巡遊\n-《Precious Journey》編曲-\n\n時間 / 01:37\n作曲 / 東大路憲太\n編曲 / IM.Lab","bgm_MC103","bgm_MC103_juke","1:37","0:00","335"
"亂入！蠻賊三姊妹","巡遊\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:40\n作曲 / 関根修平（Cygames）\n編曲 / IM.Lab","bgm_MC104","bgm_MC104_juke","1:40","0:00","336"
"厄莉絲","角色主題曲\n\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M471","bgm_M471_juke","2:28","0:00","337"
"寒冬的盛夏與神聖學院的問題兒童","故事劇情主題曲\n-《妄想夏日光暈》編曲-\n\n時間 / 01:18\n作曲 / 出口遼\n編曲 / 関根修平（Cygames）","bgm_MC124","bgm_MC124_juke","1:18","0:00","338"
"地獄的聖女富美惠","故事劇情Boss戰\n\n時間 / 01:42\n作曲 / 小半大\n編曲 / 小半大","bgm_MC126","bgm_MC126_juke","1:42","0:00","339"
"妄想夏日光暈","角色歌曲\n\n時間 / 01:41\n演唱　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 出口遼、半田翼","bgm_MC109","bgm_MC109","1:41","0:59","340"
"【LIVE】漂漂河　白天","故事劇情迷你內容\n-《妄想夏日光暈》編曲-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 古見千桜子（Cygames）","bgm_MC127","bgm_MC127_01_juke","2:10","0:00","341"
"【LIVE】漂漂河　夜晚","故事劇情迷你內容\n-《妄想夏日光暈》編曲-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 小出大和（Cygames）","bgm_MC128","bgm_MC128_01_juke","2:10","0:00","342"
"公主騎士之力","公主騎士強化\n-《公主騎士》編曲-\n\n時間 / 03:45\n作曲 / 西木康智\n編曲 / 佐藤遥（Cygames）","bgm_MC129","bgm_MC129_juke","3:45","0:00","343"
"抵達深奧的領域","深域冒險\n-《紅焰的深域》編曲-\n\n時間 / 00:59\n作曲 / 松尾早人\n編曲 / 多田彰文","bgm_MC130","bgm_MC130_juke","0:59","0:00","344"
"紅焰的深域","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC131","bgm_MC131_juke","1:41","0:00","345"
"蒼波的深域","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC132","bgm_MC132_juke","1:41","0:00","346"
"翠嵐的深域","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC133","bgm_MC133_juke","1:41","0:00","347"
"珀天的深域","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC134","bgm_MC134_juke","1:41","0:00","348"
"紫冥的深域","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC135","bgm_MC135_juke","1:41","0:00","349"
"冷酷・火爆・新兵訓練營　魔鬼教官和鞭子與……糖果？","故事劇情主題曲\n-《Into The Trust》編曲-\n\n時間 / 01:36\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 古見千桜子（Cygames）","bgm_MC136","bgm_MC136_juke","1:36","0:00","350"
"剛雷獸‧雷葛宏","故事劇情Boss戰\n\n時間 / 02:06\n作曲 / 中川峻彰\n編曲 / 中川峻彰","bgm_MC139","bgm_MC139_juke","2:06","0:00","351"
"Into The Trust","角色歌曲\n\n時間 / 01:30\n演唱　 / 惠理子（橋本ちなみ）\n　　　真琴（小松未可子）\n作詞 / Cocoro.（Dream Monster）\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 椿山日南子（Dream Monster）","bgm_MC151","bgm_MC151","1:30","1:00","352"
"惠理子和真琴的行軍A-Go-Go！","小遊戲\n-｢Into The Trust｣編曲-\n\n時間 / 01:51\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 小半大","bgm_MC140","bgm_MC140_juke","1:51","0:00","353"
"新兵們，隨我來","小遊戲\n-｢Into The Trust｣編曲-\n\n時間 / 03:23\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 多田彰文","bgm_MC141","bgm_MC141_juke","3:23","0:00","354"
"前往決鬥的舞台","戰鬥試煉場\n\n時間 / 01:04\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_MC044","bgm_MC044_juke","1:04","0:00","355"
"戰鬥試煉場，開幕！","戰鬥試煉場\n\n時間 / 02:13\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_MC045","bgm_MC045_juke","2:13","0:00","356"
