8a18da80a11f2e6278494c8003027dd1f46fc583d52738eb1e9fa44cfbf1cfef,2e0399a4faa0dcc36b3e64a871d1f58a14d2e1e648df0d001431ae8c6ff004af,194a0271bdda9db55b14d51899a55cf9e86121692f9b490d8cfd988c4fb46ccd,f41efb0dd2256bd943ffd24e0fb84adb3477df1fc66e9a68d5f5db7958671781,56dee8d424915f47277a7401995d7c724b591ec2289569e9f3e050eeb01a7e39,181482422fb2846493b7fb4a2dec071a2af16a1dd2f9216284cb39fea75da7fc,89798a8c2e538818f264ae96e460d567ab79e5691b110fbfa929b1c31e3a3aac,398dbdf48a42ed0687e5d8fe39c1f7398b529fd9f79beb1b6b7934f4d658a92f,27fcc62e884c28208725e76d2afa05999b6d7f27e0ed7f49b8ad22b7428c8062,40667edd3666db47548bfef98afb11120bdf59f945bf0dde78d4e1e21405ddd3,19e7957318011af211ebc2a1b80a5d61b2be1fd5de332bb7cd3909910e8ba9df
"0","","","24313003","","24313","-340","200","2","106811",""
"0","","","24313004","","24313","-340","200","2","111",""
"","","","24313005","","24313","","0","32","32",""
"","","","24313006","","24313","","1","32","33",""
"","","","24313007","","24313","","0","32","11",""
"","","","24313008","","24313","","","91","0",""
"-108","wac_default_01","-213","24411001","2","24411","202","102811","1","1","0"
"-108","wac_default_02","-213","24411002","2","24411","201","111","5","1","0"
"0","","1","24411003","1","24411","0","32","31","32",""
"0","","1","24411004","0","24411","0","33","31","33",""
"0","","1","24411005","0","24411","0","11","31","11",""
"","","0","24411006","0.2","24411","0","wac_paint_01","3","102811",""
"","","0","24411007","0.2","24411","0","wac_paint_02","3","111",""
"","","","24411008","","24411","","0","93","0",""
"","","","24411009","","24411","","1","32","11",""
"","","","24411010","","24411","0","se_10035700_brush","23","se_10035700",""
"","","","24411011","","24411","","300","13","102811",""
"","","","24411012","","24411","","","131","1",""
"wac_talk_doya_loop","","1","24412001","0.2","24412","0","wac_talk_doya_in","3","102811",""
"","","","24412002","0.2","24412","1","wac_no_items","3","111",""
"0","","","24412003","","24412","-340","200","2","102811",""
"0","","","24412004","","24412","-340","200","2","111",""
"","","","24412005","","24412","","0","32","32",""
"","","","24412006","","24412","","1","32","33",""
"","","","24412007","","24412","","0","32","11",""
"0","","","24412008","","24412","0","vo_wac_221016_000","21","vo_wac_221016",""
"1","0.5","1","24412009","0","24412","10","嗯，完成囉。\n這要說是工作雖然也算工作，\n果然像這樣畫圖能有效的\n轉換心情呢♪","11","102811","0"
"","","","24412010","","24412","","","91","0",""
"0","","","24412011","","24412","0","vo_wac_221016_001","21","vo_wac_221016",""
"1","0.5","1","24412012","0","24412","10","雖然育幼院的經營還很不容易，\n等穩定下來後，\n把繪圖當興趣或許也不錯呢♪","11","102811","0"
"","","","24412013","","24412","","","91","0",""
"","","","24412014","","24412","","0","22","0",""
"","","","24413001","0.2","24413","1","wac_idle_doya","3","102811",""
"","","","24413002","0.2","24413","1","wac_no_items","3","111",""
"0","","","24413003","","24413","-340","200","2","102811",""
"0","","","24413004","","24413","-340","200","2","111",""
"","","","24413005","","24413","","0","32","32",""
"","","","24413006","","24413","","1","32","33",""
"","","","24413007","","24413","","0","32","11",""
"","","","24413008","","24413","","","91","0",""
"-108","wac_default_01","-213","24511001","2","24511","202","102511","1","1","0"
"-108","wac_default_01","-213","24511002","2","24511","201","111","5","1","0"
"0","","1","24511003","1","24511","0","32","31","32",""
"0","","1","24511004","0","24511","0","33","31","33",""
"0","","1","24511005","0","24511","0","11","31","11",""
"","","0","24511006","0.2","24511","0","wac_paint_01","3","102511",""
"","","0","24511007","0.2","24511","0","wac_paint_01","3","111",""
"","","","24511008","","24511","","0","93","0",""
"","","","24511009","","24511","","1","32","11",""
"","","","24511010","","24511","0","se_10035700_brush","23","se_10035700",""
"","","","24511011","","24511","","300","13","102511",""
"","","","24511012","","24511","","","131","1",""
"wac_talk_wish_loop","","1","24512001","0.2","24512","0","wac_talk_wish_in","3","102511",""
"","","","24512002","0.2","24512","1","wac_no_items","3","111",""
"0","","","24512003","","24512","-340","200","2","102511",""
"0","","","24512004","","24512","-340","200","2","111",""
"","","","24512005","","24512","","0","32","32",""
"","","","24512006","","24512","","1","32","33",""
"","","","24512007","","24512","","0","32","11",""
"0","","","24512008","","24512","0","vo_wac_221017_000","21","vo_wac_221017",""
"1","0.5","1","24512009","0","24512","10","完、完成……！\n今天沒出什麼問題，\n衣服也沒弄髒！也就是說……","11","102511","0"
"","","","24512010","","24512","","","91","0",""
"wac_talk_smile_loop","","1","24512011","0.2","24512","0","wac_talk_smile_in","3","102511",""
"0","","","24512012","","24512","0","vo_wac_221017_001","21","vo_wac_221017",""
"1","0.5","1","24512013","0","24512","10","太好了，完美的工作呢～！\n我也不是一直都在出包的唷？\n嘿嘿，對我另眼相看了嗎？","11","102511","0"
"","","","24512014","","24512","","","91","0",""
"","","","24512015","","24512","","0","22","0",""
"","","","24513001","0.2","24513","1","wac_idle_smile","3","102511",""
"","","","24513002","0.2","24513","1","wac_no_items","3","111",""
"0","","","24513003","","24513","-340","200","2","102511",""
"0","","","24513004","","24513","-340","200","2","111",""
"","","","24513005","","24513","","0","32","32",""
"","","","24513006","","24513","","1","32","33",""
"","","","24513007","","24513","","0","32","11",""
"","","","24513008","","24513","","","91","0",""
"-108","wac_default_21","-100","24611001","2","24611","202","102311","1","1","0"
"-108","wac_default_27","-100","24611002","2","24611","201","111","5","1","0"
"0","","1","24611003","1","24611","0","42","31","42",""
"0","","1","24611004","0","24611","0","33","31","33",""
"0","","1","24611005","0","24611","0","20","31","20",""
"","","0","24611006","0.2","24611","0","wac_paint_21","3","102311",""
"","","0","24611007","0.2","24611","0","wac_paint_27","3","111",""
"","","","24611008","","24611","","0","93","0",""
"","","","24611009","","24611","","1","32","20",""
"","","","24611010","","24611","0","se_sys_login_birthday_calendar_brush","23","se_common",""
"","","","24611011","","24611","","300","13","102311",""
"","","","24611012","","24611","","","131","1",""
"wac_talk_sad_loop","","1","24612001","0.2","24612","0","wac_talk_sad_in","3","102311",""
"","","","24612002","0.2","24612","1","wac_no_items","3","111",""
"0","","","24612003","","24612","-340","200","2","102311",""
"0","","","24612004","","24612","-340","200","2","111",""
"","","","24612005","","24612","","0","32","42",""
"","","","24612006","","24612","","1","32","33",""
"","","","24612007","","24612","","0","32","20",""
"0","","","24612008","","24612","0","vo_wac_221018_000","21","vo_wac_221018",""
"1","0.5","1","24612009","0","24612","10","嘿咻！\n……今天牆壁高一點的地方也要上去畫，\n滿困難的呢～","11","102311","0"
"","","","24612010","","24612","","","91","0",""
"wac_talk_doya_loop","","1","24612011","0.2","24612","0","wac_talk_doya_in","3","102311",""
"0","","","24612012","","24612","0","vo_wac_221018_001","21","vo_wac_221018",""
"1","0.5","1","24612013","0","24612","10","在噗吉的頭上接上畫筆，\n才勉強畫上去了。\n即便如此，不覺得畫得還挺\n漂亮的嗎？","11","102311","0"
"","","","24612014","","24612","","","91","0",""
"","","","24612015","","24612","","0","22","0",""
"","","","24613001","0.2","24613","1","wac_idle_doya","3","102311",""
"","","","24613002","0.2","24613","1","wac_no_items","3","111",""
"0","","","24613003","","24613","-340","200","2","102311",""
"0","","","24613004","","24613","-340","200","2","111",""
"","","","24613005","","24613","","0","32","42",""
"","","","24613006","","24613","","1","32","33",""
"","","","24613007","","24613","","0","32","20",""
"","","","24613008","","24613","","","91","0",""
"-108","wac_default_21","-100","24711001","2","24711","202","102111","1","1","0"
"-108","wac_default_27","-100","24711002","2","24711","201","111","5","1","0"
"0","","1","24711003","1","24711","0","42","31","42",""
"0","","1","24711004","0","24711","0","33","31","33",""
"0","","1","24711005","0","24711","0","20","31","20",""
"","","0","24711006","0.2","24711","0","wac_paint_21","3","102111",""
"","","0","24711007","0.2","24711","0","wac_paint_27","3","111",""
"","","","24711008","","24711","","0","93","0",""
"","","","24711009","","24711","","1","32","20",""
"","","","24711010","","24711","0","se_sys_login_birthday_calendar_brush","23","se_common",""
"","","","24711011","","24711","","300","13","102111",""
"","","","24711012","","24711","","","131","1",""
"wac_talk_sad_loop","","1","24712001","0.2","24712","0","wac_talk_sad_in","3","102111",""
"","","","24712002","0.2","24712","1","wac_no_items","3","111",""
"0","","","24712003","","24712","-340","200","2","102111",""
"0","","","24712004","","24712","-340","200","2","111",""
"","","","24712005","","24712","","0","32","42",""
"","","","24712006","","24712","","1","32","33",""
"","","","24712007","","24712","","0","32","20",""
"0","","","24712008","","24712","0","vo_wac_221019_000","21","vo_wac_221019",""
"1","0.5","1","24712009","0","24712","10","嗚嗚……嗚嗚……！\n今天的作業……挺累人的……\n還要到牆壁的高處去……\n把圖案給畫上去……","11","102111","0"
"","","","24712010","","24712","","","91","0",""
"wac_talk_wish_loop","","1","24712011","0.2","24712","0","wac_talk_wish_in","3","102111",""
"0","","","24712012","","24712","0","vo_wac_221019_001","21","vo_wac_221019",""
"1","0.5","1","24712013","0","24712","10","一直踮著腳的關係，\n感覺身高好像有變高……\n會不會真的長高了啊？\n等一下問問看綾音好了♪","11","102111","0"
"","","","24712014","","24712","","","91","0",""
"","","","24712015","","24712","","0","22","0",""
"","","","24713001","0.2","24713","1","wac_idle_wish","3","102111",""
"","","","24713002","0.2","24713","1","wac_no_items","3","111",""
"0","","","24713003","","24713","-340","200","2","102111",""
"0","","","24713004","","24713","-340","200","2","111",""
"","","","24713005","","24713","","0","32","42",""
"","","","24713006","","24713","","1","32","33",""
"","","","24713007","","24713","","0","32","20",""
"","","","24713008","","24713","","","91","0",""
"-108","wac_default_bot_21","-325","24811001","2","24811","202","105311","1","1","0"
"-108","wac_default_bot_27","-325","24811002","2","24811","201","111","5","1","0"
"0","","1","24811003","1","24811","0","34","31","34",""
"0","","1","24811004","0","24811","0","33","31","33",""
"0","","1","24811005","0","24811","0","13","31","13",""
"","","0","24811006","0.2","24811","0","wac_paint_bot_21","3","105311",""
"","","0","24811007","0.2","24811","0","wac_paint_bot_27","3","111",""
"","","","24811008","","24811","","0","93","0",""
"","","","24811009","","24811","","1","32","13",""
"","","","24811010","","24811","0","se_sys_login_birthday_calendar_brush","23","se_common",""
"","","","24811011","","24811","","300","13","105311",""
"","","","24811012","","24811","","","131","1",""
"wac_talk_doya_loop","","1","24812001","0.2","24812","0","wac_talk_doya_in","3","105311",""
"","","","24812002","0.2","24812","1","wac_no_items","3","111",""
"0","","","24812003","","24812","-340","200","2","105311",""
"0","","","24812004","","24812","-340","200","2","111",""
"","","","24812005","","24812","","0","32","34",""
"","","","24812006","","24812","","1","32","33",""
"","","","24812007","","24812","","0","32","13",""
"0","","","24812008","","24812","0","vo_wac_221020_000","21","vo_wac_221020",""
"1","0.5","1","24812009","0","24812","10","嗯，成品真令人滿意。\n不枉費我多次接下這任務，\n雖然畫圖完全不是我專業的領域，\n但也越畫越熟悉了呢。","11","105311","0"
"","","","24812010","","24812","","","91","0",""
"","","","24812011","0.2","24812","1","wac_talk_sad_loop_shy","3","105311",""
"0","","","24812012","","24812","0","vo_wac_221020_001","21","vo_wac_221020",""
"1","0.5","1","24812013","0","24812","10","難不成比起軍人我更適合畫圖……\n啊！不行不行！\n我可是充滿榮耀的軍人！\n是軍人啊～","11","105311","0"
"","","","24812014","","24812","","","91","0",""
"","","","24812015","","24812","","0","22","0",""
"","","","24813001","0.2","24813","1","wac_idle_sad_shy","3","105311",""
"","","","24813002","0.2","24813","1","wac_no_items","3","111",""
"0","","","24813003","","24813","-340","200","2","105311",""
"0","","","24813004","","24813","-340","200","2","111",""
"","","","24813005","","24813","","0","32","34",""
"","","","24813006","","24813","","1","32","33",""
"","","","24813007","","24813","","0","32","13",""
"","","","24813008","","24813","","","91","0",""
"-108","wac_default_bot_21","-325","24911001","2","24911","202","104511","1","1","0"
"-108","wac_default_bot_27","-325","24911002","2","24911","201","111","5","1","0"
"0","","1","24911003","1","24911","0","34","31","34",""
"0","","1","24911004","0","24911","0","33","31","33",""
"0","","1","24911005","0","24911","0","13","31","13",""
"","","0","24911006","0.2","24911","0","wac_paint_bot_21","3","104511",""
"","","0","24911007","0.2","24911","0","wac_paint_bot_27","3","111",""
"","","","24911008","","24911","","0","93","0",""
"","","","24911009","","24911","","1","32","13",""
"","","","24911010","","24911","0","se_sys_login_birthday_calendar_brush","23","se_common",""
"","","","24911011","","24911","","300","13","104511",""
"","","","24911012","","24911","","","131","1",""
"","","0","24912001","0.2","24912","1","wac_talk_sad_loop_shy","3","104511",""
"","","","24912002","0.2","24912","1","wac_no_items","3","111",""
"0","","","24912003","","24912","-340","200","2","104511",""
"0","","","24912004","","24912","-340","200","2","111",""
"","","","24912005","","24912","","0","32","34",""
"","","","24912006","","24912","","1","32","33",""
"","","","24912007","","24912","","0","32","13",""
"0","","","24912008","","24912","0","vo_wac_221021_000","21","vo_wac_221021",""
"1","0.5","1","24912009","0","24912","10","這、這工作也挺習慣了，\n最近空花也越來越講究\n該如何進行作業了唷……？","11","104511","0"
"","","","24912010","","24912","","","91","0",""
"wac_talk_wish_loop","","1","24912011","0.2","24912","0","wac_talk_wish_in","3","104511",""
"0","","","24912012","","24912","0","vo_wac_221021_001","21","vo_wac_221021",""
"1","0.5","1","24912013","0","24912","10","譬如這邊的線條跟上色，\n是想像著被虐待狂先生欺負的空花，\n被弄成不得見人的模樣所畫出來的呢～\n流口水♪","11","104511","0"
"","","","24912014","","24912","","","91","0",""
"","","","24912015","","24912","","0","22","0",""
"","","","24913001","0.2","24913","1","wac_idle_wish","3","104511",""
"","","","24913002","0.2","24913","1","wac_no_items","3","111",""
"0","","","24913003","","24913","-340","200","2","104511",""
"0","","","24913004","","24913","-340","200","2","111",""
"","","","24913005","","24913","","0","32","34",""
"","","","24913006","","24913","","1","32","33",""
"","","","24913007","","24913","","0","32","13",""
"","","","24913008","","24913","","","91","0",""
"-108","wac_default_01","-213","25011001","2","25011","202","103011","1","1","0"
"-108","wac_default_01","-213","25011002","2","25011","201","111","5","1","0"
"0","","1","25011003","1","25011","0","32","31","32",""
"0","","1","25011004","0","25011","0","33","31","33",""
"0","","1","25011005","0","25011","0","11","31","11",""
"","","0","25011006","0.2","25011","0","wac_paint_01","3","103011",""
"","","0","25011007","0.2","25011","0","wac_paint_01","3","111",""
"","","","25011008","","25011","","0","93","0",""
"","","","25011009","","25011","","1","32","11",""
"","","","25011010","","25011","0","se_10035700_brush","23","se_10035700",""
"","","","25011011","","25011","","300","13","103011",""
"","","","25011012","","25011","","","131","1",""
"wac_talk_doya_loop","","1","25012001","0.2","25012","0","wac_talk_doya_in","3","103011",""
"","","","25012002","0.2","25012","1","wac_no_items","3","111",""
"0","","","25012003","","25012","-340","200","2","103011",""
"0","","","25012004","","25012","-340","200","2","111",""
"","","","25012005","","25012","","0","32","32",""
"","","","25012006","","25012","","1","32","33",""
"","","","25012007","","25012","","0","32","11",""
"0","","","25012008","","25012","0","vo_wac_221022_000","21","vo_wac_221022",""
"1","0.5","1","25012009","0","25012","10","完成了！\n因為這次也很拚命地畫了，\n成品非常地有風情吧！","11","103011","0"
"","","","25012010","","25012","","","91","0",""
"0","","","25012011","","25012","0","vo_wac_221022_001","21","vo_wac_221022",""
"1","0.5","1","25012012","0","25012","10","要譬喻的話，對了，壽司，藝妓，\n天婦羅般的感覺吧♪\n……嗯？一富士，二鷹，\n三茄子的譬喻比較正確是也？","11","103011","0"
"","","","25012013","","25012","","","91","0",""
"","","","25012014","","25012","","0","22","0",""
"","","","25013001","0.2","25013","1","wac_idle_doya","3","103011",""
"","","","25013002","0.2","25013","1","wac_no_items","3","111",""
"0","","","25013003","","25013","-340","200","2","103011",""
"0","","","25013004","","25013","-340","200","2","111",""
"","","","25013005","","25013","","0","32","32",""
"","","","25013006","","25013","","1","32","33",""
"","","","25013007","","25013","","0","32","11",""
"","","","25013008","","25013","","","91","0",""
"-108","wac_default_11","-213","25111001","2","25111","202","101111","1","1","0"
"-108","wac_default_11","-213","25111002","2","25111","201","111","5","1","0"
"0","","1","25111003","1","25111","0","32","31","32",""
"0","","1","25111004","0","25111","0","33","31","33",""
"0","","1","25111005","0","25111","0","11","31","11",""
"","","0","25111006","0.2","25111","0","wac_paint_11","3","101111",""
"","","0","25111007","0.2","25111","0","wac_paint_11","3","111",""
"","","","25111008","","25111","","0","93","0.3",""
"","","","25111009","","25111","","1","32","11",""
"","","","25111010","","25111","0","se_10035700_roller","23","se_10035700",""
"","","","25111011","","25111","","300","13","101111",""
"","","","25111012","","25111","","","131","1",""
"wac_talk_doya_loop","","1","25112001","0.2","25112","0","wac_talk_doya_in","3","101111",""
"","","","25112002","0.2","25112","1","wac_no_items","3","111",""
"0","","","25112003","","25112","-340","200","2","101111",""
"0","","","25112004","","25112","-340","200","2","111",""
"","","","25112005","","25112","","0","32","32",""
"","","","25112006","","25112","","1","32","33",""
"","","","25112007","","25112","","0","32","11",""
"0","","","25112008","","25112","0","vo_wac_221023_000","21","vo_wac_221023",""
"1","0.5","1","25112009","0","25112","10","繪畫也熟悉不少了呢。\n啊，當然不會因此大意出錯的，\n所以不用擔心唷！","11","101111","0"
"","","","25112010","","25112","","","91","0",""
"0","","","25112011","","25112","0","vo_wac_221023_001","21","vo_wac_221023",""
"1","0.5","1","25112012","0","25112","10","我知道的！\n人有……但蝦或蟹！\n被夾到的話會很悲慘的呢！","11","101111","0"
"","","","25112013","","25112","","","91","0",""
"","","","25112014","","25112","","0","22","0",""
"","","","25113001","0.2","25113","1","wac_idle_doya","3","101111",""
"","","","25113002","0.2","25113","1","wac_no_items","3","111",""
"0","","","25113003","","25113","-340","200","2","101111",""
"0","","","25113004","","25113","-340","200","2","111",""
"","","","25113005","","25113","","0","32","32",""
"","","","25113006","","25113","","1","32","33",""
"","","","25113007","","25113","","0","32","11",""
"","","","25113008","","25113","","","91","0",""
"-167","wac_default_31","-85","25211001","2","25211","202","106811","1","1","0"
"-64","wac_default_41","-211","25211002","2","25211","254","101111","1","1","0"
"230","wac_default_51","-211","25211003","2","25211","252","104911","1","1","0"
"-167","wac_default_32","-85","25211004","2","25211","201","111","5","1","0"
"-64","wac_default_47","-211","25211005","2","25211","253","112","5","1","0"
"230","wac_default_56","-211","25211006","2","25211","251","113","5","1","0"
"","","","25211007","","25211","","300","13","104911",""
"","","","25211008","","25211","","300","13","106811",""
"","","","25211009","","25211","","300","13","101111",""
"0","","1","25211010","1","25211","0","40","31","40",""
"0","","1","25211011","0","25211","0","41","31","41",""
"0","","1","25211012","0","25211","0","16","31","16",""
"","","0","25211013","0.2","25211","0","wac_paint_31","3","106811",""
"","","0","25211014","0.2","25211","0","wac_paint_32","3","111",""
"","","0","25211015","0.2","25211","0","wac_paint_41","3","101111",""
"","","0","25211016","0.2","25211","0","wac_paint_47","3","112",""
"","","0","25211017","0.2","25211","0","wac_paint_51","3","104911",""
"","","0","25211018","0.2","25211","0","wac_paint_56","3","113",""
"","","","25211019","","25211","","0","93","0",""
"","","","25211020","","25211","","1","32","16",""
"","","","25211021","","25211","0","se_sys_login_birthday_calendar_smallbrush","23","se_common",""
"","","","25211022","","25211","","","131","1",""
"","","","25212001","0","25212","1","wac_idle_smile","3","104911",""
"","","","25212002","0","25212","1","wac_idle_arm_crossed_L","3","106811",""
"","","","25212003","0","25212","1","wac_idle_normal","3","101111",""
"","","","25212004","0","25212","1","wac_no_items","3","111",""
"","","","25212005","0","25212","1","wac_no_items","3","112",""
"","","","25212006","0","25212","1","wac_no_items","3","113",""
"0","","","25212007","","25212","-335","190","2","104911",""
"0","","","25212008","","25212","-360","-190","2","106811",""
"0","","","25212009","","25212","-360","350","2","101111",""
"0","","","25212010","","25212","-335","190","2","111",""
"0","","","25212011","","25212","-360","-190","2","112",""
"0","","","25212012","","25212","-360","350","2","113",""
"","","","25212013","","25212","","0","32","40",""
"","","","25212014","","25212","","1","32","41",""
"","","","25212015","","25212","","0","32","16",""
"wac_talk_smile_loop","","1","25212016","0.2","25212","0","wac_talk_smile_in","3","104911",""
"0","","","25212017","","25212","0","vo_wac_221024_000","21","vo_wac_221024",""
"1","0.5","1","25212018","0","25212","10","很好，挺順利地完成了唷。\n不過，這樣要表達對弟弟的愛情，\n似乎還有點不太足夠的感覺？","11","104911","0"
"","","","25212019","","25212","","","91","0",""
"","","1","25212020","0.2","25212","1","wac_idle_smile","3","104911",""
"wac_talk_doya_loop","","1","25212021","0.2","25212","0","wac_talk_doya_in","3","101111",""
"0","","","25212022","","25212","0","vo_wac_221024_001","21","vo_wac_221024",""
"1","0.5","1","25212023","0","25212","10","那種事情現在不需要啦！\n但是姐姐人又漂亮，頭腦又聰明，\n又強大，連繪畫都很拿手呢……\n這就是所謂的文武雙飛嗎？","11","101111","0"
"","","","25212024","","25212","","","91","0",""
"","","1","25212025","0.2","25212","1","wac_idle_doya","3","101111",""
"wac_talk_arm_crossed_loop_L","","1","25212026","0.2","25212","0","wac_talk_arm_crossed_in_L","3","106811",""
"0","","","25212027","","25212","0","vo_wac_221024_002","21","vo_wac_221024",""
"1","0.5","1","25212028","0","25212","10","要說的話應該是文武雙全喔，璃乃。\n不過作為公會長來說，\n我也很引以為傲呢。\n……說說而已。","11","106811","0"
"","","","25212029","","25212","","","91","0",""
"","","1","25212030","0.2","25212","1","wac_idle_arm_crossed_L","3","106811",""
"wac_talk_smile_loop","","1","25212031","0.2","25212","0","wac_talk_smile_in","3","104911",""
"0","","","25212032","","25212","0","vo_wac_221024_003","21","vo_wac_221024",""
"1","0.5","1","25212033","0","25212","10","真是的～妳們兩個。\n就算這樣誇獎我，\n我也只拿得出弟弟唷～？","11","104911","0"
"","","","25212034","","25212","","","91","0",""
"","","","25212035","","25212","","0","22","0",""
"","","","25212036","","25212","","","111","",""
"","","","25213001","0.2","25213","1","wac_idle_smile","3","104911",""
"","","","25213002","0.2","25213","1","wac_idle_arm_crossed_L","3","106811",""
"","","","25213003","0.2","25213","1","wac_idle_doya","3","101111",""
"","","","25213004","0.2","25213","1","wac_no_items","3","111",""
"","","","25213005","0.2","25213","1","wac_no_items","3","112",""
"","","","25213006","0.2","25213","1","wac_no_items","3","113",""
"0","","","25213007","","25213","-335","190","2","104911",""
"0","","","25213008","","25213","-360","-190","2","106811",""
"0","","","25213009","","25213","-360","350","2","101111",""
"0","","","25213010","","25213","-335","190","2","111",""
"0","","","25213011","","25213","-360","-190","2","112",""
"0","","","25213012","","25213","-360","350","2","113",""
"","","","25213013","","25213","","0","32","40",""
"","","","25213014","","25213","","1","32","41",""
"","","","25213015","","25213","","0","32","16",""
"","","","25213016","","25213","","","91","0",""
"-167","wac_default_bot_31","-325","25311001","2","25311","204","103711","1","1","0"
"230","wac_default_51","-325","25311002","2","25311","202","104711","1","1","0"
"-330","wac_default_bot_61","-350","25311003","2","25311","256","100511","1","1","0"
"340","wac_default_bot_71","-350","25311004","2","25311","254","107111","1","1","0"
"-167","wac_default_bot_38","-325","25311005","2","25311","203","111","5","1","0"
"230","wac_default_bot_56","-325","25311006","2","25311","201","113","5","1","0"
"-330","wac_default_66","-350","25311007","2","25311","255","114","5","1","0"
"340","wac_default_78","-350","25311008","2","25311","253","115","5","1","0"
"","","","25311009","","25311","","300","13","100511",""
"","","","25311010","","25311","","300","13","107111",""
"","","","25311011","","25311","","300","13","104711",""
"","","","25311012","","25311","","300","13","103711",""
"0","","1","25311013","1","25311","0","37","31","37",""
"0","","1","25311014","0","25311","0","41","31","41",""
"0","","1","25311015","0","25311","0","17","31","17",""
"","","0","25311016","0.2","25311","0","wac_paint_bot_31","3","103711",""
"","","0","25311017","0.2","25311","0","wac_paint_bot_38","3","111",""
"","","0","25311018","0.2","25311","0","wac_paint_bot_51","3","104711",""
"","","0","25311019","0.2","25311","0","wac_paint_bot_56","3","113",""
"","","0","25311020","0.2","25311","0","wac_paint_bot_61","3","100511",""
"","","0","25311021","0.2","25311","0","wac_paint_66","3","114",""
"","","0","25311022","0.2","25311","0","wac_paint_bot_71","3","107111",""
"","","0","25311023","0.2","25311","0","wac_paint_78","3","115",""
"","","","25311024","","25311","","0","93","0",""
"","","","25311025","","25311","","1","32","17",""
"","","","25311026","","25311","0","se_sys_login_birthday_calendar_smallbrush","23","se_common",""
"","","","25311027","","25311","","","131","1",""
"","","","25312001","0","25312","1","wac_idle_smile_L","3","100511",""
"","","","25312002","0","25312","1","wac_idle_doya_L","3","107111",""
"","","","25312003","0","25312","1","wac_idle_arm_crossed","3","104711",""
"","","","25312004","0","25312","1","wac_idle_smile","3","103711",""
"","","","25312005","0","25312","1","wac_no_items","3","111",""
"","","","25312006","0","25312","1","wac_no_items","3","113",""
"","","","25312007","0","25312","1","wac_no_items","3","114",""
"","","","25312008","0","25312","1","wac_no_items","3","115",""
"0","","","25312009","","25312","-360","-335","2","100511",""
"0","","","25312010","","25312","-335","-190","2","107111",""
"0","","","25312011","","25312","-335","190","2","104711",""
"0","","","25312012","","25312","-360","350","2","103711",""
"0","","","25312013","","25312","-360","-335","2","111",""
"0","","","25312014","","25312","-335","-190","2","113",""
"0","","","25312015","","25312","-335","190","2","114",""
"0","","","25312016","","25312","-360","350","2","115",""
"","","","25312017","","25312","","0","32","37",""
"","","","25312018","","25312","","1","32","41",""
"","","","25312019","","25312","","0","32","17",""
"wac_talk_arm_crossed_loop","","1","25312020","0.2","25312","0","wac_talk_arm_crossed_in","3","104711",""
"0","","","25312021","","25312","0","vo_wac_221025_000","21","vo_wac_221025",""
"1","0.5","1","25312022","0","25312","10","……我們的本分，\n應該是為了守護王宮的。\n但像這樣和平的畫圖度過的感覺，\n也挺不錯的呢。","11","104711","0"
"","","","25312023","","25312","","","91","0",""
"","","1","25312024","0.2","25312","1","wac_idle_arm_crossed","3","104711",""
"wac_talk_smile_loop","","1","25312025","0.2","25312","0","wac_talk_smile_in","3","103711",""
"0","","","25312026","","25312","0","vo_wac_221025_001","21","vo_wac_221025",""
"1","0.5","1","25312027","0","25312","10","雖然也不是想偷懶，\n但我們能這麼悠閒，\n也全多虧蘭德索爾的情勢和平穩定呢。","11","103711","0"
"","","","25312028","","25312","","","91","0",""
"","","1","25312029","0.2","25312","1","wac_idle_smile","3","103711",""
"wac_talk_doya_loop_L","","1","25312030","0.2","25312","0","wac_talk_doya_in_L","3","107111",""
"0","","","25312031","","25312","0","vo_wac_221025_002","21","vo_wac_221025",""
"1","0.5","1","25312032","0","25312","10","團長跟智，都在說些什麼夢話呢？\n我可是很盡忠職守的，\n平時沒事的時候\n也很樂意揮劍練習呢♪","11","107111","0"
"","","","25312033","","25312","","","91","0",""
"","","1","25312034","0.2","25312","1","wac_idle_doya_L","3","107111",""
"wac_talk_smile_loop_L","","1","25312035","0.2","25312","0","wac_talk_smile_in_L","3","100511",""
"0","","","25312036","","25312","0","vo_wac_221025_003","21","vo_wac_221025",""
"1","0.5","1","25312037","0","25312","10","哎呀～還真了不起呢──♪\n……只要對因為那原因，跟別人\n起爭執的次數睜隻眼閉隻眼的話。","11","100511","0"
"","","","25312038","","25312","","","91","0",""
"","","","25312039","","25312","","0","22","0",""
"","","","25312040","","25312","","","111","",""
"","","","25313001","0.2","25313","1","wac_idle_smile_L","3","100511",""
"","","","25313002","0.2","25313","1","wac_idle_doya_L","3","107111",""
"","","","25313003","0.2","25313","1","wac_idle_arm_crossed","3","104711",""
"","","","25313004","0.2","25313","1","wac_idle_smile","3","103711",""
"","","","25313005","0.2","25313","1","wac_no_items","3","111",""
"","","","25313006","0.2","25313","1","wac_no_items","3","113",""
"","","","25313007","0.2","25313","1","wac_no_items","3","114",""
"","","","25313008","0.2","25313","1","wac_no_items","3","115",""
"0","","","25313009","","25313","-360","-335","2","100511",""
"0","","","25313010","","25313","-335","-190","2","107111",""
"0","","","25313011","","25313","-335","190","2","104711",""
"0","","","25313012","","25313","-360","350","2","103711",""
"0","","","25313013","","25313","-360","-335","2","111",""
