9e1659088c45cdb3c801ea7c9823369ba49b9f1fd6bf31c146c33786d8d54a9e,c5e402894fd51e19264a60956096c656a03c88e45e2d7995e55c2224f237eea0,5d6038aa924d3dfbcc437ce041d8f903dc02643f963b6895a920047525f31e5b,b8918007fe7f4eb5440f904a7a3270a0d838c7a516ee8a50f4979f6bc490b677,7ca2a35bdf65420fb8e37ea2a40e3d7c088e43c89dd827dedd20981ac52a9993
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92414120","提升物理防禦力（不可降低）","boss_def_lower_limit","714"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92414120","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","715"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92414120","減少降低TP","boss_tp_down_cut","716"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92414120","傷害值衰減","18","717"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92414120","賦予TP上升的上限","17","718"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92414120","降低HP吸收","9","719"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92414130","水屬性獎勵特大幅度提升","13","720"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92414130","提升物理防禦力（不可降低）","boss_def_lower_limit","721"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92414130","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","722"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92414130","減少降低TP","boss_tp_down_cut","723"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92414130","傷害值衰減","18","724"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92414130","賦予TP上升的上限","17","725"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92414130","降低HP吸收","9","726"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92414140","水屬性獎勵特大幅度提升","13","727"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92414140","提升物理防禦力（不可降低）","boss_def_lower_limit","728"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92414140","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","729"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92414140","減少降低TP","boss_tp_down_cut","730"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92414140","傷害值衰減","18","731"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92414140","賦予TP上升的上限","17","732"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92414140","降低HP吸收","9","733"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92414210","水屬性獎勵特大幅度提升","13","734"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92414210","提升物理防禦力（不可降低）","boss_def_lower_limit","735"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92414210","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","736"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92414210","減少降低TP","boss_tp_down_cut","737"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92414210","傷害值衰減","18","738"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92414210","賦予TP上升的上限","17","739"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92414210","降低HP吸收","9","740"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92414220","水屬性獎勵特大幅度提升","13","741"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92414220","提升物理防禦力（不可降低）","boss_def_lower_limit","742"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92414220","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","743"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92414220","減少降低TP","boss_tp_down_cut","744"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92414220","傷害值衰減","18","745"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92414220","賦予TP上升的上限","17","746"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92414220","降低HP吸收","9","747"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92414230","水屬性獎勵特大幅度提升","13","748"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92414230","提升物理防禦力（不可降低）","boss_def_lower_limit","749"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92414230","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","750"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92414230","減少降低TP","boss_tp_down_cut","751"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92414230","傷害值衰減","18","752"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92414230","賦予TP上升的上限","17","753"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92414230","降低HP吸收","9","754"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92414240","水屬性獎勵特大幅度提升","13","755"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92414240","提升物理防禦力（不可降低）","boss_def_lower_limit","756"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92414240","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","757"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92414240","減少降低TP","boss_tp_down_cut","758"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92414240","傷害值衰減","18","759"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92414240","賦予TP上升的上限","17","760"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92414240","降低HP吸收","9","761"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92414310","水屬性獎勵特大幅度提升","13","762"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92414310","提升物理防禦力（不可降低）","boss_def_lower_limit","763"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92414310","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","764"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92414310","減少降低TP","boss_tp_down_cut","765"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92414310","傷害值衰減","18","766"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92414310","賦予TP上升的上限","17","767"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92414310","降低HP吸收","9","768"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92414320","水屬性獎勵特大幅度提升","13","769"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92414320","提升物理防禦力（不可降低）","boss_def_lower_limit","770"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92414320","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","771"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92414320","減少降低TP","boss_tp_down_cut","772"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92414320","傷害值衰減","18","773"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92414320","賦予TP上升的上限","17","774"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92414320","降低HP吸收","9","775"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92414330","水屬性獎勵特大幅度提升","13","776"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92414330","提升物理防禦力（不可降低）","boss_def_lower_limit","777"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92414330","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","778"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92414330","減少降低TP","boss_tp_down_cut","779"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92414330","傷害值衰減","18","780"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92414330","賦予TP上升的上限","17","781"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92414330","降低HP吸收","9","782"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","92414340","水屬性獎勵特大幅度提升","13","783"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92414340","提升物理防禦力（不可降低）","boss_def_lower_limit","784"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92414340","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","785"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92414340","減少降低TP","boss_tp_down_cut","786"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92414340","傷害值衰減","18","787"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92414340","賦予TP上升的上限","17","788"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92414340","降低HP吸收","9","789"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415010","風屬性獎勵特大幅度提升","14","790"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415010","提升物理防禦力（不可降低）","boss_def_lower_limit","791"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415010","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","792"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415010","賦予TP上升的上限","17","793"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415010","降低HP吸收","9","794"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415020","風屬性獎勵特大幅度提升","14","795"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415020","提升物理防禦力（不可降低）","boss_def_lower_limit","796"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415020","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","797"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415020","賦予TP上升的上限","17","798"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415020","降低HP吸收","9","799"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415030","風屬性獎勵特大幅度提升","14","800"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415030","提升物理防禦力（不可降低）","boss_def_lower_limit","801"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415030","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","802"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415030","賦予TP上升的上限","17","803"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415030","降低HP吸收","9","804"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415110","風屬性獎勵特大幅度提升","14","805"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415110","提升物理防禦力（不可降低）","boss_def_lower_limit","806"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415110","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","807"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415110","減少降低TP","boss_tp_down_cut","808"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415110","傷害值衰減","18","809"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415110","賦予TP上升的上限","17","810"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415110","降低HP吸收","9","811"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415120","風屬性獎勵特大幅度提升","14","812"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415120","提升物理防禦力（不可降低）","boss_def_lower_limit","813"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415120","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","814"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415120","減少降低TP","boss_tp_down_cut","815"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415120","傷害值衰減","18","816"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415120","賦予TP上升的上限","17","817"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415120","降低HP吸收","9","818"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415130","風屬性獎勵特大幅度提升","14","819"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415130","提升物理防禦力（不可降低）","boss_def_lower_limit","820"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415130","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","821"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415130","減少降低TP","boss_tp_down_cut","822"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415130","傷害值衰減","18","823"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415130","賦予TP上升的上限","17","824"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415130","降低HP吸收","9","825"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415140","風屬性獎勵特大幅度提升","14","826"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415140","提升物理防禦力（不可降低）","boss_def_lower_limit","827"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415140","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","828"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415140","減少降低TP","boss_tp_down_cut","829"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415140","傷害值衰減","18","830"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415140","賦予TP上升的上限","17","831"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415140","降低HP吸收","9","832"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415210","風屬性獎勵特大幅度提升","14","833"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415210","提升物理防禦力（不可降低）","boss_def_lower_limit","834"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415210","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","835"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415210","減少降低TP","boss_tp_down_cut","836"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415210","傷害值衰減","18","837"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415210","賦予TP上升的上限","17","838"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415210","降低HP吸收","9","839"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415220","風屬性獎勵特大幅度提升","14","840"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415220","提升物理防禦力（不可降低）","boss_def_lower_limit","841"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415220","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","842"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415220","減少降低TP","boss_tp_down_cut","843"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415220","傷害值衰減","18","844"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415220","賦予TP上升的上限","17","845"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415220","降低HP吸收","9","846"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415230","風屬性獎勵特大幅度提升","14","847"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415230","提升物理防禦力（不可降低）","boss_def_lower_limit","848"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415230","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","849"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415230","減少降低TP","boss_tp_down_cut","850"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415230","傷害值衰減","18","851"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415230","賦予TP上升的上限","17","852"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415230","降低HP吸收","9","853"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415240","風屬性獎勵特大幅度提升","14","854"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415240","提升物理防禦力（不可降低）","boss_def_lower_limit","855"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415240","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","856"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415240","減少降低TP","boss_tp_down_cut","857"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415240","傷害值衰減","18","858"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415240","賦予TP上升的上限","17","859"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415240","降低HP吸收","9","860"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415310","風屬性獎勵特大幅度提升","14","861"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415310","提升物理防禦力（不可降低）","boss_def_lower_limit","862"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415310","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","863"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415310","減少降低TP","boss_tp_down_cut","864"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415310","傷害值衰減","18","865"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415310","賦予TP上升的上限","17","866"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415310","降低HP吸收","9","867"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415320","風屬性獎勵特大幅度提升","14","868"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415320","提升物理防禦力（不可降低）","boss_def_lower_limit","869"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415320","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","870"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415320","減少降低TP","boss_tp_down_cut","871"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415320","傷害值衰減","18","872"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415320","賦予TP上升的上限","17","873"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415320","降低HP吸收","9","874"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415330","風屬性獎勵特大幅度提升","14","875"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415330","提升物理防禦力（不可降低）","boss_def_lower_limit","876"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415330","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","877"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415330","減少降低TP","boss_tp_down_cut","878"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415330","傷害值衰減","18","879"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415330","賦予TP上升的上限","17","880"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415330","降低HP吸收","9","881"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92415340","風屬性獎勵特大幅度提升","14","882"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92415340","提升物理防禦力（不可降低）","boss_def_lower_limit","883"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92415340","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","884"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92415340","減少降低TP","boss_tp_down_cut","885"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92415340","傷害值衰減","18","886"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92415340","賦予TP上升的上限","17","887"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92415340","降低HP吸收","9","888"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92416010","光屬性獎勵特大幅度提升","15","889"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92416010","提升物理防禦力（不可降低）","boss_def_lower_limit","890"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92416010","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","891"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92416010","賦予TP上升的上限","17","892"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92416010","降低HP吸收","9","893"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92416020","光屬性獎勵特大幅度提升","15","894"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92416020","提升物理防禦力（不可降低）","boss_def_lower_limit","895"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92416020","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","896"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92416020","賦予TP上升的上限","17","897"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92416020","降低HP吸收","9","898"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92416030","光屬性獎勵特大幅度提升","15","899"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92416030","提升物理防禦力（不可降低）","boss_def_lower_limit","900"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92416030","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","901"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92416030","賦予TP上升的上限","17","902"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92416030","降低HP吸收","9","903"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92416110","光屬性獎勵特大幅度提升","15","904"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92416110","提升物理防禦力（不可降低）","boss_def_lower_limit","905"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92416110","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","906"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92416110","減少降低TP","boss_tp_down_cut","907"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92416110","傷害值衰減","18","908"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92416110","賦予TP上升的上限","17","909"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92416110","降低HP吸收","9","910"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92416120","光屬性獎勵特大幅度提升","15","911"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92416120","提升物理防禦力（不可降低）","boss_def_lower_limit","912"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92416120","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","913"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92416120","減少降低TP","boss_tp_down_cut","914"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92416120","傷害值衰減","18","915"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92416120","賦予TP上升的上限","17","916"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92416120","降低HP吸收","9","917"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92416130","光屬性獎勵特大幅度提升","15","918"
