102071ff9fd000d78a3a790cf28fbe55fe370524233e73af2288bfd2de4d6145,f66fa1bbf41594ee4968f6f26d875c24507464493953e89e2439b28fd13066a1,bf11319ca76e231c27cd01c57aaa14f323c2139b2786bd4af7f63280a069f243,76df65d101f090425e4785eb97c0b6dbb6180688fa7690c60908c68b37b50103,4c3be26172df0d64f137675484cb08e4d85c3b17da3ebb5ec342e928a992ceb8
"18.2","9","-5.7","991005","30090195"
"18.2","9","-6.7","991005","30090196"
"18.2","9","-7.7","991005","30090197"
"-7.7","9","-10.2","22","30090198"
"-8.2","9","-16.6","22","30090199"
"-10.4","9","-17","21","30090200"
"-13","9","-17.4","21","30090201"
"-4.3","9","-19","22","30090202"
"-6.2","9","-17.8","21","30090203"
"-8.1","9","-18.2","21","30090204"
"15.1","9","-21.3","22","30090205"
"11.9","9","-21.3","22","30090206"
"17.1","9","-19.4","22","30090207"
"16.2","9","-18.7","991005","30090208"
"16.2","9","-19.7","991005","30090209"
"16.2","9","-20.7","991005","30090210"
"16.2","9","-21.7","991005","30090211"
"16.2","9","-22.7","991005","30090212"
"-23.3","9","-14.1","21","30090213"
"-21.3","9","-14.1","21","30090214"
"-9.5","9","-2.8","23","30090216"
"-11.2","9","0.1","21","30090217"
"-13.9","9","-2","21","30090218"
"-7.5","9","2","22","30090221"
"-0.5","9","-1.9","23","30090222"
"0.6","9","-1.9","23","30090223"
"-1.2","9","2.9","21","30090224"
"-3.3","9","-3","21","30090225"
"-3","9","-0.1","21","30090227"
"1.7","9","3.2","21","30090228"
"4.1","9","0.7","21","30090229"
"11.6","9","1.8","22","30090230"
"19.8","9","4.2","21","30090231"
"23","9","4.2","21","30090232"
"8.9","9","-9.9","23","30090233"
"5.6","9","-10.5","23","30090234"
"4.5","9","-9.9","23","30090235"
"21.3","9","-19.5","21","30090236"
"-22","9","-19.4","23","30090243"
"-22","9","-17.4","23","30090244"
"-20","9","-18.4","23","30090245"
"-6.6","9","-20.7","991004","30090246"
"-6.6","9","-21.2","991003","30090247"
"-14.3","9","-21.6","991003","30090248"
"-14.3","9","-20.3","991004","30090249"
"-13.1","9","-5.2","991001","30090250"
"-12.7","9","-5.2","991002","30090251"
"-6.6","9","-4.2","991001","30090252"
"-5.2","9","-4.2","991002","30090253"
"2.8","9","-7.2","991002","30090254"
"1.4","9","-7.2","991001","30090255"
"5.9","9","-4.2","991001","30090256"
"6.3","9","-4.2","991002","30090257"
"17.8","9","-13.6","991003","30090258"
"17.8","9","-12.3","991004","30090259"
"4.4","9","-13.2","991001","30090260"
"5.8","9","-13.2","991002","30090261"
