d6647cbeb2c916a4fb1348db3d45ed78b0bc56d717547631cc5c82b52c9b218c,c08a915fbe64027e3e74ae022c19a1843f3821877c161dece7f188f8196f9c25,beef00883481d2f5ef14edb5321510e46d81e647759f25494dd0a54bd15a32e7,77694746595a6f5991f3ad70973de4ed0c16a8f6f54b5b698463ff558193caf6,1a97f96ba8bdee4f100cbeefb37d688dc4b72314c3f6caff1af367ae27b55606,0eea78e2b1cabfd7c1b70f8edec38a073928959da211b67b64f925a6a0346710,c6026e01d261bd7b55158d2a7aaaaf16e1b270df41315f35112676c75e389784
"237","bgm_M618","真步真步的神奇旅程！　旅行的少女與邊境的大樹","bgm_M618_juke","劇情活動主題曲\n-｢優雅少女旅程｣編曲-\n\n時間 / 02:02\n作曲 / 金山秀士（Dream Monster）\n編曲 / 多田彰文","2:02","0:00"
"238","bgm_M621","哀執的植物羊","bgm_M621_juke","劇情活動Boss戰\n-｢優雅少女旅程｣編曲-\n\n時間 / 01:30\n時間 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","1:30","0:00"
"239","bgm_M617","優雅少女旅程","bgm_M617","角色歌曲\n\n時間 / 01:36\n演唱　 / 真步（内田真礼）\n作詞 / 金山秀士（Dream Monster）\n作曲 / 金山秀士（Dream Monster）\n編曲 / 金山秀士（Dream Monster）","1:36","0:55"
"240","bgm_M623","點讚！最愛！大集合！　至高祭典與少女祕密的本命任務","bgm_M623_juke","劇情活動主題曲\n-｢O-TA-O-TA WORLD｣編曲-\n\n時間 / 01:34\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / 市橋卓也（Cygames）","1:34","0:00"
"241","bgm_M625","瘋狂直播主‧輝美","bgm_M625_juke","劇情活動Boss戰\n\n時間 / 02:00\n作曲 / 榎本 三和子（Cygames）\n編曲 / 榎本 三和子（Cygames）","2:00","0:00"
"242","bgm_M622","O-TA-O-TA WORLD","bgm_M622","角色歌曲\n\n時間 / 01:35\n演唱　 / 智（茅原実里）\n　　　七七香（佳村はるか）\n　　　鈴（小岩井ことり）\n作詞 / Heart's Cry (TOKYO LOGIC)\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / Heart's Cry (TOKYO LOGIC)","1:35","1:01"
"243","bgm_M630","部族精神　高揭之劍與榮耀和平之橋","bgm_M630_juke","故事劇情主題曲\n-「Knight's Soul」編曲-\n\n時間 / 01:37\n作曲 / 設楽哲也\n編曲 / 畑田浩孝（Cygames）","1:37","0:00"
"244","bgm_M634","黑曜魔像","bgm_M634_juke","故事劇情Boss戰\n\n時間 / 01:59\n作曲 / 西村真吾\n編曲 / 西村真吾","1:59","0:00"
"245","bgm_M637","Knight's Soul","bgm_M637","角色歌曲\n\n時間 / 01:28\n歌　 / 茉莉（下田麻美）\n　　　克莉絲提娜（たかはし智秋）\n作詞 / eNu\n作曲 / 設楽哲也\n編曲 / 設楽哲也","1:28","0:52"
"246","bgm_M638","Happy Happening　幸福的雙子天使與聖誕夜的禮物","bgm_M638_juke","故事劇情主題曲\n-｢初雪雙胞胎的求愛｣編曲-\n\n時間 / 01:08\n作曲 / 森本練\n編曲 / 中村早織（Cygames）","1:08","0:00"
"247","bgm_M641","不幸福的多倫多獸","bgm_M641_juke","故事劇情Boss戰\n\n時間 / 02:01\n作曲 / 守谷勇人\n編曲 / 守谷勇人","2:01","0:00"
"248","bgm_M656","初雪雙胞胎的求愛","bgm_M656","角色歌曲\n\n時間 / 01:29\n演唱　 /依里（原紗友里）\n　　　茜里（浅倉杏美）\n作詞 / 森本練\n作曲 / 森本練\n編曲 / 森本練","1:29","0:52"
"249","bgm_M647","煙霧繚繞忘年奇譚　為旭日初升舉杯","bgm_M647_juke","故事劇情主題曲\n-《ma.sa.yu.me.》編曲-\n\n時間／01:21\n作曲／ウツミタカアキ\n編曲／佐藤遥（Cygames）","1:21","0:00"
"250","bgm_M650","汙穢的湯之神‧陽卵","bgm_M650_juke","故事劇情Boss戰\n\n時間／01:54\n作曲／亀井瑠美\n編曲／亀井瑠美","1:54","0:00"
"251","bgm_M666","ma.sa.yu.me.","bgm_M666","角色歌曲\n\n時間／01:39\n演唱／帆稀（大西沙織）\n　　　美里（國府田マリ子）\n作詞／ウツミタカアキ\n作曲／ウツミタカアキ\n編曲／ウツミタカアキ","1:39","1:05"
"252","bgm_M651","新春每日溫泉","bgm_M651_juke","故事劇情迷你內容\n-《ma.sa.yu.me.》編曲-\n\n時間／02:04\n作曲／ウツミタカアキ\n編曲／Enarak（Cygames）","2:04","0:00"
"253","bgm_M643","終炎的理想鄉","bgm_M643_juke","終炎的理想鄉\n\n時間／01:03\n作曲／中町友洋\n編曲／中町友洋","1:03","0:00"
"254","bgm_M645","甦醒的威脅們","bgm_M645_juke","終炎的理想鄉Boss戰\n\n時間／02:05\n作曲／植田能平\n編曲／植田能平","2:05","0:00"
"255","bgm_M646","虛偽的救濟者","bgm_M646_Mode1_juke","終炎的理想鄉Boss戰\n\n時間／01:35\n作曲／千葉梓（Cygames）、関根修平（Cygames）\n編曲／関根修平（Cygames）","1:35","0:00"
"256","bgm_M646","司掌終炎的魔術師","bgm_M646_Mode2_juke","終炎的理想鄉Boss戰\n\n時間／01:40\n作曲／千葉梓（Cygames）、関根修平（Cygames）\n編曲／関根修平（Cygames）","1:40","0:00"
"257","bgm_M646","追尋奧祕力量之人","bgm_M646_Mode3_juke","終炎的理想鄉Boss戰\n-《Mirage Game》時間／編曲-\n\n時間／02:00\n作曲／田中公平\n編曲／吉川美矩、関根修平（Cygames）","2:00","0:00"
"258","bgm_M659","嚮往著希望的樂園","bgm_M659_juke","故事劇情主題曲\n-《Never Lose Again》編曲-\n\n時間／01:00\n作曲／奥井康介\n編曲／榎本三和子（Cygames）","1:00","0:00"
"259","bgm_M660","即便在充滿不確定性的未來","bgm_M660_juke","故事劇情主題曲\n-《Never Lose Again》編曲-\n\n時間／01:17\n作曲／奥井康介\n編曲／Enarak（Cygames）","1:17","0:00"
"260","bgm_M664","樂園守護者","bgm_M664_juke","故事劇情Boss戰\n\n時間／02:12\n作曲／西木康智\n編曲／佐藤遥（Cygames）","2:12","0:00"
"261","bgm_M665","象徵久遠庭園之人","bgm_M665_juke","故事劇情Boss戰\n\n時間／03:26\n作曲／畑田浩孝（Cygames）\n編曲／畑田浩孝（Cygames）","3:26","0:00"
"262","bgm_M667","Never Lose Again","bgm_M667","角色歌曲\n\n時間／01:22\n演唱／矛依未（潘めぐみ）\n作詞／稲葉エミ\n作曲／奥井康介\n編曲／奥井康介","1:22","0:42"
"263","bgm_M668","貓與懷舊點心的咖啡廳　歡迎光臨Café Naschkatze","bgm_M668_juke","故事劇情主題曲\n-《喵喵的奮力一擊》編曲-\n\n時間／01:39\n作曲／TAKT（TRYTONELABO）\n編曲／佐藤遥（Cygames）","1:39","0:00"
"264","bgm_M671","祈福託災的招財貓","bgm_M671_juke","故事劇情Boss戰\n\n時間／01:34\n作曲／多田彰文\n編曲／多田彰文","1:34","0:00"
"265","bgm_M674","喵喵的奮力一擊","bgm_M674","角色歌曲\n\n時間／01:35\n演唱　／珠希（沼倉愛美）\n作詞／TAKT（TRYTONELABO）\n作曲／TAKT（TRYTONELABO）\n編曲／TAKT（TRYTONELABO）","1:35","0:51"
"266","bgm_MC017","Dears　歡迎回家與我回來了的約定","bgm_MC017_juke","故事劇情主題曲\n-《我的色彩STORY》編曲-\n\n時間／01:21\n作曲／高木龍一（Dream Monster）\n編曲／Max Mullowney（Cygames）","1:21","0:00"
"267","bgm_MC020","大王猩猩","bgm_MC020_juke","故事劇情Boss戰\n\n時間／02:31\n作曲／小半大\n編曲／小半大","2:31","0:00"
"268","bgm_MC034","我的色彩STORY","bgm_MC034","角色歌曲\n\n時間／01:29\n演唱　／栞（小清水亞美）\n作詞／Cocoro. （Dream Monster）\n作曲／高木龍一（Dream Monster）\n編曲／高木龍一（Dream Monster）","1:29","0:59"
"269","bgm_MC021","魔物生態報告書","bgm_MC021_juke","故事劇情迷你內容\n-《我的色彩STORY》編曲-\n\n時間／02:19\n作曲／高木龍一（Dream Monster）\n編曲／Enarak（Cygames）","2:19","0:00"
"270","bgm_MC001","萬花綻放的新天地","bgm_MC001_juke","主線冒險\n\n時間／02:06\n作曲／佐藤遥（Cygames）\n編曲／佐藤遥（Cygames）","2:06","0:00"
"271","bgm_MC022","吉歐‧提格尼亞的戰鬥","bgm_MC022_juke","主線冒險\n\n時間／01:23\n作曲／長谷部翔（Cygames）\n編曲／長谷部翔（Cygames）","1:23","0:00"
"272","bgm_MC026","Connect‧With‧Blue　直至少女前往天際","bgm_MC026_juke","故事劇情主題曲\n-「羽翼的序幕」編曲-\n\n時間 / 02:09\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 畑田浩孝（Cygames）","2:09","0:00"
"273","bgm_MC029","智慧的鍊金術師‧莫夫","bgm_MC029_juke","故事劇情Boss戰\n\n時間 / 02:08\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","2:08","0:00"
"274","bgm_MC035","羽翼的序幕","bgm_MC035","角色歌曲\n\n時間 / 01:32\n演唱 / 吉塔（金元寿子）\n作詞 / 真崎エリカ\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 本多友紀 (Arte Refact)","1:32","1:03"
"275","bgm_MC030","蘭德索爾一期一會","bgm_MC030_juke","故事劇情迷你內容\n-「羽翼的序幕」編曲-\n\n時間 / 01:58\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 亀井瑠美","1:58","0:00"
"276","bgm_MC007","次元斷層","bgm_MC007_juke","次元斷層\n\n時間 / 01:07\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","1:07","0:00"
"277","bgm_MC008","出現於次元夾縫的威脅","bgm_MC008_juke","次元斷層\n\n時間 / 01:46\n作曲 / 中村博\n編曲 / 中村博","1:46","0:00"
"278","bgm_MC023","華麗世界的強敵","bgm_MC023_juke","主線冒險Boss戰\n\n時間 / 01:32\n作曲 / 中町友洋\n編曲 / 中町友洋","1:32","0:00"
"279","bgm_MC036","吸血鬼傳聞錄　黑夜與美麗的饗宴","bgm_MC036_juke","故事劇情主題曲\n-《Gothical Radical † Eternal Wedding》\n編曲-\n\n時間 / 01:13\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 佐藤遥（Cygames）","1:13","0:00"
"280","bgm_MC039","變貌的從者‧布拉德","bgm_MC039_juke","故事劇情Boss戰\n\n時間 / 02:07\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","2:07","0:00"
"281","bgm_MC052","Gothical Radical † Eternal Wedding","bgm_MC052","角色歌曲\n\n時間 / 01:29\n演唱　 / 伊莉亞（丹下桜）\n作詞 / 毛蟹（LIVE LAB.）\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 毛蟹（LIVE LAB.）","1:29","0:48"
"282","bgm_MC040","雪的審美會","bgm_MC040_juke","故事劇情迷你內容\n-《Gothical Radical † Eternal Wedding》\n編曲-\n\n時間 / 01:28\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 中村早織（Cygames）","1:28","0:00"
"283","bgm_M06","Princess Fight☆","bgm_M06_juke","主線冒險\n\n時間 / 00:54\n作曲 / 西木康智\n編曲 / 西木康智","0:54","0:00"
"284","bgm_M169","艾爾皮斯島之戰","bgm_M169_juke","主線冒險\n\n時間 / 01:10\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","1:10","0:00"
"285","bgm_MC046","大間的排光海水大作戰　祕密主義者與禁斷之海","bgm_MC046_juke","故事劇情主題曲\n-《變身萬花筒》編曲-\n\n時間 / 01:14\n作曲 / やしきん\n編曲 / 守谷勇人","1:14","0:00"
"286","bgm_MC048","復活的白色島鯨","bgm_MC048_juke","故事劇情Boss戰\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 中町友洋","2:28","0:00"
"287","bgm_MC055","變身萬花筒","bgm_MC055","角色歌曲\n\n時間 / 01:29\n演唱　 / 似似花（井口裕香）\n作詞 / 高瀬愛虹\n作曲 / やしきん\n編曲 / やしきん","1:29","0:51"
"288","bgm_MC049","公主的祕密","bgm_MC049_juke","故事劇情迷你內容\n-《變身萬花筒》編曲-\n\n時間 / 01:42\n作曲 / やしきん\n編曲 / 塚越廉","1:42","0:00"
"289","bgm_MC043","美食獵人號，出發前進！","bgm_MC043_juke","巡遊 ｢Precious Journey｣編曲\n\n時間 / 01:39\n作曲 / 東大路憲太\n編曲 / 市橋卓也（Cygames）","1:39","0:00"
"290","bgm_MC056","戰慄幽奇海岸　～夏日度假村驚悚怪談～","bgm_MC056_juke","故事劇情主題曲\n-「愛的羈絆」編曲-\n\n時間 / 01:08\n作曲 / 松坂康司（SUPA LOVE）\n編曲 / 関根修平（Cygames）","1:08","0:00"
"291","bgm_MC058","怨恨亡靈","bgm_MC058_juke","故事劇情Boss戰\n\n時間 / 01:27\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","1:27","0:00"
"292","bgm_MC072","愛的羈絆","bgm_MC072_juke","角色歌曲\n\n時間 / 01:33\n演唱　 / 蘭法（原田彩楓）\n作詞 / 松坂康司（SUPA LOVE）\n作曲 / 松坂康司（SUPA LOVE）\n編曲 / 松坂康司（SUPA LOVE）","1:33","0:55"
"293","bgm_MC070","Precious Journey","bgm_MC070_juke","角色歌曲\n\n時間 / 01:50\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美來）\n　　　凱留（立花理香）\n　　　莉莉（鈴木みのり）\n　　　可璃亞（前田佳織里）\n　　　普蕾西亞（高尾奏音）\n作詞 / マイクスギヤマ\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:50","1:00"
"294","bgm_MC071","晚霞色的漫步","bgm_MC071_juke","角色歌曲\n\n時間 / 01:32\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美來）\n　　　凱留（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 白戸佑輔（Dream Monster）\n編曲 / 白戸佑輔（Dream Monster）","1:32","0:52"
"295","bgm_MC063","魔法師的青春時日　魔法學園與奇蹟之鐘","bgm_MC063_juke","故事劇情主題曲\n-「那個春天，從日記的續篇開始」編曲-\n\n時間 / 01:24\n作曲 / 瀬名航（SOVA）\n編曲 / 中川峻彰","1:24","0:00"
"296","bgm_MC066","被解放的暴魔‧阿爾杰什","bgm_MC066_juke","故事劇情BOSS戰\n\n時間 / 02:25\n作曲 / 松尾早人\n編曲 / 松尾早人","2:25","0:00"
"297","bgm_MC073","那個春天，從日記的續篇開始","bgm_MC073","角色歌曲\n\n時間 / 01:29\n演唱　 / 凱留（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 瀬名航（SOVA）\n編曲 / 瀬名航（SOVA）","1:29","0:42"
"298","bgm_MC024","萊拉耶爾","bgm_MC024_juke","角色主題曲\n-「萬花綻放的新天地」編曲-\n\n時間 / 02:37\n作曲 / 守谷勇人、佐藤遥（Cygames）\n編曲 / 守谷勇人","2:37","0:00"
"299","bgm_MC067","做好要學習的準備了嗎？","bgm_MC067_juke","小遊戲\n-「那個春天，從日記的續篇開始」編曲-\n\n時間 / 01:19\n作曲 / 瀬名航（SOVA）\n編曲 / 畑田浩孝（Cygames）","1:19","0:00"
"300","bgm_MC068","放學後的讀書會","bgm_MC068_juke","小遊戲\n-「那個春天，從日記的續篇開始」編曲-\n\n時間 / 01:15\n作曲 / 瀬名航（SOVA）\n編曲 / Enarak（Cygames）","1:15","0:00"
"301","bgm_MC075","浪漫薩拉薩利亞　～沙漠的新娘與不可思議的神燈～","bgm_MC075_juke","故事劇情主題曲\n-「Adenium」編曲-\n\n時間 / 01:46\n作曲 / 山口朗彦\n編曲 / 畑田浩孝（Cygames）","1:46","0:00"
"302","bgm_MC077","哈立德","bgm_MC077_juke","故事劇情Boss戰\n\n時間 / 02:18\n作曲 / 植田能平\n編曲 / 植田能平","2:18","0:00"
"303","bgm_MC074","Adenium","bgm_MC074","角色歌曲\n\n時間 / 01:37\n演唱　 / 咲戀（堀江由衣）\n　　　流夏（佐藤利奈）\n作詞 / 山口朗彦\n作曲 / 山口朗彦\n編曲 / 山口朗彦","1:37","0:57"
"304","bgm_MC032","蠻賊三姊妹","bgm_MC032_juke","角色主題曲\n\n時間 / 01:59\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","1:59","0:00"
"305","bgm_MC078","夢幻的婚姻模擬遊戲","bgm_MC078_juke","故事劇情迷你內容\n-「Adenium」編曲-\n\n時間 / 02:52\n作曲 / 山口朗彦\n編曲 / 佐藤遥（Cygames）","2:52","0:00"
"306","bgm_M17","有魔物！！","bgm_M17_02_juke","主線冒險Boss戰\n\n時間 / 00:50\n作曲 / 本田晃弘（Cygames）\n編曲 / 多田彰文","0:50","0:00"
"307","bgm_M170","新天地的強敵","bgm_M170_juke","主線冒險Boss戰\n\n時間 / 01:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:02","0:00"
"308","bgm_MC082","Criminal Rookie　天使們的悖論","bgm_MC082_juke","故事劇情主題曲\n-「Ylide Lotus」編曲-\n\n時間 / 01:31\n作曲 / 宮谷礼治\n編曲 / 佐藤遥（Cygames）","1:31","0:00"
"309","bgm_MC085","最終冒險★","bgm_MC085_juke","故事劇情Boss戰\n\n時間 / 02:15\n作曲 / IM.Lab\n編曲 / IM.Lab","2:15","0:00"
"310","bgm_MC089","Ylide Lotus","bgm_MC089","角色歌曲\n\n時間 / 01:27\n演唱　 / 莉莉（鈴木みのり）\n　　　可璃亞（前田佳織里）\n　　　普蕾西亞（高尾奏音）\n作詞 / 宮谷礼治\n作曲 / 宮谷礼治\n編曲 / アッシュ井上（Dream Monster）","1:27","0:41"
"311","bgm_MC083B","旅行與成長（與反省）的記錄","bgm_MC083B_02_juke","故事劇情迷你內容\n-「Ylide Lotus」編曲-\n\n時間 / 01:35\n作曲 / 宮谷礼治\n編曲 / 田山里奈","1:35","0:00"
"312","bgm_MC002","幻變少女","bgm_MC002_juke","角色主題曲\n\n時間 / 02:41\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","2:41","0:00"
"313","bgm_M615","探險","bgm_M615_juke","探險\n\n時間 / 01:21\n作曲 / 西村真吾\n編曲 / 西村真吾","1:21","0:00"
"314","bgm_MC091","聖誕哭泣寶貝　為誰存在的幸福之日","bgm_MC091_juke","故事劇情主題曲\n-《Christmas Blessing》編曲-\n\n時間 / 01:06\n作曲 / 高橋修平（SUPA LOVE）\n編曲 / 松尾早人","1:06","0:00"
"315","bgm_MC094","巴西利斯克‧阿洛斯","bgm_MC094_juke","故事劇情Boss戰\n\n時間 / 01:50\n作曲 / 田山里奈\n編曲 / 田山里奈","1:50","0:00"
"316","bgm_MC090","Christmas Blessing","bgm_MC090","角色歌曲\n\n時間 / 01:32\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　克蕾琪塔（Lynn）\n作詞 / 藤原優樹 （SUPA LOVE）\n作曲 / 高橋修平 （SUPA LOVE）\n編曲 / 高橋修平 （SUPA LOVE）\n弦樂編曲 / 曽木琢磨 （SUPA LOVE）","1:32","0:50"
"317","bgm_MC095","降臨期日曆","bgm_MC095_juke","故事劇情迷你內容\n-《Christmas Blessing》編曲-\n\n時間 / 02:09\n作曲 / 高橋修平（SUPA LOVE）\n編曲 / Enarak（Cygames）","2:09","0:00"
"318","bgm_MC079","業火燃燒的密林","bgm_MC079_juke","主線冒險\n\n時間 / 02:02\n作曲 / IM.Lab\n編曲 / IM.Lab","2:02","0:00"
"319","bgm_MC086","吉歐‧格黑納之戰","bgm_MC086_juke","主線冒險\n\n時間 / 01:38\n作曲 / 植田能平\n編曲 / 植田能平","1:38","0:00"
"320","bgm_MC099","迎春夢想家們！　新年隕石碎碎平安！？","bgm_MC099_juke","故事劇情主題曲\n-《未來的夢》編曲-\n\n時間 / 01:10\n作曲 / 篠崎あやと\n編曲 / 塚越廉","1:10","0:00"
"321","bgm_MC101","夢中隕石","bgm_MC101_juke","故事劇情Boss戰\n\n時間 / 02:44\n作曲 / 佐藤遥（Cygames）\n編曲 / 佐藤遥（Cygames）","2:44","0:00"
"322","bgm_MC107","未來的夢","bgm_MC107","角色歌曲\n\n時間 / 01:27\n演唱　 / 初音（大橋彩香）\n作詞 / 篠崎あやと\n作曲 / 篠崎あやと\n編曲 / 篠崎あやと","1:27","0:59"
"323","bgm_MC102","初夢挑戰","bgm_MC102_juke","故事劇情迷你內容\n-《未來的夢》編曲-\n\n時間 / 01:31\n作曲 / 篠崎あやと\n編曲 / 小出大和（Cygames）","1:31","0:00"
"324","bgm_MC087","焚燒世界的強敵","bgm_MC087_juke","主線冒險Boss戰\n\n時間 / 01:40\n作曲 / IM.Lab\n編曲 / IM.Lab","1:40","0:00"
"325","bgm_MC081","天才發明家三女、布武機","bgm_MC081_Fubuki_juke","EX冒險Boss戰\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","1:45","0:00"
"326","bgm_MC081","受難體質的次女、若菜","bgm_MC081_Wakana_juke","EX冒險Boss戰\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","1:45","0:00"
"327","bgm_MC081","心胸開闊的長女、倭","bgm_MC081_Yamato_juke","EX冒險Boss戰\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","1:45","0:00"
"328","bgm_MC096","涅妃‧涅羅","bgm_MC096_juke","角色主題曲\n-《業火燃燒的密林》編曲-\n\n時間 / 02:30\n作曲 / IM.Lab\n編曲 / IM.Lab","2:30","0:00"
"329","bgm_MC110","映於鏡中的訪客","bgm_MC110_juke","故事劇情主題曲\n-《Prayer》編曲-\n\n時間 / 01:28\n作曲 / 伊藤翼\n編曲 / Enarak（Cygames）","1:28","0:00"
"330","bgm_MC111","再一次。並且，再也不會。","bgm_MC111_juke","故事劇情主題曲\n-《Prayer》編曲-\n\n時間 / 02:31\n作曲 / 伊藤翼\n編曲 / 佐藤遥（Cygames）","2:31","0:00"
"331","bgm_MC114","紅霧精靈","bgm_MC114_juke","故事劇情Boss戰\n\n時間 / 01:51\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","1:51","0:00"
"332","bgm_MC115","顯露苦衷 埃拉＆志那都","bgm_MC115_juke","故事劇情頭目戰\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","2:28","0:00"
"333","bgm_MC108","Prayer","bgm_MC108","角色歌曲\n\n時間 / 01:36\n演唱　 / 厄莉絲（桑島法子）\n　　　優衣（種田梨沙）\n作詞 / 磯谷佳江\n作曲 / 伊藤翼\n編曲 / 伊藤翼","1:36","1:02"
"334","bgm_MC116","Another Wish‧Log","bgm_MC116_juke","故事劇情迷你內容\n-《Prayer》編曲-\n\n時間 / 04:38\n作曲 / 伊藤翼\n編曲 / 吉川美矩","4:38","0:00"
"335","bgm_MC103","穿越焚燒的世界","bgm_MC103_juke","巡遊\n-《Precious Journey》編曲-\n\n時間 / 01:37\n作曲 / 東大路憲太\n編曲 / IM.Lab","1:37","0:00"
"336","bgm_MC104","亂入！蠻賊三姊妹","bgm_MC104_juke","巡遊\n-《蠻賊三姊妹》編曲-\n\n時間 / 01:40\n作曲 / 関根修平（Cygames）\n編曲 / IM.Lab","1:40","0:00"
"337","bgm_M471","厄莉絲","bgm_M471_juke","角色主題曲\n\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","2:28","0:00"
"338","bgm_MC124","寒冬的盛夏與神聖學院的問題兒童","bgm_MC124_juke","故事劇情主題曲\n-《妄想夏日光暈》編曲-\n\n時間 / 01:18\n作曲 / 出口遼\n編曲 / 関根修平（Cygames）","1:18","0:00"
"339","bgm_MC126","地獄的聖女富美惠","bgm_MC126_juke","故事劇情Boss戰\n\n時間 / 01:42\n作曲 / 小半大\n編曲 / 小半大","1:42","0:00"
"340","bgm_MC109","妄想夏日光暈","bgm_MC109","角色歌曲\n\n時間 / 01:41\n演唱　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種﨑敦美）\n　　　優妮（小原好美）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 出口遼、半田翼","1:41","0:59"
"341","bgm_MC127","【LIVE】漂漂河　白天","bgm_MC127_01_juke","故事劇情迷你內容\n-《妄想夏日光暈》編曲-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 古見千桜子（Cygames）","2:10","0:00"
"342","bgm_MC128","【LIVE】漂漂河　夜晚","bgm_MC128_01_juke","故事劇情迷你內容\n-《妄想夏日光暈》編曲-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 小出大和（Cygames）","2:10","0:00"
"343","bgm_MC129","公主騎士之力","bgm_MC129_juke","公主騎士強化\n-《公主騎士》編曲-\n\n時間 / 03:45\n作曲 / 西木康智\n編曲 / 佐藤遥（Cygames）","3:45","0:00"
"344","bgm_MC130","抵達深奧的領域","bgm_MC130_juke","深域冒險\n-《紅焰的深域》編曲-\n\n時間 / 00:59\n作曲 / 松尾早人\n編曲 / 多田彰文","0:59","0:00"
"345","bgm_MC131","紅焰的深域","bgm_MC131_juke","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","1:41","0:00"
"346","bgm_MC132","蒼波的深域","bgm_MC132_juke","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","1:41","0:00"
"347","bgm_MC133","翠嵐的深域","bgm_MC133_juke","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","1:41","0:00"
"348","bgm_MC134","珀天的深域","bgm_MC134_juke","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","1:41","0:00"
"349","bgm_MC135","紫冥的深域","bgm_MC135_juke","深域冒險\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","1:41","0:00"
"350","bgm_MC136","冷酷・火爆・新兵訓練營　魔鬼教官和鞭子與……糖果？","bgm_MC136_juke","故事劇情主題曲\n-《Into The Trust》編曲-\n\n時間 / 01:36\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 古見千桜子（Cygames）","1:36","0:00"
"351","bgm_MC139","剛雷獸‧雷葛宏","bgm_MC139_juke","故事劇情Boss戰\n\n時間 / 02:06\n作曲 / 中川峻彰\n編曲 / 中川峻彰","2:06","0:00"
"352","bgm_MC151","Into The Trust","bgm_MC151","角色歌曲\n\n時間 / 01:30\n演唱　 / 惠理子（橋本ちなみ）\n　　　真琴（小松未可子）\n作詞 / Cocoro.（Dream Monster）\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 椿山日南子（Dream Monster）","1:30","1:00"
"353","bgm_MC140","惠理子和真琴的行軍A-Go-Go！","bgm_MC140_juke","小遊戲\n-｢Into The Trust｣編曲-\n\n時間 / 01:51\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 小半大","1:51","0:00"
"354","bgm_MC141","新兵們，隨我來","bgm_MC141_juke","小遊戲\n-｢Into The Trust｣編曲-\n\n時間 / 03:23\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 多田彰文","3:23","0:00"
"355","bgm_MC044","前往決鬥的舞台","bgm_MC044_juke","戰鬥試煉場\n\n時間 / 01:04\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","1:04","0:00"
"356","bgm_MC045","戰鬥試煉場，開幕！","bgm_MC045_juke","戰鬥試煉場\n\n時間 / 02:13\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","2:13","0:00"
