0a7d2f617f14805ab1bf53788cb113b8c1cc5780d48d6a3768824d7e9226202b,dd5a556a8030e03a05fb8631d8d31f467a54bcfdf55cf4a76c066268e64f0e9d,f5a37be1d03ae303d4967b3cde4a155eaf3eb8ed9e1a7b4dfacd11b5a4ff5701,e741cbe2fe59347759f4924f8d38544c612ab68bbe25885792d1cfb6d450a2ad,9543b4d9cebca4c215ae86db40d17db7d63e46fa06d8e6105cc70f05d4ccc24a
"405","92411030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"406","92411030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"407","92411030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"408","92411030","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"409","92411110","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"410","92411110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"411","92411110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"412","92411110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"413","92411110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"414","92411110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"415","92411110","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"416","92411120","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"417","92411120","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"418","92411120","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"419","92411120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"420","92411120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"421","92411120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"422","92411120","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"423","92411130","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"424","92411130","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"425","92411130","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"426","92411130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"427","92411130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"428","92411130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"429","92411130","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"430","92411140","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"431","92411140","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"432","92411140","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"433","92411140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"434","92411140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"435","92411140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"436","92411140","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"437","92411210","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"438","92411210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"439","92411210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"440","92411210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"441","92411210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"442","92411210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"443","92411210","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"444","92411220","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"445","92411220","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"446","92411220","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"447","92411220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"448","92411220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"449","92411220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"450","92411220","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"451","92411230","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"452","92411230","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"453","92411230","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"454","92411230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"455","92411230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"456","92411230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"457","92411230","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"458","92411240","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"459","92411240","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"460","92411240","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"461","92411240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"462","92411240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"463","92411240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"464","92411240","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"465","92411310","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"466","92411310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"467","92411310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"468","92411310","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"469","92411310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"470","92411310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"471","92411310","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"472","92411320","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"473","92411320","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"474","92411320","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"475","92411320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"476","92411320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"477","92411320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"478","92411320","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"479","92411330","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"480","92411330","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"481","92411330","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"482","92411330","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"483","92411330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"484","92411330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"485","92411330","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"486","92411340","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"487","92411340","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"488","92411340","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"489","92411340","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"490","92411340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"491","92411340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"492","92411340","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"493","92412010","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"494","92412010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"495","92412010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"496","92412010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"497","92412010","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"498","92412020","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"499","92412020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"500","92412020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"501","92412020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"502","92412020","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"503","92412030","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"504","92412030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"505","92412030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"506","92412030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"507","92412030","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"508","92412110","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"509","92412110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"510","92412110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"511","92412110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"512","92412110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"513","92412110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"514","92412110","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"515","92412120","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"516","92412120","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"517","92412120","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"518","92412120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"519","92412120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"520","92412120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"521","92412120","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"522","92412130","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"523","92412130","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"524","92412130","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"525","92412130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"526","92412130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"527","92412130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"528","92412130","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"529","92412140","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"530","92412140","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"531","92412140","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"532","92412140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"533","92412140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"534","92412140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"535","92412140","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"536","92412210","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"537","92412210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"538","92412210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"539","92412210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"540","92412210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"541","92412210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"542","92412210","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"543","92412220","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"544","92412220","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"545","92412220","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"546","92412220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"547","92412220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"548","92412220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"549","92412220","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"550","92412230","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"551","92412230","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"552","92412230","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"553","92412230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"554","92412230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"555","92412230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"556","92412230","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"557","92412240","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"558","92412240","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"559","92412240","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"560","92412240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"561","92412240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"562","92412240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"563","92412240","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"564","92412310","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"565","92412310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"566","92412310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"567","92412310","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"568","92412310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"569","92412310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"570","92412310","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"571","92412320","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"572","92412320","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"573","92412320","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"574","92412320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"575","92412320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"576","92412320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"577","92412320","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"578","92412330","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"579","92412330","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"580","92412330","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"581","92412330","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"582","92412330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"583","92412330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"584","92412330","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"585","92412340","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","14","風屬性獎勵特大幅度提升"
"586","92412340","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"587","92412340","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"588","92412340","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"589","92412340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"590","92412340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"591","92412340","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"592","92501010","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"593","92501010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"594","92501010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"595","92501010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"596","92501010","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"597","92501020","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"598","92501020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"599","92501020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"600","92501020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"601","92501020","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"602","92501030","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"603","92501030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"604","92501030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"605","92501030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"606","92501030","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"607","92501110","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"608","92501110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
