b58488b89523d948d90bec3c5ca2b40625c9485d1488434235b27d6486efe911,85a0aabc580f2641cd39ef1cf195a0e8dd01cfca4f2c5b04d817e3630496381e,d7312bb0986ae24e8ce6fca5ecb8d0256d35b6f3ff0428a418c3eeae5980eb64,da9a6f84b2d0f8ef02cc09e0ad5fafe6e68a70975d40571cad2197cea546b68a,ac6ec827301036016f518055ec68dcfda0e9f0ee6aa75e36dfb7ed1e75930fb5,c4767686b398e3b0079ac7855558b06b3c103ba950e8c3f38622c4e55303747b,47416c9d4bd784c1e63aba6eacaff14065cb5f4989f5b77b386beaf2c0bcd05b,2993cebe8c07b2bbb469d076cfa4d4673db402a1eceba7196888bbd4f810a834,89819b2cfa33c9a48e14e1ccac7e2c2d28736b9401f80429abacc2574f3f3851,c84599157163c71a76373c8420e29f872ed22a2b7ba4bd2bc92e9c3d014f01b3,8ca90db42e0970293e6dd59a47459b6c728326088297745ab24ebc56cfe55246,2939c765bc8d21cd61e2375a9693fbbd752e6f14b37264f202b8e5503fcf353b,a26049f9e4c4e681d064336a354a1919dc501aa76680e13a6555ff8e4ab1108d,27cba17ee9a8ff28e1b641a4fff8c21e946278531941acf7b472801de96eb6e0,d0595a51a5b33f1e509205bfc0b43dd8960ecb6918fc3772fb2ccd65c3efc44b,7dc33b624a30ba56e6069611a91ba73c92139d12de2361e47e15d93da7d572cc
"大久保瑠美","12","0","139","","萬魔的頂點，煉獄之皇女","??","??","129701","涅妃‧涅羅","31","?","","扮家家酒、觀察人類","妖魔人","？？？"
"小松未可子","8","0","168","10","不輸男人的狂野義氣少女","17","54","129801","真琴（指揮官）","9","O","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","做點心","獸人族","哞哞自衛隊"
"橋本ちなみ","7","0","154","13","專情於命中注定對象的少女","16","43","129901","惠理子（指揮官）","30","B","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","實驗、裁縫、料理","魔族","暮光流星群"
"小倉唯","2","0","118","5","端莊正直的嬌小優等生","8","21","130701","鏡華（春日）","2","A","","讀書","精靈族","小小甜心"
"悠木碧","12","0","154","9","為了大小姐而努力的冒失女僕","15","43","130801","鈴莓（春日）","12","O","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","服侍","人族","咲戀育幼院"
"田中美海","8","0","158","","任何東西都會不小心送人的廢柴經理兔女郎","16","46","130901","庫露露","2","A","","清掃、維護保養寶石或遊樂園","寶石兔族","吉歐‧提格尼亞"
"内田真礼","9","0","155","10","真步真步王國的公主","16","42","131001","真步（夢想樂園）","22","O","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","幻想、蒐集玩偶","獸人族","哞哞自衛隊"
"和氣杏未","6","0","157","19","超喜歡正太♪辣妹系史萊姆女孩","19","55","131101","涅婭（夏日）","13","B","","和可愛的正太玩、購物","魔族？","憤怒‧軍團"
"鬼頭明里","7","0","159","","樂觀開朗，卻趨向毀滅的活潑少女","16","??","131201","美空（夏日）","2","A","","無","人族","憤怒‧軍團"
"鈴木みのり","4","0","154","20","懷抱贖罪之心，追求力量的妹系大和撫子","15","44","131601","莉莉（夏日）","29","A","","花藝、閱讀（經典文學）、東國畫","人族","幻變少女"
"相坂優歌","?","0","150","","以全新樣貌繼續支持騎士冒險的妖精","??","???","131701","愛梅斯（夏日）","?","?","","？？？","？？？","？？？"
"大西沙織","4","0","168","17","面帶詭譎的笑容看透一切的臥龍首領。","25","???","131801","帆稀（夏日）","17","O","","繪畫、讀書","龍人族","龍族巢穴"
"高橋李依","9","0","164","","穩重成熟的銀髮半妖精","114","??","131901","愛蜜莉雅（夏日）","23","?","","幫帕克梳理毛髮、念書","半妖精族","？？？"
"坂本真綾","1","0","164","","強欲的魔女","??","???","132001","艾姬多娜（夏日）","24","?","","滿足求知慾","？？？","？？？"
"水瀬いのり","2","0","154","","有如鬼助的萬能妹妹女僕","17","??","132101","雷姆（夏日）","2","?","","戲劇欣賞、詩和散文","鬼族","？？？"
"日笠陽子","1","0","157","4","能歌善舞的超人氣偶像","17","40","132201","望（鍊金術師）","24","B","","看舞台劇，跳舞","人族","慈樂之音"
"東山奈央","8","0","155","2","最愛幫助別人！　正向思考的格鬥少女","16","44","180101","日和（公主）","27","A","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","助人、打氣加油","獸人族","破曉之星"
"種田梨沙","4","0","158","2","擅長支援戰鬥，心地善良的少女","17","47","180201","優衣（公主）","5","O","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","料理、觀察人類","人族","破曉之星"
"早見沙織","1","0","163","2","冷酷又率直的劍士","18","46","180301","怜（公主）","12","B","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","讀書、騎馬、茶","魔族","破曉之星"
"M・A・O","3","0","156","1","元氣滿點的空腹少女","17","46","180401","貪吃佩可（公主）","31","O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","邊走邊吃、料理","人族","美食殿堂"
"伊藤美来","5","0","140","1","仰慕主人，小小嚮導","11","35","180501","可可蘿（公主）","11","B","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","冥想、養育動植物","精靈族","美食殿堂"
"立花理香","9","0","152","1","倒在路旁的謎之貓耳魔法師","14","39","180601","凱留（公主）","2","A","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","和貓咪玩耍","獸人族","美食殿堂"
"大橋彩香、小清水亞美","-","0","-","500","以羈絆連結的互信互愛姊妹","17","-","180701","初音＆栞","-","-","","兩個人一起去野餐","精靈族、獸人族","森林守衛、伊麗莎白牧場"
"諸星すみれ、日高里菜、小倉唯","-","0","-","5","勇氣！　友情！　小小甜心！","17","-","180801","禊＆美美＆鏡華","-","-","","和大家一起冒險","人族、獸人族、精靈族","小小甜心"
"松嵜麗、堀江由衣","-","0","-","501","以高尚的友情結交的好對手","17","-","180901","秋乃＆咲戀","-","-","","切磋琢磨","人族、精靈族","墨丘利財團、咲戀育幼院"
"日笠陽子、福原綾香","-","0","-","","許下誓約的馬納歷亞雙姬","17","-","181001","安＆古蕾婭","-","-","","一起合奏鋼琴","人族、半人半龍","？？？"
"生天目仁美、阿澄佳奈","-","0","-","3","跨越真實及虛偽的三姐弟","18","-","181101","靜流＆璃乃","-","-","","疼愛弟弟＆向哥哥撒嬌","人族、人族","拉比林斯"
"近藤玲奈","12","0","147","1","失去記憶的龍人族少女","14","???","181201","雪菲（公主）","14","B","","讀書、伸展運動","龍人族","美食殿堂"
"-","-","0","-","","最喜歡美女跟女兒♪的廢物骷髏男。","-","-","427101","骷髏老爸","-","-","","-","-","-"
"東山奈央","8","0","155","2","最愛幫助別人！　正向思考的格鬥少女","16","44","900103","日和","27","A","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","助人、打氣加油","獸人族","破曉之星"
"藤田茜","9","0","145","17","嘴上功夫一流的廢材龍娘","13","???","906601","祈梨","29","AB","","遊戲","龍人族","龍族巢穴"
"早見沙織","1","0","163","17","冷酷又率直的劍士","18","46","928801","怜（星素）","12","B","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","讀書、騎馬、茶","魔族","破曉之星"
