4582d7da6034650c63737a1266920b380ba22d950fc03bd85210dad9cb563e90,80f3cb2ad79f1e7b058ae484364dd5aab9e72bfdb2f141ee0b391c7e03fca030,6c13dfdb115298b271e6adabbf88c2a904bfce7b7148003bc4e672f7b73ad20f,208b8a7513db22c20804b4a5846b00f09b1415475883b9bf5bc026981761c438,6526ed1a679b441ee5b7ac7b2f05e15b494499e8b4e30726c9a8d425b05ca03b,71b93a509448a94b66361fd6811a4ced8ab755b95a1fdb6bc9bc2855a469e5e3,7eb389a3776b5240ed35f3935dcbcf57be5f76f721f03a0dc74d897691ca4503,cc9bfbf10e472910cd56dd3ba75b6b77e7d0ade781abdd8817a294373002b916
"ㄨ","ㄨㄥ","10079","3007903","會走路的菇類。據貪吃佩可所言，燉煮後似乎意外地美味。","3","紅蕈菇","2"
"ㄗ","ㄕ","10080","3008000","被稱為百獸之王的貓科大型肉食野獸。","1","獅子","2"
"ㄠ","ㄚ","10080","3008001","會發出吼叫聲的大型貓科物種。嘎喔！","1","大貓","2"
"ㄨㄤ","ㄨㄢ","10080","3008002","擁有威風鬃毛的最強野獸。","2","萬獸之王","2"
"ㄠ","ㄨㄥ","10080","3008003","生長在馬或公獅子脖子周圍的毛髮。","2","鬃毛","2"
"ㄟ","ㄨ","10080","3008004","全身覆滿了毛，以四條腿走路的大型動物。","2","哺乳類","2"
"ㄕ","ㄠ","10080","3008005","獅子座之魔星獸，會用灼熱咆哮將攻擊牠的敵人全數燒盡。","3","奧爾獅","2"
"ㄧ","ㄧㄢ","10081","3008100","用木頭包覆有色筆芯的筆記用具。","1","鉛筆","2"
"ㄛ","ㄕ","10081","3008101","被用來當作鉛筆筆芯的材料。","1","石墨","2"
"ㄧㄠ","ㄨㄥ","10081","3008102","說到批改考卷就會常看到的顏色。","2","紅色顏料","2"
"ㄩ","ㄧ","10081","3008103","鉛筆、橡皮擦等書桌用具的總稱。","2","筆記用具","2"
"ㄧㄢ","ㄚ","10081","3008104","克蘿依最愛的棒狀帶刺武器。","3","殺手筆劍","2"
"ㄧㄤ","ㄞ","10082","3008200","自己產生能量、發光發熱的星體。","1","太陽","2"
"ㄧㄤ","ㄧㄢ","10082","3008201","和煦亮麗的陽光。","1","豔陽","2"
"ㄨㄤ","ㄧㄤ","10082","3008202","指太陽發出的光芒。","2","陽光","2"
"ㄧㄢ","ㄧㄥ","10082","3008203","空中雲朵較少、有太陽露臉的溫暖天氣。","2","晴天","2"
"ㄧㄥ","ㄨㄥ","10083","3008300","靠魔法浮力翱翔天際的充氣交通工具。","1","空艇","2"
"ㄨㄢ","ㄨㄢ","10083","3008301","載著人或物在水上前進的交通工具。","2","船","2"
"ㄨㄢ","ㄟ","10083","3008302","靠充氣等方式讓機體浮起、加入動力和舵，在空中飛行的船。","2","飛行船","2"
"ㄧ","ㄠ","10083","3008303","搭乘可飛行的交通工具，在空中移動，甚至可以四處旅遊。","2","遨遊天際","2"
"ㄨㄟ","ㄛ","10083","3008304","（預計）由莫妮卡提督指揮的飛空艇艦隊。","3","莫妮卡的艦隊","2"
"ㄨㄟ","ㄟ","10084","3008400","莖上帶刺的美麗紅花。","1","玫瑰","2"
"ㄧ","ㄧㄥ","10084","3008401","在村落附近相當常見，帶刺灌木的總稱。","1","荊棘","2"
"ㄨㄚ","ㄨㄚ","10084","3008402","植物的繁殖器官，多數都很漂亮。","1","花","2"
"ㄣ","ㄨㄥ","10084","3008403","在千鈞一髮之際給予Shiny★智協助的神秘人物。到底是誰呢……","3","紅薔薇之人","2"
"ㄙ","ㄡ","10085","3008500","在握成小團的飯上放魚片等食材的東國料理。","1","壽司","2"
"ㄧ","ㄜ","10085","3008501","具有東國代表特色的料理。","1","和式料理","2"
"ㄩ","ㄨㄟ","10085","3008502","美味的紅肉魚。","1","鮪魚","2"
"ㄙ","ㄧㄣ","10085","3008503","奢侈地使用了需要相當費力才能捕獲的金槍鮪的握壽司。","3","金槍鮪握壽司","2"
"ㄕ","ㄚ","10085","3008504","大間能捕到最高級的魚，金槍鮪。","3","大間的美食","2"
"ㄗ","ㄧㄥ","10086","3008600","會映出自己模樣的神奇道具。","1","鏡子","2"
"ㄜ","ㄢ","10086","3008601","一種傳播方向產生變化的物理現象。","2","反射","2"
"ㄩ","ㄧ","10086","3008602","用於整理儀容的道具。","2","禮節道具","2"
"ㄧㄣ","ㄩㄝ","10086","3008603","啊啊，我今天也很美麗呢！","3","雪的愛用物品","2"
"ㄨㄢ","ㄡ","10087","3008700","女王或公主戴在頭頂上的豪華飾品。","1","后冠","2"
"ㄧㄢ","ㄨㄢ","10087","3008701","王族等人物配戴在頭上的豪華飾品。","1","冠冕","2"
"ㄧㄣ","ㄕ","10087","3008702","穿戴在身上，主要用於裝飾的物品。","2","飾品","2"
"ㄕ","ㄧㄚ","10087","3008703","代表權力之冠冕帶上的一種儀式。","2","加冕儀式","2"
"ㄨㄢ","ㄢ","10087","3008704","其實隱藏著強大力量的皇家裝備的一部分。","3","貪吃佩可的皇冠","2"
"ㄟ","ㄨㄤ","10087","3008705","裝備後威力會大幅提升，但是好像肚子會餓。","3","皇家的裝備","2"
"ㄨ","ㄨㄢ","10088","3008800","將肉和蔬菜加入高湯，長時間燉煮的熱呼呼料理。","1","關東煮","2"
"ㄞ","ㄨㄣ","10088","3008801","肉和蔬菜的燉煮料理。","1","燉菜","2"
"ㄗ","ㄨㄛ","10088","3008802","煮食物用的調理器具。","1","鍋子","2"
"ㄨ","ㄧㄥ","10088","3008803","用狂怒綠龍尾巴高湯燉煮的頂級關東煮。","3","頂級的龍尾關東煮","2"
"ㄠ","ㄥ","10089","3008900","靠魔法之力發光的道具。","1","燈泡","2"
"ㄧㄥ","ㄠ","10089","3008901","照亮黑暗的光。","1","照明","2"
"ㄥ","ㄞ","10089","3008902","利用熱能放射來發光的玻璃球。","2","白熾燈","2"
"ㄠ","ㄧ","10089","3008903","較小顆的燈泡。","2","迷你燈泡","2"
"ㄧㄥ","ㄧㄤ","10089","3008904","表現光芒閃爍的狀聲詞。","2","亮晶晶","2"
"ㄢ","ㄧㄚ","10089","3008905","導出真相的靈感之力。只要交給名偵探，任何難解事件都能解決！","3","霞的靈光一閃","2"
"ㄨㄛ","ㄩㄣ","10090","3009000","飄在空中，由水滴或冰粒組成的團塊，會產生雨和雷。","1","雲朵","2"
"ㄩㄣ","ㄧ","10090","3009001","夏季天空經常出現，不斷冒出湧動的大片雲朵。","2","積雨雲","2"
"ㄧㄢ","ㄧㄣ","10090","3009002","被雲遮蓋而看不見太陽的天氣。","2","陰天","2"
"ㄤ","ㄧㄢ","10090","3009003","放入口中就會唰地溶化，又白又軟綿的白色甜點。","2","棉花糖","2"
"ㄟ","ㄟ","10090","3009004","使喚著雷雲，天真無邪地四處大鬧的雷娘。","3","雷雷","2"
"ㄡ","ㄨ","10091","3009100","可以砍樹的道具，也能當作武器。","1","斧頭","2"
"ㄨ","ㄕ","10091","3009101","用石頭做的斧頭，通常被當作武器或農具。","1","石斧","2"
"ㄩ","ㄚ","10091","3009102","由一根木棍把手接著一塊梯形刀片所組成，可用來砍樹。","2","伐木工具","2"
"ㄧ","ㄜ","10091","3009103","老練的哥布林戰士手上的武器。","3","哥布林王者的武器","2"
"ㄩㄢ","ㄨㄣ","10092","3009200","用自然湧出的熱水打造的浴池。暖暖身子吧。","1","溫泉","2"
"ㄤ","ㄨ","10092","3009201","設置在野外或戶外，沒有屋頂的浴池。","1","露天浴場","2"
"ㄢ","ㄥ","10092","3009202","以溫泉煮熟的水煮嫩蛋，是種美味的雞蛋料理。","1","蒸煮溫泉蛋","2"
"ㄤ","ㄧㄥ","10092","3009203","能緩解身體疲勞與不適的知名溫泉。","2","名湯","2"
"ㄩㄢ","ㄧ","10092","3009204","牧場湧出的天然溫泉。來泡一泡消除疲勞吧。","3","伊麗莎白牧場溫泉","2"
"ㄡ","ㄣ","10093","3009300","安眠的必需品。","1","枕頭","2"
"ㄣ","ㄠ","10093","3009301","用來環抱的大型枕頭。","1","抱枕","2"
"ㄩ","ㄧㄣ","10093","3009302","如被子、枕頭、睡衣等，睡覺時使用物品的總稱。","2","寢具","2"
"ㄧㄣ","ㄨㄟ","10093","3009303","睡覺時不可或缺的物品。今晚也能一夜好眠。","2","睡眠用品","2"
"ㄨ","ㄨ","10093","3009304","栞贈送的禮物。其實無論何時何地都想帶著走。","3","初音的寶物","2"
"ㄓ","ㄚ","10094","3009400","印著圖畫或照片的有趣讀物。","1","雜誌","2"
"ㄨㄚ","ㄢ","10094","3009401","有著訪談、娛樂資訊等各種豐富內容的讀物。","2","漫畫","2"
"ㄨ","ㄕ","10094","3009402","刊登時尚相關文章的書籍。","2","時尚刊物","2"
"ㄧ","ㄧㄥ","10094","3009403","在蘭德索爾，無論男女老少都非常喜愛。","3","鈴奈的寫真集","2"
"ㄨ","ㄧ","10095","3009500","透過敲打鼓面發出聲音。咚咚咚！","1","擊鼓","2"
"ㄨ","ㄧㄠ","10095","3009501","敲打會發出高音的小型鼓。","1","小鼓","2"
"ㄤ","ㄨ","10095","3009502","用來敲擊鼓面產生音調的敲擊棒。","2","鼓棒","2"
"ㄩ","ㄧㄣ","10095","3009503","一種具有強力音樂節奏的樂曲形式。","2","進行曲","2"
"ㄧ","ㄚ","10095","3009504","透過敲、打、搖晃等方式發出聲音的樂器總稱。","2","打擊樂器","2"
"ㄨㄛ","ㄧㄥ","10096","3009600","在夜空中，將星星連線來看作各種事物的東西。","1","星座","2"
"ㄧ","ㄧㄢ","10096","3009601","存在於宇宙中的星星總稱，包括壁球、月亮、太陽。","1","天體","2"
"ㄜ","ㄧㄣ","10096","3009602","由各種星星、氣態物質、宇宙塵埃等匯聚而成的巨大天體。","1","銀河","2"
"ㄨㄥ","ㄧㄝ","10096","3009603","太陽西沈，暗到能看見星星和月亮的天空。","2","夜空","2"
"ㄧㄥ","ㄥ","10096","3009604","點亮夜空的主角們。","2","恆星","2"
"ㄨㄛ","ㄢ","10096","3009605","那個星座……看起來很像飯糰吧？太讚了吧☆","3","飯糰座","2"
"ㄧㄝ","ㄢ","10097","3009700","又甜又酸的夏季蔬菜。其實是茄子的同類。","1","番茄","2"
"ㄧㄝ","ㄧㄠ","10097","3009701","一口大小的番茄，有的品種是黃色的。","1","小番茄","2"
"ㄕ","ㄧ","10097","3009702","番茄的別名。","2","西紅柿","2"
"ㄧ","ㄧㄝ","10097","3009703","將番茄燉煮並調味所製成的料理。","2","茄汁料理","2"
"ㄧ","ㄠ","10098","3009800","茂密地長著草的寬廣空地。","1","草地","2"
"ㄩㄢ","ㄨㄤ","10098","3009801","幾乎沒有樹木，被花草覆蓋的遼闊大地。","1","廣闊草原","2"
"ㄧㄝ","ㄩㄢ","10098","3009802","長著草的寬廣平地。","1","原野","2"
"ㄨㄥ","ㄞ","10099","3009900","偶爾會出現在剛下完雨的天空，因陽光反射而出現的奇蹟。","1","彩虹","2"
"ㄨㄥ","ㄩㄝ","10099","3009901","出現於夜晚，因月光折射而產生的奇蹟。","1","月虹","2"
"ㄞ","ㄧ","10099","3009902","彩虹中能看見的七種顏色，由紅橙黃綠藍靛紫組成。","1","七彩","2"
"ㄧㄠ","ㄨㄚ","10099","3009903","彷彿朝天空延伸一般出現的彩虹。","2","掛在天上的橋","2"
"ㄡ","ㄩ","10099","3009904","雨停過後的短暫時間。","2","雨後","2"
"ㄧㄥ","ㄠ","10100","3010000","將冰塊打碎、淋上蜜糖，看起來像雪花的夏日甜點。","1","刨冰","2"
"ㄧ","ㄢ","10100","3010001","一片湛藍，如同清爽的海洋一般，淋在刨冰上的蜜糖。","1","藍色夏威夷","2"
"ㄚ","ㄧㄥ","10100","3010002","用冰淇淋或水果點綴得五彩繽紛的豪華刨冰。","2","冰沙","2"
"ㄕ","ㄧㄚ","10100","3010003","用來表示夏天感覺的東西。除了西瓜，其他還有大海或煙火等。","2","夏天風物詩","2"
"ㄧㄝ","ㄨ","10101","3010100","靠美麗的翅膀飄然舞動，像妖精一樣的昆蟲。","1","蝴蝶","2"
"ㄧㄝ","ㄥ","10101","3010101","美麗的大型蝴蝶的一種，後翅多有長長突起。","1","鳳蝶","2"
"ㄧㄝ","ㄟ","10101","3010102","以黑色大翅膀舞動的美麗蝴蝶。","1","黑鳳蝶","2"
"ㄨㄥ","ㄨㄥ","10101","3010103","除人、獸、鳥、魚以外小動物的總稱。幾乎都數量繁多。","2","蟲","2"
"ㄕ","ㄧㄝ","10101","3010104","競技游泳的一種，因外形像蝴蝶而得名。","2","蝶式","2"
"ㄧㄝ","ㄧㄢ","10101","3010105","變貌大妃的幻化蝴蝶。","3","變貌幻蝶","2"
"ㄚ","ㄠ","10102","3010200","高聳矗立的建築物。","1","高塔","2"
"ㄞ","ㄚ","10102","3010201","眾多塔羅牌的其中一張。","2","塔羅牌","2"
"ㄞ","ㄨㄢ","10102","3010202","為眺望遠方而蓋的建築物。","2","觀景台","2"
"ㄧㄢ","ㄧㄠ","10102","3010203","為監視目的地而蓋的高聳建築物。","2","瞭望點","2"
"ㄡ","ㄛ","10102","3010204","彷彿直達天際的高聳建築物。","2","摩天大樓","2"
"ㄧㄣ","ㄧㄥ","10103","3010300","冰～冰甜～甜的點心。","1","冰淇淋","2"
"ㄨㄥ","ㄧㄢ","10103","3010301","「冰淇淋」的別稱。夏日消暑好選擇。","1","甜筒","2"
"ㄨㄟ","ㄛ","10103","3010302","又甜又會瞬間在口中擴散的清爽口味。","2","薄荷巧克力口味","2"
"ㄨ","ㄚ","10103","3010303","「冰淇淋」的另一種說法。","2","叭噗","2"
"ㄧ","ㄩㄝ","10103","3010304","雪菲是薄荷巧克力派。","3","雪菲喜歡的東西","2"
"ㄩㄢ","ㄧㄢ","10104","3010400","中央有個洞的輪狀甜點。","1","甜甜圈","2"
"ㄗ","ㄨㄛ","10104","3010401","「甜甜圈」的另一種稱呼。","2","多拿滋","2"
"ㄧㄢ","ㄧㄠ","10104","3010402","淋上了巧克力的標準點心。","2","巧克力甜點","2"
"ㄩㄢ","ㄧㄠ","10105","3010500","可以兌換食物、進入設施的票券。","1","票券","2"
"ㄥ","ㄨㄥ","10105","3010501","表述約定或權利的紙張。","1","通行證","2"
"ㄩㄢ","ㄠ","10105","3010502","可跳過已通關冒險的方便道具。","3","掃蕩券","2"
"ㄩㄢ","ㄧㄡ","10106","3010600","浮在水上的道具。在水上漂浮真舒服。","1","游泳圈","2"
"ㄩㄢ","ㄠ","10106","3010601","特殊形狀的泳圈。和凱留小姐一樣有著可愛的貓耳朵呢。","2","造型泳圈","2"
"ㄧㄣ","ㄢ","10106","3010602","只要有了這個，不會游泳也沒關係。","2","旱鴨子必備的物品","2"
"ㄩㄢ","ㄞ","10106","3010603","不擅長游泳的凱留最愛用的可愛貓咪造型游泳圈。","3","凱留的游泳圈","2"
"ㄧㄥ","ㄞ","10107","3010700","在刺眼陽光或強力照明下時髦地守護我們。","1","太陽眼鏡","2"
"ㄧㄥ","ㄟ","10107","3010701","「太陽眼鏡」的另一種說法。","2","黑色護目鏡","2"
"ㄧㄢ","ㄛ","10107","3010702","黑色鏡片的眼鏡。","2","墨色鏡片","2"
"ㄨ","ㄨ","10107","3010703","非常適合配戴太陽眼鏡的酷帥生活方式。","2","無情冷酷","2"
"ㄧㄥ","ㄧㄠ","10107","3010704","小凱留的夏日時尚配件。實在太適合了，太讚了吧！","3","小凱留的太陽眼鏡","2"
"ㄧㄢ","ㄡ","10108","3010800","忍者丟擲的武器。","1","手裏劍","2"
"ㄧ","ㄧㄡ","10108","3010801","指可以用來投擲的攻擊型武器。","2","丟擲武器","2"
"ㄜ","ㄣ","10108","3010802","在暗中進行諜報等祕密活動的人物。","2","忍者","2"
"ㄢ","ㄚ","10108","3010803","在大江戶相當受歡迎的土產。","3","大江戶的特產","2"
"ㄧㄚ","ㄧㄚ","10109","3010900","生活的據點，想在天黑前回去。","1","家","2"
"ㄞ","ㄨ","10109","3010901","意指家，回去就會感到安心。","1","住宅","2"
"ㄗ","ㄤ","10109","3010902","「家」的代表。今天也想圍著餐桌吃著熱騰騰的飯菜。","2","房子","2"
"ㄨ","ㄧㄢ","10109","3010903","人們為了居住或保管物品所建造的建築物。","2","建築物","2"
"ㄨ","ㄨㄥ","10109","3010904","「公會」的活動據點，對大家而言很重要的地方。","3","公會小屋","2"
"ㄨㄢ","ㄟ","10110","3011000","捏握熟飯作成的料理，在內部加入配料也很美味。","1","美味飯糰","2"
"ㄧㄠ","ㄚ","10110","3011001","常見的飯糰餡料之一。據說是貪吃佩可手上最常拿著的飯糰種類。","2","炸蝦餡料","2"
"ㄨㄢ","ㄨ","10110","3011002","一直吃一直吃也吃不完的夢幻飯糰。","3","無限飯糰","2"
"ㄧ","ㄢ","10110","3011003","戰鬥中也不能放手呢☆","3","貪吃佩可喜歡的東西","2"
"ㄧㄠ","ㄩ","10111","3011100","苦苦～的綠色蔬菜。","1","綠色青椒","2"
"ㄧㄠ","ㄞ","10111","3011101","很像青椒但不會苦的蔬菜，色彩繽紛。","2","彩椒","2"
"ㄞ","ㄨㄤ","10111","3011102","積極攝取似乎對身體很好。","2","黃綠色蔬菜","2"
"ㄧ","ㄧㄥ","10111","3011103","雖然紅蘿蔔也很討厭，但青椒更是吃不下去。","3","鏡華不喜歡的東西","2"
"ㄗ","ㄧ","10112","3011200","被刺刺硬殼所保護的甘甜果實。","1","栗子","2"
"ㄗ","ㄤ","10112","3011201","使用砂糖來炒熱栗子。","2","糖炒栗子","2"
"ㄜ","ㄧㄢ","10112","3011202","保護著內部的果實，刺到會很痛。","2","尖殼","2"
"ㄕ","ㄧㄡ","10112","3011203","代表秋天的美食。","2","秋季美食","2"
"ㄨㄚ","ㄠ","10113","3011300","用烤的地瓜料理。","1","烤地瓜","2"
"ㄨ","ㄢ","10113","3011301","有著甘甜好吃的美妙滋味。","1","蕃薯","2"
"ㄨ","ㄧㄢ","10113","3011302","「蕃薯」的別稱。","2","甜薯","2"
"ㄕ","ㄧㄡ","10113","3011303","代表秋天的美食。","2","秋季美食","2"
"ㄨ","ㄜ","10113","3011304","烤地瓜最美味的時機，小心別燙傷了。","2","熱呼呼剛出爐","2"
"ㄧㄠ","ㄚ","10114","3011400","非常嗆辣的辛香料，是青椒的同類。","1","辣椒","2"
"ㄧㄠ","ㄧㄥ","10114","3011401","「辣椒」的種類之一。","1","鷹爪辣椒","2"
"ㄣ","ㄧ","10114","3011402","以辣椒為主材料的調味料。","2","七味粉","2"
"ㄧㄠ","ㄧㄤ","10114","3011403","點綴料理的辛香料。","2","香料","2"
"ㄕ","ㄙ","10114","3011404","似龍的珍藏。","3","似龍生物的火焰果實","2"
"ㄗ","ㄧㄚ","10115","3011500","棲息於水中或潮濕地面的甲殼類動物。","1","蝦子","2"
"ㄧㄚ","ㄚ","10115","3011501","將蝦子裹上麵粉後，進行油炸的一種料理。","2","炸蝦","2"
"ㄧㄢ","ㄞ","10115","3011502","來自海洋的美味贈禮。","2","海鮮","2"
"ㄢ","ㄧㄢ","10115","3011503","海產的鮮度就是一切。","2","現捕海產","2"
"ㄗ","ㄩㄣ","10116","3011600","穿在腰部以下的筒狀衣物。","1","裙子","2"
"ㄩㄣ","ㄧ","10116","3011601","長度較短的裙子。","2","迷你裙","2"
"ㄩㄣ","ㄞ","10116","3011602","從腰部到裙擺重複打了許多褶子的裙子。","2","百褶裙","2"
"ㄗ","ㄨ","10117","3011700","穿在腰部以下的衣物，有做出胯下的形狀。","1","褲子","2"
"ㄕ","ㄧㄚ","10117","3011701","穿在腰部以下衣物的總稱。","2","下半身服飾","2"
"ㄨ","ㄨㄥ","10117","3011702","工作時能更方便行動的衣裝。","2","工作服","2"
"ㄨ","ㄨㄢ","10117","3011703","長度較短的褲子。","2","短褲","2"
"ㄧ","ㄟ","10118","3011800","能在空中飛行的交通工具，不是鳥但有翅膀。","1","飛機","2"
"ㄧㄤ","ㄨㄛ","10118","3011801","為了驅動船或飛機而裝上的旋轉式翅膀。","2","螺旋槳","2"
"ㄨㄥ","ㄧㄠ","10118","3011802","無人搭乘、遠端操縱。","2","遙控","2"
"ㄧ","ㄧ","10118","3011803","模仿鳥類的翅膀，是飛機用來維持空中穩定度的主要部件。","2","機翼","2"
"ㄧ","ㄩ","10119","3011900","從天而降的水滴，主要是由雲朵產生。","1","雨滴","2"
"ㄨㄢ","ㄨㄟ","10119","3011901","自然界的水在大氣與陸地及海洋間轉換，循環不已。","2","水循環","2"
"ㄧㄢ","ㄧㄣ","10119","3011902","陰灰下雨日的天氣。","2","陰雨天","2"
"ㄩ","ㄚ","10119","3011903","大規模降雨。","2","大雨","2"
"ㄤ","ㄡ","10120","3012000","細長的棒狀道具。","1","手杖","2"
"ㄩ","ㄧㄥ","10120","3012001","人們用來支撐身體的工具。","2","行動輔具","2"
"ㄤ","ㄛ","10120","3012002","用於施展魔法的道具，一邊揮舞一邊詠唱咒語吧。","2","魔杖","2"
"ㄧㄤ","ㄧㄢ","10121","3012100","在長柄前端有著刀刃的武器。","1","尖槍","2"
"ㄠ","ㄠ","10121","3012101","桿端有尖刃的長柄武器。","2","矛","2"
"ㄨㄤ","ㄞ","10121","3012102","自古對槍的美稱。","2","百兵之王","2"
"ㄨㄥ","ㄤ","10121","3012103","美冬的專用武器。","3","蒼龍槍蛟龍","2"
"ㄨㄟ","ㄡ","10122","3012200","用於保護頭部的防具。","1","頭盔","2"
"ㄧㄚ","ㄞ","10122","3012201","用堅固素材製成，用於保護身體的防具。","2","鎧甲","2"
"ㄧㄚ","ㄨㄟ","10122","3012202","「甲冑」的另一種說法。","2","盔甲","2"
"ㄩ","ㄤ","10122","3012203","保護身體的裝備。","2","防具","2"
"ㄧㄚ","ㄨㄢ","10122","3012204","聲名遠播的王宮騎士團的鎧甲。守護蘭德索爾的治安吧。","3","團員們的鎧甲","2"
"ㄧㄚ","ㄨㄤ","10122","3012205","會食用金屬、操縱武器的神祕魔物。","3","亡靈鎧甲","2"
"ㄕ","ㄧㄠ","10123","3012300","上鎖和開鎖用的道具，要是弄丟就麻煩了。","1","鑰匙","2"
"ㄕ","ㄨㄛ","10123","3012301","「鑰匙」的別稱。","2","鎖匙","2"
"ㄕ","ㄨㄢ","10123","3012302","可打開所有適用的鎖的鑰匙。","2","萬用鑰匙","2"
"ㄧㄤ","ㄠ","10124","3012400","裡面裝了什麼？要等打開才會揭曉。","1","寶箱","2"
"ㄠ","ㄧㄣ","10124","3012401","「寶箱」的內容物。","2","金銀財寶","2"
"ㄧㄤ","ㄤ","10124","3012402","得到就能大賺一筆。","2","藏寶箱","2"
"ㄨㄛ","ㄧ","10124","3012403","偶爾才能得到的特別寶物。","3","稀有掉落","2"
"ㄨㄥ","ㄨㄥ","10125","3012500","非常強大的生物，是珍貴的存在，留下了許許多多的傳說。","1","龍","2"
"ㄨㄥ","ㄠ","10125","3012501","據說很久之前曾經存在的生物。","2","暴龍","2"
"ㄨ","ㄚ","10125","3012502","脊椎動物的一類，是許多物種的統稱。","2","爬行動物","2"
"ㄨ","ㄨㄢ","10125","3012503","刺激探究精神的存在，非常浪漫。","2","傳說生物","2"
"ㄨㄥ","ㄨㄤ","10125","3012504","居住在忘卻之密境──綠龍骸嶺中的年輕巨龍。","3","狂怒綠龍","2"
"ㄗ","ㄨㄣ","10126","3012600","將話語書寫下來時使用的符號。","1","文字","2"
"ㄜ","ㄠ","10126","3012601","聽到切嚕，似乎就會不經意地想起好朋友社的那號人物？","3","好朋友社","2"
"ㄨ","ㄧㄝ","10126","3012602","琪愛兒的口頭禪。預計會成為世界共通語言？","3","切嚕","2"
"ㄠ","ㄡ","10127","3012700","封鎖手部動作的拘束道具。","1","手銬","2"
"ㄧㄠ","ㄧㄠ","10127","3012701","封鎖腳部動作的拘束道具。","1","腳鐐","2"
"ㄩ","ㄨ","10127","3012702","為了封鎖行動而穿戴在身上的道具。","1","束縛道具","2"
"ㄞ","ㄨㄥ","10127","3012703","只要像這樣被緊緊束縛，空花就……嘻嘻嘻嘻嘻。","3","空花的最愛","2"
"ㄣ","ㄣ","10128","3012800","被牆壁包圍區域的出入口。","1","門","2"
"ㄡ","ㄧㄠ","10128","3012801","學校的門，如果遲到了也許就會關上。","2","校門口","2"
"ㄣ","ㄧㄝ","10128","3012802","鐵製的門。","2","鐵門","2"
"ㄩㄢ","ㄥ","10128","3012803","蘭德索爾頂尖的千金學校，通稱德蕾女。","3","聖德蕾莎女子學院","2"
"ㄟ","ㄩㄝ","20066","4006600","從天而降、操縱冰雪的龍人族少女。","1","雪菲","2"
"ㄩ","ㄨㄥ","20066","4006601","罕見的龍人族女孩。","3","龍人族少女","2"
"ㄧㄣ","ㄨㄚ","20067","4006700","在【公會管理協會】工作，溫柔又可靠的人。","1","花凜","2"
"ㄨㄟ","ㄨㄥ","20067","4006701","管理公會的政府機關，負責支援認可與管理申請。","3","公會管理協會","2"
"ㄩㄢ","ㄠ","20067","4006702","在背後支援冒險的嚮導。","3","導覽員","2"
"ㄩ","ㄞ","20067","4006703","很棒的夥伴！","3","該死的眼鏡女","2"
"ㄠ","ㄟ","20068","4006800","能夠自在地操縱氣象，能雷擊的雲型魔物。","1","雷雲長老","2"
"ㄩㄣ","ㄨ","20068","4006801","會導致落雷的黑雲。","3","烏雲","2"
"ㄧㄚ","ㄡ","20068","4006802","成為雷雷的手下戰鬥。","3","手下","2"
"ㄧㄠ","ㄣ","20069","4006900","因為睡眠不足而倦怠的貓頭鷹魔物。","1","沉睡之梟","2"
"ㄧㄥ","ㄠ","20069","4006901","鳥的一種，森林中的哲學家。","3","貓頭鷹","2"
"ㄠ","ㄧㄠ","20070","4007000","豆狸魔物。雖然幼小，卻會拼命戰鬥。","1","小狸貓","2"
"ㄜ","ㄜ","20070","4007001","「狸貓」的別稱。","3","貉","2"
"ㄣ","ㄧㄢ","20070","4007002","一下是彈弓，一下是鍋釜，什麼時候變回原型呢？","3","變身","2"
"ㄨㄛ","ㄨ","20070","4007003","東國的傳統廚具是也。偶爾會爆炸是也。","3","釜鍋","2"
"ㄧ","ㄚ","20070","4007004","大仙狸的眷屬，數量眾多。","3","大王山狸的小弟","2"
"ㄧㄤ","ㄛ","20071","4007100","擁有堅硬身軀的岩石魔物。","1","魔像","2"
"ㄨ","ㄧㄢ","20071","4007101","由岩石構成的魔物，指魔像。","3","岩石魔物","2"
"ㄧㄡ","ㄧㄥ","20071","4007102","排在廣場的地藏們。","3","鈴莓的好朋友","2"
"ㄚ","ㄛ","20072","4007200","來自魔法國度的神秘生物，為魔法少女帶來力量。","1","摩拉","2"
"ㄨ","ㄣ","20072","4007201","以魔力維持生命活動的生物。","3","神秘魔法生物","2"
"ㄧ","ㄞ","20072","4007202","莫妮卡！變身成Lovely★莫妮卡吧！","3","愛與希望之力","2"
"ㄧㄡ","ㄟ","20072","4007203","當時或許有點強硬。","3","給旁人添麻煩的毛球","2"
