ed45b4c0a0ca7f5721125b5952a3407f797e982a74b65f03b9987f6c53c44bfd,2729e1ad75de6b4fde52cc4a1b67f3db1ff639ac30311cfd0c90eb77121dbe57,7e63cc77d99f1d9f088e35514710b7b95eb93524694fdca4bb710e1ee7cac35f,3990d9eafaa85c82ef26efb5542d1e22eed6524f61ab1a7fa8c5bf638e1958e6,b0c9d87a23cb89acb79011335489447d4e600949d5badfe2d45f671b50ce8b4e,9cbe09ac429342df7bd6a6db4f9021163e100ae8096f3e9f838a60bb337dda61,2f7cb60832c0f1add8b644ada24f4368410a59a72601eb2c4bc866892e8e4196,5d45ebab4e2bb4b72100ba806b84392fe241f3546121f61b000e3fc07d130249,4329d48c4d920d5f6026c160df86cd2d24671d8b7b974a8d3930bba197c2bb61,e98ca55c3fc4beacf1fbbcae3b6d7e113f2764f9167434f9b457b2fd5b5f81e2,1f676c7751e8c9edba4ede215af2720dfa337f1b859c491de3cca646c493eae4,975cc20404dd9a0ac4d904f595c4c50e1094b82fcb587bef4900dc3da282020f,1f05a8c90076dd3091fcf85484cbf148de8f11d625f4e2ff7f205c2e42e37d63,8deae55a3649eb602845c37fd36284edf327cefb947640c30c14b1304bc974fc,1b4b6606cd2674f17bfa70ab3c5615fbcaad487844f879fdc4973f343cbafe14,2e508459dbdc678c0bdf1c4b67cefe5879aed127db81a66abd38e4598d64a843
"聖德蕾莎女子學院（好朋友社）","16","16","156","129501","人族","9","O","46","跳舞、卡拉OK","天生自由奔放的失禮現代小孩","琪愛兒（冬日）","0","佐倉綾音","","15"
"？？？","13","","145","129601","妖魔人","4","A","39","照顧花卉、拔除棘刺","繚繞孤絕香氣的花妖魔人","安涅默涅","0","立花日菜","","2"
"？？？","??","","139","129701","妖魔人","12","?","??","扮家家酒、觀察人類","萬魔的頂點，煉獄之皇女","涅妃‧涅羅","0","大久保瑠美","","31"
"哞哞自衛隊","17","10","168","129801","獸人族","8","O","54","做點心","不輸男人的狂野義氣少女","真琴（指揮官）","0","小松未可子","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","9"
"暮光流星群","16","13","154","129901","魔族","7","B","43","實驗、裁縫、料理","專情於命中注定對象的少女","惠理子（指揮官）","0","橋本ちなみ","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","30"
"蠻賊三姊妹","21","21","168","130001","精靈族","1","B","55","教訓妹妹們","被惡運所愛，盜賊公會的首領長女","倭","0","ファイルーズあい","","8"
"蠻賊三姊妹","16","21","158","130101","人族","5","A","45","編織","辛苦但有精神。盜賊公會的次女","若菜","0","石見舞菜香","","30"
"蠻賊三姊妹","12","21","136","130201","獸人族","3","AB","37","欺負若菜","囂張但極其聰明！　盜賊公會的三女","布武機","0","花井美春","","5"
"小小甜心","8","5","118","130701","精靈族","2","A","21","讀書","端莊正直的嬌小優等生","鏡華（春日）","0","小倉唯","","2"
"咲戀育幼院","15","9","154","130801","人族","12","O","43","服侍","為了大小姐而努力的冒失女僕","鈴莓（春日）","0","悠木碧","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","12"
"吉歐‧提格尼亞","16","","158","130901","寶石兔族","8","A","46","清掃、維護保養寶石或遊樂園","任何東西都會不小心送人的廢柴經理兔女郎","庫露露","0","田中美海","","2"
"哞哞自衛隊","16","10","155","131001","獸人族","9","O","42","幻想、蒐集玩偶","真步真步王國的公主","真步（夢想樂園）","0","内田真礼","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","22"
"憤怒‧軍團","19","19","157","131101","魔族？","6","B","55","和可愛的正太玩、購物","超喜歡正太♪辣妹系史萊姆女孩","涅婭（夏日）","0","和氣杏未","","13"
"憤怒‧軍團","16","19","159","131201","人族","7","A","??","無","樂觀開朗，卻趨向毀滅的活潑少女","美空（夏日）","0","鬼頭明里","","2"
"幻變少女","15","20","154","131601","人族","4","A","44","花藝、閱讀（經典文學）、東國畫","懷抱贖罪之心，追求力量的妹系大和撫子","莉莉（夏日）","0","鈴木みのり","","29"
"？？？","??","","150","131701","？？？","?","?","???","？？？","以全新樣貌繼續支持騎士冒險的妖精","愛梅斯（夏日）","0","相坂優歌","","?"
"龍族巢穴","25","17","168","131801","龍人族","4","O","???","繪畫、讀書","面帶詭譎的笑容看透一切的臥龍首領。","帆稀（夏日）","0","大西沙織","","17"
"？？？","??","","164","131901","半妖精族","9","?","??","幫帕克梳理毛髮、念書","穩重成熟的銀髮半妖精","愛蜜莉雅（夏日）","0","高橋李依","","23"
"？？？","??","","164","132001","？？？","1","?","???","滿足求知慾","強欲的魔女","艾姬多娜（夏日）","0","坂本真綾","","24"
"？？？","17","","154","132101","鬼族","2","?","??","戲劇欣賞、詩和散文","有如鬼助的萬能妹妹女僕","雷姆（夏日）","0","水瀬いのり","","2"
"慈樂之音","17","4","157","132201","人族","1","B","40","看舞台劇，跳舞","能歌善舞的超人氣偶像","望（鍊金術師）","0","日笠陽子","","24"
"阿爾克絲鍊金堂","17","22","160","132301","獸人族","1","A","47","妄想","悶騷好色的傻女主鍊金術師","露易絲瑪莉","0","鈴代紗弓","","2"
"阿爾克絲鍊金堂","26","22","170","132401","人族","9","O","53","捉蟲","擁有龐大身軀及純真內心的天才劍士","彩羽","0","青山吉能","","8"
"阿爾克絲鍊金堂","10","22","136","132501","精靈族","11","AB","34","嘗試健康營養品","身體是小孩子，智慧卻過於常人的鍊金堂店長","苑","0","井上ほの花","","8"
"？？？","??","","162","132801","天使族","1","?","??","午睡、試吃甜點新品。","兼具溫柔與傲慢的公主。","萊拉耶爾（聖誕節）","0","河瀨茉希","","17"
"月光學院","23","14","162","132901","魔族","8","B","52","看戀愛小說、戀愛劇、戀愛漫畫","魅惑眾多男性的純潔女老師","伊緒（聖誕節）","0","伊藤静","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","14"
"？？？","21","","166","133001","人族","10","AB","0","水墨畫","伶俐又幽愁、愛裝傻的鬼魂守護騎士","格蕾斯","0","富田美憂","","31"
"？？？","17","","158","133101","人族","2","A","49","收集香水、閱讀故事","在冥府綻放的不死生物系公主","薇歐莉特","0","長縄まりあ","","21"
"純白之翼 蘭德索爾分部","17","15","140","133201","人族","7","A","33","逛點心店","外表與內心都是孩子的異國軍人","莫妮卡（新年）","0","辻あゆみ","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","28"
"咲戀育幼院","17","9","156","133501","精靈族","10","A","43","經營、茶會","經營育幼院的庶民派溫柔大小姐","咲戀（新年）","0","堀江由衣","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","4"
"？？？","14","","141","133601","妖魔人","12","B","??","和梅杜希亞娜一起在空中飛翔","任性又固執的老么蛇女孩","梅杜莎","0","水橋かおり","","7"
"拉比林斯","25","3","160","133701","人族","7","AB","??","觀察人類","祕密結社拉比林斯的「迷宮女王」","拉比林斯達（始源）","0","沢城みゆき","","25"
"？？？","24","","149","133801","精靈族","3","O","??","模仿、藝術欣賞","隱居在研究所，相當文靜的大姊姊","似似花（始源）","0","井口裕香","","24"
"王宮騎士團","27","8","165","133901","人族","2","O","??","和強敵之間的競爭","自視甚高的王宮騎士團副團長","克莉絲提娜（始源）","0","たかはし智秋","","7"
"？？？","??","","???","134001","？？？","?","?","???","和你一起冒險","與你同在的引導妖精","菲歐","0","相坂優歌","","?"
"憤怒‧軍團","20","19","165","134301","魔族","12","O","53","唱歌、看書，以及寫詩","歌唱尋求靜寂的陰沉少女","蘭法（祭服）","0","原田彩楓","","28"
"慈樂之音","17","4","163","134401","人族","6","O","46","各種樂器","守護人們而歌唱的唱喚士少女","千歌（祭服）","0","福原綾香","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","3"
"？？？","??","","170","134501","機械人族","11","?","全備重量278.1","午睡，幫助他人","笑容滿溢！精力充沛的機械少女","克蘿茜（航空）","0","長谷川育美","","11"
"森林守衛","13","6","158","134601","精靈族","6","AB","44","交朋友的想像訓練","嚮往「朋友」的精靈之森女孩","碧（駕駛員）","0","花澤香菜","","6"
"？？？","18","","142","134701","妖魔人","10","?","40","入浴","偉大優雅，時而啾啾叫","鳳凰","0","篠田みなみ","","10"
"慈樂之音","14","4","153","134801","人族","9","AB","45","裁縫","最愛時尚的可愛女孩","紡希（吉歐‧格黑納）","0","木戸衣吹","","7"
"？？？","18","","155","134901","妖魔人","10","B","48","狩獵、收集珠寶","既是奴隸也是高貴的大小姐","華音","0","幸村惠理","","9"
"？？？","??","","168","135001","人族","2","?","??","聽騎士先生說話","在悲劇的根源盛開的美麗黑薔薇","厄莉絲（夏日）","0","桑島法子","","15"
"美食殿堂","14","1","147","135101","龍人族","12","B","???","讀書、伸展運動","失去記憶的龍人族少女","雪菲（夏日）","0","近藤玲奈","","14"
"幻變少女","10","20","135","135201","獸人族","3","O","34","吃飯","繼承正義靈魂的爆食系天才純真女孩","普蕾西亞（夏日）","0","高尾奏音","","1"
"幻變少女","13","20","147","135301","人族","11","O","42","做點心、照顧花朵、演奏小提琴","背負著難以忘懷過錯的黑色翅膀聖女","可璃亞（夏日）","0","前田佳織里","","1"
"？？？","13","","145","135401","妖魔人","4","A","39","照顧花卉、拔除棘刺","繚繞孤絕香氣的花妖魔人","安涅默涅（夏日）","0","立花日菜","","2"
"？？？","??","","162","135501","獸人族","3","?","??","助人、逛街、品嚐麥酒","在太陽與沙漠的國度祈願未來的面帶笑容的豪炎","埃拉","0","松岡由貴","","27"
"？？？","??","","167","135601","魔族","2","?","??","保養武器、冥想、釣魚","在曙光與翠嵐的國度保護未來的沉默寡言的劍豪","志那都","0","皆川純子","","9"
"破曉之星","16","2","155","135701","獸人族","8","A","44","助人、打氣加油","最愛幫助別人！　正向思考的格鬥少女","日和（薩拉薩利亞）","0","東山奈央","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","27"
"？？？","19","","179","135801","雪女","12","O","63","三味線、照顧死魔山雀","銀妝素裹，純情雪女","雪野","0","天野聡美","","30"
"？？？","20","","135","135901","鬼族","2","O","29","對戰強敵、夜間巡邏","無雙怪力，冷酷無情的仁義鬼公主","剎鬼","0","島袋美由利","","2"
"？？？","28","","240","136001","妖魔人","1","AB","108","追逐光芒、收納整理","開始走向嶄新道路的女郎蜘蛛","阿剌克涅","0","遠藤綾","","15"
"？？？","享年17","","158","136101","喪屍","4","A","46","製作點心、玩益智遊戲","拯救佐賀的偶像喪屍","櫻","0","本渡楓","","2"
"？？？","16","","152","136201","妖魔人","2","O","53","窩在家裡、午睡","吊車尾也不認輸，獨角兔女孩","拿娜","0","黒沢ともよ","","10"
"憤怒‧軍團","16","19","159","136301","人族","7","A","??","無","樂觀開朗，卻趨向毀滅的活潑少女","美空（聖誕節）","0","鬼頭明里","","2"
"破曉之星","17","2","158","136401","人族","4","O","47","料理、觀察人類","擅長支援戰鬥，心地善良的少女","優衣（聖誕節）","0","種田梨沙","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","5"
"拉比林斯","18","3","168","136501","人族","10","O","54","所有家事","姐姐會照顧你的呦！","靜流（新年）","0","生天目仁美","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","24"
"？？？","13(?)","","148","136901","？？？","10","青","??","章魚料理、潮間帶撿貝殼、一個人猜拳","偶會加油的！ 嗚啾嗚啾章魚少女","璐璐伊","0","飯田光","","8"
"純白之翼 蘭德索爾分部","16","15","163","137101","人族","8","O","51","忍法開發","東國的神祕，請告訴我！","妮諾（夏日）","0","佐藤聡美","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","31"
"哞哞自衛隊","15","10","152","137401","獸人族","11","AB","41","讀書、推理","頭腦聰明的美少女名偵探","霞（修女）","0","水瀬いのり","","3"
"美食殿堂","11","1","164","137601","精靈族","5","B","48","冥想、養育動植物","想著主人，「進化」了的嚮導","可可蘿（嚮導幼君）","0","伊藤美来","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"拉比林斯","15","3","156","137901","人族","8","A","44","裁縫","親人又多話的妹系少女","璃乃（新年）","0","阿澄佳奈","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","25"
"？？？","17","","158","138001","人族","2","A","49","收集香水、閱讀故事","在冥府綻放的不死生物系公主","薇歐莉特（黃泉鯨命）","0","長縄まりあ","","21"
"？？？","??","","162","138101","天使族","1","?","??","午睡、試吃甜點新品。","兼具溫柔與傲慢的公主。","萊拉耶爾（完美帕菲）","0","河瀨茉希","","17"
"？？？","??","","139","138201","妖魔人","12","?","??","扮家家酒、觀察人類","萬魔的頂點，煉獄之皇女","涅妃‧涅羅（鬼面佛心）","0","大久保瑠美","","31"
"美食殿堂","17","1","156","138301","人族","3","O","46","邊走邊吃、料理","元氣滿點的空腹少女","貪吃佩可（阿斯特賴亞）","0","M・A・O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","31"
"蠻賊三姊妹","16","21","158","138701","人族","5","A","45","編織","辛苦但有精神。盜賊公會的次女","若菜（冬日）","0","石見舞菜香","","30"
"伊麗莎白牧場","14","11","153","138801","獸人族","11","A","40","讀書、散步","喜愛讀書的體弱少女","栞（冬日）","0","小清水亜美","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","3"
"？？？","21","","166","138901","人族","10","AB","0","水墨畫","伶俐又幽愁、愛裝傻的鬼魂守護騎士","格蕾斯（兔女郎）","0","富田美憂","","31"
"小小甜心","8","5","118","139001","精靈族","2","A","21","讀書","端莊正直的嬌小優等生","鏡華（哥德）","0","小倉唯","","2"
"美食殿堂","14","1","152","139101","獸人族","9","A","39","和貓咪玩耍","倒在路旁的謎之貓耳魔法師","凱留（霸瞳天星）","0","立花理香","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","2"
"？？？","16","","158","139201","人族","10","A","??","蒐集玩偶","戰車道的少女，是為朋友著想的魔法師","美穗（少戰）","0","渕上舞","","23"
"？？？","18","","163","139301","獸人族","7","A","??","西洋棋","虎獸之軀，鋼心不搖，以王者之弓令萬物臣服","真穗（少戰）","0","田中理恵","","1"
"？？？","16","","159","139401","精靈族","3","AB","??","拳擊有氧","開拓戰局的精靈族雙劍士","艾麗卡（少戰）","0","生天目仁美","","6"
"破曉之星","16","2","155","180101","獸人族","8","A","44","助人、打氣加油","最愛幫助別人！　正向思考的格鬥少女","日和（公主）","0","東山奈央","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","27"
"破曉之星","17","2","158","180201","人族","4","O","47","料理、觀察人類","擅長支援戰鬥，心地善良的少女","優衣（公主）","0","種田梨沙","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","5"
"破曉之星","18","2","163","180301","魔族","1","B","46","讀書、騎馬、茶","冷酷又率直的劍士","怜（公主）","0","早見沙織","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","12"
"美食殿堂","17","1","156","180401","人族","3","O","46","邊走邊吃、料理","元氣滿點的空腹少女","貪吃佩可（公主）","0","M・A・O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","31"
"美食殿堂","11","1","140","180501","精靈族","5","B","35","冥想、養育動植物","仰慕主人，小小嚮導","可可蘿（公主）","0","伊藤美来","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"美食殿堂","14","1","152","180601","獸人族","9","A","39","和貓咪玩耍","倒在路旁的謎之貓耳魔法師","凱留（公主）","0","立花理香","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","2"
"森林守衛、伊麗莎白牧場","-","500","-","180701","精靈族、獸人族","-","-","-","兩個人一起去野餐","以羈絆連結的互信互愛姊妹","初音＆栞","0","大橋彩香、小清水亞美","","-"
"小小甜心","-","5","-","180801","人族、獸人族、精靈族","-","-","-","和大家一起冒險","勇氣！　友情！　小小甜心！","禊＆美美＆鏡華","0","諸星すみれ、日高里菜、小倉唯","","-"
"墨丘利財團、咲戀育幼院","-","501","-","180901","人族、精靈族","-","-","-","切磋琢磨","以高尚的友情結交的好對手","秋乃＆咲戀","0","松嵜麗、堀江由衣","","-"
"？？？","-","","-","181001","人族、半人半龍","-","-","-","一起合奏鋼琴","許下誓約的馬納歷亞雙姬","安＆古蕾婭","0","日笠陽子、福原綾香","","-"
"拉比林斯","-","3","-","181101","人族、人族","-","-","-","疼愛弟弟＆向哥哥撒嬌","跨越真實及虛偽的三姐弟","靜流＆璃乃","0","生天目仁美、阿澄佳奈","","-"
"美食殿堂","14","1","147","181201","龍人族","12","B","???","讀書、伸展運動","失去記憶的龍人族少女","雪菲（公主）","0","近藤玲奈","","14"
"-","-","","-","427101","-","-","-","-","-","最喜歡美女跟女兒♪的廢物骷髏男。","骷髏老爸","0","-","","-"
"破曉之星","16","2","155","900103","獸人族","8","A","44","助人、打氣加油","最愛幫助別人！　正向思考的格鬥少女","日和","0","東山奈央","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","27"
"龍族巢穴","13","17","145","906601","龍人族","9","AB","???","遊戲","嘴上功夫一流的廢材龍娘","祈梨","0","藤田茜","","29"
"破曉之星","18","17","163","928801","魔族","1","B","46","讀書、騎馬、茶","冷酷又率直的劍士","怜（星素）","0","早見沙織","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","12"
