9b300a217afe3cbe5f21c506aa70b521c9fe8f94b990d030bd8dac39c3107cd1,d678538f1947b8df29be7e72f7a91b6a307cab6200b044aceea6a8c8784b63c2,c21f85beb96485cb1a7cb7eff41df3670a7917a487ea53b7083974fc60763952,eb06f75a720e0d1a11ccb5d2a6352ce8c9830cadae29ee60863496479a2d7e7a,d79252e054f2df628f5a43b7204a293782521a6c3cae265f4000d007cdb14970,1eafb561efde59751d1e2e39bdde2539f8dbb32410d2455d35c77d9caac729b7,ddc24f48be34139decfc598dc1ec672b9729225ffb0d72924f8b2c9a00a46dca,220d330c693995eb3ed162843c593aec09b4fe8d6dc7893fa82988368378d7b0,9b1e83840eb7be615653a001e2dc73588f87613df9c49f2b063a64e11fbbcc65,882ad8dedb6c1c8a023f9fae32e9af61c1c0fdd0c043ded4b12fddc8590305b9,a2b7944f6896358d31a20da86e8f9328d8a4ef9da649ddacbf18105f913dc4c1,8385238cce2395966fc8d0466867deff82b8ebaede89d18dd29d10a508c32587,a6d9ca8e990e6691e9183eee684fed8c9ad96fded38f9e8cfb7c9c9609d662b6,4f7c6b476b17fb80b3c79f1763341528fd0ad524ed0fdae45b3388d21028c2c9,be444183664d6ab7df26874b009ac557eb2cd07950d4193a806f0cc48932218d,825ff47ae0c2b63a000271ce47b6b4dfddb618bb957110ef7e015b2e4665bea8
"繚繞孤絕香氣的花妖魔人","A","？？？","","照顧花卉、拔除棘刺","0","妖魔人","4","2","安涅默涅","145","立花日菜","129601","39","","13"
"萬魔的頂點，煉獄之皇女","?","？？？","","扮家家酒、觀察人類","0","妖魔人","12","31","涅妃‧涅羅","139","大久保瑠美","129701","??","","??"
"不輸男人的狂野義氣少女","O","哞哞自衛隊","10","做點心","0","獸人族","8","9","真琴（指揮官）","168","小松未可子","129801","54","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","17"
"專情於命中注定對象的少女","B","暮光流星群","13","實驗、裁縫、料理","0","魔族","7","30","惠理子（指揮官）","154","橋本ちなみ","129901","43","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","16"
"被惡運所愛，盜賊公會的首領長女","B","蠻賊三姊妹","21","教訓妹妹們","0","精靈族","1","8","倭","168","ファイルーズあい","130001","55","","21"
"辛苦但有精神。盜賊公會的次女","A","蠻賊三姊妹","21","編織","0","人族","5","30","若菜","158","石見舞菜香","130101","45","","16"
"囂張但極其聰明！　盜賊公會的三女","AB","蠻賊三姊妹","21","欺負若菜","0","獸人族","3","5","布武機","136","花井美春","130201","37","","12"
"端莊正直的嬌小優等生","A","小小甜心","5","讀書","0","精靈族","2","2","鏡華（春日）","118","小倉唯","130701","21","","8"
"為了大小姐而努力的冒失女僕","O","咲戀育幼院","9","服侍","0","人族","12","12","鈴莓（春日）","154","悠木碧","130801","43","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","15"
"任何東西都會不小心送人的廢柴經理兔女郎","A","吉歐‧提格尼亞","","清掃、維護保養寶石或遊樂園","0","寶石兔族","8","2","庫露露","158","田中美海","130901","46","","16"
"真步真步王國的公主","O","哞哞自衛隊","10","幻想、蒐集玩偶","0","獸人族","9","22","真步（夢想樂園）","155","内田真礼","131001","42","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","16"
"超喜歡正太♪辣妹系史萊姆女孩","B","憤怒‧軍團","19","和可愛的正太玩、購物","0","魔族？","6","13","涅婭（夏日）","157","和氣杏未","131101","55","","19"
"樂觀開朗，卻趨向毀滅的活潑少女","A","憤怒‧軍團","19","無","0","人族","7","2","美空（夏日）","159","鬼頭明里","131201","??","","16"
"懷抱贖罪之心，追求力量的妹系大和撫子","A","幻變少女","20","花藝、閱讀（經典文學）、東國畫","0","人族","4","29","莉莉（夏日）","154","鈴木みのり","131601","44","","15"
"以全新樣貌繼續支持騎士冒險的妖精","?","？？？","","？？？","0","？？？","?","?","愛梅斯（夏日）","150","相坂優歌","131701","???","","??"
"面帶詭譎的笑容看透一切的臥龍首領。","O","龍族巢穴","17","繪畫、讀書","0","龍人族","4","17","帆稀（夏日）","168","大西沙織","131801","???","","25"
"穩重成熟的銀髮半妖精","?","？？？","","幫帕克梳理毛髮、念書","0","半妖精族","9","23","愛蜜莉雅（夏日）","164","高橋李依","131901","??","","114"
"強欲的魔女","?","？？？","","滿足求知慾","0","？？？","1","24","艾姬多娜（夏日）","164","坂本真綾","132001","???","","??"
"有如鬼助的萬能妹妹女僕","?","？？？","","戲劇欣賞、詩和散文","0","鬼族","2","2","雷姆（夏日）","154","水瀬いのり","132101","??","","17"
"能歌善舞的超人氣偶像","B","慈樂之音","4","看舞台劇，跳舞","0","人族","1","24","望（鍊金術師）","157","日笠陽子","132201","40","","17"
"悶騷好色的傻女主鍊金術師","A","阿爾克絲鍊金堂","22","妄想","0","獸人族","1","2","露易絲瑪莉","160","鈴代紗弓","132301","47","","17"
"擁有龐大身軀及純真內心的天才劍士","O","阿爾克絲鍊金堂","22","捉蟲","0","人族","9","8","彩羽","170","青山吉能","132401","53","","26"
"身體是小孩子，智慧卻過於常人的鍊金堂店長","AB","阿爾克絲鍊金堂","22","嘗試健康營養品","0","精靈族","11","8","苑","136","井上ほの花","132501","34","","10"
"兼具溫柔與傲慢的公主。","?","？？？","","午睡、試吃甜點新品。","0","天使族","1","17","萊拉耶爾（聖誕節）","162","河瀨茉希","132801","??","","??"
"魅惑眾多男性的純潔女老師","B","月光學院","14","看戀愛小說、戀愛劇、戀愛漫畫","0","魔族","8","14","伊緒（聖誕節）","162","伊藤静","132901","52","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","23"
"伶俐又幽愁、愛裝傻的鬼魂守護騎士","AB","？？？","","水墨畫","0","人族","10","31","格蕾斯","166","富田美憂","133001","0","","20"
"在冥府綻放的不死生物系公主","A","？？？","","收集香水、閱讀故事","0","人族","2","21","薇歐莉特","158","長縄まりあ","133101","49","","17"
"外表與內心都是孩子的異國軍人","A","純白之翼 蘭德索爾分部","15","逛點心店","0","人族","7","28","莫妮卡（新年）","140","辻あゆみ","133201","33","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","18"
"經營育幼院的庶民派溫柔大小姐","A","咲戀育幼院","9","經營、茶會","0","精靈族","10","4","咲戀（新年）","156","堀江由衣","133501","43","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","17"
"任性又固執的老么蛇女孩","B","？？？","","和梅杜希亞娜一起在空中飛翔","0","妖魔人","12","7","梅杜莎","141","水橋かおり","133601","??","","14"
"祕密結社拉比林斯的「迷宮女王」","AB","拉比林斯","3","觀察人類","0","人族","7","25","拉比林斯達（始源）","160","沢城みゆき","133701","??","","25"
"隱居在研究所，相當文靜的大姊姊","O","？？？","","模仿、藝術欣賞","0","精靈族","3","24","似似花（始源）","149","井口裕香","133801","??","","24"
"自視甚高的王宮騎士團副團長","O","王宮騎士團","8","和強敵之間的競爭","0","人族","2","7","克莉絲提娜（始源）","165","たかはし智秋","133901","??","","27"
"與你同在的引導妖精","?","？？？","","和你一起冒險","0","？？？","?","?","菲歐","???","相坂優歌","134001","???","","??"
"歌唱尋求靜寂的陰沉少女","O","憤怒‧軍團","19","唱歌、看書，以及寫詩","0","魔族","12","28","蘭法（祭服）","165","原田彩楓","134301","53","","20"
"守護人們而歌唱的唱喚士少女","O","慈樂之音","4","各種樂器","0","人族","6","3","千歌（祭服）","163","福原綾香","134401","46","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","17"
"笑容滿溢！精力充沛的機械少女","?","？？？","","午睡，幫助他人","0","機械人族","11","11","克蘿茜（航空）","170","長谷川育美","134501","全備重量278.1","","??"
"嚮往「朋友」的精靈之森女孩","AB","森林守衛","6","交朋友的想像訓練","0","精靈族","6","6","碧（駕駛員）","158","花澤香菜","134601","44","","13"
"偉大優雅，時而啾啾叫","?","？？？","","入浴","0","妖魔人","10","10","鳳凰","142","篠田みなみ","134701","40","","18"
"最愛時尚的可愛女孩","AB","慈樂之音","4","裁縫","0","人族","9","7","紡希（吉歐‧格黑納）","153","木戸衣吹","134801","45","","14"
"既是奴隸也是高貴的大小姐","B","？？？","","狩獵、收集珠寶","0","妖魔人","10","9","華音","155","幸村惠理","134901","48","","18"
"在悲劇的根源盛開的美麗黑薔薇","?","？？？","","聽騎士先生說話","0","人族","2","15","厄莉絲（夏日）","168","桑島法子","135001","??","","??"
"失去記憶的龍人族少女","B","美食殿堂","1","讀書、伸展運動","0","龍人族","12","14","雪菲（夏日）","147","近藤玲奈","135101","???","","14"
"繼承正義靈魂的爆食系天才純真女孩","O","幻變少女","20","吃飯","0","獸人族","3","1","普蕾西亞（夏日）","135","高尾奏音","135201","34","","10"
"背負著難以忘懷過錯的黑色翅膀聖女","O","幻變少女","20","做點心、照顧花朵、演奏小提琴","0","人族","11","1","可璃亞（夏日）","147","前田佳織里","135301","42","","13"
"繚繞孤絕香氣的花妖魔人","A","？？？","","照顧花卉、拔除棘刺","0","妖魔人","4","2","安涅默涅（夏日）","145","立花日菜","135401","39","","13"
"在太陽與沙漠的國度祈願未來的面帶笑容的豪炎","?","？？？","","助人、逛街、品嚐麥酒","0","獸人族","3","27","埃拉","162","松岡由貴","135501","??","","??"
"在曙光與翠嵐的國度保護未來的沉默寡言的劍豪","?","？？？","","保養武器、冥想、釣魚","0","魔族","2","9","志那都","167","皆川純子","135601","??","","??"
"最愛幫助別人！　正向思考的格鬥少女","A","破曉之星","2","助人、打氣加油","0","獸人族","8","27","日和（薩拉薩利亞）","155","東山奈央","135701","44","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","16"
"銀妝素裹，純情雪女","O","？？？","","三味線、照顧死魔山雀","0","雪女","12","30","雪野","179","天野聡美","135801","63","","19"
"無雙怪力，冷酷無情的仁義鬼公主","O","？？？","","對戰強敵、夜間巡邏","0","鬼族","2","2","剎鬼","135","島袋美由利","135901","29","","20"
"開始走向嶄新道路的女郎蜘蛛","AB","？？？","","追逐光芒、收納整理","0","妖魔人","1","15","阿剌克涅","240","遠藤綾","136001","108","","28"
"拯救佐賀的偶像喪屍","A","？？？","","製作點心、玩益智遊戲","0","喪屍","4","2","櫻","158","本渡楓","136101","46","","享年17"
"東國的神祕，請告訴我！","O","純白之翼 蘭德索爾分部","15","忍法開發","0","人族","8","31","妮諾（夏日）","163","佐藤聡美","137101","51","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","16"
"頭腦聰明的美少女名偵探","AB","哞哞自衛隊","10","讀書、推理","0","獸人族","11","3","霞（修女）","152","水瀬いのり","137401","41","","15"
"最愛幫助別人！　正向思考的格鬥少女","A","破曉之星","2","助人、打氣加油","0","獸人族","8","27","日和（公主）","155","東山奈央","180101","44","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","16"
"擅長支援戰鬥，心地善良的少女","O","破曉之星","2","料理、觀察人類","0","人族","4","5","優衣（公主）","158","種田梨沙","180201","47","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","17"
"冷酷又率直的劍士","B","破曉之星","2","讀書、騎馬、茶","0","魔族","1","12","怜（公主）","163","早見沙織","180301","46","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","18"
"元氣滿點的空腹少女","O","美食殿堂","1","邊走邊吃、料理","0","人族","3","31","貪吃佩可（公主）","156","M・A・O","180401","46","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","17"
"仰慕主人，小小嚮導","B","美食殿堂","1","冥想、養育動植物","0","精靈族","5","11","可可蘿（公主）","140","伊藤美来","180501","35","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"倒在路旁的謎之貓耳魔法師","A","美食殿堂","1","和貓咪玩耍","0","獸人族","9","2","凱留（公主）","152","立花理香","180601","39","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","14"
"以羈絆連結的互信互愛姊妹","-","森林守衛、伊麗莎白牧場","500","兩個人一起去野餐","0","精靈族、獸人族","-","-","初音＆栞","-","大橋彩香、小清水亞美","180701","-","","17"
"勇氣！　友情！　小小甜心！","-","小小甜心","5","和大家一起冒險","0","人族、獸人族、精靈族","-","-","禊＆美美＆鏡華","-","諸星すみれ、日高里菜、小倉唯","180801","-","","17"
"以高尚的友情結交的好對手","-","墨丘利財團、咲戀育幼院","501","切磋琢磨","0","人族、精靈族","-","-","秋乃＆咲戀","-","松嵜麗、堀江由衣","180901","-","","17"
"許下誓約的馬納歷亞雙姬","-","？？？","","一起合奏鋼琴","0","人族、半人半龍","-","-","安＆古蕾婭","-","日笠陽子、福原綾香","181001","-","","17"
"跨越真實及虛偽的三姐弟","-","拉比林斯","3","疼愛弟弟＆向哥哥撒嬌","0","人族、人族","-","-","靜流＆璃乃","-","生天目仁美、阿澄佳奈","181101","-","","18"
"失去記憶的龍人族少女","B","美食殿堂","1","讀書、伸展運動","0","龍人族","12","14","雪菲（公主）","147","近藤玲奈","181201","???","","14"
"最喜歡美女跟女兒♪的廢物骷髏男。","-","-","","-","0","-","-","-","骷髏老爸","-","-","427101","-","","-"
"最愛幫助別人！　正向思考的格鬥少女","A","破曉之星","2","助人、打氣加油","0","獸人族","8","27","日和","155","東山奈央","900103","44","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","16"
"嘴上功夫一流的廢材龍娘","AB","龍族巢穴","17","遊戲","0","龍人族","9","29","祈梨","145","藤田茜","906601","???","","13"
"冷酷又率直的劍士","B","破曉之星","17","讀書、騎馬、茶","0","魔族","1","12","怜（星素）","163","早見沙織","928801","46","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","18"
