7e463d1f44a4ca96afb9fa36a874ba14fbe0149b20f0aa4ee00fdc667a8aab84,c5023b8a6f501bf83b7aef405c41d1d6997373ebc0f85417af8fa83d85eb092b,e6548a3466daa08d7c29a4ffb15fa3fa8a01a9d020b6f0aee02393ea34c18f12,1e796daf178b10cc979562016d41e05dc23127e4896c746253bbfdbcb77373f0,eb508df275fc509d15e9ce2bbb391a7eb497d30a652e330b5d030cf771c1b99a
"風屬性獎勵特大幅度提升","300105101","83001051","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300105102","83001051","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300105103","83001051","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300105104","83001051","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300105105","83001051","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300105106","83001051","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300105201","83001052","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300105202","83001052","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300105203","83001052","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300105204","83001052","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300105205","83001052","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300105206","83001052","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300105301","83001053","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300105302","83001053","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300105303","83001053","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300105304","83001053","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300105305","83001053","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300105306","83001053","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300105401","83001054","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300105402","83001054","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300105403","83001054","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300105404","83001054","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300105405","83001054","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300105406","83001054","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300105501","83001055","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300105502","83001055","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300105503","83001055","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300105504","83001055","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300105505","83001055","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300105506","83001055","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"危險領域","300105601","83001056","戰鬥中，發動「提升魔法攻擊力」效果。","25"
"風屬性獎勵特大幅度提升","300105602","83001056","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300105603","83001056","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300105604","83001056","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300105605","83001056","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300105606","83001056","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300105607","83001056","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"提升魔法攻擊力","300105608","83001056","戰鬥開始時，讓所有怪物的魔法攻擊力特大幅度提升。","34"
"風屬性獎勵特大幅度提升","300105701","83001057","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300105702","83001057","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300105703","83001057","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300105704","83001057","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300105705","83001057","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300105706","83001057","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300105801","83001058","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300105802","83001058","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300105803","83001058","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300105804","83001058","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300105805","83001058","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300105806","83001058","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300105901","83001059","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300105902","83001059","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300105903","83001059","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300105904","83001059","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300105905","83001059","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300105906","83001059","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300106001","83001060","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300106002","83001060","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300106003","83001060","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300106004","83001060","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300106005","83001060","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300106006","83001060","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少TP下降","300106007","83001060","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"降低物理防禦力","300106008","83001060","戰鬥開始時，中幅度降低全體角色的物理防禦力。","7"
"風屬性獎勵特大幅度提升","300106101","83001061","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300106102","83001061","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300106103","83001061","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300106104","83001061","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300106105","83001061","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300106106","83001061","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300106201","83001062","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300106202","83001062","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300106203","83001062","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300106204","83001062","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300106205","83001062","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300106206","83001062","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300106301","83001063","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300106302","83001063","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300106303","83001063","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300106304","83001063","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300106305","83001063","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300106306","83001063","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300106401","83001064","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300106402","83001064","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300106403","83001064","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300106404","83001064","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300106405","83001064","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300106406","83001064","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300106501","83001065","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300106502","83001065","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300106503","83001065","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300106504","83001065","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300106505","83001065","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300106506","83001065","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"危險領域","300106601","83001066","戰鬥中，發動「傷害降低」、「提升毒、猛毒持續傷害」效果。","25"
"風屬性獎勵特大幅度提升","300106602","83001066","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300106603","83001066","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300106604","83001066","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300106605","83001066","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300106606","83001066","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300106607","83001066","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300106608","83001066","戰鬥開始時，所有怪物的傷害為\n減少50％的狀態。","boss_damage_cut"
"提升毒、猛毒持續傷害","300106609","83001066","戰鬥開始時，提升所有怪物受到的毒、猛毒狀態所造成的持續傷害。","19"
"風屬性獎勵特大幅度提升","300106701","83001067","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300106702","83001067","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300106703","83001067","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300106704","83001067","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300106705","83001067","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300106706","83001067","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300106801","83001068","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300106802","83001068","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300106803","83001068","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300106804","83001068","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300106805","83001068","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300106806","83001068","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300106901","83001069","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300106902","83001069","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300106903","83001069","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300106904","83001069","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300106905","83001069","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300106906","83001069","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"風屬性獎勵特大幅度提升","300107001","83001070","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300107002","83001070","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300107003","83001070","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300107004","83001070","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300107005","83001070","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300107006","83001070","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少TP下降","300107007","83001070","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"物理傷害降低","300107008","83001070","戰鬥開始時，所有怪物的物理傷害為減少50%的狀態。","boss_physics_cut"
"風屬性獎勵特大幅度提升","300107101","83001071","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300107102","83001071","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300107103","83001071","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300107104","83001071","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300107105","83001071","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300107106","83001071","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300107107","83001071","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300107108","83001071","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300107201","83001072","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300107202","83001072","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300107203","83001072","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300107204","83001072","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300107205","83001072","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300107206","83001072","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300107207","83001072","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300107208","83001072","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300107301","83001073","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300107302","83001073","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300107303","83001073","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300107304","83001073","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300107305","83001073","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300107306","83001073","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300107307","83001073","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300107308","83001073","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300107401","83001074","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300107402","83001074","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300107403","83001074","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300107404","83001074","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300107405","83001074","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300107406","83001074","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300107407","83001074","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300107408","83001074","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300107501","83001075","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300107502","83001075","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300107503","83001075","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300107504","83001075","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300107505","83001075","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300107506","83001075","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300107507","83001075","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300107508","83001075","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"危險領域","300107601","83001076","戰鬥中，發動「降低物理防禦力」效果。","25"
"風屬性獎勵特大幅度提升","300107602","83001076","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300107603","83001076","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300107604","83001076","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300107605","83001076","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300107606","83001076","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300107607","83001076","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300107608","83001076","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300107609","83001076","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"降低物理防禦力","300107610","83001076","戰鬥開始時，特大幅度降低全體角色的物理防禦力。","7"
"風屬性獎勵特大幅度提升","300107701","83001077","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300107702","83001077","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300107703","83001077","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300107704","83001077","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300107705","83001077","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300107706","83001077","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300107707","83001077","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300107708","83001077","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300107801","83001078","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300107802","83001078","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300107803","83001078","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300107804","83001078","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300107805","83001078","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300107806","83001078","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300107807","83001078","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300107808","83001078","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300107901","83001079","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300107902","83001079","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300107903","83001079","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300107904","83001079","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300107905","83001079","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300107906","83001079","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300107907","83001079","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300107908","83001079","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300108001","83001080","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300108002","83001080","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300108003","83001080","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
