1f1bc9e29abd3d65daba92e76327e3e62730a886457033ab68f71aa02d7c20cd,95458579346265014a7821bb833d751ea7798460c93fdb2e5849b5a9a8e2a31b,b8ba1722b8fc0cba87152dbc1a57c7aa71871e388671c4f42c11075763e33e35,0dde780e5f1dcf8cd2c718372eb2f39aaf1a48c79e501aa6ce6e641047bd9c4e,7a8b11da3bd9eb77ccfea3164b5c7643d3f6e30b7cb7e76be1554b55f3d069f7
"賦予TP上升的上限","92415010","793","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415010","794","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415020","795","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415020","796","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415020","797","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92415020","798","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415020","799","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415030","800","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415030","801","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415030","802","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92415030","803","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415030","804","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415110","805","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415110","806","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415110","807","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415110","808","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415110","809","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415110","810","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415110","811","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415120","812","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415120","813","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415120","814","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415120","815","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415120","816","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415120","817","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415120","818","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415130","819","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415130","820","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415130","821","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415130","822","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415130","823","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415130","824","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415130","825","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415140","826","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415140","827","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415140","828","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415140","829","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415140","830","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415140","831","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415140","832","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415210","833","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415210","834","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415210","835","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415210","836","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415210","837","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415210","838","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415210","839","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415220","840","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415220","841","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415220","842","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415220","843","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415220","844","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415220","845","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415220","846","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415230","847","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415230","848","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415230","849","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415230","850","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415230","851","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415230","852","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415230","853","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415240","854","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415240","855","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415240","856","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415240","857","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415240","858","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415240","859","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415240","860","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415310","861","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415310","862","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415310","863","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415310","864","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415310","865","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415310","866","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415310","867","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415320","868","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415320","869","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415320","870","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415320","871","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415320","872","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415320","873","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415320","874","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415330","875","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415330","876","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415330","877","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415330","878","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415330","879","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415330","880","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415330","881","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92415340","882","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92415340","883","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92415340","884","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92415340","885","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92415340","886","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92415340","887","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92415340","888","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416010","889","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416010","890","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416010","891","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92416010","892","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416010","893","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416020","894","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416020","895","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416020","896","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92416020","897","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416020","898","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416030","899","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416030","900","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416030","901","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92416030","902","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416030","903","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416110","904","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416110","905","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416110","906","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416110","907","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416110","908","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416110","909","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416110","910","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416120","911","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416120","912","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416120","913","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416120","914","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416120","915","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416120","916","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416120","917","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416130","918","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416130","919","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416130","920","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416130","921","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416130","922","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416130","923","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416130","924","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416140","925","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416140","926","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416140","927","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416140","928","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416140","929","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416140","930","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416140","931","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416210","932","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416210","933","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416210","934","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416210","935","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416210","936","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416210","937","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416210","938","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416220","939","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416220","940","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416220","941","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416220","942","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416220","943","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416220","944","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416220","945","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416230","946","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416230","947","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416230","948","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416230","949","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416230","950","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416230","951","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416230","952","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416240","953","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416240","954","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416240","955","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416240","956","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416240","957","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416240","958","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416240","959","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416310","960","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416310","961","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416310","962","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416310","963","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416310","964","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416310","965","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416310","966","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416320","967","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416320","968","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416320","969","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416320","970","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416320","971","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416320","972","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416320","973","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416330","974","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416330","975","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416330","976","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416330","977","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416330","978","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416330","979","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416330","980","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92416340","981","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92416340","982","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92416340","983","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92416340","984","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92416340","985","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92416340","986","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92416340","987","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92417010","988","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92417010","989","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92417010","990","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92417010","991","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92417010","992","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92417020","993","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92417020","994","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92417020","995","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92417020","996","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92417020","997","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92417030","998","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
