07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154,5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff
"","","0","911","","","91","","","","19110045"
"","","0.5","911","","","93","","0","","19110046"
"","","19110041","911","","","91","","","","19110047"
"0.1","","25","911","11_kyouka_turn_loop","0","3","1","11_kyouka_turn_in","0.1","19110048"
"","","0.5","911","","","93","","0","","19110049"
"0.1","","21","911","11_neneka_notice_loop","0","3","1","11_neneka_notice_in","0.1","19110050"
"","","vo_fpc","911","0","","21","","vo_fpc_21103","","19110051"
"0","0.5","25","911","1","9","11","0","很煩惱該做什麼\n才好對吧？","0","19110052"
"","","0","911","","","91","","","","19110053"
"","","0.5","911","","","93","","0","","19110054"
"0.1","","21","911","","1","3","","11_neneka_talk_loop","","19110055"
"","","vo_fpc","911","0","","21","","vo_fpc_21104","","19110056"
"20","0.5","21","911","1","13","11","0","是啊……","-10","19110057"
"","","0","911","","","91","","","","19110058"
"","","0.5","911","","","93","","0","","19110059"
"0.1","","21","911","","1","3","","11_neneka_think_loop","","19110060"
"","","vo_fpc","911","0","","21","","vo_fpc_21105","","19110061"
"50","0.5","21","911","1","9","11","0","（這情況……\n是完全被當成同世代的人了呢）","-10","19110062"
"","","0","911","","","91","","","","19110063"
"","","0.5","911","","","93","","0","","19110064"
"","","vo_fpc","911","0","","21","","vo_fpc_21106","","19110065"
"50","0.5","21","911","1","7","11","0","（畢竟變身時也有\n裝成小孩的經驗，\n我乾脆來演戲\n配合她們好了……？）","-10","19110066"
"","","0","911","","","91","","","","19110067"
"","","0.5","911","","","93","","0","","19110068"
"","","vo_fpc","911","0","","21","","vo_fpc_21107","","19110069"
"50","0.5","21","911","1","8","11","0","（不，但毫無目的\n裝成小孩什麼的……\n還是我乾脆現在就變身……\n不，毫無目的地變身也很奇怪……）","-10","19110070"
"","","0","911","","","91","","","","19110071"
"","","0.5","911","","","93","","0","","19110072"
"0.3","","122811","911","11_misogi_turn_loop","0","3","1","11_misogi_turn_in","0.1","19110073"
"0.3","","2","911","","1","3","","cmn_boat_idle","","19110074"
"","","vo_fpc","911","0","","21","","vo_fpc_21108","","19110075"
"0","0.5","122811","911","1","9","11","0","大家──！\n都有跟上嗎──！","0","19110076"
"","","0","911","","","91","","","","19110077"
"","","0.5","911","","","93","","0","","19110078"
"0.3","","122911","911","11_mimi_handUp_loop","0","3","1","11_mimi_handUp_in","0.1","19110079"
"0.3","","1","911","","1","3","","11_petitGryphon_float","","19110080"
"","","vo_fpc","911","0","","21","","vo_fpc_21109","","19110081"
"0","0.5","122911","911","1","10","11","0","好了好了，要出發囉──♪","0","19110082"
"","","0","911","","","91","","","","19110083"
"","","0.5","911","","","93","","0","","19110084"
"0.1","","25","911","11_kyouka_sigh_loop","0","3","1","11_kyouka_sigh_in","0.1","19110085"
"","","vo_fpc","911","0","","21","","vo_fpc_21110","","19110086"
"0","0.5","25","911","1","6","11","0","真是拿她們辦法呢……\n一起走吧！","0","19110087"
"","","0","911","","","91","","","","19110088"
"","","0.5","911","","","93","","0","","19110089"
"","","vo_fpc","911","0","","21","","vo_fpc_21111","","19110090"
"50","0.5","21","911","1","6","11","0","（現在就先最低限度地\n配合她們吧……）","-10","19110091"
"","","0","911","","","91","","","","19110092"
"","","0.5","911","","","93","","0","","19110093"
"0.1","","21","911","","1","3","","11_neneka_talk_loop","","19110094"
"","","vo_fpc","911","0","","21","","vo_fpc_21112","","19110095"
"20","0.5","21","911","1","10","11","0","好的好的。","-10","19110096"
"","","0","911","","","91","","","","19110097"
"","","0.5","911","","","93","","0","","19110098"
"0.1","","25","911","11_kyouka_smile_loop","0","3","1","11_kyouka_smile_in","0.1","19110099"
"","","122911","911","3.97058823529412","-180","2","","850","","19110100"
"","","1","911","3.97058823529412","-180","2","","850","","19110101"
"","","122911","911","3.97058823529412","-180","33","","850","","19110102"
"","","0.1","911","","","93","","1","","19110103"
"","","122811","911","2.5","-180","2","","900","","19110104"
"","","2","911","2.5","-180","2","","900","","19110105"
"","","122811","911","2.5","-180","33","","900","","19110106"
"","","0.3","911","","","93","","1","","19110107"
"","","26","911","9.58823529411765","-180","2","","850","","19110108"
"","","26","911","9.58823529411765","-180","33","","850","","19110109"
"","","25","911","5.82352941176471","-180","2","","850","","19110110"
"","","25","911","5.82352941176471","-180","33","","850","","19110111"
"","","21","911","7.70588235294118","-180","2","","850","","19110112"
"","","21","911","7.70588235294118","-180","33","","850","","19110113"
"","","19110108","911","","","91","","","","19110114"
"1.75","cmn_float","1","912","-850","22","1","-180","127111","0","19120001"
"1.75","cmn_float","1","912","-850","12","1","-125","126911","0","19120002"
"1.4875","cmn_walk_r","1","912","750","12","1","-15","122711","0","19120003"
"1","","6","912","-180","-850","31","1","11","","19120004"
"1","","6","912","-125","-850","31","1","21","","19120005"
"","","se_10053800","912","","1","23","","se_fpc_water_random","","19120006"
"","","19120005","912","","","91","","0","","19120007"
"","","127111","912","4.41176470588235","-180","2","12","-100","","19120008"
"","","11","912","4.41176470588235","-180","33","12","-100","","19120009"
"","","4","912","","","93","","0","","19120010"
"","","126911","912","3.67647058823529","-125","2","12","-350","","19120011"
"","","21","912","3.67647058823529","-125","33","12","-350","","19120012"
"","","19120008","912","","","91","","","","19120013"
"0.1","","127111","912","","1","3","","cmn_float","","19120014"
"","","vo_fpc","912","0","","21","","vo_fpc_21200","","19120015"
"0","0.5","127111","912","1","10","11","0","啊……","0","19120016"
"","","0.6","912","","","93","","0","","19120017"
"","","122711","912","4.97058823529412","-15","2","0","100","","19120018"
"","","1.5","912","","","93","","0","","19120019"
"","","19120016","912","","","91","","","","19120020"
"","","19120011","912","","","91","","","","19120021"
"0.1","","126911","912","","1","3","","cmn_float","","19120022"
"","","vo_fpc","912","0","","21","","vo_fpc_21201","","19120023"
"0","0.5","126911","912","1","10","11","0","啊……","0","19120024"
"","","0","912","","","91","","","","19120025"
"","","0.5","912","","","93","","0","","19120026"
"","","19120018","912","","","91","","","","19120027"
"0.1","","122711","912","12_kyouka_notice_loop","0","3","1","12_kyouka_notice","0.1","19120028"
"","","vo_fpc","912","0","","21","","vo_fpc_21202","","19120029"
"0","0.5","122711","912","1","8","11","0","咦？\n怎、怎麼了嗎？","0","19120030"
"","","0","912","","","91","","","","19120031"
"","","0.5","912","","","93","","0","","19120032"
"0.1","","127111","912","","1","3","","cmn_float","","19120033"
"","","vo_fpc","912","0","","21","","vo_fpc_21203","","19120034"
"0","0.5","127111","912","1","9","11","0","不，那裡……","0","19120035"
"","","0","912","","","91","","","","19120036"
"","","0.5","912","","","93","","0","","19120037"
"0.1","","126911","912","","1","3","","cmn_float","","19120038"
"","","vo_fpc","912","0","","21","","vo_fpc_21204","","19120039"
"0","0.5","126911","912","1","10","11","0","嗯……","0","19120040"
"","","0","912","","","91","","","","19120041"
"","","0.5","912","","","93","","0","","19120042"
"0.1","","122711","912","12_kyouka_turn_loop","0","3","1","12_kyouka_turn_in","0.1","19120043"
"","","vo_fpc","912","0","","21","","vo_fpc_21205","","19120044"
"0","0.5","122711","912","1","9","11","0","什麼？\n看起來什麼都沒有耶……","0","19120045"
"","","0","912","","","91","","","","19120046"
"","","0.5","912","","","93","","0","","19120047"
"0.1","","127111","912","","1","3","","12_cmn_float_smile","","19120048"
"","","vo_fpc","912","0","","21","","vo_fpc_21206","","19120049"
"0","0.5","127111","912","1","8","11","0","呵呵。","0","19120050"
"","","0","912","","","91","","","","19120051"
"","","0.5","912","","","93","","0","","19120052"
"0.1","","126911","912","","1","3","","12_cmn_float_smile","","19120053"
"","","vo_fpc","912","0","","21","","vo_fpc_21207","","19120054"
"0","0.5","126911","912","1","10","11","0","呵呵呵呵……","0","19120055"
"","","0","912","","","91","","","","19120056"
"","","0.5","912","","","93","","0","","19120057"
"","","127111","912","4.29864253393665","-180","2","","850","","19120058"
"","","11","912","4.29864253393665","-180","33","","850","","19120059"
"","","126911","912","5.42986425339367","-125","2","","850","","19120060"
"","","21","912","5.42986425339367","-125","33","","850","","19120061"
"","","1","912","","","93","","0","","19120062"
"0.1","","122711","912","12_kyouka_scare_loop","0","3","1","12_kyouka_scare_in","0.1","19120063"
"","","vo_fpc","912","0","","21","","vo_fpc_21208","","19120064"
"0","0.5","122711","912","1","9","11","0","咿！\n到、到底是怎麼回事啊……","0","19120065"
"","","0","912","","","91","","","","19120066"
"","","0.5","912","","","93","","0","","19120067"
"0.1","","122711","912","12_kyouka_run_loop","0","3","1","12_kyouka_run_in","0.1","19120068"
"","","122711","912","3.58220211161388","-15","2","","-850","","19120069"
"","","19120069","912","","","91","","","","19120070"
"1.75","13_kuka_bound","1","913","-800","22","1","-180","127011","0","19130001"
"0","","104","913","-170","-600","31","1","1041","","19130002"
"0","","104","913","-170","-240","31","1","1042","","19130003"
"0","","104","913","-170","170","31","1","1043","","19130004"
"0","","104","913","-170","560","31","1","1044","","19130005"
"0","","1003","913","-85","-575","31","1","1003","","19130006"
"","","se_10053800","913","","1","23","","se_fpc_water_random","","19130007"
"","","19130006","913","","","91","","0","","19130008"
"","","1003","913","0","","32","","1","","19130009"
"","","2","913","","","93","","0","","19130010"
"0.1","","127011","913","","1","3","","13_kuka_bound","","19130011"
"","","127011","913","2.35294117647059","-180","2","","800","","19130012"
"","","0.236666666666667","913","","","93","","0","","19130013"
"","","se_10053800","913","","0","23","","se_10053800_913_kuka","","19130014"
"","","vo_fpc","913","0","","21","","vo_fpc_21300","","19130015"
"","","1041","913","0","","32","","1","","19130016"
"","","0.536666666666667","913","","","93","","0","","19130017"
"","","1042","913","0","","32","","1","","19130018"
"","","0.536666666666667","913","","","93","","0","","19130019"
"","","vo_fpc","913","0","","21","","vo_fpc_21301","","19130020"
"","","1043","913","0","","32","","1","","19130021"
"","","0.536666666666667","913","","","93","","0","","19130022"
"","","1044","913","0","","32","","1","","19130023"
"","","2","913","","","93","","0","","19130024"
"","","19130012","913","","","91","","","","19130025"
"1.75","14_maho_idle_loop","1","914","-1000","24","1","-185","110611","0","19140001"
"1.75","cmn_boat_idle","2","914","-1000","22","5","-185","2","0","19140002"
"1.75","14_maho_idle_loop","3","914","-1000","23","5","-185","3","0","19140003"
"1.75","cmn_float","1","914","-1220","25","1","-175","110511","0","19140004"
"1.75","14_makoto_float","1","914","-1520","12","1","-125","110411","0","19140005"
"1","","116","914","-185","-1000","31","1","110611","","19140006"
"1","","8","914","-175","-1220","31","1","41","","19140007"
"0","","120","914","-175","-50","31","1","120","","19140008"
"1","","4","914","-125","-1520","31","1","42","","19140009"
"0","","117","914","-125","-350","31","1","117","","19140010"
"","","se_10053800","914","","1","23","","se_fpc_water_random","","19140011"
"","","19140010","914","","","91","","0","","19140012"
"","","110611","914","8.60294117647059","-185","2","12","170","","19140013"
"","","2","914","8.60294117647059","-185","2","12","170","","19140014"
"","","3","914","8.60294117647059","-185","2","12","170","","19140015"
"","","110611","914","8.60294117647059","-185","33","12","170","","19140016"
"","","110511","914","8.60294117647059","-175","2","12","-50","","19140017"
"","","41","914","8.60294117647059","-175","33","12","-50","","19140018"
"","","110411","914","8.60294117647059","-125","2","12","-350","","19140019"
"","","42","914","8.60294117647059","-125","33","12","-350","","19140020"
"","","19140013","914","","","91","","","","19140021"
"0.3","","110611","914","14_maho_point_loop","0","3","1","14_maho_point_in","0.1","19140022"
"0.3","","2","914","","1","3","","cmn_boat_idle","","19140023"
"0.3","","3","914","","1","3","","14_maho_idle_loop","","19140024"
"","","vo_fpc","914","0","","21","","vo_fpc_21400","","19140025"
"0","0.5","110611","914","1","7","11","0","亞瑟、高文、蘭斯洛特，\n嗯，大家都到齊了哪。\n好了，咱們走吧。\n香織，麻煩妳了──","0","19140026"
"","","0","914","","","91","","","","19140027"
"","","0.5","914","","","93","","0","","19140028"
"0.1","","110511","914","14_kaori_handUp_loop","0","3","1","14_kaori_handUp_in","0.1","19140029"
"","","vo_fpc","914","0","","21","","vo_fpc_21401","","19140030"
"0","0.5","110511","914","1","9","11","0","交──給我吧──！\n出發前進──！","0","19140031"
"","","0","914","","","91","","","","19140032"
"","","0.5","914","","","93","","0","","19140033"
"0.1","","110411","914","","1","3","","14_makoto_pazzled","","19140034"
"","","vo_fpc","914","0","","21","","vo_fpc_21402","","19140035"
"0","0.5","110411","914","1","8","11","0","不不，妳等一下。\n要是那麼猛力地推，\n這些傢伙會掉進水裡溼掉的吧？","0","19140036"
"","","0","914","","","91","","","","19140037"
"","","0.5","914","","","93","","0","","19140038"
"0.3","","110611","914","14_maho_smile_loop","0","3","1","14_maho_smile_in","0.1","19140039"
"0.3","","2","914","","1","3","","cmn_boat_idle","","19140040"
"0.3","","3","914","","1","3","","14_maho_idle_loop","","19140041"
"","","vo_fpc","914","0","","21","","vo_fpc_21403","","19140042"
"0","0.5","110611","914","1","8","11","0","呵呵，這些孩子是之前跟我們一起\n來海邊的孩子，所以不怕水哪。\n但要是掉下來也很可憐呀，\n所以能麻煩妳安全駕駛嗎♪","0","19140043"
"","","0","914","","","91","","","","19140044"
"","","0.5","914","","","93","","0","","19140045"
"","","vo_fpc","914","0","","21","","vo_fpc_21404","","19140046"
"0","0.5","110511","914","1","10","11","0","我知道啦──！\n我會用琉球犬肉球安全游法游的──！","0","19140047"
"","","0","914","","","91","","","","19140048"
"","","0.5","914","","","93","","0","","19140049"
"0.1","","110511","914","14_kaori_flutterKick_loop","0","3","1","14_kaori_flutterKick_in","0.1","19140050"
"","","0.3","914","","","93","","0","","19140051"
"","","110611","914","6.47058823529412","-185","2","","1270","","19140052"
"","","2","914","6.47058823529412","-185","2","","1270","","19140053"
"","","3","914","6.47058823529412","-185","2","","1270","","19140054"
"","","110611","914","6.47058823529412","-185","33","","1270","","19140055"
"","","41","914","","","32","","0","","19140056"
"","","120","914","","","32","","1","","19140057"
"","","110511","914","6.47058823529412","-175","2","","1050","","19140058"
"","","120","914","6.47058823529412","-175","33","","1050","","19140059"
"","","1","914","","","93","","0","","19140060"
"","","vo_fpc","914","0","","21","","vo_fpc_21405","","19140061"
"0","0.5","110411","914","1","8","11","0","總～覺得很令人擔心啊……\n沒辦法，我也跟上去吧。\n喂──等我一下啦！","0","19140062"
"","","0","914","","","91","","","","19140063"
"","","0.5","914","","","93","","0","","19140064"
"0.1","","110411","914","cmn_swm_dogscratch","0","3","1","14_makoto_dogscratch_in","0.1","19140065"
"","","0.3","914","","","93","","0","","19140066"
"","","42","914","","","32","","0","","19140067"
"","","117","914","","","32","","1","","19140068"
"","","110411","914","3.72637742879957","-125","2","","1050","","19140069"
"","","117","914","3.72637742879957","-125","33","","1050","","19140070"
"","","19140069","914","s","","91","","","","19140071"
"1.75","15_saren_idle","1","915","-950","23","1","-180","110311","0","19150001"
"1.75","cmn_boat_idle","2","915","-950","22","5","-180","2","0","19150002"
"1.75","15_suzume_walk_loop","1","915","-750","12","1","-15","107711","0","19150003"
"1","","101","915","-180","-950","31","1","110311","","19150004"
"0","","109","915","30","210","31","1","109","","19150005"
"0","","4","915","-125","330","31","1","4","","19150006"
"","","se_10053800","915","","1","23","","se_fpc_water_random","","19150007"
"","","107711","915","","","13","","49","","19150008"
"","","0","915","","","91","","0","","19150009"
"","","107711","915","5.51470588235294","-15","2","","0","","19150010"
"","","19150010","915","","","91","","","","19150011"
"0.1","","107711","915","15_suzume_talk_loop","0","3","1","15_suzume_talk_in","0.1","19150012"
"","","vo_fpc","915","0","","21","","vo_fpc_21500","","19150013"
"0","0.5","107711","915","1","8","11","0","跟大小姐走散了……\n我竟然迷路了，真是個失職的女僕～","0","19150014"
"","","3.2","915","","","93","","1","","19150015"
"","","1.5","915","","","93","","0","","19150016"
"","","19150014","915","","","91","","","","19150017"
"0.1","","107711","915","15_suzume_walk_loop","0","3","1","15_suzume_walk_in","0.1","19150018"
"","","110311","915","11.9779411764706","-180","2","","-100","","19150019"
"","","2","915","11.9779411764706","-180","2","","-100","","19150020"
"","","110311","915","11.9779411764706","-180","33","","-100","","19150021"
"","","107711","915","4.22794117647059","-15","2","","460","","19150022"
"","","19150022","915","","","91","","","","19150023"
"0.1","","107711","915","15_suzume_turn_loop","0","3","1","15_suzume_turn_in","0.1","19150024"
"","","0.6","915","","","93","","0","","19150025"
"","","vo_fpc","915","0","","21","","vo_fpc_21501","","19150026"
"-15","0.5","107711","915","1","20","11","0","那是……大小姐～！\n我現在就過去！","0","19150027"
"","","1.7","915","","","93","","0","","19150028"
"0.3","","110311","915","15_saren_notice_loop","0","3","1","15_saren_notice_in","0.1","19150029"
"0.3","","2","915","","1","3","","cmn_boat_idle","","19150030"
"","","0.35","915","","","93","","0","","19150031"
"","","1.5","915","","","93","","0","","19150032"
"","","107711","915","0.5","-15","2","","330","","19150033"
"0.2","","107711","915","","1","3","","15_suzume_run","0.1","19150034"
"","","vo_fpc","915","0","","21","","vo_fpc_21502","","19150035"
"0","-0.5","110311","915","1","81","11","0","鈴莓？\n話說，奔跑很危……","0","19150036"
"","","0.5","915","","","93","","0","","19150037"
"0.1","","107711","915","","0","3","","15_suzume_fallDown","","19150038"
"","","1.3","915","","","93","","0","","19150039"
"","","vo_fpc","915","0","","21","","vo_fpc_21503","","19150040"
"0","-1.5","107711","915","1","129","11","0","呀啊啊啊～！","0","19150041"
"0.1","","110311","915","15_saren_rise_loop","0","3","1","15_saren_rise_in","0.1","19150042"
"0.1","","2","915","","1","3","","cmn_boat_idle","","19150043"
"","","0.5","915","","","93","","0","","19150044"
"0.1","","107711","915","1","1","6","0","1","","19150045"
"","","109","915","","","32","","1","","19150046"
"","","1","915","","","93","","0","","19150047"
"","","107711","915","0","-125","2","","330","","19150048"
"0.4","","107711","915","1","1","6","1","1","","19150049"
"0.1","","107711","915","15_suzume_drown_loop","0","3","1","15_suzume_drown_in","0.1","19150050"
"","","107711","915","2.76470588235294","-125","2","","800","","19150051"
"","","4","915","2.76470588235294","-125","33","","800","","19150052"
"","","19150019","915","","","91","","","","19150053"
"","","110311","915","7.35294117647059","-180","2","","900","","19150054"
"","","2","915","7.35294117647059","-180","2","","900","","19150055"
"","","110311","915","7.35294117647059","-180","33","","900","","19150056"
"","","vo_fpc","915","0","","21","","vo_fpc_21504","","19150057"
"0","0.5","110311","915","1","7","11","0","鈴、鈴莓？\n鈴莓～！？","0","19150058"
"","","0","915","","","91","","","","19150059"
"","","1.5","915","","","93","","0","","19150060"
"","","19150054","915","s","","91","","","","19150061"
"1.4875","cmn_walk","1","916","-750","12","1","-15","113111","0","19160001"
"1.4875","16_nanaka_run","1","916","750","12","1","-15","113311","0","19160002"
"1.75","cmn_swm_diving","1","916","-850","22","1","-180","117411","0","19160003"
"1.75","cmn_swm_diving","1","916","-2500","22","1","-180","117011","0","19160004"
"1.75","none","7","916","50","22","5","-180","7","0","19160005"
"1.75","cmn_floatRing_pink","1","916","-1375","22","5","-180","11","0","19160006"
"1.75","cmn_float_item_01_Ball","1","916","-2500","12","5","-125","12","0","19160007"
"1","","4","916","-180","-1375","31","1","11","","19160008"
"1","","4","916","-125","-2500","31","1","12","","19160009"
"1","","9","916","-180","-850","31","1","91","","19160010"
"1","","9","916","-180","-2500","31","1","92","","19160011"
"0","","1015","916","155","-183","31","1","1015","","19160012"
"0","","1013","916","-180","50","31","1","1013","","19160013"
"","","se_10053800","916","","1","23","","se_fpc_water_random","","19160014"
"","","19160013","916","","","91","","0","","19160015"
"","","117411","916","19.7058823529412","-180","2","","2500","","19160016"
"","","91","916","19.7058823529412","-180","33","","2500","","19160017"
"","","11","916","24.6323529411765","-180","2","","1975","","19160018"
"","","11","916","24.6323529411765","-180","33","","1975","","19160019"
"","","117011","916","19.7058823529412","-180","2","","850","","19160020"
"","","92","916","19.7058823529412","-180","33","","850","","19160021"
"","","12","916","24.6323529411765","-125","2","","850","","19160022"
"","","12","916","24.6323529411765","-125","33","","850","","19160023"
"","","3","916","","","93","","0","","19160024"
"","","113111","916","4.41176470588235","-15","2","","-150","","19160025"
"","","19160025","916","","","91","","","","19160026"
"0.3","","113111","916","","1","3","","16_ruka_think","","19160027"
"","","1015","916","","","32","","1","","19160028"
"","","vo_fpc","916","0","","21","","vo_fpc_21600","","19160029"
"","","0.6","916","","","93","","0","","19160030"
"","","1.5","916","","","93","","0","","19160031"
"","","113311","916","2.71493212669683","-15","2","","150","","19160032"
"","","19160032","916","","","91","","","","19160033"
"0.2","","113311","916","","1","3","","16_nanaka_idle_loop","","19160034"
"","","vo_fpc","916","0","","21","","vo_fpc_21601","","19160035"
"0","0.5","113311","916","1","8","11","0","流～夏～姐♪\n妳在看什麼呀～？","0","19160036"
"","","0","916","","","91","","","","19160037"
"","","0.5","916","","","93","","0","","19160038"
"0.1","","113111","916","16_ruka_notice_loop","0","3","1","16_ruka_notice_in","0.1","19160039"
"","","vo_fpc","916","0","","21","","vo_fpc_21602","","19160040"
"0","0.5","113111","916","1","7","11","0","嗯？不，我並沒有\n特別在想什麼……","0","19160041"
"","","0","916","","","91","","","","19160042"
"","","0.5","916","","","93","","0","","19160043"
"0.1","","113311","916","16_nanaka_point_loop","0","3","1","16_nanaka_point_in","0.1","19160044"
"","","vo_fpc","916","0","","21","","vo_fpc_21603","","19160045"
"0","0.5","113311","916","1","7","11","0","呵呵呵，流夏姐的想法\n我全都看穿了！","0","19160046"
"","","0","916","","","91","","","","19160047"
"","","0.5","916","","","93","","0","","19160048"
"","","vo_fpc","916","0","","21","","vo_fpc_21604","","19160049"
"0","0.5","113311","916","1","8","11","0","那就是！\n「看啊！人就像魚一樣！」對吧？","0","19160050"
"","","0","916","","","91","","","","19160051"
"","","0.5","916","","","93","","0","","19160052"
"0.1","","113111","916","16_ruka_talk_loop","0","3","1","16_ruka_talk_in","0.1","19160053"
"","","vo_fpc","916","0","","21","","vo_fpc_21605","","19160054"
"0","0.5","113111","916","1","7","11","0","那種事……\n我是稍微想了一下下……","0","19160055"
"","","0","916","","","91","","","","19160056"
"","","0.5","916","","","93","","0","","19160057"
"0.1","","113311","916","16_nanaka_idle_loop","0","3","1","16_nanaka_idle_in","0.1","19160058"
"","","vo_fpc","916","0","","21","","vo_fpc_21606","","19160059"
"0","0.5","113311","916","1","7","11","0","啊哈哈，果然呢～♪","0","19160060"
"","","0","916","","","91","","","","19160061"
"","","0.5","916","","","93","","0","","19160062"
"0.1","","113311","916","cmn_run_def_N","0","3","1","16_nanaka_turn","0.1","19160063"
"","","113311","916","2.71493212669683","-15","2","","750","","19160064"
"0.1","","113111","916","","1","3","","cmn_walk","","19160065"
"","","113111","916","5.29411764705882","-15","2","","750","","19160066"
"","","1.5","916","","","93","","0","","19160067"
"","","7","916","none","0","3","","fish","0.1","19160068"
"","","1013","916","","","32","","1","","19160069"
"","","3.2","916","","","93","","0","","19160070"
"","","19160018","916","s","","91","","","","19160071"
"","","19160064","916","s","","91","","","","19160072"
"","","19160066","916","s","","91","","","","19160073"
"1.75","17_akino_worry","1","917","-950","23","1","-180","126711","0","19170001"
"1.75","empty","3","917","-950","24","5","-180","3","0","19170002"
"1.75","cmn_boat_idle","2","917","-950","22","5","-180","2","0","19170003"
"1.4875","cmn_walk_r","1","917","750","12","1","-15","110311","0","19170004"
"1","","101","917","-180","-950","31","1","126711","","19170005"
"","","se_10053800","917","","1","23","","se_fpc_water_random","","19170006"
"","","19170005","917","","","91","","0","","19170007"
"","","126711","917","6.98529411764706","-180","2","12","0","","19170008"
"","","3","917","6.98529411764706","-180","2","12","0","","19170009"
"","","2","917","6.98529411764706","-180","2","12","0","","19170010"
"","","126711","917","6.98529411764706","-180","33","12","0","","19170011"
"","","19170008","917","","","91","","","","19170012"
"","","vo_fpc","917","0","","21","","vo_fpc_21700","","19170013"
"0","0.5","126711","917","1","8","11","0","完全沒有抵達目的地呢……\n難不成又迷路了嗎？\n墨丘利度假村就是我的庭院……\n我明明是這樣以為的啊～！","0","19170014"
"","","0","917","","","91","","","","19170015"
"","","0.5","917","","","93","","0","","19170016"
"","","110311","917","4.72689075630252","-15","2","","300","","19170017"
"0.3","","126711","917","17_akino_laugh_loop","0","3","1","17_akino_laugh_in","0.1","19170018"
"0.3","","3","917","17_akino_laugh_loop","0","3","1","17_akino_laugh_in","0.1","19170019"
"0.3","","2","917","","1","3","","cmn_boat_idle","","19170020"
"","","vo_fpc","917","0","","21","","vo_fpc_21701","","19170021"
"0","0.5","126711","917","1","17","11","0","不，不對！這個甚至能夠……\n讓我迷失的廣大度假村……\n我應該為財團的豐功偉業感到自豪呢♪\n哦──呵呵呵！","0","19170022"
"","","19170017","917","","","91","","","","19170023"
"0.2","","110311","917","17_saren_talk_loop","0","3","1","17_saren_talk_in","0.1","19170024"
"","","0.673109243697478","917","","","93","","0","","19170025"
"","","0.5","917","","","93","","0","","19170026"
"","","19170022","917","","","91","","","","19170027"
"","","vo_fpc","917","0","","21","","vo_fpc_21702","","19170028"
"0","0.5","110311","917","1","8","11","0","……這裡是漂漂河，應該就只會\n在同樣的地方繞圈吧？","0","19170029"
"","","0","917","","","91","","","","19170030"
"0.1","","126711","917","17_akino_pause_loop","0","3","1","17_akino_pause_in","0.1","19170031"
"0.1","","3","917","17_akino_pause_loop","0","3","1","17_akino_pause_in","0.1","19170032"
"0.1","","2","917","","1","3","","cmn_boat_idle","","19170033"
"","","2","917","","","93","","0","","19170034"
"0.3","","126711","917","17_akino_shock_loop","0","3","1","17_akino_shock_in","0.1","19170035"
"","","3","917","","0","3","","empty","","19170036"
"0.3","","2","917","","1","3","","cmn_boat_idle","","19170037"
"","","vo_fpc","917","0","","21","","vo_fpc_21703","","19170038"
"0","0.5","126711","917","1","8","11","0","是、是這樣嗎！？\n真是個盲點啊───！","0","19170039"
"","","0","917","","","91","","","","19170040"
"","","0.5","917","","","93","","0","","19170041"
"","","126711","917","5.29411764705882","-180","2","","900","","19170042"
"","","2","917","5.29411764705882","-180","2","","900","","19170043"
"","","126711","917","5.29411764705882","-180","33","","900","","19170044"
"","","2.7","917","","","93","","0","","19170045"
"0.1","","110311","917","cmn_walk","0","3","1","17_saren_turn","0.1","19170046"
"","","110311","917","2.64705882352941","-15","2","","750","","19170047"
"","","19170042","917","","","91","","","","19170048"
"","","19170047","917","","","91","","","","19170049"
"1.75","18_misato_backWalk","1","918","-850","22","1","-180","113511","0","19180001"
"1.75","18_io_flutterKick","1","918","-1010","23","1","-180","110111","0","19180002"
"0","","14","918","-180","-850","31","1","41","","19180003"
"0","","2","918","-180","50","31","1","11","","19180004"
"0","","14","918","-180","-110","31","1","42","","19180005"
"1","","123","918","-180","-1010","31","1","12","","19180006"
"","","se_10053800","918","","1","23","","se_fpc_water_random","","19180007"
"","","19180006","918","","","91","","0","","19180008"
"","","113511","918","6.61764705882353","-180","2","12","50","","19180009"
"","","41","918","6.61764705882353","-180","33","12","50","","19180010"
"","","110111","918","6.61764705882353","-180","2","12","-110","","19180011"
"","","12","918","6.61764705882353","-180","33","12","-110","","19180012"
"","","19180009","918","","","91","","","","19180013"
"0.2","","113511","918","","1","3","","18_misato_backWalkIdle","","19180014"
