5afd05b74d0077f1b243353590b6648a7f8a876f52d5f213d19c6f87aa2bdaf7,53bbcc9305040c5c426703cd5fac994e52228b6f12e6ab63dd05856cd07101d2,cc12403af1a2214450995d7b6678427b03be6977da6c68fe100c40f5ce5a4543,99a26b23b4ba023936c4dd313b725c8590f98695fc60ceab3ab2816e39a54248,d08704ecf62deb536528e2b13d285e2b9f78cc31523af149d7fdd193111339e2,441f84a4538079dfa0773dc76f91983bbd07565a79e01df15461d6e3de13411d,ad091eb3f489899be36d7fd84d247ebfaeaca18808d8b82519ff3b9284a37f46,1e6784e02d3fa125ef3b7984e5554b92afcb35507b9791ec1cd4fe223a93f7eb,ede949b62fd79bc56fe7c26d3ff0c36d24f840bda3aac2ed2f7802f78ccb15df,14a757f71a53328e5910a3d890085b382fd40c4256465d177b6e2ec05f8ece71,c70d64abda28ddd6465359fc91e79d1bb3c20042b7d19934ac2d1fe41c8157d6,af4d54adc04047db23af7d6b5ab75fdc0338370de9eb407ce3f95720ea79c946,8ad015a8a8d83e618f9bf1241a901204f0176c7373d3a66bdae4375e614479b4,7359745bfcbd15102e9c040d4ac1b7c4d8b6bf27b76214b9db8a7d0045bfbd7f,385ce4c4aa9204b5583299ca45ed55e3aa75adf8542b52b3907779634f9f2d20,1b7a6f0622061ee4b3c2a8b2a7d4285eea4038c5779d4d617372b1bae8b449f8
"哞哞自衛隊","54","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","小松未可子","不輸男人的狂野義氣少女","獸人族","0","真琴（指揮官）","9","168","做點心","O","10","8","129801","17"
"暮光流星群","43","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","橋本ちなみ","專情於命中注定對象的少女","魔族","0","惠理子（指揮官）","30","154","實驗、裁縫、料理","B","13","7","129901","16"
"小小甜心","21","","小倉唯","端莊正直的嬌小優等生","精靈族","0","鏡華（春日）","2","118","讀書","A","5","2","130701","8"
"咲戀育幼院","43","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","悠木碧","為了大小姐而努力的冒失女僕","人族","0","鈴莓（春日）","12","154","服侍","O","9","12","130801","15"
"吉歐‧提格尼亞","46","","田中美海","任何東西都會不小心送人的廢柴經理兔女郎","寶石兔族","0","庫露露","2","158","清掃、維護保養寶石或遊樂園","A","","8","130901","16"
"哞哞自衛隊","42","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","内田真礼","真步真步王國的公主","獸人族","0","真步（夢想樂園）","22","155","幻想、蒐集玩偶","O","10","9","131001","16"
"憤怒‧軍團","55","","和氣杏未","超喜歡正太♪辣妹系史萊姆女孩","魔族？","0","涅婭（夏日）","13","157","和可愛的正太玩、購物","B","19","6","131101","19"
"憤怒‧軍團","??","","鬼頭明里","樂觀開朗，卻趨向毀滅的活潑少女","人族","0","美空（夏日）","2","159","無","A","","7","131201","16"
"幻變少女","44","","鈴木みのり","懷抱贖罪之心，追求力量的妹系大和撫子","人族","0","莉莉（夏日）","29","154","花藝、閱讀（經典文學）、東國畫","A","20","4","131601","15"
"？？？","???","","相坂優歌","以全新樣貌繼續支持騎士冒險的妖精","？？？","0","愛梅斯（夏日）","?","150","？？？","?","","?","131701","??"
"龍族巢穴","???","","大西沙織","面帶詭譎的笑容看透一切的臥龍首領。","龍人族","0","帆稀（夏日）","17","168","繪畫、讀書","O","17","4","131801","25"
"破曉之星","44","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","東山奈央","最愛幫助別人！　正向思考的格鬥少女","獸人族","0","日和（公主）","27","155","助人、打氣加油","A","2","8","180101","16"
"破曉之星","47","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","種田梨沙","擅長支援戰鬥，心地善良的少女","人族","0","優衣（公主）","5","158","料理、觀察人類","O","2","4","180201","17"
"破曉之星","46","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","早見沙織","冷酷又率直的劍士","魔族","0","怜（公主）","12","163","讀書、騎馬、茶","B","2","1","180301","18"
"美食殿堂","46","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","M・A・O","元氣滿點的空腹少女","人族","0","貪吃佩可（公主）","31","156","邊走邊吃、料理","O","1","3","180401","17"
"美食殿堂","35","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","伊藤美来","仰慕主人，小小嚮導","精靈族","0","可可蘿（公主）","11","140","冥想、養育動植物","B","1","5","180501","11"
"美食殿堂","39","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","立花理香","倒在路旁的謎之貓耳魔法師","獸人族","0","凱留（公主）","2","152","和貓咪玩耍","A","1","9","180601","14"
"森林守衛、伊麗莎白牧場","-","","大橋彩香、小清水亞美","以羈絆連結的互信互愛姊妹","精靈族、獸人族","0","初音＆栞","-","-","兩個人一起去野餐","-","500","-","180701","17"
"小小甜心","-","","諸星すみれ、日高里菜、小倉唯","勇氣！　友情！　小小甜心！","人族、獸人族、精靈族","0","禊＆美美＆鏡華","-","-","和大家一起冒險","-","5","-","180801","17"
"墨丘利財團、咲戀育幼院","-","","松嵜麗、堀江由衣","以高尚的友情結交的好對手","人族、精靈族","0","秋乃＆咲戀","-","-","切磋琢磨","-","501","-","180901","17"
"？？？","-","","日笠陽子、福原綾香","許下誓約的馬納歷亞雙姬","人族、半人半龍","0","安＆古蕾婭","-","-","一起合奏鋼琴","-","","-","181001","17"
"拉比林斯","-","","生天目仁美、阿澄佳奈","跨越真實及虛偽的三姐弟","人族、人族","0","靜流＆璃乃","-","-","疼愛弟弟＆向哥哥撒嬌","-","3","-","181101","18"
"美食殿堂","???","","近藤玲奈","失去記憶的龍人族少女","龍人族","0","雪菲（公主）","14","147","讀書、伸展運動","B","1","12","181201","14"
"-","-","","-","最喜歡美女跟女兒♪的廢物骷髏男。","-","0","骷髏老爸","-","-","-","-","","-","427101","-"
"破曉之星","44","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","東山奈央","最愛幫助別人！　正向思考的格鬥少女","獸人族","0","日和","27","155","助人、打氣加油","A","2","8","900103","16"
"龍族巢穴","???","","藤田茜","嘴上功夫一流的廢材龍娘","龍人族","0","祈梨","29","145","遊戲","AB","17","9","906601","13"
"破曉之星","46","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","早見沙織","冷酷又率直的劍士","魔族","0","怜（星素）","12","163","讀書、騎馬、茶","B","17","1","928801","18"
