cc7b6c1d1748ea6fbcdf45095d56748b953ee7c28b7abf7922c9f3d87d11bedc,419b608157de588373fefc46b99018e42b06fe1c66d49ead6a5a659e83b00fe9,d1d2e2b846089358756874246ae732e81d4e8811ad2aa148291e73166813b52e,689bdbc143bebfd038320f681fdedb24950a7256c734e38c6ff0ea1944bc838b,d31e61ed41becc1693e5c1a566dec5d87901aad61dbdad28082c128714dcbc65,e0b49402ef80d032b5af76355be7f43e4bfaa041c7842a9de9bb0135c5aef3a2,4c9f4c202f86e78346e3e2271254792a3da07c13bc325fc3c5939c060a0988b7,214b3a93d89e48d49280f786af69a01a59c51f6fe7fc1ae0f9222bbb43a4941d,efba51914fa1a2f625a1d24bc72f67f6b91abdccb30aea872ebd4fe8f22ee66d,c836db830b0941226c28095f4934feb1ed2c397471184df7bda0e78be7c1b29a,66212e2ee9271b88243fe20156bf05baf1b963fb75d5cac3b47dd68867d7ab13
"","93","","3217","","","","0.9","132170035","","0"
"0","123","0.3","3217","","1.05","","1.05","132170036","1.05","1.05"
"","122","","3217","","0.5","","75","132170037","","75"
"","32","","3217","","","","301702","132170038","","1"
"","93","","3217","","","","0.4","132170039","","0"
"","32","","3217","","","","2","132170040","","0"
"","32","","3217","","","","310000","132170041","","0"
"","32","","3217","","","","321700","132170042","","1"
"","93","","3217","","","","0.4","132170043","","0"
"2","123","2","3217","","0.95","","0.95","132170044","0.95","0.95"
"","93","","3217","","","","0.2","132170045","","0"
"0.2","3","","3217","","0","","1000001","132170046","","glad"
"","32","","3217","","","","120","132170047","","1"
"","93","","3217","","","","0.4","132170048","","0"
"","32","","3217","","","","998","132170049","","1"
"","93","","3217","","","","0.6","132170050","","0"
"0.2","3","1","3217","","0","","1000001","132170051","joy_round3_loop","joy_round3_in"
"","93","","3217","","","","5","132170052","","0"
"","113","","3217","","","","1","132170053","",""
"0","31","1","3300","","345.4","","330000","133000001","0","330000"
"1","31","1","3300","","345.4","","8","133000002","0","8"
"","35","","3300","","","","8","133000003","","0"
"","91","","3300","","","","0","133000004","",""
"0","123","7.4","3300","","1.05","","1.05","133000005","1.05","1.05"
"0.2","3","","3300","","0","","1000001","133000006","","wait"
"","35","","3300","","","","2","133000007","","1"
"","93","","3300","","","","4.9","133000008","","0"
"0","123","0.4","3300","","0.95","","0.95","133000009","0.95","0.95"
"","32","","3300","","","","330000","133000010","","1"
"","93","","3300","","","","0.1","133000011","","0"
"","32","","3300","","","","2","133000012","","0"
"","93","","3300","","","","0.1","133000013","","0"
"","32","","3300","","","","997","133000014","","1"
"0.2","3","","3300","","0","","1000001","133000015","","joy_from_wait"
"","93","","3300","","","","1.63","133000016","","0"
"","93","","3300","","","","0.3","133000017","","0"
"","113","","3300","","","","3","133000018","",""
