e0b6837fdafd1fe2da0eaf99eaa175047e64b453a4f296c44da480974c86a7a9,4ab9d632fd5e565e56483f5691dba5f788ca7d5334e65a6e01dabe29bd752a9b,ba114d7880937d8196c5b636470ff107e46c1bf848daa66c237b70ed8ad1009e,fa76170eea47a72b1a21c5a8e7f23b9596fdfec3c36f1321d34512ecace24c2f,9c8b28d4c49d837f86957e47a4ce15a0170d953099ab94eb53dc6a08b94c3ae3,78f9d07184b9585d128eaa68d7c1a4c8c9311f33dcb381ca3275b0b3576275dd,90262e08cd643ac883138795fba1d62261e00267c3a2ce08efa98bf893a65a2e,44d72bddac519dd74e2a1805da987677c8ef12c4b1312ec3ab8492e10535e6d5,39256866e38961adabbeb4d49c8f4fd772bcb9f2d74c7eab0d68b87bb7784a41,72645734f5f0e16bd4b124950a5e4d3535fc6f40025f64c5aeec7b5d9585a8ca,313259d91d7b300a4f788ff7df94e3e90dc33ac21816372279b925d6fedef0e7
"","","0.6","","912","","0","","93","","19120017"
"","","122711","4.97058823529412","912","","100","0","2","-15","19120018"
"","","1.5","","912","","0","","93","","19120019"
"","","19120016","","912","","","","91","","19120020"
"","","19120011","","912","","","","91","","19120021"
"0.1","","126911","","912","","cmn_float","","3","1","19120022"
"","","vo_fpc","0","912","","vo_fpc_21201","","21","","19120023"
"0","0.5","126911","1","912","0","あっ…","0","11","10","19120024"
"","","0","","912","","","","91","","19120025"
"","","0.5","","912","","0","","93","","19120026"
"","","19120018","","912","","","","91","","19120027"
"0.1","","122711","12_kyouka_notice_loop","912","0.1","12_kyouka_notice","1","3","0","19120028"
"","","vo_fpc","0","912","","vo_fpc_21202","","21","","19120029"
"0","0.5","122711","1","912","0","えっ？\nな、なんですか？","0","11","10","19120030"
"","","0","","912","","","","91","","19120031"
"","","0.5","","912","","0","","93","","19120032"
"0.1","","127111","","912","","cmn_float","","3","1","19120033"
"","","vo_fpc","0","912","","vo_fpc_21203","","21","","19120034"
"0","0.5","127111","1","912","0","いえ、あそこ…","0","11","10","19120035"
"","","0","","912","","","","91","","19120036"
"","","0.5","","912","","0","","93","","19120037"
"0.1","","126911","","912","","cmn_float","","3","1","19120038"
"","","vo_fpc","0","912","","vo_fpc_21204","","21","","19120039"
"0","0.5","126911","1","912","0","うん…","0","11","10","19120040"
"","","0","","912","","","","91","","19120041"
"","","0.5","","912","","0","","93","","19120042"
"0.1","","122711","12_kyouka_turn_loop","912","0.1","12_kyouka_turn_in","1","3","0","19120043"
"","","vo_fpc","0","912","","vo_fpc_21205","","21","","19120044"
"0","0.5","122711","1","912","0","なに？\nなにもないみたいだけど…","0","11","10","19120045"
"","","0","","912","","","","91","","19120046"
"","","0.5","","912","","0","","93","","19120047"
"0.1","","127111","","912","","12_cmn_float_smile","","3","1","19120048"
"","","vo_fpc","0","912","","vo_fpc_21206","","21","","19120049"
"0","0.5","127111","1","912","0","ふふっ。","0","11","10","19120050"
"","","0","","912","","","","91","","19120051"
"","","0.5","","912","","0","","93","","19120052"
"0.1","","126911","","912","","12_cmn_float_smile","","3","1","19120053"
"","","vo_fpc","0","912","","vo_fpc_21207","","21","","19120054"
"0","0.5","126911","1","912","0","ふふふふっ…","0","11","10","19120055"
"","","0","","912","","","","91","","19120056"
"","","0.5","","912","","0","","93","","19120057"
"","","127111","4.29864253393665","912","","850","","2","-180","19120058"
"","","11","4.29864253393665","912","","850","","33","-180","19120059"
"","","126911","5.42986425339367","912","","850","","2","-125","19120060"
"","","21","5.42986425339367","912","","850","","33","-125","19120061"
"","","1","","912","","0","","93","","19120062"
"0.1","","122711","12_kyouka_scare_loop","912","0.1","12_kyouka_scare_in","1","3","0","19120063"
"","","vo_fpc","0","912","","vo_fpc_21208","","21","","19120064"
"0","0.5","122711","1","912","0","ひぅっ！\nな、なんなんですかあ…","0","11","10","19120065"
"","","0","","912","","","","91","","19120066"
"","","0.5","","912","","0","","93","","19120067"
"0.1","","122711","12_kyouka_run_loop","912","0.1","12_kyouka_run_in","1","3","0","19120068"
"","","122711","3.58220211161388","912","","-850","","2","-15","19120069"
"","","19120069","","912","","","","91","","19120070"
"1.75","13_kuka_bound","1","-800","913","0","127011","-180","1","22","19130001"
"0","","104","-170","913","","1041","1","31","-600","19130002"
"0","","104","-170","913","","1042","1","31","-240","19130003"
"0","","104","-170","913","","1043","1","31","170","19130004"
"0","","104","-170","913","","1044","1","31","560","19130005"
"0","","1003","-85","913","","1003","1","31","-575","19130006"
"","","se_10053800","","913","","se_fpc_water_random","","23","1","19130007"
"","","19130006","","913","","0","","91","","19130008"
"","","1003","0","913","","1","","32","","19130009"
"","","2","","913","","0","","93","","19130010"
"0.1","","127011","","913","","13_kuka_bound","","3","1","19130011"
"","","127011","2.35294117647059","913","","800","","2","-180","19130012"
"","","0.236666666666667","","913","","0","","93","","19130013"
"","","se_10053800","","913","","se_10053800_913_kuka","","23","0","19130014"
"","","vo_fpc","0","913","","vo_fpc_21300","","21","","19130015"
"","","1041","0","913","","1","","32","","19130016"
"","","0.536666666666667","","913","","0","","93","","19130017"
"","","1042","0","913","","1","","32","","19130018"
"","","0.536666666666667","","913","","0","","93","","19130019"
"","","vo_fpc","0","913","","vo_fpc_21301","","21","","19130020"
"","","1043","0","913","","1","","32","","19130021"
"","","0.536666666666667","","913","","0","","93","","19130022"
"","","1044","0","913","","1","","32","","19130023"
"","","2","","913","","0","","93","","19130024"
"","","19130012","","913","","","","91","","19130025"
"1.75","14_maho_idle_loop","1","-1000","914","0","110611","-185","1","24","19140001"
"1.75","cmn_boat_idle","2","-1000","914","0","2","-185","5","22","19140002"
"1.75","14_maho_idle_loop","3","-1000","914","0","3","-185","5","23","19140003"
"1.75","cmn_float","1","-1220","914","0","110511","-175","1","25","19140004"
"1.75","14_makoto_float","1","-1520","914","0","110411","-125","1","12","19140005"
"1","","116","-185","914","","110611","1","31","-1000","19140006"
"1","","8","-175","914","","41","1","31","-1220","19140007"
"0","","120","-175","914","","120","1","31","-50","19140008"
"1","","4","-125","914","","42","1","31","-1520","19140009"
"0","","117","-125","914","","117","1","31","-350","19140010"
"","","se_10053800","","914","","se_fpc_water_random","","23","1","19140011"
"","","19140010","","914","","0","","91","","19140012"
"","","110611","8.60294117647059","914","","170","12","2","-185","19140013"
"","","2","8.60294117647059","914","","170","12","2","-185","19140014"
"","","3","8.60294117647059","914","","170","12","2","-185","19140015"
"","","110611","8.60294117647059","914","","170","12","33","-185","19140016"
"","","110511","8.60294117647059","914","","-50","12","2","-175","19140017"
"","","41","8.60294117647059","914","","-50","12","33","-175","19140018"
"","","110411","8.60294117647059","914","","-350","12","2","-125","19140019"
"","","42","8.60294117647059","914","","-350","12","33","-125","19140020"
"","","19140013","","914","","","","91","","19140021"
"0.3","","110611","14_maho_point_loop","914","0.1","14_maho_point_in","1","3","0","19140022"
"0.3","","2","","914","","cmn_boat_idle","","3","1","19140023"
"0.3","","3","","914","","14_maho_idle_loop","","3","1","19140024"
"","","vo_fpc","0","914","","vo_fpc_21400","","21","","19140025"
"0","0.5","110611","1","914","0","アーサー、ガウェイン、ランスロット\nうん、みんなそろっとるね。\nほな、いきまひょか。\nカオリはん、お願いしますー","0","11","10","19140026"
"","","0","","914","","","","91","","19140027"
"","","0.5","","914","","0","","93","","19140028"
"0.1","","110511","14_kaori_handUp_loop","914","0.1","14_kaori_handUp_in","1","3","0","19140029"
"","","vo_fpc","0","914","","vo_fpc_21401","","21","","19140030"
"0","0.5","110511","1","914","0","まーかせるさー！\nしゅっぱつしんこー！","0","11","10","19140031"
"","","0","","914","","","","91","","19140032"
"","","0.5","","914","","0","","93","","19140033"
"0.1","","110411","","914","","14_makoto_pazzled","","3","1","19140034"
"","","vo_fpc","0","914","","vo_fpc_21402","","21","","19140035"
"0","0.5","110411","1","914","0","いやいや待てって。\nそんなに張り切って押したら\nこいつら、水に落ちて濡れちまうだろ？","0","11","10","19140036"
"","","0","","914","","","","91","","19140037"
"","","0.5","","914","","0","","93","","19140038"
"0.3","","110611","14_maho_smile_loop","914","0.1","14_maho_smile_in","1","3","0","19140039"
"0.3","","2","","914","","cmn_boat_idle","","3","1","19140040"
"0.3","","3","","914","","14_maho_idle_loop","","3","1","19140041"
"","","vo_fpc","0","914","","vo_fpc_21403","","21","","19140042"
"0","0.5","110611","1","914","0","ふふっ、この子らは前に一緒に海に\n来てた子やから、お水には強いんどす。\nけど、落っこちたらかわいそうやし\n安全運転でお願いできますやろか♪","0","11","10","19140043"
"","","0","","914","","","","91","","19140044"
"","","0.5","","914","","0","","93","","19140045"
"","","vo_fpc","0","914","","vo_fpc_21404","","21","","19140046"
"0","0.5","110511","1","914","0","わかってるさー！\n琉球犬肉球安全泳法でいくさー！","0","11","10","19140047"
"","","0","","914","","","","91","","19140048"
"","","0.5","","914","","0","","93","","19140049"
"0.1","","110511","14_kaori_flutterKick_loop","914","0.1","14_kaori_flutterKick_in","1","3","0","19140050"
"","","0.3","","914","","0","","93","","19140051"
"","","110611","6.47058823529412","914","","1270","","2","-185","19140052"
"","","2","6.47058823529412","914","","1270","","2","-185","19140053"
"","","3","6.47058823529412","914","","1270","","2","-185","19140054"
"","","110611","6.47058823529412","914","","1270","","33","-185","19140055"
"","","41","","914","","0","","32","","19140056"
"","","120","","914","","1","","32","","19140057"
"","","110511","6.47058823529412","914","","1050","","2","-175","19140058"
"","","120","6.47058823529412","914","","1050","","33","-175","19140059"
"","","1","","914","","0","","93","","19140060"
"","","vo_fpc","0","914","","vo_fpc_21405","","21","","19140061"
"0","0.5","110411","1","914","0","な～んか心配なんだよな…\nしょうがない、あたしもついてくか。\nおーい、待てってば！","0","11","10","19140062"
"","","0","","914","","","","91","","19140063"
"","","0.5","","914","","0","","93","","19140064"
"0.1","","110411","cmn_swm_dogscratch","914","0.1","14_makoto_dogscratch_in","1","3","0","19140065"
"","","0.3","","914","","0","","93","","19140066"
"","","42","","914","","0","","32","","19140067"
"","","117","","914","","1","","32","","19140068"
"","","110411","3.72637742879957","914","","1050","","2","-125","19140069"
"","","117","3.72637742879957","914","","1050","","33","-125","19140070"
"","","19140069","s","914","","","","91","","19140071"
"1.75","15_saren_idle","1","-950","915","0","110311","-180","1","23","19150001"
"1.75","cmn_boat_idle","2","-950","915","0","2","-180","5","22","19150002"
"1.75","15_suzume_walk_loop","1","-750","915","0","107711","-15","1","12","19150003"
"1","","101","-180","915","","110311","1","31","-950","19150004"
"0","","109","30","915","","109","1","31","210","19150005"
"0","","4","-125","915","","4","1","31","330","19150006"
"","","se_10053800","","915","","se_fpc_water_random","","23","1","19150007"
"","","107711","","915","","49","","13","","19150008"
"","","0","","915","","0","","91","","19150009"
"","","107711","5.51470588235294","915","","0","","2","-15","19150010"
"","","19150010","","915","","","","91","","19150011"
"0.1","","107711","15_suzume_talk_loop","915","0.1","15_suzume_talk_in","1","3","0","19150012"
"","","vo_fpc","0","915","","vo_fpc_21500","","21","","19150013"
"0","0.5","107711","1","915","0","お嬢様とはぐれてしまいました…\n迷子だなんてメイド失格です～","0","11","10","19150014"
"","","3.2","","915","","1","","93","","19150015"
"","","1.5","","915","","0","","93","","19150016"
"","","19150014","","915","","","","91","","19150017"
"0.1","","107711","15_suzume_walk_loop","915","0.1","15_suzume_walk_in","1","3","0","19150018"
"","","110311","11.9779411764706","915","","-100","","2","-180","19150019"
"","","2","11.9779411764706","915","","-100","","2","-180","19150020"
"","","110311","11.9779411764706","915","","-100","","33","-180","19150021"
"","","107711","4.22794117647059","915","","460","","2","-15","19150022"
"","","19150022","","915","","","","91","","19150023"
"0.1","","107711","15_suzume_turn_loop","915","0.1","15_suzume_turn_in","1","3","0","19150024"
"","","0.6","","915","","0","","93","","19150025"
"","","vo_fpc","0","915","","vo_fpc_21501","","21","","19150026"
"-15","0.5","107711","1","915","0","あれは…お嬢様～！\n今参ります！","0","11","20","19150027"
"","","1.7","","915","","0","","93","","19150028"
"0.3","","110311","15_saren_notice_loop","915","0.1","15_saren_notice_in","1","3","0","19150029"
"0.3","","2","","915","","cmn_boat_idle","","3","1","19150030"
"","","0.35","","915","","0","","93","","19150031"
"","","1.5","","915","","0","","93","","19150032"
"","","107711","0.5","915","","330","","2","-15","19150033"
"0.2","","107711","","915","0.1","15_suzume_run","","3","1","19150034"
"","","vo_fpc","0","915","","vo_fpc_21502","","21","","19150035"
"0","-0.5","110311","1","915","0","スズメ？\nって、走ると危なっ…","0","11","100","19150036"
"","","0.5","","915","","0","","93","","19150037"
"0.1","","107711","","915","","15_suzume_fallDown","","3","0","19150038"
"","","1.3","","915","","0","","93","","19150039"
"","","vo_fpc","0","915","","vo_fpc_21503","","21","","19150040"
"0","-1.5","107711","1","915","0","きゃあああ～！","0","11","150","19150041"
"0.1","","110311","15_saren_rise_loop","915","0.1","15_saren_rise_in","1","3","0","19150042"
"0.1","","2","","915","","cmn_boat_idle","","3","1","19150043"
"","","0.5","","915","","0","","93","","19150044"
"0.1","","107711","1","915","","1","0","6","1","19150045"
"","","109","","915","","1","","32","","19150046"
"","","1","","915","","0","","93","","19150047"
"","","107711","0","915","","330","","2","-125","19150048"
"0.4","","107711","1","915","","1","1","6","1","19150049"
"0.1","","107711","15_suzume_drown_loop","915","0.1","15_suzume_drown_in","1","3","0","19150050"
"","","107711","2.76470588235294","915","","800","","2","-125","19150051"
"","","4","2.76470588235294","915","","800","","33","-125","19150052"
"","","19150019","","915","","","","91","","19150053"
"","","110311","7.35294117647059","915","","900","","2","-180","19150054"
"","","2","7.35294117647059","915","","900","","2","-180","19150055"
"","","110311","7.35294117647059","915","","900","","33","-180","19150056"
"","","vo_fpc","0","915","","vo_fpc_21504","","21","","19150057"
"0","0.5","110311","1","915","0","ス、スズメ？\nスズメ～っ！？","0","11","10","19150058"
"","","0","","915","","","","91","","19150059"
"","","1.5","","915","","0","","93","","19150060"
"","","19150054","s","915","","","","91","","19150061"
"1.4875","cmn_walk","1","-750","916","0","113111","-15","1","12","19160001"
"1.4875","16_nanaka_run","1","750","916","0","113311","-15","1","12","19160002"
"1.75","cmn_swm_diving","1","-850","916","0","117411","-180","1","22","19160003"
"1.75","cmn_swm_diving","1","-2500","916","0","117011","-180","1","22","19160004"
"1.75","none","7","50","916","0","7","-180","5","22","19160005"
"1.75","cmn_floatRing_pink","1","-1375","916","0","11","-180","5","22","19160006"
"1.75","cmn_float_item_01_Ball","1","-2500","916","0","12","-125","5","12","19160007"
"1","","4","-180","916","","11","1","31","-1375","19160008"
"1","","4","-125","916","","12","1","31","-2500","19160009"
"1","","9","-180","916","","91","1","31","-850","19160010"
"1","","9","-180","916","","92","1","31","-2500","19160011"
"0","","1015","155","916","","1015","1","31","-183","19160012"
"0","","1013","-180","916","","1013","1","31","50","19160013"
"","","se_10053800","","916","","se_fpc_water_random","","23","1","19160014"
"","","19160013","","916","","0","","91","","19160015"
"","","117411","19.7058823529412","916","","2500","","2","-180","19160016"
"","","91","19.7058823529412","916","","2500","","33","-180","19160017"
"","","11","24.6323529411765","916","","1975","","2","-180","19160018"
"","","11","24.6323529411765","916","","1975","","33","-180","19160019"
"","","117011","19.7058823529412","916","","850","","2","-180","19160020"
"","","92","19.7058823529412","916","","850","","33","-180","19160021"
"","","12","24.6323529411765","916","","850","","2","-125","19160022"
"","","12","24.6323529411765","916","","850","","33","-125","19160023"
"","","3","","916","","0","","93","","19160024"
"","","113111","4.41176470588235","916","","-150","","2","-15","19160025"
"","","19160025","","916","","","","91","","19160026"
"0.3","","113111","","916","","16_ruka_think","","3","1","19160027"
"","","1015","","916","","1","","32","","19160028"
"","","vo_fpc","0","916","","vo_fpc_21600","","21","","19160029"
"","","0.6","","916","","0","","93","","19160030"
"","","1.5","","916","","0","","93","","19160031"
"","","113311","2.71493212669683","916","","150","","2","-15","19160032"
"","","19160032","","916","","","","91","","19160033"
"0.2","","113311","","916","","16_nanaka_idle_loop","","3","1","19160034"
"","","vo_fpc","0","916","","vo_fpc_21601","","21","","19160035"
"0","0.5","113311","1","916","0","ル～カ～姉♪\n何見てんのかにゃ～？","0","11","10","19160036"
"","","0","","916","","","","91","","19160037"
"","","0.5","","916","","0","","93","","19160038"
"0.1","","113111","16_ruka_notice_loop","916","0.1","16_ruka_notice_in","1","3","0","19160039"
"","","vo_fpc","0","916","","vo_fpc_21602","","21","","19160040"
"0","0.5","113111","1","916","0","ん？　いや、特に何か\n考えてたわけじゃないが…","0","11","10","19160041"
"","","0","","916","","","","91","","19160042"
"","","0.5","","916","","0","","93","","19160043"
"0.1","","113311","16_nanaka_point_loop","916","0.1","16_nanaka_point_in","1","3","0","19160044"
"","","vo_fpc","0","916","","vo_fpc_21603","","21","","19160045"
"0","0.5","113311","1","916","0","ふっふっふ、ルカ姉の考えは\nまるっとお見通しだ！","0","11","10","19160046"
"","","0","","916","","","","91","","19160047"
"","","0.5","","916","","0","","93","","19160048"
"","","vo_fpc","0","916","","vo_fpc_21604","","21","","19160049"
"0","0.5","113311","1","916","0","ズバリ！\n「見ろ！　人が魚のようだ！」でしょ？","0","11","10","19160050"
"","","0","","916","","","","91","","19160051"
"","","0.5","","916","","0","","93","","19160052"
"0.1","","113111","16_ruka_talk_loop","916","0.1","16_ruka_talk_in","1","3","0","19160053"
"","","vo_fpc","0","916","","vo_fpc_21605","","21","","19160054"
"0","0.5","113111","1","916","0","そんなことはっ…\nちょっとだけ、考えちまったね…","0","11","10","19160055"
"","","0","","916","","","","91","","19160056"
"","","0.5","","916","","0","","93","","19160057"
"0.1","","113311","16_nanaka_idle_loop","916","0.1","16_nanaka_idle_in","1","3","0","19160058"
"","","vo_fpc","0","916","","vo_fpc_21606","","21","","19160059"
"0","0.5","113311","1","916","0","なっはっは、やっぱりね～♪","0","11","10","19160060"
"","","0","","916","","","","91","","19160061"
"","","0.5","","916","","0","","93","","19160062"
"0.1","","113311","cmn_run_def_N","916","0.1","16_nanaka_turn","1","3","0","19160063"
"","","113311","2.71493212669683","916","","750","","2","-15","19160064"
"0.1","","113111","","916","","cmn_walk","","3","1","19160065"
"","","113111","5.29411764705882","916","","750","","2","-15","19160066"
"","","1.5","","916","","0","","93","","19160067"
"","","7","none","916","0.1","fish","","3","0","19160068"
"","","1013","","916","","1","","32","","19160069"
"","","3.2","","916","","0","","93","","19160070"
"","","19160018","s","916","","","","91","","19160071"
"","","19160064","s","916","","","","91","","19160072"
"","","19160066","s","916","","","","91","","19160073"
"1.75","17_akino_worry","1","-950","917","0","126711","-180","1","23","19170001"
"1.75","empty","3","-950","917","0","3","-180","5","24","19170002"
"1.75","cmn_boat_idle","2","-950","917","0","2","-180","5","22","19170003"
"1.4875","cmn_walk_r","1","750","917","0","110311","-15","1","12","19170004"
"1","","101","-180","917","","126711","1","31","-950","19170005"
"","","se_10053800","","917","","se_fpc_water_random","","23","1","19170006"
"","","19170005","","917","","0","","91","","19170007"
"","","126711","6.98529411764706","917","","0","12","2","-180","19170008"
"","","3","6.98529411764706","917","","0","12","2","-180","19170009"
"","","2","6.98529411764706","917","","0","12","2","-180","19170010"
"","","126711","6.98529411764706","917","","0","12","33","-180","19170011"
"","","19170008","","917","","","","91","","19170012"
"","","vo_fpc","0","917","","vo_fpc_21700","","21","","19170013"
"0","0.5","126711","1","917","0","一向に目的地に着きませんわね…\nまさか、また迷ってしまいましたの？\nメルクリゾートは私の庭…\nそう思ってましたのに～っ！","0","11","10","19170014"
"","","0","","917","","","","91","","19170015"
"","","0.5","","917","","0","","93","","19170016"
"","","110311","4.72689075630252","917","","300","","2","-15","19170017"
"0.3","","126711","17_akino_laugh_loop","917","0.1","17_akino_laugh_in","1","3","0","19170018"
"0.3","","3","17_akino_laugh_loop","917","0.1","17_akino_laugh_in","1","3","0","19170019"
"0.3","","2","","917","","cmn_boat_idle","","3","1","19170020"
"","","vo_fpc","0","917","","vo_fpc_21701","","21","","19170021"
"0","0.5","126711","1","917","0","いいえ、違いますわ！…この私ですら\n迷わせるほどの広大なリゾート…\n財団の偉業を誇るべきですわね♪\nおーっほっほっほ！","0","11","20","19170022"
"","","19170017","","917","","","","91","","19170023"
"0.2","","110311","17_saren_talk_loop","917","0.1","17_saren_talk_in","1","3","0","19170024"
"","","0.673109243697478","","917","","0","","93","","19170025"
"","","0.5","","917","","0","","93","","19170026"
"","","19170022","","917","","","","91","","19170027"
"","","vo_fpc","0","917","","vo_fpc_21702","","21","","19170028"
"0","0.5","110311","1","917","0","…流れるプールなんだし、同じ場所を\nループしてるだけじゃない？","0","11","10","19170029"
"","","0","","917","","","","91","","19170030"
"0.1","","126711","17_akino_pause_loop","917","0.1","17_akino_pause_in","1","3","0","19170031"
"0.1","","3","17_akino_pause_loop","917","0.1","17_akino_pause_in","1","3","0","19170032"
"0.1","","2","","917","","cmn_boat_idle","","3","1","19170033"
"","","2","","917","","0","","93","","19170034"
"0.3","","126711","17_akino_shock_loop","917","0.1","17_akino_shock_in","1","3","0","19170035"
"","","3","","917","","empty","","3","0","19170036"
"0.3","","2","","917","","cmn_boat_idle","","3","1","19170037"
"","","vo_fpc","0","917","","vo_fpc_21703","","21","","19170038"
"0","0.5","126711","1","917","0","そ、そうなんですの！？\n盲点でしたわーーー！","0","11","10","19170039"
"","","0","","917","","","","91","","19170040"
"","","0.5","","917","","0","","93","","19170041"
"","","126711","5.29411764705882","917","","900","","2","-180","19170042"
"","","2","5.29411764705882","917","","900","","2","-180","19170043"
"","","126711","5.29411764705882","917","","900","","33","-180","19170044"
"","","2.7","","917","","0","","93","","19170045"
"0.1","","110311","cmn_walk","917","0.1","17_saren_turn","1","3","0","19170046"
"","","110311","2.64705882352941","917","","750","","2","-15","19170047"
"","","19170042","","917","","","","91","","19170048"
"","","19170047","","917","","","","91","","19170049"
"1.75","18_misato_backWalk","1","-850","918","0","113511","-180","1","22","19180001"
"1.75","18_io_flutterKick","1","-1010","918","0","110111","-180","1","23","19180002"
"0","","14","-180","918","","41","1","31","-850","19180003"
"0","","2","-180","918","","11","1","31","50","19180004"
"0","","14","-180","918","","42","1","31","-110","19180005"
"1","","123","-180","918","","12","1","31","-1010","19180006"
"","","se_10053800","","918","","se_fpc_water_random","","23","1","19180007"
"","","19180006","","918","","0","","91","","19180008"
"","","113511","6.61764705882353","918","","50","12","2","-180","19180009"
"","","41","6.61764705882353","918","","50","12","33","-180","19180010"
"","","110111","6.61764705882353","918","","-110","12","2","-180","19180011"
"","","12","6.61764705882353","918","","-110","12","33","-180","19180012"
"","","19180009","","918","","","","91","","19180013"
"0.2","","113511","","918","","18_misato_backWalkIdle","","3","1","19180014"
"","","vo_fpc","0","918","","vo_fpc_21800","","21","","19180015"
"0","0.5","113511","1","918","0","イオ先生、その調子。\n上手にバタ足できてるわよ～♪","0","11","10","19180016"
"","","0","","918","","","","91","","19180017"
"","","0.5","","918","","0","","93","","19180018"
"","","vo_fpc","0","918","","vo_fpc_21801","","21","","19180019"
"0","0.5","110111","1","918","0","は、はい！　よいしょ、よいしょ…\nごめんなさい、せっかくのプールで\n練習に付き合ってもらって…","0","11","10","19180020"
"","","0","","918","","","","91","","19180021"
"","","0.5","","918","","0","","93","","19180022"
"","","vo_fpc","0","918","","vo_fpc_21802","","21","","19180023"
"0","0.5","113511","1","918","0","いいのよ。\n先生はいつでも頑張る子の味方だもの♪","0","11","10","19180024"
"","","0","","918","","","","91","","19180025"
"","","0.5","","918","","0","","93","","19180026"
"","","12","","918","","0","","32","","19180027"
"","","42","","918","","1","","32","","19180028"
"","","41","","918","","1","","32","","19180029"
"0.1","","113511","18_misato_idle_loop","918","0.1","18_misato_idle_in","1","3","0","19180030"
"0.1","","110111","18_io_stopSwim_loop","918","0.1","18_io_stopSwim_in","1","3","0","19180031"
"","","vo_fpc","0","918","","vo_fpc_21803","","21","","19180032"
"0","0.5","110111","1","918","0","でも、私も先生だから\n本当は教えてあげないといけないのに…","0","11","10","19180033"
"","","0","","918","","","","91","","19180034"
"","","0.5","","918","","0","","93","","19180035"
"0.1","","113511","18_misato_talk_loop","918","0.1","18_misato_talk_in","1","3","0","19180036"
"","","vo_fpc","0","918","","vo_fpc_21804","","21","","19180037"
"0","0.5","113511","1","918","0","こうして今からでも何かを\n学ぶっていう経験は\nきっと子供たちに教えるうえで\n役に立つと思うの。","0","11","10","19180038"
"","","0","","918","","","","91","","19180039"
"","","0.5","","918","","0","","93","","19180040"
"","","vo_fpc","0","918","","vo_fpc_21805","","21","","19180041"
"0","0.5","113511","1","918","0","それに…\n生徒にもいろんな子がいるんだから、\n色んな先生がいてもいいじゃない？","0","11","10","19180042"
"","","0","","918","","","","91","","19180043"
"","","0.5","","918","","0","","93","","19180044"
"0.1","","110111","18_io_guts_loop","918","0.1","18_io_guts_in","1","3","0","19180045"
"","","vo_fpc","0","918","","vo_fpc_21806","","21","","19180046"
"0","0.5","110111","1","918","0","ミサト先生…\n私、がんばります！\n授業も、泳ぎも…","0","11","10","19180047"
"","","0","","918","","","","91","","19180048"
"","","0.5","","918","","0","","93","","19180049"
"0.1","","110111","18_io_flutterKick2_loop","918","0.1","18_io_flutterKick2_in","1","3","0","19180050"
"","","110111","1.8552036199095","918","","300","","2","-180","19180051"
"","","42","1.8552036199095","918","","300","","33","-180","19180052"
"","","12","1.8552036199095","918","","300","","33","-180","19180053"
"","","42","","918","","0","","32","","19180054"
"","","12","","918","","1","","32","","19180055"
"","","1","","918","","0","","93","","19180056"
"0.1","","113511","18_misato_talk2_loop","918","0.1","18_misato_talk2_in","1","3","0","19180057"
"","","19180051","","918","","","","91","","19180058"
"","","110111","3.23529411764706","918","","850","","2","-180","19180059"
"","","42","3.23529411764706","918","","850","","33","-180","19180060"
"","","12","3.23529411764706","918","","850","","33","-180","19180061"
"","","42","","918","","1","","32","","19180062"
"","","12","","918","","0","","32","","19180063"
"0.1","","113511","18_misato_surprise_loop","918","0.1","18_misato_surprise_in","1","3","0","19180064"
"0.1","","110111","18_io_accident_loop","918","0.1","18_io_accident_in","1","3","0","19180065"
"","","vo_fpc","0","918","","vo_fpc_21807","","21","","19180066"
"0","0.5","110111","1","918","0","きゃっ水着が！","0","11","10","19180067"
"","","0","","918","","","","91","","19180068"
"","","0.5","","918","","0","","93","","19180069"
"","","vo_fpc","0","918","","vo_fpc_21808","","21","","19180070"
"0","0.5","113511","1","918","0","イオ先生！？\nあらあら～！","0","11","10","19180071"
"","","0","","918","","","","91","","19180072"
"","","0.5","","918","","0","","93","","19180073"
"0","","113511","cmn_swm_breastStroke","918","0.1","18_misato_breastStroke_in","1","3","0","19180074"
"","","41","","918","","0","","32","","19180075"
"","","11","","918","","1","","32","","19180076"
"","","113511","3.61990950226244","918","","850","","2","-180","19180077"
"","","11","3.61990950226244","918","","850","","33","-180","19180078"
"","","19180059","","918","","","","91","","19180079"
"","","19180077","","918","","","","91","","19180080"
"1.75","19_nozomi_float","1","-850","919","0","117211","-180","1","22","19190001"
"1.75","19_suzuna_float","1","-1150","919","0","110011","-180","1","22","19190002"
"1.4875","19_tsumugi_search","1","-750","919","0","117411","-15","1","12","19190003"
"1","","6","-180","919","","61","1","31","-820","19190004"
"1","","121","-180","919","","1211","1","31","-850","19190005"
"0","","122","-180","919","","1221","1","31","150","19190006"
"1","","6","-180","919","","62","1","31","-1150","19190007"
"1","","121","-180","919","","1212","1","31","-1180","19190008"
"0","","122","-180","919","","1222","1","31","-180","19190009"
"","","117211","","919","","45","","13","","19190010"
"","","110011","","919","","45","","13","","19190011"
"","","117411","","919","","45","","13","","19190012"
"","","se_10053800","","919","","se_fpc_water_random","","23","1","19190013"
"","","117411","","919","","49","","13","","19190014"
"","","19190012","","919","","0","","91","","19190015"
"","","117411","9.92647058823529","919","","330","","2","-15","19190016"
"","","3.5","","919","","0","","93","","19190017"
"","","vo_fpc","0","919","","vo_fpc_21900","","21","","19190018"
