9dbe12536312ab49d9c38fba8ab6c60eea205e712618b0ab7c186559675ae909,52a6ace2fb8e5dd1731fb789fc9d130c349bfb59ce9dfe215e5bd746b22d7d84,925494db5e12a366720b267a1d1db0b5552460689c4a4504242cb03ffd21d87d,83190d7ed8716f9c70e45a3f3b5b832edf04b727bdfe6ca63c5bb76b830f4a71,cf001bfbbd1082098037a85e9ea2aa3ebf4a8f87d275f1ac7e4880e7755d7135,806164ff4d1b3716ac3355687c4e31bfc885de8a4396c5f26b27f498698fb79c,752e5a3abe645d4d5dd8e3186d7ecaddfad174c6c9a4c2fac6a91f9d3b5480d5,d53b68dd9589b08ecece33348df03b94efab5ae4be81533e46061eeda5090a72,192bb9548a94f341504d34118171babf1b27a211b291f36208c741d4a4380851,baed9c19f4b95b91b467e08976be0ab49504afb940cd3da9bb479485dca9679a,987df4a7de326001cff7f9237fe7d97becfa9a3c1e1ae9f0af0fa878370abb53,27d30e7357ce79ed6aadb2507a1337b501386a86991bb1eebb219aac61740103,498c5753ecae29f441acccacc204b9b7df84c27f4b1756d5f04ad164f7a45b4b,458f38f4a22503301638b593bc5b027990cb1d08e293d416e4680fc619da2af0,9842f7caa2944c92169da48950270faf37957af7679597143f51a4debf064b21,3a3e38616ef5048ef8d64cf173d4a2d84171d35271b5b67b3c7ba56ea3b35644
"シノブ（サマー）","157","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","0","大坪由佳","7","12","22","魔族","42","18","悪魔偽王国軍（ディアボロス）","AB","占い","占いが得意な霊能少女","127101"
"キャル（編入生）","152","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","0","立花理香","1","9","2","獣人族","39","14","美食殿","A","猫と遊ぶ","行き倒れの謎のネコミミ魔法使い","127201"
"スズナ（編入生）","167","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","0","上坂すみれ","14","4","10","魔族","48","18","ルーセント学院","O","ファッション","天真爛漫で人気者のカリスマモデル","127301"
"サレン（サラサリア）","156","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","0","堀江由衣","9","10","4","エルフ","43","17","サレンディア救護院","A","経営、お茶会","救護院を経営する優しい庶民派お嬢様","127501"
"ルカ（サラサリア）","167","","0","佐藤利奈","13","7","11","ヒューマン","54","25","トワイライトキャラバン","B","釣り","人情味溢れる粋でいなせな「姉御」","127601"
"リンド","145","","0","豊田萌絵","","2","5","ドラゴン族","???","12","？？？","?","妹と過ごす休日","真面目で一生懸命なドラゴンメイド（姉）","127701"
"ヴルム","145","","0","関根明良","","2","5","ドラゴン族","???","12","？？？","?","サボり、姉と過ごす休日","不真面目で気怠げなドラゴンメイド（妹）","127801"
"ペコリーヌ（クリスマス）","156","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","0","M・A・O","1","3","31","ヒューマン","46","17","美食殿","O","食べ歩き、料理","いつも元気な腹ペコ少女","127901"
"クレジッタ（クリスマス）","160","","0","Lynn","18","9","19","ヒューマン","57","26","リッチモンド商工会","A","お金を数えること、悪だくみ","忠義に目覚めた女商人","128001"
"イノリ（ニューイヤー）","145","","0","藤田茜","17","9","29","ドラゴン族","???","13","ドラゴンズネスト","AB","ゲーム","口が達者なヘタレドラゴン","128301"
"ハツネ（ニューイヤー）","156","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","0","大橋彩香","6","12","24","エルフ","46","17","フォレスティエ","A","妹と遊ぶこと、二度寝、昼寝、早寝","みんなのために超能力を使う眠り姫","128401"
"カスミ（ニューイヤー）","152","","0","水瀬いのり","10","11","3","獣人族","41","15","自警団（カォン）","AB","読書、推理","頭脳明晰な美少女名探偵","128501"
"ヒヨリ（アストラル）","155","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","0","東山奈央","2","8","27","獣人族","44","16","トゥインクルウィッシュ","A","人助け、応援","人助けが大好き！　前向き格闘娘","128701"
"レイ（アストラル）","163","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","0","早見沙織","2","1","12","魔族","46","18","トゥインクルウィッシュ","B","読書、乗馬、お茶","クールで何事にも真っ直ぐな剣士","128801"
"ユイ（アストラル）","158","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","0","種田梨沙","2","4","5","ヒューマン","47","17","トゥインクルウィッシュ","O","料理、人間観察","戦闘のサポートが得意な、心優しい少女","128901"
"エリス","168","","0","桑島法子","","2","15","ヒューマン","??","??","？？？","?","騎士クンの話を聞くこと","悲劇の根源に咲き誇る美しき黒薔薇","129001"
"ユニ（ウィンター）","142","","0","小原好美","16","2","28","ヒューマン","36","18","聖テレサ女学院（なかよし部）","O","読書","書庫に眠れる小さな賢人","129301"
"クロエ（ウィンター）","154","","0","種﨑敦美","16","8","7","エルフ","42","17","聖テレサ女学院（なかよし部）","O","ダーツ","ダウンタウン育ちのダウナー系エルフ","129401"
"アネモネ","145","","0","立花日菜","","4","2","妖魔人","39","13","？？？","A","花の手入れ、トゲぬき","孤絶の香を纏う花の妖魔人","129601"
"ネフィ＝ネラ","139","","0","大久保瑠美","","12","31","妖魔人","??","??","？？？","?","おままごと、人間観察","万魔の頂点、煉獄の媛君","129701"
"マコト（コマンダー）","168","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","0","小松未可子","10","8","9","獣人族","54","17","自警団（カォン）","O","お菓子作り","男勝りで情に厚いワイルド娘","129801"
"エリコ（コマンダー）","154","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","0","橋本ちなみ","13","7","30","魔族","43","16","トワイライトキャラバン","B","実験、裁縫、料理","運命の相手に一途すぎる乙女","129901"
"ヤマト","168","","0","ファイルーズあい","21","1","8","エルフ","55","21","バンディ・シスターズ","B","妹たちを躾ける","悪運に愛された、盗賊ギルドの頭領長女","130001"
"ワカナ","158","","0","石見舞菜香","21","5","30","ヒューマン","45","16","バンディ・シスターズ","A","編み物","大変だけど元気です。盗賊ギルドの次女","130101"
"フブキ","136","","0","花井美春","21","3","5","獣人族","37","12","バンディ・シスターズ","AB","ワカナをいぢめること","生意気だけど超天才！　盗賊ギルドの三女","130201"
"キョウカ（スプリング）","118","","0","小倉唯","5","2","2","エルフ","21","8","リトルリリカル","A","お勉強","礼儀正しくしっかり者のちびっ子優等生","130701"
"スズメ（スプリング）","154","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","0","悠木碧","9","12","12","ヒューマン","43","15","サレンディア救護院","O","ご奉仕","お嬢さまのためにがんばるドジっ娘メイド","130801"
"クルル","158","","0","田中美海","","8","2","宝石兎族","46","16","ジオ・テオゴニア","A","掃除、宝石や遊園地の手入れ","なんでもあげちゃうポンコツ支配人バニー","130901"
"マホ（ドリームパーク）","155","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","0","内田真礼","10","9","22","獣人族","42","16","自警団（カォン）","O","空想、ぬいぐるみ集め","マホマホ王国のプリンセス","131001"
"ネア（サマー）","157","","0","和氣あず未","19","6","13","魔族？","55","19","レイジ・レギオン","B","可愛いショタと遊ぶ、買い物","ショタ大好き♪　ギャル系スライム娘","131101"
"ミソラ（サマー）","159","","0","鬼頭明里","19","7","2","ヒューマン","??","16","レイジ・レギオン","A","特に無し","明朗快活、なれど破滅に流るる溌溂少女","131201"
"リリ（サマー）","154","","0","鈴木みのり","20","4","29","ヒューマン","44","15","アルターメイデン","A","華道、読書（古典）、トーゴク画","贖罪を胸に強さを求める妹系大和撫子","131601"
"アメス（サマー）","150","","0","相坂優歌","","?","?","？？？","???","??","？？？","?","？？？","新たな姿で騎士の冒険を支え続ける妖精","131701"
"ホマレ（サマー）","168","","0","大西沙織","17","4","17","ドラゴン族","???","25","ドラゴンズネスト","O","絵画、読書","妖しい微笑で全てを見透かす臥竜の頭領","131801"
"エミリア（サマー）","164","","0","高橋李依","","9","23","ハーフエルフ","??","114","？？？","?","パックの毛繕い、勉強","銀髪のおっとりハーフエルフ","131901"
"エキドナ（サマー）","164","","0","坂本真綾","","1","24","？？？","???","??","？？？","?","知識欲を満たすこと","強欲の魔女","132001"
"レム（サマー）","154","","0","水瀬いのり","","2","2","鬼族","??","17","？？？","?","演劇鑑賞、詩文","鬼がかりの万能妹メイド","132101"
"ノゾミ（アルケミスト）","157","","0","日笠陽子","4","1","24","ヒューマン","40","17","カルミナ","B","舞台鑑賞、ダンス","歌って踊れる大人気アイドル","132201"
"ライラエル（クリスマス）","162","","0","河瀬茉希","","1","17","天使族","??","??","？？？","?","昼寝、新作スイーツの試食","優しさと傲慢さを併せ持つプリンセス","132801"
"ヒヨリ（プリンセス）","155","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","0","東山奈央","2","8","27","獣人族","44","16","トゥインクルウィッシュ","A","人助け、応援","人助けが大好き！　前向き格闘娘","180101"
"ユイ（プリンセス）","158","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","0","種田梨沙","2","4","5","ヒューマン","47","17","トゥインクルウィッシュ","O","料理、人間観察","戦闘のサポートが得意な、心優しい少女","180201"
"レイ（プリンセス）","163","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","0","早見沙織","2","1","12","魔族","46","18","トゥインクルウィッシュ","B","読書、乗馬、お茶","クールで何事にも真っ直ぐな剣士","180301"
"ぺコリーヌ（プリンセス）","156","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","0","M・A・O","1","3","31","ヒューマン","46","17","美食殿","O","食べ歩き、料理","いつも元気な腹ペコ少女","180401"
"コッコロ（プリンセス）","140","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","0","伊藤美来","1","5","11","エルフ","35","11","美食殿","B","瞑想、動植物の飼育","主を慕う、小さなガイド役","180501"
"キャル（プリンセス）","152","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","0","立花理香","1","9","2","獣人族","39","14","美食殿","A","猫と遊ぶ","行き倒れの謎のネコミミ魔法使い","180601"
"ハツネ＆シオリ","-","","0","大橋彩香、小清水亜美","500","-","-","エルフ、獣人族","-","17","フォレスティエ、牧場（エリザベスパーク）","-","二人でピクニックに行くこと","絆でつながる信愛の姉妹","180701"
"ミソギ＆ミミ＆キョウカ","-","","0","諸星すみれ、日高里菜、小倉唯","5","-","-","ヒューマン、獣人族、エルフ","-","17","リトルリリカル","-","みんなで冒険すること","勇気！　友情！　リリカルズ！","180801"
"アキノ＆サレン","-","","0","松嵜麗、堀江由衣","501","-","-","ヒューマン、エルフ","-","17","メルクリウス財団、サレンディア救護院","-","切磋琢磨","気高き友情で結ばれた好敵手","180901"
"アン＆グレア","-","","0","日笠陽子、福原綾香","","-","-","ヒューマン、半人半竜","-","17","？？？","-","一緒にピアノを連弾すること","約束を誓い合うマナリアの双姫","181001"
"シズル＆リノ","-","","0","生天目仁美、阿澄佳奈","3","-","-","ヒューマン、ヒューマン","-","18","ラビリンス","-","弟を愛でること＆兄に甘えること","真実も偽りも超えるきょうだい","181101"
"シェフィ（プリンセス）","147","","0","近藤玲奈","1","12","14","ドラゴン族","???","14","美食殿","B","読書、ストレッチ","記憶喪失のドラゴン娘","181201"
"ドクロ親父","-","","0","-","","-","-","-","-","-","-","-","-","美女と娘が大好き♪　ろくでなし骸骨男","427101"
"ヒヨリ","155","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","0","東山奈央","2","8","27","獣人族","44","16","トゥインクルウィッシュ","A","人助け、応援","人助けが大好き！　前向き格闘娘","900103"
"イノリ","145","","0","藤田茜","17","9","29","ドラゴン族","???","13","ドラゴンズネスト","AB","ゲーム","口が達者なヘタレドラゴン","906601"
"レイ（アストラル）","163","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","0","早見沙織","17","1","12","魔族","46","18","トゥインクルウィッシュ","B","読書、乗馬、お茶","クールで何事にも真っ直ぐな剣士","928801"
