3f45154b3679c3152c433c5d36a967b27b26222ea0d74988bbf3e03d79c4231e,801cf61fa9a310acfb9925ee8c95bf8be8f04943dce8d4bf488d2a459e95b85e,d2e605415f139beca30a695d0e6ef992aba01cb085c41d5cbb1e726487ea54aa,2dab1efce72b38559e29f2b3ce52e8c6881a89e22b1b6caeeb39bfa72cd59f50,316ff06080f702f81425406d4a8b544fb06480f65ef1662b0858e9d6e63937db
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","622","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501130"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","623","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501130"
"ＴＰダウンカット","boss_tp_down_cut","624","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501130"
"ダメージ減衰","18","625","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501130"
"ＴＰ上昇上限付与","17","626","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501130"
"ＨＰ吸収ダウン","9","627","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501130"
"闇属性ボーナス特大アップ","16","628","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501140"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","629","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501140"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","630","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501140"
"ＴＰダウンカット","boss_tp_down_cut","631","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501140"
"ダメージ減衰","18","632","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501140"
"ＴＰ上昇上限付与","17","633","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501140"
"ＨＰ吸収ダウン","9","634","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501140"
"闇属性ボーナス特大アップ","16","635","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501210"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","636","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501210"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","637","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501210"
"ＴＰダウンカット","boss_tp_down_cut","638","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501210"
"ダメージ減衰","18","639","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501210"
"ＴＰ上昇上限付与","17","640","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501210"
"ＨＰ吸収ダウン","9","641","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501210"
"闇属性ボーナス特大アップ","16","642","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501220"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","643","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501220"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","644","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501220"
"ＴＰダウンカット","boss_tp_down_cut","645","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501220"
"ダメージ減衰","18","646","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501220"
"ＴＰ上昇上限付与","17","647","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501220"
"ＨＰ吸収ダウン","9","648","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501220"
"闇属性ボーナス特大アップ","16","649","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501230"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","650","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501230"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","651","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501230"
"ＴＰダウンカット","boss_tp_down_cut","652","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501230"
"ダメージ減衰","18","653","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501230"
"ＴＰ上昇上限付与","17","654","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501230"
"ＨＰ吸収ダウン","9","655","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501230"
"闇属性ボーナス特大アップ","16","656","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501240"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","657","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501240"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","658","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501240"
"ＴＰダウンカット","boss_tp_down_cut","659","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501240"
"ダメージ減衰","18","660","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501240"
"ＴＰ上昇上限付与","17","661","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501240"
"ＨＰ吸収ダウン","9","662","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501240"
"闇属性ボーナス特大アップ","16","663","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501310"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","664","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501310"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","665","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501310"
"ＴＰダウンカット","boss_tp_down_cut","666","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501310"
"ダメージ減衰","18","667","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501310"
"ＴＰ上昇上限付与","17","668","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501310"
"ＨＰ吸収ダウン","9","669","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501310"
"闇属性ボーナス特大アップ","16","670","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501320"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","671","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501320"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","672","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501320"
"ＴＰダウンカット","boss_tp_down_cut","673","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501320"
"ダメージ減衰","18","674","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501320"
"ＴＰ上昇上限付与","17","675","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501320"
"ＨＰ吸収ダウン","9","676","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501320"
"闇属性ボーナス特大アップ","16","677","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501330"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","678","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501330"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","679","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501330"
"ＴＰダウンカット","boss_tp_down_cut","680","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501330"
"ダメージ減衰","18","681","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501330"
"ＴＰ上昇上限付与","17","682","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501330"
"ＨＰ吸収ダウン","9","683","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501330"
"闇属性ボーナス特大アップ","16","684","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92501340"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","685","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92501340"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","686","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92501340"
"ＴＰダウンカット","boss_tp_down_cut","687","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92501340"
"ダメージ減衰","18","688","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92501340"
"ＴＰ上昇上限付与","17","689","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92501340"
"ＨＰ吸収ダウン","9","690","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92501340"
"水属性ボーナス特大アップ","13","691","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414010"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","692","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414010"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","693","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414010"
"ＴＰ上昇上限付与","17","694","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414010"
"ＨＰ吸収ダウン","9","695","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414010"
"水属性ボーナス特大アップ","13","696","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414020"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","697","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414020"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","698","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414020"
"ＴＰ上昇上限付与","17","699","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414020"
"ＨＰ吸収ダウン","9","700","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414020"
"水属性ボーナス特大アップ","13","701","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414030"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","702","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414030"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","703","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414030"
"ＴＰ上昇上限付与","17","704","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414030"
"ＨＰ吸収ダウン","9","705","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414030"
"水属性ボーナス特大アップ","13","706","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414110"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","707","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414110"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","708","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414110"
"ＴＰダウンカット","boss_tp_down_cut","709","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414110"
"ダメージ減衰","18","710","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414110"
"ＴＰ上昇上限付与","17","711","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414110"
"ＨＰ吸収ダウン","9","712","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414110"
"水属性ボーナス特大アップ","13","713","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414120"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","714","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414120"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","715","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414120"
"ＴＰダウンカット","boss_tp_down_cut","716","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414120"
"ダメージ減衰","18","717","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414120"
"ＴＰ上昇上限付与","17","718","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414120"
"ＨＰ吸収ダウン","9","719","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414120"
"水属性ボーナス特大アップ","13","720","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414130"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","721","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414130"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","722","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414130"
"ＴＰダウンカット","boss_tp_down_cut","723","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414130"
"ダメージ減衰","18","724","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414130"
"ＴＰ上昇上限付与","17","725","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414130"
"ＨＰ吸収ダウン","9","726","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414130"
"水属性ボーナス特大アップ","13","727","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414140"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","728","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414140"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","729","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414140"
"ＴＰダウンカット","boss_tp_down_cut","730","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414140"
"ダメージ減衰","18","731","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414140"
"ＴＰ上昇上限付与","17","732","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414140"
"ＨＰ吸収ダウン","9","733","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414140"
"水属性ボーナス特大アップ","13","734","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414210"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","735","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414210"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","736","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414210"
"ＴＰダウンカット","boss_tp_down_cut","737","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414210"
"ダメージ減衰","18","738","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414210"
"ＴＰ上昇上限付与","17","739","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414210"
"ＨＰ吸収ダウン","9","740","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414210"
"水属性ボーナス特大アップ","13","741","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414220"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","742","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414220"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","743","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414220"
"ＴＰダウンカット","boss_tp_down_cut","744","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414220"
"ダメージ減衰","18","745","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414220"
"ＴＰ上昇上限付与","17","746","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414220"
"ＨＰ吸収ダウン","9","747","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414220"
"水属性ボーナス特大アップ","13","748","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414230"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","749","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414230"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","750","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414230"
"ＴＰダウンカット","boss_tp_down_cut","751","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414230"
"ダメージ減衰","18","752","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414230"
"ＴＰ上昇上限付与","17","753","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414230"
"ＨＰ吸収ダウン","9","754","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414230"
"水属性ボーナス特大アップ","13","755","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414240"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","756","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414240"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","757","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414240"
"ＴＰダウンカット","boss_tp_down_cut","758","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414240"
"ダメージ減衰","18","759","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414240"
"ＴＰ上昇上限付与","17","760","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414240"
"ＨＰ吸収ダウン","9","761","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414240"
"水属性ボーナス特大アップ","13","762","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414310"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","763","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414310"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","764","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414310"
"ＴＰダウンカット","boss_tp_down_cut","765","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414310"
"ダメージ減衰","18","766","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414310"
"ＴＰ上昇上限付与","17","767","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414310"
"ＨＰ吸収ダウン","9","768","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414310"
"水属性ボーナス特大アップ","13","769","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414320"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","770","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414320"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","771","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414320"
"ＴＰダウンカット","boss_tp_down_cut","772","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414320"
"ダメージ減衰","18","773","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414320"
"ＴＰ上昇上限付与","17","774","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414320"
"ＨＰ吸収ダウン","9","775","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414320"
"水属性ボーナス特大アップ","13","776","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414330"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","777","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414330"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","778","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414330"
"ＴＰダウンカット","boss_tp_down_cut","779","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414330"
"ダメージ減衰","18","780","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414330"
"ＴＰ上昇上限付与","17","781","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414330"
"ＨＰ吸収ダウン","9","782","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414330"
"水属性ボーナス特大アップ","13","783","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92414340"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","784","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92414340"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","785","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92414340"
"ＴＰダウンカット","boss_tp_down_cut","786","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92414340"
"ダメージ減衰","18","787","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92414340"
"ＴＰ上昇上限付与","17","788","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92414340"
"ＨＰ吸収ダウン","9","789","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92414340"
"風属性ボーナス特大アップ","14","790","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","92415010"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","791","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92415010"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","792","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92415010"
"ＴＰ上昇上限付与","17","793","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92415010"
"ＨＰ吸収ダウン","9","794","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92415010"
"風属性ボーナス特大アップ","14","795","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","92415020"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","796","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92415020"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","797","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92415020"
"ＴＰ上昇上限付与","17","798","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92415020"
"ＨＰ吸収ダウン","9","799","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92415020"
"風属性ボーナス特大アップ","14","800","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","92415030"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","801","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92415030"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","802","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92415030"
"ＴＰ上昇上限付与","17","803","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92415030"
"ＨＰ吸収ダウン","9","804","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92415030"
"風属性ボーナス特大アップ","14","805","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","92415110"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","806","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92415110"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","807","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92415110"
"ＴＰダウンカット","boss_tp_down_cut","808","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92415110"
