eb30f3761fca076022084c581ddd253b75cf03adfbc633454c3d13c9dfd0c4ec,f6e73ea58f8960f52a806d06e7f43684ddb6b57b735a4aa4c3c4fdd9d4f961fb,0090ecb259be71e3607add5003b45f2df0f03834c9b4c674b45aaba252dca668,88da47e1a1d2fdd976b40c5f3670857c2bc0d4b4f56e52dcbd3978bbf952acd3,f5a0b1fdb9a99e435e8a4d033f2402b895cb1d7362bfbb98b561a2a39e9acc31,30a70a142b371f385436769e3c77c4db84ea8a8c41b23e8663958e1776b9913f,ea44dfbb0ccaf7cf04bd0b706f1cc14d15b19ef5d3d0477b022d011785242afb,aeba082e8e2c2a6300986fac591646d97558a0533afa1234748b85fafbdbc2b5,1a21018444b6a01ff565961509bfa12d73e1f7b3aa9883c1c68aaa64e7be4d22,379ce90ede24c867cdbe08081a6c017da0b0fac111fd16fb571e7ad32da8f28c,a281308d42b4e60399dc1651239c3b6512ab258aaa6a257d890349ef15d417f1,22d19dd731f13e221aa96a7a641103f14fff1f36db6796c25d306df131bbd4fc,f0d786006f9c0af4295d9afe7e0f4fec2e10acfe0d88a6a43b2b29c87eee99ae,afa555747a5037d6309954eaddc0f084b87131b63530fa0f7e605c20c3431190,fbd0dd93c01eeb11b313a04e36965d97b090cab9c1c55b1f9a82304f7cdbef84,7ad9d10c3957fa72c0385f3577e00dd82559b0abe46414ad599e2fc607b4cf6e
"ヴァイスフリューゲル　ランドソル支部","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","クウカ（サマー）","157","小説を読むこと","長妻樹里","49","ヒューマン","11","AB","妄想大好き！　ほんとは照れ屋な女の子","15","127001","18","0","19"
"悪魔偽王国軍（ディアボロス）","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","シノブ（サマー）","157","占い","大坪由佳","42","魔族","12","AB","占いが得意な霊能少女","7","127101","18","0","22"
"美食殿","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","キャル（編入生）","152","猫と遊ぶ","立花理香","39","獣人族","9","A","行き倒れの謎のネコミミ魔法使い","1","127201","14","0","2"
"ルーセント学院","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","スズナ（編入生）","167","ファッション","上坂すみれ","48","魔族","4","O","天真爛漫で人気者のカリスマモデル","14","127301","17","0","10"
"サレンディア救護院","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","サレン（サラサリア）","156","経営、お茶会","堀江由衣","43","エルフ","10","A","救護院を経営する優しい庶民派お嬢様","9","127501","17","0","4"
"トワイライトキャラバン","","ルカ（サラサリア）","167","釣り","佐藤利奈","54","ヒューマン","7","B","人情味溢れる粋でいなせな「姉御」","13","127601","25","0","11"
"？？？","","リンド","145","妹と過ごす休日","豊田萌絵","???","ドラゴン族","2","?","真面目で一生懸命なドラゴンメイド（姉）","","127701","12","0","5"
"？？？","","ヴルム","145","サボり、姉と過ごす休日","関根明良","???","ドラゴン族","2","?","不真面目で気怠げなドラゴンメイド（妹）","","127801","12","0","5"
"美食殿","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","ペコリーヌ（クリスマス）","156","食べ歩き、料理","M・A・O","46","ヒューマン","3","O","いつも元気な腹ペコ少女","1","127901","17","0","31"
"リッチモンド商工会","","クレジッタ（クリスマス）","160","お金を数えること、悪だくみ","Lynn","57","ヒューマン","9","A","忠義に目覚めた女商人","18","128001","26","0","19"
"ドラゴンズネスト","","イノリ（ニューイヤー）","145","ゲーム","藤田茜","???","ドラゴン族","9","AB","口が達者なヘタレドラゴン","17","128301","13","0","29"
"フォレスティエ","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","ハツネ（ニューイヤー）","156","妹と遊ぶこと、二度寝、昼寝、早寝","大橋彩香","46","エルフ","12","A","みんなのために超能力を使う眠り姫","6","128401","17","0","24"
"自警団（カォン）","","カスミ（ニューイヤー）","152","読書、推理","水瀬いのり","41","獣人族","11","AB","頭脳明晰な美少女名探偵","10","128501","15","0","3"
"トゥインクルウィッシュ","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","ヒヨリ（アストラル）","155","人助け、応援","東山奈央","44","獣人族","8","A","人助けが大好き！　前向き格闘娘","2","128701","16","0","27"
"トゥインクルウィッシュ","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","レイ（アストラル）","163","読書、乗馬、お茶","早見沙織","46","魔族","1","B","クールで何事にも真っ直ぐな剣士","2","128801","18","0","12"
"トゥインクルウィッシュ","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","ユイ（アストラル）","158","料理、人間観察","種田梨沙","47","ヒューマン","4","O","戦闘のサポートが得意な、心優しい少女","2","128901","17","0","5"
"？？？","","エリス","168","騎士クンの話を聞くこと","桑島法子","??","ヒューマン","2","?","悲劇の根源に咲き誇る美しき黒薔薇","","129001","??","0","15"
"聖テレサ女学院（なかよし部）","","ユニ（ウィンター）","142","読書","小原好美","36","ヒューマン","2","O","書庫に眠れる小さな賢人","16","129301","18","0","28"
"聖テレサ女学院（なかよし部）","","クロエ（ウィンター）","154","ダーツ","種﨑敦美","42","エルフ","8","O","ダウンタウン育ちのダウナー系エルフ","16","129401","17","0","7"
"聖テレサ女学院（なかよし部）","","チエル（ウィンター）","156","ダンス、カラオケ","佐倉綾音","46","ヒューマン","9","O","自由奔放ナチュラル無礼な現代っ子","16","129501","16","0","15"
"？？？","","アネモネ","145","花の手入れ、トゲぬき","立花日菜","39","妖魔人","4","A","孤絶の香を纏う花の妖魔人","","129601","13","0","2"
"？？？","","ネフィ＝ネラ","139","おままごと、人間観察","大久保瑠美","??","妖魔人","12","?","万魔の頂点、煉獄の媛君","","129701","??","0","31"
"自警団（カォン）","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","マコト（コマンダー）","168","お菓子作り","小松未可子","54","獣人族","8","O","男勝りで情に厚いワイルド娘","10","129801","17","0","9"
"トワイライトキャラバン","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","エリコ（コマンダー）","154","実験、裁縫、料理","橋本ちなみ","43","魔族","7","B","運命の相手に一途すぎる乙女","13","129901","16","0","30"
"バンディ・シスターズ","","ヤマト","168","妹たちを躾ける","ファイルーズあい","55","エルフ","1","B","悪運に愛された、盗賊ギルドの頭領長女","21","130001","21","0","8"
"バンディ・シスターズ","","ワカナ","158","編み物","石見舞菜香","45","ヒューマン","5","A","大変だけど元気です。盗賊ギルドの次女","21","130101","16","0","30"
"バンディ・シスターズ","","フブキ","136","ワカナをいぢめること","花井美春","37","獣人族","3","AB","生意気だけど超天才！　盗賊ギルドの三女","21","130201","12","0","5"
"リトルリリカル","","キョウカ（スプリング）","118","お勉強","小倉唯","21","エルフ","2","A","礼儀正しくしっかり者のちびっ子優等生","5","130701","8","0","2"
"サレンディア救護院","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","スズメ（スプリング）","154","ご奉仕","悠木碧","43","ヒューマン","12","O","お嬢さまのためにがんばるドジっ娘メイド","9","130801","15","0","12"
"ジオ・テオゴニア","","クルル","158","掃除、宝石や遊園地の手入れ","田中美海","46","宝石兎族","8","A","なんでもあげちゃうポンコツ支配人バニー","","130901","16","0","2"
"自警団（カォン）","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","マホ（ドリームパーク）","155","空想、ぬいぐるみ集め","内田真礼","42","獣人族","9","O","マホマホ王国のプリンセス","10","131001","16","0","22"
"レイジ・レギオン","","ネア（サマー）","157","可愛いショタと遊ぶ、買い物","和氣あず未","55","魔族？","6","B","ショタ大好き♪　ギャル系スライム娘","19","131101","19","0","13"
"レイジ・レギオン","","ミソラ（サマー）","159","特に無し","鬼頭明里","??","ヒューマン","7","A","明朗快活、なれど破滅に流るる溌溂少女","19","131201","16","0","2"
"アルターメイデン","","リリ（サマー）","154","華道、読書（古典）、トーゴク画","鈴木みのり","44","ヒューマン","4","A","贖罪を胸に強さを求める妹系大和撫子","20","131601","15","0","29"
"？？？","","アメス（サマー）","150","？？？","相坂優歌","???","？？？","?","?","新たな姿で騎士の冒険を支え続ける妖精","","131701","??","0","?"
"ドラゴンズネスト","","ホマレ（サマー）","168","絵画、読書","大西沙織","???","ドラゴン族","4","O","妖しい微笑で全てを見透かす臥竜の頭領","17","131801","25","0","17"
"？？？","","エミリア（サマー）","164","パックの毛繕い、勉強","高橋李依","??","ハーフエルフ","9","?","銀髪のおっとりハーフエルフ","","131901","??","0","23"
"？？？","","エキドナ（サマー）","164","知識欲を満たすこと","坂本真綾","???","？？？","1","?","強欲の魔女","","132001","??","0","24"
"？？？","","レム（サマー）","154","演劇鑑賞、詩文","水瀬いのり","??","鬼族","2","?","鬼がかりの万能妹メイド","","132101","17","0","2"
"カルミナ","","ノゾミ（アルケミスト）","157","舞台鑑賞、ダンス","日笠陽子","40","ヒューマン","1","B","歌って踊れる大人気アイドル","4","132201","17","0","24"
"アルケス錬金堂","","ルイズマリー","160","妄想","鈴代紗弓","47","獣人族","1","A","むっつりスケベなチョロイン錬金術師","22","132301","17","0","2"
"アルケス錬金堂","","イロハ","170","虫捕り","青山吉能","53","ヒューマン","9","O","おっきな体と無邪気な心の天才剣士","22","132401","26","0","8"
"アルケス錬金堂","","ソノ","136","健康サプリを試すこと","井上ほの花","34","エルフ","11","AB","体は子ども、頭脳は大人な錬金堂店主","22","132501","10","0","8"
"？？？","","ライラエル（クリスマス）","162","昼寝、新作スイーツの試食","河瀬茉希","??","天使族","1","?","優しさと傲慢さを併せ持つプリンセス","","132801","??","0","17"
"ルーセント学院","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","イオ（クリスマス）","162","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","伊藤静","52","魔族","8","B","多くの男性を魅了する無垢な女教師","14","132901","23","0","14"
"？？？","","グレイス","166","水墨画","富田美憂","0","ヒューマン","10","AB","怜悧で幽愁、オバケでオトボケな守護騎士","","133001","21","0","31"
"？？？","","ヴァイオレット","158","香水集め、物語を読むこと","長縄まりあ","49","ヒューマン","2","A","冥府に咲くアンデッド系プリンセス","","133101","17","0","21"
"ヴァイスフリューゲル　ランドソル支部","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","モニカ（ニューイヤー）","140","お菓子屋通い","辻あゆみ","33","ヒューマン","7","A","見た目も中身もお子ちゃまな異国の軍人","15","133201","17","0","28"
"サレンディア救護院","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","サレン（ニューイヤー）","156","経営、お茶会","堀江由衣","43","エルフ","10","A","救護院を経営する優しい庶民派お嬢様","9","133501","17","0","4"
"？？？","","メドゥーサ","141","メドゥシアナと空を飛ぶこと","水橋かおり","??","妖魔人","12","B","わがままで意地っ張りな末っ子系蛇娘","","133601","14","0","7"
"ラビリンス","","ラビリスタ（アルファ）","160","人間観察","沢城みゆき","??","ヒューマン","7","AB","秘密結社ラビリンスの『迷宮女王』","3","133701","25","0","25"
"？？？","","ネネカ（アルファ）","149","物真似、芸術鑑賞","井口裕香","??","エルフ","3","O","研究所に隠れ住む物静かなお姉さん","","133801","24","0","24"
"王宮騎士団（NIGHTMARE）","","クリスティーナ（アルファ）","165","強敵との闘争","たかはし智秋","??","ヒューマン","2","O","傍若無人な王宮騎士団副団長","8","133901","27","0","7"
"？？？","","フィオ","???","貴方と冒険すること","相坂優歌","???","？？？","?","?","貴方と共にある導きの妖精","","134001","??","0","?"
"レイジ・レギオン","","ランファ（儀装束）","165","歌、読書、詩を書くこと","原田彩楓","53","魔族","12","O","静寂を求め歌う陰気少女","19","134301","20","0","28"
"カルミナ","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","チカ（儀装束）","163","各種楽器","福原綾香","46","ヒューマン","6","O","人々を守るために歌う、唱喚士の少女","4","134401","17","0","3"
"？？？","","クローチェ（エアリアル）","170","昼寝、誰かの役に立つこと","長谷川育美","全備重量278.1","機械人族","11","?","スマイル満タン！　パワフル機械少女","","134501","??","0","11"
"フォレスティエ","","アオイ（パイロット）","158","友達作りのイメトレ","花澤香菜","44","エルフ","6","AB","「友達」に憧れる、エルフの森の女の子","6","134601","13","0","6"
"？？？","","ホウオウ","142","湯浴み","篠田みなみ","40","妖魔人","10","?","偉大にして優雅、時々ぴよぴよ","","134701","18","0","10"
"カルミナ","","ツムギ（ジオ・ゲヘナ）","153","裁縫","木戸衣吹","45","ヒューマン","9","AB","ファッション大好きなキュートガール","4","134801","14","0","7"
"？？？","","カノン","155","狩り、おジュエリー集め","幸村恵理","48","妖魔人","10","B","奴隷ながらもお高貴なド令嬢","","134901","18","0","9"
"？？？","","エリス（サマー）","168","騎士クンの話を聞くこと","桑島法子","??","ヒューマン","2","?","悲劇の根源に咲き誇る美しき黒薔薇","","135001","??","0","15"
"美食殿","","シェフィ（サマー）","147","読書、ストレッチ","近藤玲奈","???","ドラゴン族","12","B","記憶喪失のドラゴン娘","1","135101","14","0","14"
"アルターメイデン","","プレシア（サマー）","135","ごはんをたべること","高尾奏音","34","獣人族","3","O","正義の魂を受け継ぐ、爆食系天然天才娘","20","135201","10","0","1"
"アルターメイデン","","クリア（サマー）","147","お菓子作り、花の世話、バイオリン演奏","前田佳織里","42","ヒューマン","11","O","忘れ難い罪過を抱える、黒き翼の聖女","20","135301","13","0","1"
"？？？","","アネモネ（サマー）","145","花の手入れ、トゲぬき","立花日菜","39","妖魔人","4","A","孤絶の香を纏う花の妖魔人","","135401","13","0","2"
"？？？","","アイラ","162","人助け、街歩き、利き麦しゅわ","松岡由貴","??","獣人族","3","?","太陽と熱砂の国で未来を願う笑顔の豪炎","","135501","??","0","27"
"？？？","","シナツ","167","武器の手入れ、瞑想、釣り","皆川純子","??","魔族","2","?","曙光と翠嵐の国で未来を護る寡黙な剣豪","","135601","??","0","9"
"トゥインクルウィッシュ","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","ヒヨリ（サラサリア）","155","人助け、応援","東山奈央","44","獣人族","8","A","人助けが大好き！　前向き格闘娘","2","135701","16","0","27"
"？？？","","ユキノ","179","三味線、死魔エナガのお世話","天野聡美","63","雪女","12","O","真白き冬化粧を纏う、一途な心の雪女","","135801","19","0","30"
"？？？","","サツキ","135","強敵との手合わせ、夜廻り","島袋美由利","29","鬼族","2","O","怪力無双、ハードボイルドな仁義の鬼嬢","","135901","20","0","2"
"？？？","","アラクネ","240","光を追うこと、整理整頓","遠藤綾","108","妖魔人","1","AB","新たな道を歩み始めた女郎蜘蛛","","136001","28","0","15"
"？？？","","サクラ","158","お菓子作り、パズルゲーム","本渡楓","46","ゾンビ","4","A","サガを救うアイドルゾンビ","","136101","享年17","0","2"
"？？？","","ナーナ","152","巣ごもり、昼寝","黒沢ともよ","53","妖魔人","2","O","落ちこぼれでもめげない、アルミラージ娘","","136201","16","0","10"
"レイジ・レギオン","","ミソラ（クリスマス）","159","特に無し","鬼頭明里","??","ヒューマン","7","A","明朗快活、なれど破滅に流るる溌溂少女","19","136301","16","0","2"
"トゥインクルウィッシュ","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","ユイ（クリスマス）","158","料理、人間観察","種田梨沙","47","ヒューマン","4","O","戦闘のサポートが得意な、心優しい少女","2","136401","17","0","5"
"ラビリンス","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","シズル（ニューイヤー）","168","家事全般","生天目仁美","54","ヒューマン","10","O","お姉ちゃんがお世話してあげるからねっ！","3","136501","18","0","24"
"？？？","","ルルィ","148","タコ料理、潮干狩り、ひとりじゃんけん","飯田ヒカル","??","？？？","10","青","がんばりましゅ！　うじゅうじゅタコ娘","","136901","13(?)","0","8"
"ヴァイスフリューゲル　ランドソル支部","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","ニノン（サマー）","163","忍法開発","佐藤聡美","51","ヒューマン","8","O","トーゴクの神秘、オシエテクダサイ！","15","137101","16","0","31"
"自警団（カォン）","","カスミ（シスター）","152","読書、推理","水瀬いのり","41","獣人族","11","AB","頭脳明晰な美少女名探偵","10","137401","15","0","3"
"美食殿","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","コッコロ（嚮導幼君）","164","瞑想、動植物の飼育","伊藤美来","48","エルフ","5","B","主を想い、“進化”したガイド役","1","137601","11","0","11"
"ラビリンス","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","リノ（ニューイヤー）","156","お裁縫","阿澄佳奈","44","ヒューマン","8","A","人懐っこくてマシンガントークな妹系少女","3","137901","15","0","25"
"？？？","","ヴァイオレット（イサナミ）","158","香水集め、物語を読むこと","長縄まりあ","49","ヒューマン","2","A","冥府に咲くアンデッド系プリンセス","","138001","17","0","21"
"？？？","","ライラエル（パルフェクト）","162","昼寝、新作スイーツの試食","河瀬茉希","??","天使族","1","?","優しさと傲慢さを併せ持つプリンセス","","138101","??","0","17"
"？？？","","ネフィ＝ネラ（鬼面仏心）","139","おままごと、人間観察","大久保瑠美","??","妖魔人","12","?","万魔の頂点、煉獄の媛君","","138201","??","0","31"
"美食殿","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","ペコリーヌ（アストライア）","156","食べ歩き、料理","M・A・O","46","ヒューマン","3","O","いつも元気な腹ペコ少女","1","138301","17","0","31"
"バンディ・シスターズ","","ワカナ（ウィンター）","158","編み物","石見舞菜香","45","ヒューマン","5","A","大変だけど元気です。盗賊ギルドの次女","21","138701","16","0","30"
"牧場（エリザベスパーク）","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","シオリ（ウィンター）","153","読書、お散歩","小清水亜美","40","獣人族","11","A","読書が趣味の病弱少女","11","138801","14","0","3"
"？？？","","グレイス（バニー）","166","水墨画","富田美憂","0","ヒューマン","10","AB","怜悧で幽愁、オバケでオトボケな守護騎士","","138901","21","0","31"
"リトルリリカル","","キョウカ（ゴシック）","118","お勉強","小倉唯","21","エルフ","2","A","礼儀正しくしっかり者のちびっ子優等生","5","139001","8","0","2"
"美食殿","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","キャル（覇瞳天星）","152","猫と遊ぶ","立花理香","39","獣人族","9","A","行き倒れの謎のネコミミ魔法使い","1","139101","14","0","2"
"？？？","","ミホ（ガルパン）","158","ぬいぐるみを集めること","渕上舞","??","ヒューマン","10","A","戦車道の乙女は、友達想いの魔法使い","","139201","16","0","23"
"？？？","","マホ（ガルパン）","163","チェス","田中理恵","??","獣人族","7","A","獣の姿、鋼の心。蹂躙するは王者の弓","","139301","18","0","1"
"？？？","","エリカ（ガルパン）","159","ボクササイズ","生天目仁美","??","エルフ","3","AB","戦局を切り拓くエルフの双剣使い","","139401","16","0","6"
"アルターメイデン","","リリ（ヴァルキュリア）","154","華道、読書（古典）、トーゴク画","鈴木みのり","44","ヒューマン","4","A","贖罪を胸に強さを求める妹系大和撫子","20","139501","15","0","29"
"アルターメイデン","","クリア（ヴァルキュリア）","147","お菓子作り、花の世話、バイオリン演奏","前田佳織里","42","ヒューマン","11","O","忘れ難い罪過を抱える、黒き翼の聖女","20","139601","13","0","1"
"アルターメイデン","","プレシア（ヴァルキュリア）","135","ごはんをたべること","高尾奏音","34","獣人族","3","O","正義の魂を受け継ぐ、爆食系天然天才娘","20","139701","10","0","1"
"美食殿","","シェフィ（ヴァードラッヘ）","147","読書、ストレッチ","近藤玲奈","???","ドラゴン族","12","B","記憶喪失のドラゴン娘","1","139801","14","0","14"
"アルケス錬金堂","","ルイズマリー（サマー）","160","妄想","鈴代紗弓","47","獣人族","1","A","むっつりスケベなチョロイン錬金術師","22","139901","17","0","2"
"リッチモンド商工会","","クレジッタ（サマー）","160","お金を数えること、悪だくみ","Lynn","57","ヒューマン","9","A","忠義に目覚めた女商人","18","140001","26","0","19"
"バンディ・シスターズ","","フブキ（サマー）","136","ワカナをいぢめること","花井美春","37","獣人族","3","AB","生意気だけど超天才！　盗賊ギルドの三女","21","140101","12","0","5"
"？？？","","ヴァンピィ（サマー）","149","お散歩、お料理","釘宮理恵","41","魔族","12","AB","けんぞくのご主人様","","140201","??","0","6"
"？？？","","ティア","150","クイズを考えること","高田憂希","???","？？？","2","?","世界を繕う認識の修正者","","140301","??","0","15"
"？？？","","リーザ","163","薬学の勉強、クーの散歩","若山詩音","48","ダークエルフ","12","AB","彷徨える『強欲』のダークエルフ","","140401","19","0","17"
"？？？","","ヴルム（ヴァルムドラッヘ）","155","サボり、姉と過ごす休日","関根明良","???","ドラゴン族","2","?","不真面目で気怠げなドラゴンメイド（妹）","","140501","12","0","5"
"？？？","","クローチェ（サブマリン）","170","昼寝、誰かの役に立つこと","長谷川育美","全備重量333.3","機械人族","11","?","スマイル満タン！　パワフル機械少女","","140601","??","0","11"
"トゥインクルウィッシュ","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","ヒヨリ（プリンセス）","155","人助け、応援","東山奈央","44","獣人族","8","A","人助けが大好き！　前向き格闘娘","2","180101","16","0","27"
"トゥインクルウィッシュ","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","ユイ（プリンセス）","158","料理、人間観察","種田梨沙","47","ヒューマン","4","O","戦闘のサポートが得意な、心優しい少女","2","180201","17","0","5"
"トゥインクルウィッシュ","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","レイ（プリンセス）","163","読書、乗馬、お茶","早見沙織","46","魔族","1","B","クールで何事にも真っ直ぐな剣士","2","180301","18","0","12"
"美食殿","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","ぺコリーヌ（プリンセス）","156","食べ歩き、料理","M・A・O","46","ヒューマン","3","O","いつも元気な腹ペコ少女","1","180401","17","0","31"
"美食殿","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","コッコロ（プリンセス）","140","瞑想、動植物の飼育","伊藤美来","35","エルフ","5","B","主を慕う、小さなガイド役","1","180501","11","0","11"
"美食殿","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","キャル（プリンセス）","152","猫と遊ぶ","立花理香","39","獣人族","9","A","行き倒れの謎のネコミミ魔法使い","1","180601","14","0","2"
"フォレスティエ、牧場（エリザベスパーク）","","ハツネ＆シオリ","-","二人でピクニックに行くこと","大橋彩香、小清水亜美","-","エルフ、獣人族","-","-","絆でつながる信愛の姉妹","500","180701","-","0","-"
"リトルリリカル","","ミソギ＆ミミ＆キョウカ","-","みんなで冒険すること","諸星すみれ、日高里菜、小倉唯","-","ヒューマン、獣人族、エルフ","-","-","勇気！　友情！　リリカルズ！","5","180801","-","0","-"
"メルクリウス財団、サレンディア救護院","","アキノ＆サレン","-","切磋琢磨","松嵜麗、堀江由衣","-","ヒューマン、エルフ","-","-","気高き友情で結ばれた好敵手","501","180901","-","0","-"
"？？？","","アン＆グレア","-","一緒にピアノを連弾すること","日笠陽子、福原綾香","-","ヒューマン、半人半竜","-","-","約束を誓い合うマナリアの双姫","","181001","-","0","-"
"ラビリンス","","シズル＆リノ","-","弟を愛でること＆兄に甘えること","生天目仁美、阿澄佳奈","-","ヒューマン、ヒューマン","-","-","真実も偽りも超えるきょうだい","3","181101","-","0","-"
"美食殿","","シェフィ（プリンセス）","147","読書、ストレッチ","近藤玲奈","???","ドラゴン族","12","B","記憶喪失のドラゴン娘","1","181201","14","0","14"
"-","","ドクロ親父","-","-","-","-","-","-","-","美女と娘が大好き♪　ろくでなし骸骨男","","427101","-","0","-"
"トゥインクルウィッシュ","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","ヒヨリ","155","人助け、応援","東山奈央","44","獣人族","8","A","人助けが大好き！　前向き格闘娘","2","900103","16","0","27"
"ドラゴンズネスト","","イノリ","145","ゲーム","藤田茜","???","ドラゴン族","9","AB","口が達者なヘタレドラゴン","17","906601","13","0","29"
"トゥインクルウィッシュ","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","レイ（アストラル）","163","読書、乗馬、お茶","早見沙織","46","魔族","1","B","クールで何事にも真っ直ぐな剣士","17","928801","18","0","12"
