5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154
"0","21","vo_fpc","","","vo_fpc_21204","","","","19120039","912"
"1","11","126911","0","0","うん…","0.5","0","10","19120040","912"
"","91","0","","","","","","","19120041","912"
"","93","0.5","","","0","","","","19120042","912"
"12_kyouka_turn_loop","3","122711","1","0.1","12_kyouka_turn_in","","0.1","0","19120043","912"
"0","21","vo_fpc","","","vo_fpc_21205","","","","19120044","912"
"1","11","122711","0","0","なに？\nなにもないみたいだけど…","0.5","0","10","19120045","912"
"","91","0","","","","","","","19120046","912"
"","93","0.5","","","0","","","","19120047","912"
"","3","127111","","0.1","12_cmn_float_smile","","","1","19120048","912"
"0","21","vo_fpc","","","vo_fpc_21206","","","","19120049","912"
"1","11","127111","0","0","ふふっ。","0.5","0","10","19120050","912"
"","91","0","","","","","","","19120051","912"
"","93","0.5","","","0","","","","19120052","912"
"","3","126911","","0.1","12_cmn_float_smile","","","1","19120053","912"
"0","21","vo_fpc","","","vo_fpc_21207","","","","19120054","912"
"1","11","126911","0","0","ふふふふっ…","0.5","0","10","19120055","912"
"","91","0","","","","","","","19120056","912"
"","93","0.5","","","0","","","","19120057","912"
"4.29864253393665","2","127111","","","850","","","-180","19120058","912"
"4.29864253393665","33","11","","","850","","","-180","19120059","912"
"5.42986425339367","2","126911","","","850","","","-125","19120060","912"
"5.42986425339367","33","21","","","850","","","-125","19120061","912"
"","93","1","","","0","","","","19120062","912"
"12_kyouka_scare_loop","3","122711","1","0.1","12_kyouka_scare_in","","0.1","0","19120063","912"
"0","21","vo_fpc","","","vo_fpc_21208","","","","19120064","912"
"1","11","122711","0","0","ひぅっ！\nな、なんなんですかあ…","0.5","0","10","19120065","912"
"","91","0","","","","","","","19120066","912"
"","93","0.5","","","0","","","","19120067","912"
"12_kyouka_run_loop","3","122711","1","0.1","12_kyouka_run_in","","0.1","0","19120068","912"
"3.58220211161388","2","122711","","","-850","","","-15","19120069","912"
"","91","19120069","","","","","","","19120070","912"
"-800","1","1","-180","1.75","127011","13_kuka_bound","0","22","19130001","913"
"-170","31","104","1","0","1041","","","-600","19130002","913"
"-170","31","104","1","0","1042","","","-240","19130003","913"
"-170","31","104","1","0","1043","","","170","19130004","913"
"-170","31","104","1","0","1044","","","560","19130005","913"
"-85","31","1003","1","0","1003","","","-575","19130006","913"
"","23","se_10053800","","","se_fpc_water_random","","","1","19130007","913"
"","91","19130006","","","0","","","","19130008","913"
"0","32","1003","","","1","","","","19130009","913"
"","93","2","","","0","","","","19130010","913"
"","3","127011","","0.1","13_kuka_bound","","","1","19130011","913"
"2.35294117647059","2","127011","","","800","","","-180","19130012","913"
"","93","0.236666666666667","","","0","","","","19130013","913"
"","23","se_10053800","","","se_10053800_913_kuka","","","0","19130014","913"
"0","21","vo_fpc","","","vo_fpc_21300","","","","19130015","913"
"0","32","1041","","","1","","","","19130016","913"
"","93","0.536666666666667","","","0","","","","19130017","913"
"0","32","1042","","","1","","","","19130018","913"
"","93","0.536666666666667","","","0","","","","19130019","913"
"0","21","vo_fpc","","","vo_fpc_21301","","","","19130020","913"
"0","32","1043","","","1","","","","19130021","913"
"","93","0.536666666666667","","","0","","","","19130022","913"
"0","32","1044","","","1","","","","19130023","913"
"","93","2","","","0","","","","19130024","913"
"","91","19130012","","","","","","","19130025","913"
"-1000","1","1","-185","1.75","110611","14_maho_idle_loop","0","24","19140001","914"
"-1000","5","2","-185","1.75","2","cmn_boat_idle","0","22","19140002","914"
"-1000","5","3","-185","1.75","3","14_maho_idle_loop","0","23","19140003","914"
"-1220","1","1","-175","1.75","110511","cmn_float","0","25","19140004","914"
"-1520","1","1","-125","1.75","110411","14_makoto_float","0","12","19140005","914"
"-185","31","116","1","1","110611","","","-1000","19140006","914"
"-175","31","8","1","1","41","","","-1220","19140007","914"
"-175","31","120","1","0","120","","","-50","19140008","914"
"-125","31","4","1","1","42","","","-1520","19140009","914"
"-125","31","117","1","0","117","","","-350","19140010","914"
"","23","se_10053800","","","se_fpc_water_random","","","1","19140011","914"
"","91","19140010","","","0","","","","19140012","914"
"8.60294117647059","2","110611","12","","170","","","-185","19140013","914"
"8.60294117647059","2","2","12","","170","","","-185","19140014","914"
"8.60294117647059","2","3","12","","170","","","-185","19140015","914"
"8.60294117647059","33","110611","12","","170","","","-185","19140016","914"
"8.60294117647059","2","110511","12","","-50","","","-175","19140017","914"
"8.60294117647059","33","41","12","","-50","","","-175","19140018","914"
"8.60294117647059","2","110411","12","","-350","","","-125","19140019","914"
"8.60294117647059","33","42","12","","-350","","","-125","19140020","914"
"","91","19140013","","","","","","","19140021","914"
"14_maho_point_loop","3","110611","1","0.3","14_maho_point_in","","0.1","0","19140022","914"
"","3","2","","0.3","cmn_boat_idle","","","1","19140023","914"
"","3","3","","0.3","14_maho_idle_loop","","","1","19140024","914"
"0","21","vo_fpc","","","vo_fpc_21400","","","","19140025","914"
"1","11","110611","0","0","アーサー、ガウェイン、ランスロット\nうん、みんなそろっとるね。\nほな、いきまひょか。\nカオリはん、お願いしますー","0.5","0","10","19140026","914"
"","91","0","","","","","","","19140027","914"
"","93","0.5","","","0","","","","19140028","914"
"14_kaori_handUp_loop","3","110511","1","0.1","14_kaori_handUp_in","","0.1","0","19140029","914"
"0","21","vo_fpc","","","vo_fpc_21401","","","","19140030","914"
"1","11","110511","0","0","まーかせるさー！\nしゅっぱつしんこー！","0.5","0","10","19140031","914"
"","91","0","","","","","","","19140032","914"
"","93","0.5","","","0","","","","19140033","914"
"","3","110411","","0.1","14_makoto_pazzled","","","1","19140034","914"
"0","21","vo_fpc","","","vo_fpc_21402","","","","19140035","914"
"1","11","110411","0","0","いやいや待てって。\nそんなに張り切って押したら\nこいつら、水に落ちて濡れちまうだろ？","0.5","0","10","19140036","914"
"","91","0","","","","","","","19140037","914"
"","93","0.5","","","0","","","","19140038","914"
"14_maho_smile_loop","3","110611","1","0.3","14_maho_smile_in","","0.1","0","19140039","914"
"","3","2","","0.3","cmn_boat_idle","","","1","19140040","914"
"","3","3","","0.3","14_maho_idle_loop","","","1","19140041","914"
"0","21","vo_fpc","","","vo_fpc_21403","","","","19140042","914"
"1","11","110611","0","0","ふふっ、この子らは前に一緒に海に\n来てた子やから、お水には強いんどす。\nけど、落っこちたらかわいそうやし\n安全運転でお願いできますやろか♪","0.5","0","10","19140043","914"
"","91","0","","","","","","","19140044","914"
"","93","0.5","","","0","","","","19140045","914"
"0","21","vo_fpc","","","vo_fpc_21404","","","","19140046","914"
"1","11","110511","0","0","わかってるさー！\n琉球犬肉球安全泳法でいくさー！","0.5","0","10","19140047","914"
"","91","0","","","","","","","19140048","914"
"","93","0.5","","","0","","","","19140049","914"
"14_kaori_flutterKick_loop","3","110511","1","0.1","14_kaori_flutterKick_in","","0.1","0","19140050","914"
"","93","0.3","","","0","","","","19140051","914"
"6.47058823529412","2","110611","","","1270","","","-185","19140052","914"
"6.47058823529412","2","2","","","1270","","","-185","19140053","914"
"6.47058823529412","2","3","","","1270","","","-185","19140054","914"
"6.47058823529412","33","110611","","","1270","","","-185","19140055","914"
"","32","41","","","0","","","","19140056","914"
"","32","120","","","1","","","","19140057","914"
"6.47058823529412","2","110511","","","1050","","","-175","19140058","914"
"6.47058823529412","33","120","","","1050","","","-175","19140059","914"
"","93","1","","","0","","","","19140060","914"
"0","21","vo_fpc","","","vo_fpc_21405","","","","19140061","914"
"1","11","110411","0","0","な～んか心配なんだよな…\nしょうがない、あたしもついてくか。\nおーい、待てってば！","0.5","0","10","19140062","914"
"","91","0","","","","","","","19140063","914"
"","93","0.5","","","0","","","","19140064","914"
"cmn_swm_dogscratch","3","110411","1","0.1","14_makoto_dogscratch_in","","0.1","0","19140065","914"
"","93","0.3","","","0","","","","19140066","914"
"","32","42","","","0","","","","19140067","914"
"","32","117","","","1","","","","19140068","914"
"3.72637742879957","2","110411","","","1050","","","-125","19140069","914"
"3.72637742879957","33","117","","","1050","","","-125","19140070","914"
"s","91","19140069","","","","","","","19140071","914"
"-950","1","1","-180","1.75","110311","15_saren_idle","0","23","19150001","915"
"-950","5","2","-180","1.75","2","cmn_boat_idle","0","22","19150002","915"
"-750","1","1","-15","1.75","107711","15_suzume_walk_loop","0","12","19150003","915"
"-180","31","101","1","1","110311","","","-950","19150004","915"
"30","31","109","1","0","109","","","210","19150005","915"
"-125","31","4","1","0","4","","","330","19150006","915"
"","23","se_10053800","","","se_fpc_water_random","","","1","19150007","915"
"","13","107711","","","49","","","","19150008","915"
"","91","0","","","0","","","","19150009","915"
"5.51470588235294","2","107711","","","0","","","-15","19150010","915"
"","91","19150010","","","","","","","19150011","915"
"15_suzume_talk_loop","3","107711","1","0.1","15_suzume_talk_in","","0.1","0","19150012","915"
"0","21","vo_fpc","","","vo_fpc_21500","","","","19150013","915"
"1","11","107711","0","0","お嬢様とはぐれてしまいました…\n迷子だなんてメイド失格です～","0.5","0","10","19150014","915"
"","93","3.2","","","1","","","","19150015","915"
"","93","1.5","","","0","","","","19150016","915"
"","91","19150014","","","","","","","19150017","915"
"15_suzume_walk_loop","3","107711","1","0.1","15_suzume_walk_in","","0.1","0","19150018","915"
"11.9779411764706","2","110311","","","-100","","","-180","19150019","915"
"11.9779411764706","2","2","","","-100","","","-180","19150020","915"
"11.9779411764706","33","110311","","","-100","","","-180","19150021","915"
"4.22794117647059","2","107711","","","460","","","-15","19150022","915"
"","91","19150022","","","","","","","19150023","915"
"15_suzume_turn_loop","3","107711","1","0.1","15_suzume_turn_in","","0.1","0","19150024","915"
"","93","0.6","","","0","","","","19150025","915"
"0","21","vo_fpc","","","vo_fpc_21501","","","","19150026","915"
"1","11","107711","0","-15","あれは…お嬢様～！\n今参ります！","0.5","0","20","19150027","915"
"","93","1.7","","","0","","","","19150028","915"
"15_saren_notice_loop","3","110311","1","0.3","15_saren_notice_in","","0.1","0","19150029","915"
"","3","2","","0.3","cmn_boat_idle","","","1","19150030","915"
"","93","0.35","","","0","","","","19150031","915"
"","93","1.5","","","0","","","","19150032","915"
"0.5","2","107711","","","330","","","-15","19150033","915"
"","3","107711","","0.2","15_suzume_run","","0.1","1","19150034","915"
"0","21","vo_fpc","","","vo_fpc_21502","","","","19150035","915"
"1","11","110311","0","0","スズメ？\nって、走ると危なっ…","-0.5","0","100","19150036","915"
"","93","0.5","","","0","","","","19150037","915"
"","3","107711","","0.1","15_suzume_fallDown","","","0","19150038","915"
"","93","1.3","","","0","","","","19150039","915"
"0","21","vo_fpc","","","vo_fpc_21503","","","","19150040","915"
"1","11","107711","0","0","きゃあああ～！","-1.5","0","150","19150041","915"
"15_saren_rise_loop","3","110311","1","0.1","15_saren_rise_in","","0.1","0","19150042","915"
"","3","2","","0.1","cmn_boat_idle","","","1","19150043","915"
"","93","0.5","","","0","","","","19150044","915"
"1","6","107711","0","0.1","1","","","1","19150045","915"
"","32","109","","","1","","","","19150046","915"
"","93","1","","","0","","","","19150047","915"
"0","2","107711","","","330","","","-125","19150048","915"
"1","6","107711","1","0.4","1","","","1","19150049","915"
"15_suzume_drown_loop","3","107711","1","0.1","15_suzume_drown_in","","0.1","0","19150050","915"
"2.76470588235294","2","107711","","","800","","","-125","19150051","915"
"2.76470588235294","33","4","","","800","","","-125","19150052","915"
"","91","19150019","","","","","","","19150053","915"
"7.35294117647059","2","110311","","","900","","","-180","19150054","915"
"7.35294117647059","2","2","","","900","","","-180","19150055","915"
"7.35294117647059","33","110311","","","900","","","-180","19150056","915"
"0","21","vo_fpc","","","vo_fpc_21504","","","","19150057","915"
"1","11","110311","0","0","ス、スズメ？\nスズメ～っ！？","0.5","0","10","19150058","915"
"","91","0","","","","","","","19150059","915"
"","93","1.5","","","0","","","","19150060","915"
"s","91","19150054","","","","","","","19150061","915"
"-750","1","1","-15","1.4875","113111","cmn_walk","0","12","19160001","916"
"750","1","1","-15","1.4875","113311","16_nanaka_run","0","12","19160002","916"
"-850","1","1","-180","1.75","117411","cmn_swm_diving","0","22","19160003","916"
"-2500","1","1","-180","1.75","117011","cmn_swm_diving","0","22","19160004","916"
"50","5","7","-180","1.75","7","none","0","22","19160005","916"
"-1375","5","1","-180","1.75","11","cmn_floatRing_pink","0","22","19160006","916"
"-2500","5","1","-125","1.75","12","cmn_float_item_01_Ball","0","12","19160007","916"
"-180","31","4","1","1","11","","","-1375","19160008","916"
"-125","31","4","1","1","12","","","-2500","19160009","916"
"-180","31","9","1","1","91","","","-850","19160010","916"
"-180","31","9","1","1","92","","","-2500","19160011","916"
"155","31","1015","1","0","1015","","","-183","19160012","916"
"-180","31","1013","1","0","1013","","","50","19160013","916"
"","23","se_10053800","","","se_fpc_water_random","","","1","19160014","916"
"","91","19160013","","","0","","","","19160015","916"
"19.7058823529412","2","117411","","","2500","","","-180","19160016","916"
"19.7058823529412","33","91","","","2500","","","-180","19160017","916"
"24.6323529411765","2","11","","","1975","","","-180","19160018","916"
"24.6323529411765","33","11","","","1975","","","-180","19160019","916"
"19.7058823529412","2","117011","","","850","","","-180","19160020","916"
"19.7058823529412","33","92","","","850","","","-180","19160021","916"
"24.6323529411765","2","12","","","850","","","-125","19160022","916"
"24.6323529411765","33","12","","","850","","","-125","19160023","916"
"","93","3","","","0","","","","19160024","916"
"4.41176470588235","2","113111","","","-150","","","-15","19160025","916"
"","91","19160025","","","","","","","19160026","916"
"","3","113111","","0.3","16_ruka_think","","","1","19160027","916"
"","32","1015","","","1","","","","19160028","916"
"0","21","vo_fpc","","","vo_fpc_21600","","","","19160029","916"
"","93","0.6","","","0","","","","19160030","916"
"","93","1.5","","","0","","","","19160031","916"
"2.71493212669683","2","113311","","","150","","","-15","19160032","916"
"","91","19160032","","","","","","","19160033","916"
"","3","113311","","0.2","16_nanaka_idle_loop","","","1","19160034","916"
"0","21","vo_fpc","","","vo_fpc_21601","","","","19160035","916"
"1","11","113311","0","0","ル～カ～姉♪\n何見てんのかにゃ～？","0.5","0","10","19160036","916"
"","91","0","","","","","","","19160037","916"
"","93","0.5","","","0","","","","19160038","916"
"16_ruka_notice_loop","3","113111","1","0.1","16_ruka_notice_in","","0.1","0","19160039","916"
"0","21","vo_fpc","","","vo_fpc_21602","","","","19160040","916"
"1","11","113111","0","0","ん？　いや、特に何か\n考えてたわけじゃないが…","0.5","0","10","19160041","916"
"","91","0","","","","","","","19160042","916"
"","93","0.5","","","0","","","","19160043","916"
"16_nanaka_point_loop","3","113311","1","0.1","16_nanaka_point_in","","0.1","0","19160044","916"
"0","21","vo_fpc","","","vo_fpc_21603","","","","19160045","916"
"1","11","113311","0","0","ふっふっふ、ルカ姉の考えは\nまるっとお見通しだ！","0.5","0","10","19160046","916"
"","91","0","","","","","","","19160047","916"
"","93","0.5","","","0","","","","19160048","916"
"0","21","vo_fpc","","","vo_fpc_21604","","","","19160049","916"
"1","11","113311","0","0","ズバリ！\n「見ろ！　人が魚のようだ！」でしょ？","0.5","0","10","19160050","916"
"","91","0","","","","","","","19160051","916"
"","93","0.5","","","0","","","","19160052","916"
"16_ruka_talk_loop","3","113111","1","0.1","16_ruka_talk_in","","0.1","0","19160053","916"
"0","21","vo_fpc","","","vo_fpc_21605","","","","19160054","916"
"1","11","113111","0","0","そんなことはっ…\nちょっとだけ、考えちまったね…","0.5","0","10","19160055","916"
"","91","0","","","","","","","19160056","916"
"","93","0.5","","","0","","","","19160057","916"
"16_nanaka_idle_loop","3","113311","1","0.1","16_nanaka_idle_in","","0.1","0","19160058","916"
"0","21","vo_fpc","","","vo_fpc_21606","","","","19160059","916"
"1","11","113311","0","0","なっはっは、やっぱりね～♪","0.5","0","10","19160060","916"
"","91","0","","","","","","","19160061","916"
"","93","0.5","","","0","","","","19160062","916"
"cmn_run_def_N","3","113311","1","0.1","16_nanaka_turn","","0.1","0","19160063","916"
"2.71493212669683","2","113311","","","750","","","-15","19160064","916"
"","3","113111","","0.1","cmn_walk","","","1","19160065","916"
"5.29411764705882","2","113111","","","750","","","-15","19160066","916"
"","93","1.5","","","0","","","","19160067","916"
"none","3","7","","","fish","","0.1","0","19160068","916"
"","32","1013","","","1","","","","19160069","916"
"","93","3.2","","","0","","","","19160070","916"
"s","91","19160018","","","","","","","19160071","916"
"s","91","19160064","","","","","","","19160072","916"
"s","91","19160066","","","","","","","19160073","916"
"-950","1","1","-180","1.75","126711","17_akino_worry","0","23","19170001","917"
"-950","5","3","-180","1.75","3","empty","0","24","19170002","917"
"-950","5","2","-180","1.75","2","cmn_boat_idle","0","22","19170003","917"
"750","1","1","-15","1.4875","110311","cmn_walk_r","0","12","19170004","917"
"-180","31","101","1","1","126711","","","-950","19170005","917"
"","23","se_10053800","","","se_fpc_water_random","","","1","19170006","917"
"","91","19170005","","","0","","","","19170007","917"
"6.98529411764706","2","126711","12","","0","","","-180","19170008","917"
"6.98529411764706","2","3","12","","0","","","-180","19170009","917"
"6.98529411764706","2","2","12","","0","","","-180","19170010","917"
"6.98529411764706","33","126711","12","","0","","","-180","19170011","917"
"","91","19170008","","","","","","","19170012","917"
"0","21","vo_fpc","","","vo_fpc_21700","","","","19170013","917"
"1","11","126711","0","0","一向に目的地に着きませんわね…\nまさか、また迷ってしまいましたの？\nメルクリゾートは私の庭…\nそう思ってましたのに～っ！","0.5","0","10","19170014","917"
"","91","0","","","","","","","19170015","917"
"","93","0.5","","","0","","","","19170016","917"
"4.72689075630252","2","110311","","","300","","","-15","19170017","917"
"17_akino_laugh_loop","3","126711","1","0.3","17_akino_laugh_in","","0.1","0","19170018","917"
"17_akino_laugh_loop","3","3","1","0.3","17_akino_laugh_in","","0.1","0","19170019","917"
"","3","2","","0.3","cmn_boat_idle","","","1","19170020","917"
"0","21","vo_fpc","","","vo_fpc_21701","","","","19170021","917"
"1","11","126711","0","0","いいえ、違いますわ！…この私ですら\n迷わせるほどの広大なリゾート…\n財団の偉業を誇るべきですわね♪\nおーっほっほっほ！","0.5","0","20","19170022","917"
"","91","19170017","","","","","","","19170023","917"
"17_saren_talk_loop","3","110311","1","0.2","17_saren_talk_in","","0.1","0","19170024","917"
"","93","0.673109243697478","","","0","","","","19170025","917"
"","93","0.5","","","0","","","","19170026","917"
"","91","19170022","","","","","","","19170027","917"
"0","21","vo_fpc","","","vo_fpc_21702","","","","19170028","917"
"1","11","110311","0","0","…流れるプールなんだし、同じ場所を\nループしてるだけじゃない？","0.5","0","10","19170029","917"
"","91","0","","","","","","","19170030","917"
"17_akino_pause_loop","3","126711","1","0.1","17_akino_pause_in","","0.1","0","19170031","917"
"17_akino_pause_loop","3","3","1","0.1","17_akino_pause_in","","0.1","0","19170032","917"
"","3","2","","0.1","cmn_boat_idle","","","1","19170033","917"
"","93","2","","","0","","","","19170034","917"
"17_akino_shock_loop","3","126711","1","0.3","17_akino_shock_in","","0.1","0","19170035","917"
"","3","3","","","empty","","","0","19170036","917"
"","3","2","","0.3","cmn_boat_idle","","","1","19170037","917"
"0","21","vo_fpc","","","vo_fpc_21703","","","","19170038","917"
"1","11","126711","0","0","そ、そうなんですの！？\n盲点でしたわーーー！","0.5","0","10","19170039","917"
"","91","0","","","","","","","19170040","917"
"","93","0.5","","","0","","","","19170041","917"
"5.29411764705882","2","126711","","","900","","","-180","19170042","917"
"5.29411764705882","2","2","","","900","","","-180","19170043","917"
"5.29411764705882","33","126711","","","900","","","-180","19170044","917"
"","93","2.7","","","0","","","","19170045","917"
"cmn_walk","3","110311","1","0.1","17_saren_turn","","0.1","0","19170046","917"
"2.64705882352941","2","110311","","","750","","","-15","19170047","917"
"","91","19170042","","","","","","","19170048","917"
"","91","19170047","","","","","","","19170049","917"
"-850","1","1","-180","1.75","113511","18_misato_backWalk","0","22","19180001","918"
"-1010","1","1","-180","1.75","110111","18_io_flutterKick","0","23","19180002","918"
"-180","31","14","1","0","41","","","-850","19180003","918"
"-180","31","2","1","0","11","","","50","19180004","918"
"-180","31","14","1","0","42","","","-110","19180005","918"
"-180","31","123","1","1","12","","","-1010","19180006","918"
"","23","se_10053800","","","se_fpc_water_random","","","1","19180007","918"
"","91","19180006","","","0","","","","19180008","918"
"6.61764705882353","2","113511","12","","50","","","-180","19180009","918"
"6.61764705882353","33","41","12","","50","","","-180","19180010","918"
"6.61764705882353","2","110111","12","","-110","","","-180","19180011","918"
"6.61764705882353","33","12","12","","-110","","","-180","19180012","918"
"","91","19180009","","","","","","","19180013","918"
"","3","113511","","0.2","18_misato_backWalkIdle","","","1","19180014","918"
"0","21","vo_fpc","","","vo_fpc_21800","","","","19180015","918"
"1","11","113511","0","0","イオ先生、その調子。\n上手にバタ足できてるわよ～♪","0.5","0","10","19180016","918"
"","91","0","","","","","","","19180017","918"
"","93","0.5","","","0","","","","19180018","918"
"0","21","vo_fpc","","","vo_fpc_21801","","","","19180019","918"
"1","11","110111","0","0","は、はい！　よいしょ、よいしょ…\nごめんなさい、せっかくのプールで\n練習に付き合ってもらって…","0.5","0","10","19180020","918"
"","91","0","","","","","","","19180021","918"
"","93","0.5","","","0","","","","19180022","918"
"0","21","vo_fpc","","","vo_fpc_21802","","","","19180023","918"
"1","11","113511","0","0","いいのよ。\n先生はいつでも頑張る子の味方だもの♪","0.5","0","10","19180024","918"
"","91","0","","","","","","","19180025","918"
"","93","0.5","","","0","","","","19180026","918"
"","32","12","","","0","","","","19180027","918"
"","32","42","","","1","","","","19180028","918"
"","32","41","","","1","","","","19180029","918"
"18_misato_idle_loop","3","113511","1","0.1","18_misato_idle_in","","0.1","0","19180030","918"
"18_io_stopSwim_loop","3","110111","1","0.1","18_io_stopSwim_in","","0.1","0","19180031","918"
"0","21","vo_fpc","","","vo_fpc_21803","","","","19180032","918"
"1","11","110111","0","0","でも、私も先生だから\n本当は教えてあげないといけないのに…","0.5","0","10","19180033","918"
"","91","0","","","","","","","19180034","918"
"","93","0.5","","","0","","","","19180035","918"
"18_misato_talk_loop","3","113511","1","0.1","18_misato_talk_in","","0.1","0","19180036","918"
"0","21","vo_fpc","","","vo_fpc_21804","","","","19180037","918"
"1","11","113511","0","0","こうして今からでも何かを\n学ぶっていう経験は\nきっと子供たちに教えるうえで\n役に立つと思うの。","0.5","0","10","19180038","918"
"","91","0","","","","","","","19180039","918"
"","93","0.5","","","0","","","","19180040","918"
"0","21","vo_fpc","","","vo_fpc_21805","","","","19180041","918"
"1","11","113511","0","0","それに…\n生徒にもいろんな子がいるんだから、\n色んな先生がいてもいいじゃない？","0.5","0","10","19180042","918"
"","91","0","","","","","","","19180043","918"
"","93","0.5","","","0","","","","19180044","918"
"18_io_guts_loop","3","110111","1","0.1","18_io_guts_in","","0.1","0","19180045","918"
"0","21","vo_fpc","","","vo_fpc_21806","","","","19180046","918"
"1","11","110111","0","0","ミサト先生…\n私、がんばります！\n授業も、泳ぎも…","0.5","0","10","19180047","918"
"","91","0","","","","","","","19180048","918"
"","93","0.5","","","0","","","","19180049","918"
"18_io_flutterKick2_loop","3","110111","1","0.1","18_io_flutterKick2_in","","0.1","0","19180050","918"
"1.8552036199095","2","110111","","","300","","","-180","19180051","918"
"1.8552036199095","33","42","","","300","","","-180","19180052","918"
"1.8552036199095","33","12","","","300","","","-180","19180053","918"
"","32","42","","","0","","","","19180054","918"
"","32","12","","","1","","","","19180055","918"
"","93","1","","","0","","","","19180056","918"
"18_misato_talk2_loop","3","113511","1","0.1","18_misato_talk2_in","","0.1","0","19180057","918"
"","91","19180051","","","","","","","19180058","918"
"3.23529411764706","2","110111","","","850","","","-180","19180059","918"
"3.23529411764706","33","42","","","850","","","-180","19180060","918"
"3.23529411764706","33","12","","","850","","","-180","19180061","918"
"","32","42","","","1","","","","19180062","918"
"","32","12","","","0","","","","19180063","918"
"18_misato_surprise_loop","3","113511","1","0.1","18_misato_surprise_in","","0.1","0","19180064","918"
"18_io_accident_loop","3","110111","1","0.1","18_io_accident_in","","0.1","0","19180065","918"
"0","21","vo_fpc","","","vo_fpc_21807","","","","19180066","918"
"1","11","110111","0","0","きゃっ水着が！","0.5","0","10","19180067","918"
"","91","0","","","","","","","19180068","918"
"","93","0.5","","","0","","","","19180069","918"
"0","21","vo_fpc","","","vo_fpc_21808","","","","19180070","918"
"1","11","113511","0","0","イオ先生！？\nあらあら～！","0.5","0","10","19180071","918"
"","91","0","","","","","","","19180072","918"
"","93","0.5","","","0","","","","19180073","918"
"cmn_swm_breastStroke","3","113511","1","0","18_misato_breastStroke_in","","0.1","0","19180074","918"
"","32","41","","","0","","","","19180075","918"
"","32","11","","","1","","","","19180076","918"
"3.61990950226244","2","113511","","","850","","","-180","19180077","918"
"3.61990950226244","33","11","","","850","","","-180","19180078","918"
"","91","19180059","","","","","","","19180079","918"
"","91","19180077","","","","","","","19180080","918"
"-850","1","1","-180","1.75","117211","19_nozomi_float","0","22","19190001","919"
"-1150","1","1","-180","1.75","110011","19_suzuna_float","0","22","19190002","919"
"-750","1","1","-15","1.4875","117411","19_tsumugi_search","0","12","19190003","919"
"-180","31","6","1","1","61","","","-820","19190004","919"
"-180","31","121","1","1","1211","","","-850","19190005","919"
"-180","31","122","1","0","1221","","","150","19190006","919"
"-180","31","6","1","1","62","","","-1150","19190007","919"
"-180","31","121","1","1","1212","","","-1180","19190008","919"
"-180","31","122","1","0","1222","","","-180","19190009","919"
"","13","117211","","","45","","","","19190010","919"
"","13","110011","","","45","","","","19190011","919"
"","13","117411","","","45","","","","19190012","919"
"","23","se_10053800","","","se_fpc_water_random","","","1","19190013","919"
"","13","117411","","","49","","","","19190014","919"
"","91","19190012","","","0","","","","19190015","919"
"9.92647058823529","2","117411","","","330","","","-15","19190016","919"
"","93","3.5","","","0","","","","19190017","919"
"0","21","vo_fpc","","","vo_fpc_21900","","","","19190018","919"
"1","11","117411","0","0","ノゾミさん、どこに行ったんでしょう？\n新衣装の案を思いついたのに…","0.5","0","15","19190019","919"
"","91","0","","","","","","","19190020","919"
"","93","0.5","","","0","","","","19190021","919"
"","91","19190016","","","","","","","19190022","919"
"","3","117211","","0.1","19_nozomi_float","","","1","19190023","919"
"19_tsumugi_notice_loop","3","117411","1","0.1","19_tsumugi_notice_in","","0.1","0","19190024","919"
"","93","0.2","","","0","","","","19190025","919"
"0","21","vo_fpc","","","vo_fpc_21901","","","","19190026","919"
"1","11","117411","0","0","あら？　あれは…上流から何か\n光るものが…","0.5","0","10","19190027","919"
"","91","0","","","","","","","19190028","919"
"","93","0.5","","","0","","","","19190029","919"
"7.35294117647059","2","117211","12","","150","","","-180","19190030","919"
"7.35294117647059","33","61","12","","180","","","-180","19190031","919"
"7.35294117647059","33","1211","12","","150","","","-180","19190032","919"
"7.35294117647059","2","110011","12","","-150","","","-180","19190033","919"
"7.35294117647059","33","62","12","","-150","","","-180","19190034","919"
"7.35294117647059","33","1212","12","","-180","","","-180","19190035","919"
"","93","2","","","0","","","","19190036","919"
"19_tsumugi_dazzled_loop","3","117411","1","0.1","19_tsumugi_dazzled_in","","0.1","0","19190037","919"
"","91","19190030","","","","","","","19190038","919"
