8783991218d405c63d6cfee0201fb42e10cdb98a4911881870cb757d3abe542d,90efa264d8b73146888271a76f679c42c80b76b884c5e8cf7bb401a042a0408b,a941a90a83dc7ee327412cda5e5408445d8416fae3c8046531a85d4483cb1e6e,383a23c1d40614fa48f8afb50746defcb9ed145cfe16f4a5c37d99b2a014312a,0dda461902622a59180df2ad6aef8b13f81531fdc7fd6ec2bce42392de41650e,b55f7ae61b353231a2eec809664cf54b0073289fc13d1c52249fe4c716c36692
"にんじゃ","10108","2","2","諜報活動など、暗闇で秘密裏に活動する存在。","3010802"
"オーエドのみやげもの","10108","3","2","オーエドのお土産品として人気。","3010803"
"いえ","10109","1","2","暮らしの拠点。暗くなる前に帰りたい。","3010900"
"おうち","10109","1","2","家のこと。帰ると安心する。","3010901"
"ハウス","10109","2","2","「いえ」の英語読み。","3010902"
"たてもの","10109","2","2","人が住んだり物を保管したりする為に建てられたもの。","3010903"
"ギルドハウス","10109","3","2","「ギルド」の活動の拠点。みんなの大切な場所。","3010904"
"おにぎり","10110","1","2","炊いたお米を握った料理。中に具材を入れても美味しい。","3011000"
"ライスボール","10110","2","2","「おにぎり」の英語読み。","3011001"
"むげんおにぎり","10110","3","2","食べても食べても無くならない夢のようなおにぎり。","3011002"
"ペコリーヌのこうぶつ","10110","3","2","戦闘中でも手放せないですね☆","3011003"
"ピーマン","10111","1","2","緑色のにがーい野菜。","3011100"
"パプリカ","10111","2","2","ピーマンに似ているけど苦くない野菜。カラフル。","3011101"
"りょくおうしょくやさい","10111","2","2","積極的に食べるといいらしい。","3011102"
"キョウカのにがてなもの","10111","3","2","にんじんも嫌いなのですがピーマンはもっとダメです。","3011103"
"くり","10112","1","2","トゲトゲのいがに守られた甘い木の実。","3011200"
"マロン","10112","2","2","「くり」の英語読み。","3011201"
"イガイガ","10112","2","2","中の木の実を守っている。刺さると痛い。","3011202"
"あきのみかく","10112","2","2","秋を代表する美味しいもの。","3011203"
"やきいも","10113","1","2","おいもを焼いた料理。","3011300"
"サツマイモ","10113","1","2","芋の種類の一部。甘くて美味しい素敵なお味。","3011301"
"スイートポテト","10113","2","2","「サツマイモ」の英語読み。","3011302"
"あきのみかく","10113","2","2","秋を代表する美味しいもの。","3011303"
"ほかほかやきたて","10113","2","2","焼き芋の一番おいしいタイミング。やけどに注意。","3011304"
"とうがらし","10114","1","2","とっても辛い香辛料。ピーマンの仲間。","3011400"
"たかのつめ","10114","1","2","「とうがらし」の種類の一部。","3011401"
"チリペッパー","10114","2","2","「とうがらし」の英語読み。","3011402"
"スパイス","10114","2","2","料理のアクセントとなる香辛料のこと。","3011403"
"ドラゴンもどきのひのみ","10114","3","2","ドラモのとっておき。","3011404"
"エビ","10115","1","2","水の中や湿った陸上に暮らす甲殻類。","3011500"
"シュリンプ","10115","2","2","「エビ」の英語読み。","3011501"
"うみのさち","10115","2","2","海からの美食の贈り物。","3011502"
"とれたて","10115","2","2","海産物は新鮮さが命。","3011503"
"スカート","10116","1","2","腰から下の部分に着ける筒状の衣服。","3011600"
"ミニスカート","10116","2","2","丈の短いスカートのこと。","3011601"
"プリーツスカート","10116","2","2","ウエストから裾までひだを繰り返し重ねたスカートのこと。","3011602"
"ズボン","10117","1","2","腰から下の部分に着ける衣服。股のある形状をしている。","3011700"
"ボトムス","10117","2","2","腰から下に身に着ける衣服全般のこと。","3011701"
"パンツ","10117","2","2","「ズボン」の別の言い方。","3011702"
"たんぱん","10117","2","2","丈の短いズボンのこと。","3011703"
"ひこうき","10118","1","2","空を飛ぶことができる乗り物。鳥じゃないけど翼がある。","3011800"
"プロペラ","10118","2","2","船や飛行機を動かすために着いている、回転式の羽。","3011801"
"ラジコン","10118","2","2","無人での遠隔操縦のこと。","3011802"
"エアプレーン","10118","2","2","「ひこうき」の英語読み。","3011803"
"あめ","10119","1","2","空から降る水滴。主に雲から生ずる。","3011900"
"レイン","10119","2","2","「あめ」の英語読み。","3011901"
"うてん","10119","2","2","雨の日の天気のこと。","3011902"
"おおあめ","10119","2","2","とても強い雨。","3011903"
"つえ","10120","1","2","細長い棒状の道具。","3012000"
"ステッキ","10120","2","2","「つえ」の英語読み。","3012001"
"まほうのつえ","10120","2","2","魔法を使う為の道具。振って呪文を唱えよう。","3012002"
"やり","10121","1","2","長い柄の先に刃物を付けた武器。","3012100"
"スピア","10121","2","2","「やり」の英語読み。","3012101"
"ほこ","10121","2","2","「やり」の別の言い方。矛と盾。","3012102"
"ながえ","10121","2","2","柄の長い道具や武器のこと。","3012103"
"かぶと","10122","1","2","頭を守るための防具。","3012200"
"よろい","10122","2","2","頑丈な素材でつくられた身を守るための防具。","3012201"
"アーマー","10122","2","2","「かっちゅう」の英語読み。","3012202"
"ぼうぐ","10122","2","2","身を守る装具。","3012203"
"おうきゅうきしだんのよろい","10122","3","2","名誉ある王宮騎士団の鎧。ランドソルの治安を守ろう。","3012204"
"リビングメイル","10122","3","2","金属を喰らい、武具を操る謎の魔物。","3012205"
"かぎ","10123","1","2","錠をかけたり開けたりするための道具。無くすと大変。","3012300"
"キー","10123","2","2","「かぎ」の英語読み。","3012301"
"マスターキー","10123","2","2","対応する全ての錠を開けることができる鍵。","3012302"
"たからばこ","10124","1","2","中に何が入っているかは開けてからのお楽しみ。","3012400"
"トレジャーボックス","10124","2","2","「たからばこ」の英語読み。","3012401"
"おたから","10124","2","2","手に入ればガッポガッポ。","3012402"
"レアドロップ","10124","3","2","稀にゲットできる特別なお宝。","3012403"
"ドラゴン","10125","1","2","とても強力な生き物。貴重な存在で数々の伝説に残っている。","3012500"
"きょうりゅう","10125","2","2","大昔に存在したと言われている生き物。","3012501"
"ダイナソー","10125","2","2","「きょうりゅう」の英語読み。","3012502"
"でんせつのせいぶつ","10125","2","2","探求心を掻き立てる存在。ロマンに溢れている。","3012503"
"ラースドラゴン","10125","3","2","忘却の秘境、緑龍の骸領に住まう若き巨竜。","3012504"
"もじ","10126","1","2","言葉を書き記すのに使う記号。","3012600"
"ひらがな","10126","1","2","文字の一種。","3012601"
"ちぇる","10126","3","2","チエルの発する口癖。世界共通語になる予定？","3012602"
"てかせ","10127","1","2","手の動きを封じる拘束具。","3012700"
"あしかせ","10127","1","2","足の動きを封じる拘束具。","3012701"
"こうそくぐ","10127","1","2","動きを封じるために身に着ける器具。","3012702"
"クウカのおきにいり","10127","3","2","こうして強く拘束されると、クウカは…ぐふふふふ。","3012703"
"もん","10128","1","2","壁に囲まれた敷地の出入り口。","3012800"
"こうもん","10128","2","2","学校の門。遅刻すると閉じられたりする。","3012801"
"てっぴ","10128","2","2","鉄でできた扉。","3012802"
"セントテレサじょがくいん","10128","3","2","ランドソル随一のお嬢様校。通称テレ女。","3012803"
"シェフィ","20066","1","2","氷雪を操るドラゴン族の少女。空から降ってきた。","4006600"
"ドラゴンぞくのしょうじょ","20066","3","2","希少なドラゴン族の女の子。","4006601"
"カリン","20067","1","2","【ギルド管理協会】で働いている優しいしっかり者。","4006700"
"ギルドかんりきょうかい","20067","3","2","ギルドを管理する公的な機関。申請の承認や管理をサポート。","4006701"
"ナビゲーター","20067","3","2","冒険を陰から支える案内役。","4006702"
"クソメガネ","20067","3","2","素敵な仲間！","4006703"
"エルダークラウド","20068","1","2","気象を自在に操り、雷を落とす雲の魔物。","4006800"
"かみなりぐも","20068","3","2","雷を落とす黒い雲。","4006801"
"ライライのてした","20068","3","2","ライライの手となり足となって戦う。","4006802"
"スリーピィオウル","20069","1","2","寝不足で気怠げなフクロウの魔物。","4006900"
"ふくろう","20069","3","2","鳥の一種。森の哲学者。","4006901"
"ワッパダヌキ","20070","1","2","豆狸の魔物。幼いながら必死に戦っている。","4007000"
"たぬき","20070","3","2","ふかふかのしっぽを持つ動物。お腹をぽんぽこ叩くとか。","4007001"
"こだぬき","20070","3","2","たぬきのこども。","4007002"
"ちゃがま","20070","3","2","トーゴクに伝わる茶道具デス。たまに爆発するデース。","4007003"
"マスターセンリのこぶん","20070","3","2","大仙狸の眷属。たくさんいる。","4007004"
"ゴーレム","20071","1","2","頑丈な身体を持つ岩の魔物。","4007100"
"がんせきのまもの","20071","3","2","岩石でできた魔物。ゴーレムのこと。","4007101"
"スズメのおともだち","20071","3","2","広場に並んでたお地蔵さんたち。","4007102"
"モーラ","20072","1","2","魔法の国からやってきた謎の生物。魔法少女の力を与える。","4007200"
"まほうせいぶつ","20072","3","2","生命活動を魔力によって維持している生物のこと。","4007201"
"ラブリーモニカのあいぼう","20072","3","2","モニカちゃん！ラブリー★モニカに変身だ！","4007202"
"はためいわくなけだま","20072","3","2","ちょっと強引だったかもしれない。","4007203"
