af14ae66b9f6988d443a5096f4d6352d95060c159e58357e1dca13d28cbd3ff6,ed42b429ba24b4c16e021d61d7baa92aa2a474e809ed66b696d1b3b72b642961,a0742052eb9a910f25978d2692cda04188010cfbe0d961dcc5bc968354fc08d8,53904f221c885ceb1bfe11a9e487fd0abc1fdae59b07dbcc40b8f4af247def77,b8e7162ab1659fc394d288fdc67c4c1d6c8c62d3c1767034305986c78655c969,339a3814a423f78a771639d6123447fd082a6e53630f85c674e882068e4da251,b264f20778ebdb1bf2d858d3c79b4efd9392f2b743d68ad2cea6820326158813,349edff7762b733972f5111edcc56b5a48018c8ab201448f3f65cc707383c2d6,6a5bf4052d32202999b413cbac81b4db582d11ea68040e451757e93e49af4f98,cf9216aa71d98a14a2f043eff622567c471a37b64dcfca8bbac13eeb1859d966,a3144c0d32ae47d097c180048f687778816af4e9753016d6d16d5af7f58749be,07b1b8be46bba23e8f9e1a8f66488b3d4495616365c95cdff31c3ed37fdeafa9,a108bd06493723a91a9e7081fe6f5bae9ff85d896f272d46edd21d74acf82a8c,cc0357d43e3c2b9fff9e25506db9b37277d29aa7d34d5b15751ac16df346574f,bc3173ca25a723e39c6b2e97d489d5575dc6bf2b392f793e795ccf15f5f3b327,92492a264eb284a1c18a107c318d5acd93c434b74fa92d770d69f2028f9704c5
"キャル（編入生）","A","0","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","美食殿","1","立花理香","行き倒れの謎のネコミミ魔法使い","獣人族","127201","9","猫と遊ぶ","152","14","2","39"
"スズナ（編入生）","O","0","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","ルーセント学院","14","上坂すみれ","天真爛漫で人気者のカリスマモデル","魔族","127301","4","ファッション","167","18","10","48"
"サレン（サラサリア）","A","0","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","サレンディア救護院","9","堀江由衣","救護院を経営する優しい庶民派お嬢様","エルフ","127501","10","経営、お茶会","156","17","4","43"
"ルカ（サラサリア）","B","0","","トワイライトキャラバン","13","佐藤利奈","人情味溢れる粋でいなせな「姉御」","ヒューマン","127601","7","釣り","167","25","11","54"
"ペコリーヌ（クリスマス）","O","0","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","美食殿","1","M・A・O","いつも元気な腹ペコ少女","ヒューマン","127901","3","食べ歩き、料理","156","17","31","46"
"クレジッタ（クリスマス）","A","0","","リッチモンド商工会","18","Lynn","忠義に目覚めた女商人","ヒューマン","128001","9","お金を数えること、悪だくみ","160","26","19","57"
"イノリ（ニューイヤー）","AB","0","","ドラゴンズネスト","17","藤田茜","口が達者なヘタレドラゴン","ドラゴン族","128301","9","ゲーム","145","13","29","???"
"ハツネ（ニューイヤー）","A","0","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","フォレスティエ","6","大橋彩香","みんなのために超能力を使う眠り姫","エルフ","128401","12","妹と遊ぶこと、二度寝、昼寝、早寝","156","17","24","46"
"カスミ（ニューイヤー）","AB","0","","自警団（カォン）","10","水瀬いのり","頭脳明晰な美少女名探偵","獣人族","128501","11","読書、推理","152","15","3","41"
"ヒヨリ（アストラル）","A","0","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","トゥインクルウィッシュ","2","東山奈央","人助けが大好き！　前向き格闘娘","獣人族","128701","8","人助け、応援","155","16","27","44"
"レイ（アストラル）","B","0","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","トゥインクルウィッシュ","2","早見沙織","クールで何事にも真っ直ぐな剣士","魔族","128801","1","読書、乗馬、お茶","163","18","12","46"
"ユイ（アストラル）","O","0","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","トゥインクルウィッシュ","2","種田梨沙","戦闘のサポートが得意な、心優しい少女","ヒューマン","128901","4","料理、人間観察","158","17","5","47"
"エリス","?","0","","？？？","","桑島法子","悲劇の根源に咲き誇る美しき黒薔薇","ヒューマン","129001","2","騎士クンの話を聞くこと","168","??","15","??"
"ユニ（ウィンター）","O","0","","聖テレサ女学院（なかよし部）","16","小原好美","書庫に眠れる小さな賢人","ヒューマン","129301","2","読書","142","18","28","36"
"クロエ（ウィンター）","O","0","","聖テレサ女学院（なかよし部）","16","種﨑敦美","ダウンタウン育ちのダウナー系エルフ","エルフ","129401","8","ダーツ","154","17","7","42"
"アネモネ","A","0","","？？？","","立花日菜","孤絶の香を纏う花の妖魔人","妖魔人","129601","4","花の手入れ、トゲぬき","145","13","2","39"
"ネフィ＝ネラ","?","0","","？？？","","大久保瑠美","万魔の頂点、煉獄の媛君","妖魔人","129701","12","おままごと、人間観察","139","??","31","??"
"マコト（コマンダー）","O","0","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","自警団（カォン）","10","小松未可子","男勝りで情に厚いワイルド娘","獣人族","129801","8","お菓子作り","168","17","9","54"
"エリコ（コマンダー）","B","0","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","トワイライトキャラバン","13","橋本ちなみ","運命の相手に一途すぎる乙女","魔族","129901","7","実験、裁縫、料理","154","16","30","43"
"キョウカ（スプリング）","A","0","","リトルリリカル","5","小倉唯","礼儀正しくしっかり者のちびっ子優等生","エルフ","130701","2","お勉強","118","8","2","21"
"スズメ（スプリング）","O","0","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","サレンディア救護院","9","悠木碧","お嬢さまのためにがんばるドジっ娘メイド","ヒューマン","130801","12","ご奉仕","154","15","12","43"
"クルル","A","0","","ジオ・テオゴニア","","田中美海","なんでもあげちゃうポンコツ支配人バニー","宝石兎族","130901","8","掃除、宝石や遊園地の手入れ","158","16","2","46"
"マホ（ドリームパーク）","O","0","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","自警団（カォン）","10","内田真礼","マホマホ王国のプリンセス","獣人族","131001","9","空想、ぬいぐるみ集め","155","16","22","42"
"ネア（サマー）","B","0","","レイジ・レギオン","19","和氣あず未","ショタ大好き♪　ギャル系スライム娘","魔族？","131101","6","可愛いショタと遊ぶ、買い物","157","19","13","55"
"ミソラ（サマー）","A","0","","レイジ・レギオン","","鬼頭明里","明朗快活、なれど破滅に流るる溌溂少女","ヒューマン","131201","7","特に無し","159","16","2","??"
"リリ（サマー）","A","0","","アルターメイデン","20","鈴木みのり","贖罪を胸に強さを求める妹系大和撫子","ヒューマン","131601","4","華道、読書（古典）、トーゴク画","154","15","29","44"
"アメス（サマー）","?","0","","？？？","","相坂優歌","新たな姿で騎士の冒険を支え続ける妖精","？？？","131701","?","？？？","150","??","?","???"
"ヒヨリ（プリンセス）","A","0","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","トゥインクルウィッシュ","2","東山奈央","人助けが大好き！　前向き格闘娘","獣人族","180101","8","人助け、応援","155","16","27","44"
"ユイ（プリンセス）","O","0","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","トゥインクルウィッシュ","2","種田梨沙","戦闘のサポートが得意な、心優しい少女","ヒューマン","180201","4","料理、人間観察","158","17","5","47"
"レイ（プリンセス）","B","0","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","トゥインクルウィッシュ","2","早見沙織","クールで何事にも真っ直ぐな剣士","魔族","180301","1","読書、乗馬、お茶","163","18","12","46"
"ぺコリーヌ（プリンセス）","O","0","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","美食殿","1","M・A・O","いつも元気な腹ペコ少女","ヒューマン","180401","3","食べ歩き、料理","156","17","31","46"
"コッコロ（プリンセス）","B","0","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","美食殿","1","伊藤美来","主を慕う、小さなガイド役","エルフ","180501","5","瞑想、動植物の飼育","140","11","11","35"
"キャル（プリンセス）","A","0","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","美食殿","1","立花理香","行き倒れの謎のネコミミ魔法使い","獣人族","180601","9","猫と遊ぶ","152","14","2","39"
"ハツネ＆シオリ","-","0","","フォレスティエ、牧場（エリザベスパーク）","500","大橋彩香、小清水亜美","絆でつながる信愛の姉妹","エルフ、獣人族","180701","-","二人でピクニックに行くこと","-","17","-","-"
"ミソギ＆ミミ＆キョウカ","-","0","","リトルリリカル","5","諸星すみれ、日高里菜、小倉唯","勇気！　友情！　リリカルズ！","ヒューマン、獣人族、エルフ","180801","-","みんなで冒険すること","-","17","-","-"
"アキノ＆サレン","-","0","","メルクリウス財団、サレンディア救護院","501","松嵜麗、堀江由衣","気高き友情で結ばれた好敵手","ヒューマン、エルフ","180901","-","切磋琢磨","-","17","-","-"
"アン＆グレア","-","0","","？？？","","日笠陽子、福原綾香","約束を誓い合うマナリアの双姫","ヒューマン、半人半竜","181001","-","一緒にピアノを連弾すること","-","17","-","-"
"シズル＆リノ","-","0","","ラビリンス","3","生天目仁美、阿澄佳奈","真実も偽りも超えるきょうだい","ヒューマン、ヒューマン","181101","-","弟を愛でること＆兄に甘えること","-","18","-","-"
"ドクロ親父","-","0","","-","","-","美女と娘が大好き♪　ろくでなし骸骨男","-","427101","-","-","-","-","-","-"
"ヒヨリ","A","0","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","トゥインクルウィッシュ","2","東山奈央","人助けが大好き！　前向き格闘娘","獣人族","900103","8","人助け、応援","155","16","27","44"
"イノリ","AB","0","","ドラゴンズネスト","17","藤田茜","口が達者なヘタレドラゴン","ドラゴン族","906601","9","ゲーム","145","13","29","???"
"レイ（アストラル）","B","0","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","トゥインクルウィッシュ","17","早見沙織","クールで何事にも真っ直ぐな剣士","魔族","928801","1","読書、乗馬、お茶","163","18","12","46"
