78fd092473a81c6eac48784f4fedecf8e91c4d6b3e72c0d111b228c8e268d2dd,1334a2fa0dafdcda785b01e3b6198e7871f9bdd042a796e6f542fe6052d4d3a1,48c5fc8296eca23a124faaa4a275671c617a10c7667979443b0d7fd4b48e382f,63688bb6900a93d21e8af85c79ccad39824d7359ca8c9e2c8d2df0b8ac391584,8882c9c23a2ac99262c18e30562daaade8862e795c71501b64a9161a6673efd9,ec33b4b1cbc0c15a3cc1db3c7f3989075c936b2ad2a16e7691a6747b88dc4801,af54c9eecde8971ba0a318c088ddf5b3a92dfd12c05245ea58000fa717fc942f
"ストーリーイベントボスバトル\n\n時間 / 02:31\n作曲 / 中川峻彰\n編曲 / 中川峻彰","0:00","bgm_M604_juke","bgm_M604","2:31","海将タツノココマンダー","230"
"キャラクターソング\n\n時間 / 01:30\n歌　 / ユイ（種田梨沙）\n　　　ヒヨリ（東山奈央）\n　　　レイ（早見沙織）\n作詞 / PandaBoY\n作曲 / PandaBoY\n編曲 / PandaBoY","0:43","bgm_M606","bgm_M606","1:30","Secret Star","231"
"ミニゲーム\n-｢Secret Star｣アレンジ-\n\n時間 / 01:42\n作曲 / PandaBoY\n編曲 / 関根修平（Cygames）","0:00","bgm_M605_juke","bgm_M605","1:42","駆けろ常夏！アルティメットビーチフラッグス","232"
"ストーリーイベントテーマ\n-｢わくわくSUMMER TIME！｣アレンジ-\n\n時間 / 01:08\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","0:00","bgm_M608_juke","bgm_M608","1:08","リトル・サマー・メモリーズ　渚でみつけた小さな幸せ","233"
"ストーリーイベントボスバトル\n-｢わくわくSUMMER TIME！｣アレンジ-\n\n時間 / 03:10\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 市橋卓也（Cygames）","0:00","bgm_M611_juke","bgm_M611","3:10","ムーンレイゲート","234"
"キャラクターソング\n\n時間 / 01:31\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","0:48","bgm_M607","bgm_M607","1:31","わくわくSUMMER TIME！","235"
"ストーリーイベントミニコンテンツ\n-｢わくわくSUMMER TIME！｣アレンジ-\n\n時間 / 02:40\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 畑田浩孝（Cygames）","0:00","bgm_M612_juke","bgm_M612","2:40","みゅ～ちゃんすくすく日記","236"
"ストーリーイベントテーマ\n-｢はんなり乙女道中｣アレンジ-\n\n時間 / 02:02\n作曲 / 金山秀士（Dream Monster）\n編曲 / 多田彰文","0:00","bgm_M618_juke","bgm_M618","2:02","マホマホ・ミラクル・ジャーニー！　旅する少女と最果ての大樹","237"
"ストーリーイベントボスバトル\n\n時間 / 01:30\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","0:00","bgm_M621_juke","bgm_M621","1:30","哀執のバロメッツ","238"
"キャラクターソング\n\n時間 / 01:36\n歌　 / マホ（内田真礼）\n作詞 / 金山秀士（Dream Monster）\n作曲 / 金山秀士（Dream Monster）\n編曲 / 金山秀士（Dream Monster）","0:55","bgm_M617","bgm_M617","1:36","はんなり乙女道中","239"
"ストーリーイベントテーマ\n-｢O-TA-O-TA WORLD｣アレンジ-\n\n時間 / 01:34\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / 市橋卓也（Cygames）","0:00","bgm_M623_juke","bgm_M623","1:34","ファボ！ラブ！大集合！　至高の祭典と少女の秘めた推し事","240"
"ストーリーイベントボスバトル\n\n時間 / 02:00\n作曲 / 榎本 三和子（Cygames）\n編曲 / 榎本 三和子（Cygames）","0:00","bgm_M625_juke","bgm_M625","2:00","狂乱の配信者・カガミ","241"
"キャラクターソング\n\n時間 / 01:35\n歌　 / トモ（茅原実里）\n　　　ナナカ（佳村はるか）\n　　　リン（小岩井ことり）\n作詞 / Heart's Cry (TOKYO LOGIC)\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / Heart's Cry (TOKYO LOGIC)","1:01","bgm_M622","bgm_M622","1:35","O-TA-O-TA WORLD","242"
"ストーリーイベントテーマ\n-｢Knight's Soul｣アレンジ-\n\n時間 / 01:37\n作曲 / 設楽哲也\n編曲 / 畑田浩孝（Cygames）","0:00","bgm_M630_juke","bgm_M630","1:37","トライバルスピリッツ　掲げる剣と誇りの架け橋","243"
"ストーリーイベントボスバトル\n\n時間 / 01:59\n作曲 / 西村真吾\n編曲 / 西村真吾","0:00","bgm_M634_juke","bgm_M634","1:59","オブシダンゴーレム","244"
"キャラクターソング\n\n時間 / 01:28\n歌　 / マツリ（下田麻美）\n　　　クリスティーナ（たかはし智秋）\n作詞 / eNu\n作曲 / 設楽哲也\n編曲 / 設楽哲也","0:52","bgm_M637","bgm_M637","1:28","Knight's Soul","245"
"ストーリーイベントテーマ\n-｢はつゆきツインアプローチ｣アレンジ-\n\n時間 / 01:08\n作曲 / 森本練\n編曲 / 中村早織（Cygames）","0:00","bgm_M638_juke","bgm_M638","1:08","ハッピー・ハプニング　幸せの双子天使と聖夜の贈り物","246"
"ストーリーイベントボスバトル\n\n時間 / 02:01\n作曲 / 守谷勇人\n編曲 / 守谷勇人","0:00","bgm_M641_juke","bgm_M641","2:01","アンハッピートレント","247"
"キャラクターソング\n\n時間 / 01:29\n歌　 / ヨリ（原紗友里）\n　　　アカリ（浅倉杏美）\n作詞 / 森本練\n作曲 / 森本練\n編曲 / 森本練","0:52","bgm_M656","bgm_M656","1:29","はつゆきツインアプローチ","248"
"ストーリーイベントテーマ\n-｢ma.sa.yu.me.｣アレンジ-\n\n時間 / 01:21\n作曲 / ウツミタカアキ\n編曲 / 佐藤遥（Cygames）","0:00","bgm_M647_juke","bgm_M647","1:21","湯けむり忘年奇譚　初日の出に盃を","249"
"ストーリーイベントボスバトル\n\n時間 / 01:54\n作曲 / 亀井瑠美\n編曲 / 亀井瑠美","0:00","bgm_M650_juke","bgm_M650","1:54","穢れし湯ノ神・陽卵","250"
"キャラクターソング\n\n時間 / 01:39\n歌　 / ホマレ（大西沙織）\n　　　ミサト（國府田マリ子）\n作詞 / ウツミタカアキ\n作曲 / ウツミタカアキ\n編曲 / ウツミタカアキ","1:05","bgm_M666","bgm_M666","1:39","ma.sa.yu.me.","251"
"ストーリーイベントミニコンテンツ\n-｢ma.sa.yu.me.｣アレンジ-\n\n時間 / 02:04\n作曲 / ウツミタカアキ\n編曲 / Enarak（Cygames）","0:00","bgm_M651_juke","bgm_M651","2:04","新春日替わり湯","252"
"終炎のエリュシオン\n\n時間 / 01:03\n作曲 / 中町友洋\n編曲 / 中町友洋","0:00","bgm_M643_juke","bgm_M643","1:03","終炎のエリュシオン","253"
"終炎のエリュシオンボスバトル\n\n時間 / 02:05\n作曲 / 植田能平\n編曲 / 植田能平","0:00","bgm_M645_juke","bgm_M645","2:05","甦りし脅威たち","254"
"終炎のエリュシオンボスバトル\n\n時間 / 01:35\n作曲 / 千葉梓（Cygames）、関根修平（Cygames）\n編曲 / 関根修平（Cygames）","0:00","bgm_M646_Mode1_juke","bgm_M646","1:35","偽りの救済者","255"
"終炎のエリュシオンボスバトル\n\n時間 / 01:40\n作曲 / 千葉梓（Cygames）、関根修平（Cygames）\n編曲 / 関根修平（Cygames）","0:00","bgm_M646_Mode2_juke","bgm_M646","1:40","終炎を司りし魔術師","256"
"終炎のエリュシオンボスバトル\n-｢Mirage Game｣アレンジ-\n\n時間 / 02:00\n作曲 / 田中公平\n編曲 / 吉川美矩、関根修平（Cygames）","0:00","bgm_M646_Mode3_juke","bgm_M646","2:00","理外の力を求めし者","257"
"ストーリーイベントテーマ\n-｢ネバールーズアゲイン｣アレンジ-\n\n時間 / 01:00\n作曲 / 奥井康介\n編曲 / 榎本三和子（Cygames）","0:00","bgm_M659_juke","bgm_M659","1:00","希望を夢見る楽園","258"
"ストーリーイベントテーマ\n-｢ネバールーズアゲイン｣アレンジ-\n\n時間 / 01:17\n作曲 / 奥井康介\n編曲 / Enarak（Cygames）","0:00","bgm_M660_juke","bgm_M660","1:17","不確かな未来でも","259"
"ストーリーイベントボスバトル\n\n時間 / 02:12\n作曲 / 西木康智\n編曲 / 佐藤遥（Cygames）","0:00","bgm_M664_juke","bgm_M664","2:12","楽園の守護者","260"
"ストーリーイベントボスバトル\n\n時間 / 03:26\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","0:00","bgm_M665_juke","bgm_M665","3:26","久遠の園を象る者","261"
"キャラクターソング\n\n時間 / 01:22\n歌　 / ムイミ（潘めぐみ）\n作詞 / 稲葉エミ\n作曲 / 奥井康介\n編曲 / 奥井康介","0:42","bgm_M667","bgm_M667","1:22","ネバールーズアゲイン","262"
"ストーリーイベントテーマ\n-｢にゃんだフルスウィング｣アレンジ-\n\n時間 / 01:39\n作曲 / TAKT (TRYTONELABO)\n編曲 / 佐藤遥（Cygames）","0:00","bgm_M668_juke","bgm_M668","1:39","猫と駄菓子の喫茶店　カフェ・ナッシュカッツェにようこそ","263"
"ストーリーイベントボスバトル\n\n時間 / 01:34\n作曲 / 多田彰文\n編曲 / 多田彰文","0:00","bgm_M671_juke","bgm_M671","1:34","願福寄災の招き猫","264"
"キャラクターソング\n\n時間 / 01:35\n歌　 / タマキ（沼倉愛美）\n作詞 / TAKT (TRYTONELABO)\n作曲 / TAKT (TRYTONELABO)\n編曲 / TAKT (TRYTONELABO)","0:51","bgm_M674","bgm_M674","1:35","にゃんだフルスウィング","265"
"ストーリーイベントテーマ\n-｢私色STORY｣アレンジ-\n\n時間 / 01:21\n作曲 / 高木龍一 (Dream Monster)\n編曲 / Max Mullowney（Cygames）","0:00","bgm_MC017_juke","bgm_MC017","1:21","Dears　おかえりとただいまの約束","266"
"ストーリーイベントボスバトル\n\n時間 / 02:31\n作曲 / 小半大\n編曲 / 小半大","0:00","bgm_MC020_juke","bgm_MC020","2:31","ダイオウショウジョウ","267"
"キャラクターソング\n\n時間 / 01:29\n歌　 / シオリ（小清水亜美）\n作詞 / Cocoro. (Dream Monster)\n作曲 / 高木龍一 (Dream Monster)\n編曲 / 高木龍一 (Dream Monster)","0:59","bgm_MC034","bgm_MC034","1:29","私色STORY","268"
"ストーリーイベントミニコンテンツ\n-｢私色STORY｣アレンジ-\n\n時間 / 02:19\n作曲 / 高木龍一 (Dream Monster)\n編曲 / Enarak（Cygames）","0:00","bgm_MC021_juke","bgm_MC021","2:19","魔物生態報告書","269"
"メインクエスト\n\n時間 / 02:06\n作曲 / 佐藤遥（Cygames）\n編曲 / 佐藤遥（Cygames）","0:00","bgm_MC001_juke","bgm_MC001","2:06","万華色めく新天地","270"
"メインクエスト\n\n時間 / 01:23\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","0:00","bgm_MC022_juke","bgm_MC022","1:23","ジオ・テオゴニアの戦い","271"
"ストーリーイベントテーマ\n-｢ツバサのプロローグ｣アレンジ-\n\n時間 / 02:09\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 畑田浩孝（Cygames）","0:00","bgm_MC026_juke","bgm_MC026","2:09","コネクト・ウィズ・ブルー　少女が空に至るまで","272"
"ストーリーイベントボスバトル\n\n時間 / 02:08\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","0:00","bgm_MC029_juke","bgm_MC029","2:08","叡智の錬金術師・モーヴ","273"
"キャラクターソング\n\n時間 / 01:32\n歌　 / ジータ（金元寿子）\n作詞 / 真崎エリカ\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 本多友紀 (Arte Refact)","1:03","bgm_MC035","bgm_MC035","1:32","ツバサのプロローグ","274"
"ストーリーイベントミニコンテンツ\n-｢ツバサのプロローグ｣アレンジ-\n\n時間 / 01:58\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 亀井瑠美","0:00","bgm_MC030_juke","bgm_MC030","1:58","ランドソル一期一会","275"
"次元断層\n\n時間 / 01:07\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","0:00","bgm_MC007_juke","bgm_MC007","1:07","次元断層","276"
"次元断層\n\n時間 / 01:46\n作曲 / 中村博\n編曲 / 中村博","0:00","bgm_MC008_juke","bgm_MC008","1:46","次元の狭間に現れし脅威","277"
"メインクエストボスバトル\n\n時間 / 01:32\n作曲 / 中町友洋\n編曲 / 中町友洋","0:00","bgm_MC023_juke","bgm_MC023","1:32","華麗なる世界の強敵","278"
"ストーリーイベントテーマ\n-｢Gothical Radical † Eternal Wedding｣\nアレンジ-\n\n時間 / 01:13\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 佐藤遥（Cygames）","0:00","bgm_MC036_juke","bgm_MC036","1:13","ヴァンパイアフォークロア　夜と美の饗宴","279"
"ストーリーイベントボスバトル\n\n時間 / 02:07\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","0:00","bgm_MC039_juke","bgm_MC039","2:07","変貌せし従者・ブラド","280"
"キャラクターソング\n\n時間 / 01:29\n歌　 / イリヤ（丹下桜）\n作詞 / 毛蟹（LIVE LAB.）\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 毛蟹（LIVE LAB.）","0:48","bgm_MC052","bgm_MC052","1:29","Gothical Radical † Eternal Wedding","281"
"ストーリーイベントミニコンテンツ\n-｢Gothical Radical † Eternal Wedding｣\nアレンジ-\n\n時間 / 01:28\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 中村早織（Cygames）","0:00","bgm_MC040_juke","bgm_MC040","1:28","ユキの審美会","282"
"メインクエスト\n\n時間 / 00:54\n作曲 / 西木康智\n編曲 / 西木康智","0:00","bgm_M06_juke","bgm_M06","0:54","プリンセス・ファイト☆","283"
"メインクエスト\n\n時間 / 01:10\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","0:00","bgm_M169_juke","bgm_M169","1:10","エルピス島の戦い","284"
"ストーリーイベントテーマ\n-｢メタモル・カレイドスコープ｣アレンジ-\n\n時間 / 01:14\n作曲 / やしきん\n編曲 / 守谷勇人","0:00","bgm_MC046_juke","bgm_MC046","1:14","オーマの水からっぽ大作戦　秘密主義者と禁断の海","285"
"ストーリーイベントボスバトル\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 中町友洋","0:00","bgm_MC048_juke","bgm_MC048","2:28","復活の白き島クジラ","286"
"キャラクターソング\n\n時間 / 01:29\n歌　 / ネネカ（井口裕香）\n作詞 / 高瀬愛虹\n作曲 / やしきん\n編曲 / やしきん","0:51","bgm_MC055","bgm_MC055","1:29","メタモル・カレイドスコープ","287"
"ストーリーイベントミニコンテンツ\n-｢メタモル・カレイドスコープ｣アレンジ-\n\n時間 / 01:42\n作曲 / やしきん\n編曲 / 塚越廉","0:00","bgm_MC049_juke","bgm_MC049","1:42","プリンセスの秘密","288"
"キャラバン\n-｢Precious Journey｣アレンジ-\n\n時間 / 01:39\n作曲 / 東大路憲太\n編曲 / 市橋卓也（Cygames）","0:00","bgm_MC043_juke","bgm_MC043","1:39","グルメチェイサー号、出発進行！","289"
"ストーリーイベントテーマ\n-｢アイノキズナ｣アレンジ-\n\n時間 / 01:08\n作曲 / 松坂康司 (SUPA LOVE)\n編曲 / 関根修平（Cygames）","0:00","bgm_MC056_juke","bgm_MC056","1:08","戦慄幽奇海岸　～サマーリゾートスリラーズ～","290"
"ストーリーイベントボスバトル\n\n時間 / 01:27\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","0:00","bgm_MC058_juke","bgm_MC058","1:27","グラッジレイス","291"
"キャラクターソング\n\n時間 / 01:33\n歌　 / ランファ（原田彩楓）\n作詞 / 松坂康司 (SUPA LOVE)\n作曲 / 松坂康司 (SUPA LOVE)\n編曲 / 松坂康司 (SUPA LOVE)","0:55","bgm_MC072_juke","bgm_MC072","1:33","アイノキズナ","292"
"キャラクターソング\n\n時間 / 01:50\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n　　　リリ(鈴木みのり)\n　　　クリア(前田佳織里)\n　　　プレシア(高尾奏音)\n作詞 / マイクスギヤマ\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:00","bgm_MC070_juke","bgm_MC070","1:50","Precious Journey","293"
"キャラクターソング\n\n時間 / 01:32\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 白戸佑輔(Dream Monster)\n編曲 / 白戸佑輔(Dream Monster)","0:52","bgm_MC071_juke","bgm_MC071","1:32","茜色の寄り道","294"
"ストーリーイベントテーマ\n-｢その春、日記の続きから｣アレンジ-\n\n時間 / 01:24\n作曲 / 瀬名航（SOVA）\n編曲 / 中川峻彰","0:00","bgm_MC063_juke","bgm_MC063","1:24","ウィザーディング・アオハル・デイズ　魔法学園と奇跡の鐘","295"
"ストーリーイベントボスバトル\n\n時間 / 02:25\n作曲 / 松尾早人\n編曲 / 松尾早人","0:00","bgm_MC066_juke","bgm_MC066","2:25","放たれし暴魔・アルゲース","296"
"キャラクターソング\n\n時間 / 01:29\n歌　 / キャル（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 瀬名航（SOVA）\n編曲 / 瀬名航（SOVA）","0:42","bgm_MC073","bgm_MC073","1:29","その春、日記の続きから","297"
"キャラクターテーマ\n-｢万華色めく新天地｣アレンジ-\n\n時間 / 02:37\n作曲 / 守谷勇人・佐藤遥（Cygames）\n編曲 / 守谷勇人","0:00","bgm_MC024_juke","bgm_MC024","2:37","ライラエル","298"
"ミニゲーム\n-｢その春、日記の続きから｣アレンジ-\n\n時間 / 01:19\n作曲 / 瀬名航（SOVA）\n編曲 / 畑田浩孝（Cygames）","0:00","bgm_MC067_juke","bgm_MC067","1:19","勉強の準備はできてる？","299"
"ミニゲーム\n-｢その春、日記の続きから｣アレンジ-\n\n時間 / 01:15\n作曲 / 瀬名航（SOVA）\n編曲 / Enarak（Cygames）","0:00","bgm_MC068_juke","bgm_MC068","1:15","放課後エデュケーション","300"
"ストーリーイベントテーマ\n-｢Adenium｣アレンジ-\n\n時間 / 01:46\n作曲 / 山口朗彦\n編曲 / 畑田浩孝（Cygames）","0:00","bgm_MC075_juke","bgm_MC075","1:46","ロマンシング・サラサリア　～砂漠の花嫁と不思議のランプ～","301"
"ストーリーイベントボスバトル\n\n時間 / 02:18\n作曲 / 植田能平\n編曲 / 植田能平","0:00","bgm_MC077_juke","bgm_MC077","2:18","カリド","302"
"キャラクターソング\n\n時間 / 01:37\n歌　 / サレン（堀江由衣）\n　　　ルカ（佐藤利奈）\n作詞 / 山口朗彦\n作曲 / 山口朗彦\n編曲 / 山口朗彦","0:57","bgm_MC074","bgm_MC074","1:37","Adenium","303"
"キャラクターテーマ\n\n時間 / 01:59\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","0:00","bgm_MC032_juke","bgm_MC032","1:59","バンディ・シスターズ","304"
"ストーリーイベントミニコンテンツ\n-｢Adenium｣アレンジ-\n\n時間 / 02:52\n作曲 / 山口朗彦\n編曲 / 佐藤遥（Cygames）","0:00","bgm_MC078_juke","bgm_MC078","2:52","夢幻のマリッジ・シム","305"
"メインクエストボスバトル\n\n時間 / 00:50\n作曲 / 本田晃弘（Cygames）\n編曲 / 多田彰文","0:00","bgm_M17_02_juke","bgm_M17","0:50","魔物が！！","306"
"メインクエストボスバトル\n\n時間 / 01:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","bgm_M170_juke","bgm_M170","1:02","新天地の強敵","307"
"ストーリーイベントテーマ\n-｢イリドロータス｣アレンジ-\n\n時間 / 01:31\n作曲 / 宮谷礼治\n編曲 / 佐藤遥（Cygames）","0:00","bgm_MC082_juke","bgm_MC082","1:31","クリミナル ルーキー　天使たちのパラドクス","308"
"ストーリーイベントボスバトル\n\n時間 / 02:15\n作曲 / IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC085_juke","bgm_MC085","2:15","最終クエストです★","309"
"キャラクターソング\n\n時間 / 01:27\n歌　 / リリ（鈴木みのり）\n　　　クリア（前田佳織里）\n　　　プレシア（高尾奏音）\n作詞 / 宮谷礼治\n作曲 / 宮谷礼治\n編曲 / アッシュ井上（Dream Monster）","0:41","bgm_MC089","bgm_MC089","1:27","イリドロータス","310"
"ストーリーイベントミニコンテンツ\n-｢イリドロータス｣アレンジ-\n\n時間 / 01:35\n作曲 / 宮谷礼治\n編曲 / 田山里奈","0:00","bgm_MC083B_02_juke","bgm_MC083B","1:35","旅と成長（と反省）の記録","311"
"キャラクターテーマ\n\n時間 / 02:41\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","0:00","bgm_MC002_juke","bgm_MC002","2:41","アルターメイデン","312"
"アドベンチャー\n\n時間 / 01:21\n作曲 / 西村真吾\n編曲 / 西村真吾","0:00","bgm_M615_juke","bgm_M615","1:21","アドベンチャー","313"
"ストーリーイベントテーマ\n-｢Christmas Blessing｣アレンジ-\n\n時間 / 01:06\n作曲 / 高橋修平 (SUPA LOVE)\n編曲 / 松尾早人","0:00","bgm_MC091_juke","bgm_MC091","1:06","クライ・ベイビー・クリスマス　誰が為の幸福なる日","314"
"ストーリーイベントボスバトル\n\n時間 / 01:50\n作曲 / 田山里奈\n編曲 / 田山里奈","0:00","bgm_MC094_juke","bgm_MC094","1:50","バジリスク・アロス","315"
"キャラクターソング\n\n時間 / 01:32\n歌　 / ペコリーヌ（M・A・O）\n　　　クレジッタ（Lynn）\n作詞 / 藤原優樹 (SUPA LOVE)\n作曲 / 高橋修平 (SUPA LOVE)\n編曲 / 高橋修平 (SUPA LOVE)\nストリングスアレンジ / 曽木琢磨 (SUPA LOVE)","0:50","bgm_MC090","bgm_MC090","1:32","Christmas Blessing","316"
"ストーリーイベントミニコンテンツ\n-｢Christmas Blessing｣アレンジ-\n\n時間 / 02:09\n作曲 / 高橋修平 (SUPA LOVE)\n編曲 / Enarak（Cygames）","0:00","bgm_MC095_juke","bgm_MC095","2:09","アドベントカレンダー","317"
"メインクエスト\n\n時間 / 02:02\n作曲 / IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC079_juke","bgm_MC079","2:02","業火燃え盛りし密林","318"
"メインクエスト\n\n時間 / 01:38\n作曲 / 植田能平\n編曲 / 植田能平","0:00","bgm_MC086_juke","bgm_MC086","1:38","ジオ・ゲヘナの戦い","319"
"ストーリーイベントテーマ\n-｢ミライノユメ｣アレンジ-\n\n時間 / 01:10\n作曲 / 篠崎あやと\n編曲 / 塚越廉","0:00","bgm_MC099_juke","bgm_MC099","1:10","迎春ドリーマーズ！　新年、あけましてお隕石（メテオ）！？","320"
"ストーリーイベントボスバトル\n\n時間 / 02:44\n作曲 / 佐藤遥（Cygames）\n編曲 / 佐藤遥（Cygames）","0:00","bgm_MC101_juke","bgm_MC101","2:44","メテオ・イン・ドリーム","321"
"キャラクターソング\n\n時間 / 01:27\n歌　 / ハツネ（大橋彩香）\n作詞 / 篠崎あやと\n作曲 / 篠崎あやと\n編曲 / 篠崎あやと","0:59","bgm_MC107","bgm_MC107","1:27","ミライノユメ","322"
"ストーリーイベントミニコンテンツ\n-｢ミライノユメ｣アレンジ-\n\n時間 / 01:31\n作曲 / 篠崎あやと\n編曲 / 小出大和（Cygames）","0:00","bgm_MC102_juke","bgm_MC102","1:31","初夢チャレンジ","323"
"メインクエストボスバトル\n\n時間 / 01:40\n作曲 / IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC087_juke","bgm_MC087","1:40","灼けつく世界の強敵","324"
"EXクエストボスバトル\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","0:00","bgm_MC081_Fubuki_juke","bgm_MC081","1:45","天才発明家の三女　フブキ","325"
"EXクエストボスバトル\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","0:00","bgm_MC081_Wakana_juke","bgm_MC081","1:45","受難体質の次女　ワカナ","326"
"EXクエストボスバトル\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","0:00","bgm_MC081_Yamato_juke","bgm_MC081","1:45","豪放磊落の長女　ヤマト","327"
"キャラクターテーマ\n-｢業火燃え盛りし密林｣アレンジ-\n\n時間 / 02:30\n作曲 / IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC096_juke","bgm_MC096","2:30","ネフィ＝ネラ","328"
"ストーリーイベントテーマ\n-｢Prayer｣アレンジ-\n\n時間 / 01:28\n作曲 / 伊藤翼\n編曲 / Enarak（Cygames）","0:00","bgm_MC110_juke","bgm_MC110","1:28","鏡映しの来訪者","329"
"ストーリーイベントテーマ\n-｢Prayer｣アレンジ-\n\n時間 / 02:31\n作曲 / 伊藤翼\n編曲 / 佐藤遥（Cygames）","0:00","bgm_MC111_juke","bgm_MC111","2:31","もう一度。そして、もう二度と。","330"
"ストーリーイベントボスバトル\n\n時間 / 01:51\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","0:00","bgm_MC114_juke","bgm_MC114","1:51","赤い霧の精霊","331"
"ストーリーイベントボスバトル\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","bgm_MC115_juke","bgm_MC115","2:28","顕れる苦衷 アイラ＆シナツ","332"
"キャラクターソング\n\n時間 / 01:36\n歌　 / エリス（桑島法子）\n　　　ユイ（種田梨沙）\n作詞 / 磯谷佳江\n作曲 / 伊藤翼\n編曲 / 伊藤翼","1:02","bgm_MC108","bgm_MC108","1:36","Prayer","333"
"ストーリーイベントミニコンテンツ\n-｢Prayer｣アレンジ-\n\n時間 / 04:38\n作曲 / 伊藤翼\n編曲 / 吉川美矩","0:00","bgm_MC116_juke","bgm_MC116","4:38","アナザーウィッシュ・ログ","334"
"キャラバン\n-｢Precious Journey｣アレンジ-\n\n時間 / 01:37\n作曲 / 東大路憲太\n編曲 / IM.Lab","0:00","bgm_MC103_juke","bgm_MC103","1:37","灼けつく世界をゆく","335"
"キャラバン\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:40\n作曲 / 関根修平（Cygames）\n編曲 / IM.Lab","0:00","bgm_MC104_juke","bgm_MC104","1:40","乱入！バンディ・シスターズ","336"
"キャラクターテーマ\n\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","bgm_M471_juke","bgm_M471","2:28","エリス","337"
"ストーリーイベントテーマ\n-｢妄想サマーハレーション｣アレンジ-\n\n時間 / 01:18\n作曲 / 出口遼\n編曲 / 関根修平（Cygames）","0:00","bgm_MC124_juke","bgm_MC124","1:18","真冬の真夏と聖なる学舎の異端児","338"
"ストーリーイベントボスバトル\n\n時間 / 01:42\n作曲 / 小半大\n編曲 / 小半大","0:00","bgm_MC126_juke","bgm_MC126","1:42","奈落の聖女トミヱ","339"
"キャラクターソング\n\n時間 / 01:41\n歌　 / チエル（佐倉綾音）\n　　　クロエ（種﨑敦美）\n　　　ユニ（小原好美）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 出口遼、半田翼","0:59","bgm_MC109","bgm_MC109","1:41","妄想サマーハレーション","340"
"ストーリーイベントミニコンテンツ\n-｢妄想サマーハレーション｣アレンジ-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 古見千桜子（Cygames）","0:00","bgm_MC127_01_juke","bgm_MC127","2:10","【LIVE】流れるプール　昼","341"
