5ff4f4e531b0fd2a92a9eca2e28533d5f0e116387d83d2c4254fe4552ccde82f,648c2513cda27f964365f0328a0eeb1c5f373253d567034b309b877af3331a17,8a449d56a35132a81e56b965e1667eb2265642a508ca417aae6e82e975bbde9b,63321e04de992f398da1a826f589fb4a8c68ad5ea33c550c9f5882cbf457399d,b73de30c4218439587184f0dfa35b8299c15745b8fda85d209b10da40aacb629
"ＨＰ吸収ダウン","92410310","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","372"
"光属性ボーナス特大アップ","92410320","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","373"
"物理防御力（ダウン不可）アップ","92410320","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","374"
"魔法防御力（ダウン不可）アップ","92410320","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","375"
"ＴＰダウンカット","92410320","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","376"
"ダメージ減衰","92410320","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","377"
"ＴＰ上昇上限付与","92410320","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","378"
"ＨＰ吸収ダウン","92410320","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","379"
"光属性ボーナス特大アップ","92410330","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","380"
"物理防御力（ダウン不可）アップ","92410330","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","381"
"魔法防御力（ダウン不可）アップ","92410330","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","382"
"ＴＰダウンカット","92410330","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","383"
"ダメージ減衰","92410330","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","384"
"ＴＰ上昇上限付与","92410330","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","385"
"ＨＰ吸収ダウン","92410330","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","386"
"光属性ボーナス特大アップ","92410340","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","387"
"物理防御力（ダウン不可）アップ","92410340","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","388"
"魔法防御力（ダウン不可）アップ","92410340","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","389"
"ＴＰダウンカット","92410340","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","390"
"ダメージ減衰","92410340","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","391"
"ＴＰ上昇上限付与","92410340","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","392"
"ＨＰ吸収ダウン","92410340","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","393"
"火属性ボーナス特大アップ","92411010","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","394"
"物理防御力（ダウン不可）アップ","92411010","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","395"
"魔法防御力（ダウン不可）アップ","92411010","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","396"
"ＴＰ上昇上限付与","92411010","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","397"
"ＨＰ吸収ダウン","92411010","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","398"
"火属性ボーナス特大アップ","92411020","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","399"
"物理防御力（ダウン不可）アップ","92411020","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","400"
"魔法防御力（ダウン不可）アップ","92411020","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","401"
"ＴＰ上昇上限付与","92411020","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","402"
"ＨＰ吸収ダウン","92411020","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","403"
"火属性ボーナス特大アップ","92411030","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","404"
"物理防御力（ダウン不可）アップ","92411030","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","405"
"魔法防御力（ダウン不可）アップ","92411030","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","406"
"ＴＰ上昇上限付与","92411030","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","407"
"ＨＰ吸収ダウン","92411030","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","408"
"火属性ボーナス特大アップ","92411110","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","409"
"物理防御力（ダウン不可）アップ","92411110","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","410"
"魔法防御力（ダウン不可）アップ","92411110","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","411"
"ＴＰダウンカット","92411110","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","412"
"ダメージ減衰","92411110","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","413"
"ＴＰ上昇上限付与","92411110","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","414"
"ＨＰ吸収ダウン","92411110","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","415"
"火属性ボーナス特大アップ","92411120","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","416"
"物理防御力（ダウン不可）アップ","92411120","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","417"
"魔法防御力（ダウン不可）アップ","92411120","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","418"
"ＴＰダウンカット","92411120","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","419"
"ダメージ減衰","92411120","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","420"
"ＴＰ上昇上限付与","92411120","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","421"
"ＨＰ吸収ダウン","92411120","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","422"
"火属性ボーナス特大アップ","92411130","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","423"
"物理防御力（ダウン不可）アップ","92411130","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","424"
"魔法防御力（ダウン不可）アップ","92411130","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","425"
"ＴＰダウンカット","92411130","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","426"
"ダメージ減衰","92411130","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","427"
"ＴＰ上昇上限付与","92411130","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","428"
"ＨＰ吸収ダウン","92411130","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","429"
"火属性ボーナス特大アップ","92411140","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","430"
"物理防御力（ダウン不可）アップ","92411140","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","431"
"魔法防御力（ダウン不可）アップ","92411140","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","432"
"ＴＰダウンカット","92411140","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","433"
"ダメージ減衰","92411140","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","434"
"ＴＰ上昇上限付与","92411140","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","435"
"ＨＰ吸収ダウン","92411140","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","436"
"火属性ボーナス特大アップ","92411210","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","437"
"物理防御力（ダウン不可）アップ","92411210","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","438"
"魔法防御力（ダウン不可）アップ","92411210","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","439"
"ＴＰダウンカット","92411210","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","440"
"ダメージ減衰","92411210","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","441"
"ＴＰ上昇上限付与","92411210","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","442"
"ＨＰ吸収ダウン","92411210","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","443"
"火属性ボーナス特大アップ","92411220","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","444"
"物理防御力（ダウン不可）アップ","92411220","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","445"
"魔法防御力（ダウン不可）アップ","92411220","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","446"
"ＴＰダウンカット","92411220","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","447"
"ダメージ減衰","92411220","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","448"
"ＴＰ上昇上限付与","92411220","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","449"
"ＨＰ吸収ダウン","92411220","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","450"
"火属性ボーナス特大アップ","92411230","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","451"
"物理防御力（ダウン不可）アップ","92411230","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","452"
"魔法防御力（ダウン不可）アップ","92411230","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","453"
"ＴＰダウンカット","92411230","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","454"
"ダメージ減衰","92411230","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","455"
"ＴＰ上昇上限付与","92411230","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","456"
"ＨＰ吸収ダウン","92411230","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","457"
"火属性ボーナス特大アップ","92411240","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","458"
"物理防御力（ダウン不可）アップ","92411240","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","459"
"魔法防御力（ダウン不可）アップ","92411240","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","460"
"ＴＰダウンカット","92411240","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","461"
"ダメージ減衰","92411240","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","462"
"ＴＰ上昇上限付与","92411240","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","463"
"ＨＰ吸収ダウン","92411240","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","464"
"火属性ボーナス特大アップ","92411310","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","465"
"物理防御力（ダウン不可）アップ","92411310","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","466"
"魔法防御力（ダウン不可）アップ","92411310","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","467"
"ＴＰダウンカット","92411310","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","468"
"ダメージ減衰","92411310","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","469"
"ＴＰ上昇上限付与","92411310","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","470"
"ＨＰ吸収ダウン","92411310","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","471"
"火属性ボーナス特大アップ","92411320","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","472"
"物理防御力（ダウン不可）アップ","92411320","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","473"
"魔法防御力（ダウン不可）アップ","92411320","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","474"
"ＴＰダウンカット","92411320","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","475"
"ダメージ減衰","92411320","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","476"
"ＴＰ上昇上限付与","92411320","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","477"
"ＨＰ吸収ダウン","92411320","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","478"
"火属性ボーナス特大アップ","92411330","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","479"
"物理防御力（ダウン不可）アップ","92411330","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","480"
"魔法防御力（ダウン不可）アップ","92411330","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","481"
"ＴＰダウンカット","92411330","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","482"
"ダメージ減衰","92411330","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","483"
"ＴＰ上昇上限付与","92411330","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","484"
"ＨＰ吸収ダウン","92411330","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","485"
"火属性ボーナス特大アップ","92411340","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","486"
"物理防御力（ダウン不可）アップ","92411340","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","487"
"魔法防御力（ダウン不可）アップ","92411340","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","488"
"ＴＰダウンカット","92411340","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","489"
"ダメージ減衰","92411340","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","490"
"ＴＰ上昇上限付与","92411340","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","491"
"ＨＰ吸収ダウン","92411340","9","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","492"
