14a757f71a53328e5910a3d890085b382fd40c4256465d177b6e2ec05f8ece71,385ce4c4aa9204b5583299ca45ed55e3aa75adf8542b52b3907779634f9f2d20,53bbcc9305040c5c426703cd5fac994e52228b6f12e6ab63dd05856cd07101d2,ede949b62fd79bc56fe7c26d3ff0c36d24f840bda3aac2ed2f7802f78ccb15df,5afd05b74d0077f1b243353590b6648a7f8a876f52d5f213d19c6f87aa2bdaf7,441f84a4538079dfa0773dc76f91983bbd07565a79e01df15461d6e3de13411d,af4d54adc04047db23af7d6b5ab75fdc0338370de9eb407ce3f95720ea79c946,7359745bfcbd15102e9c040d4ac1b7c4d8b6bf27b76214b9db8a7d0045bfbd7f,d08704ecf62deb536528e2b13d285e2b9f78cc31523af149d7fdd193111339e2,1b7a6f0622061ee4b3c2a8b2a7d4285eea4038c5779d4d617372b1bae8b449f8,cc12403af1a2214450995d7b6678427b03be6977da6c68fe100c40f5ce5a4543,c70d64abda28ddd6465359fc91e79d1bb3c20042b7d19934ac2d1fe41c8157d6,99a26b23b4ba023936c4dd313b725c8590f98695fc60ceab3ab2816e39a54248,ad091eb3f489899be36d7fd84d247ebfaeaca18808d8b82519ff3b9284a37f46,8ad015a8a8d83e618f9bf1241a901204f0176c7373d3a66bdae4375e614479b4,1e6784e02d3fa125ef3b7984e5554b92afcb35507b9791ec1cd4fe223a93f7eb
"157","127001","49","19","ヴァイスフリューゲル　ランドソル支部","ヒューマン","AB","11","妄想大好き！　ほんとは照れ屋な女の子","18","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","小説を読むこと","長妻樹里","0","15","クウカ（サマー）"
"157","127101","42","22","悪魔偽王国軍（ディアボロス）","魔族","AB","12","占いが得意な霊能少女","18","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","占い","大坪由佳","0","7","シノブ（サマー）"
"152","127201","39","2","美食殿","獣人族","A","9","行き倒れの謎のネコミミ魔法使い","14","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","猫と遊ぶ","立花理香","0","1","キャル（編入生）"
"167","127301","48","10","ルーセント学院","魔族","O","4","天真爛漫で人気者のカリスマモデル","18","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","ファッション","上坂すみれ","0","14","スズナ（編入生）"
"156","127501","43","4","サレンディア救護院","エルフ","A","10","救護院を経営する優しい庶民派お嬢様","17","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","経営、お茶会","堀江由衣","0","9","サレン（サラサリア）"
"167","127601","54","11","トワイライトキャラバン","ヒューマン","B","7","人情味溢れる粋でいなせな「姉御」","25","","釣り","佐藤利奈","0","13","ルカ（サラサリア）"
"156","127901","46","31","美食殿","ヒューマン","O","3","いつも元気な腹ペコ少女","17","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","食べ歩き、料理","M・A・O","0","1","ペコリーヌ（クリスマス）"
"160","128001","57","19","リッチモンド商工会","ヒューマン","A","9","忠義に目覚めた女商人","26","","お金を数えること、悪だくみ","Lynn","0","18","クレジッタ（クリスマス）"
"145","128301","???","29","ドラゴンズネスト","ドラゴン族","AB","9","口が達者なヘタレドラゴン","13","","ゲーム","藤田茜","0","17","イノリ（ニューイヤー）"
"156","128401","46","24","フォレスティエ","エルフ","A","12","みんなのために超能力を使う眠り姫","17","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","妹と遊ぶこと、二度寝、昼寝、早寝","大橋彩香","0","6","ハツネ（ニューイヤー）"
"152","128501","41","3","自警団（カォン）","獣人族","AB","11","頭脳明晰な美少女名探偵","15","","読書、推理","水瀬いのり","0","10","カスミ（ニューイヤー）"
"155","128701","44","27","トゥインクルウィッシュ","獣人族","A","8","人助けが大好き！　前向き格闘娘","16","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","人助け、応援","東山奈央","0","2","ヒヨリ（アストラル）"
"163","128801","46","12","トゥインクルウィッシュ","魔族","B","1","クールで何事にも真っ直ぐな剣士","18","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","読書、乗馬、お茶","早見沙織","0","2","レイ（アストラル）"
"158","128901","47","5","トゥインクルウィッシュ","ヒューマン","O","4","戦闘のサポートが得意な、心優しい少女","17","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","料理、人間観察","種田梨沙","0","2","ユイ（アストラル）"
"168","129001","??","15","？？？","ヒューマン","?","2","悲劇の根源に咲き誇る美しき黒薔薇","??","","騎士クンの話を聞くこと","桑島法子","0","","エリス"
"142","129301","36","28","聖テレサ女学院（なかよし部）","ヒューマン","O","2","書庫に眠れる小さな賢人","18","","読書","小原好美","0","16","ユニ（ウィンター）"
"154","129401","42","7","聖テレサ女学院（なかよし部）","エルフ","O","8","ダウンタウン育ちのダウナー系エルフ","17","","ダーツ","種﨑敦美","0","16","クロエ（ウィンター）"
"145","129601","39","2","？？？","妖魔人","A","4","孤絶の香を纏う花の妖魔人","13","","花の手入れ、トゲぬき","立花日菜","0","","アネモネ"
"139","129701","??","31","？？？","妖魔人","?","12","万魔の頂点、煉獄の媛君","??","","おままごと、人間観察","大久保瑠美","0","","ネフィ＝ネラ"
"168","129801","54","9","自警団（カォン）","獣人族","O","8","男勝りで情に厚いワイルド娘","17","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","お菓子作り","小松未可子","0","10","マコト（コマンダー）"
"154","129901","43","30","トワイライトキャラバン","魔族","B","7","運命の相手に一途すぎる乙女","16","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","実験、裁縫、料理","橋本ちなみ","0","13","エリコ（コマンダー）"
"118","130701","21","2","リトルリリカル","エルフ","A","2","礼儀正しくしっかり者のちびっ子優等生","8","","お勉強","小倉唯","0","5","キョウカ（スプリング）"
"154","130801","43","12","サレンディア救護院","ヒューマン","O","12","お嬢さまのためにがんばるドジっ娘メイド","15","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","ご奉仕","悠木碧","0","9","スズメ（スプリング）"
"158","130901","46","2","ジオ・テオゴニア","宝石兎族","A","8","なんでもあげちゃうポンコツ支配人バニー","16","","掃除、宝石や遊園地の手入れ","田中美海","0","","クルル"
"155","131001","42","22","自警団（カォン）","獣人族","O","9","マホマホ王国のプリンセス","16","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","空想、ぬいぐるみ集め","内田真礼","0","10","マホ（ドリームパーク）"
"157","131101","55","13","レイジ・レギオン","魔族？","B","6","ショタ大好き♪　ギャル系スライム娘","19","","可愛いショタと遊ぶ、買い物","和氣あず未","0","19","ネア（サマー）"
"159","131201","??","2","レイジ・レギオン","ヒューマン","A","7","明朗快活、なれど破滅に流るる溌溂少女","16","","特に無し","鬼頭明里","0","","ミソラ（サマー）"
"154","131601","44","29","アルターメイデン","ヒューマン","A","4","贖罪を胸に強さを求める妹系大和撫子","15","","華道、読書（古典）、トーゴク画","鈴木みのり","0","20","リリ（サマー）"
"150","131701","???","?","？？？","？？？","?","?","新たな姿で騎士の冒険を支え続ける妖精","??","","？？？","相坂優歌","0","","アメス（サマー）"
"168","131801","???","17","ドラゴンズネスト","ドラゴン族","O","4","妖しい微笑で全てを見透かす臥竜の頭領","25","","絵画、読書","大西沙織","0","17","ホマレ（サマー）"
"164","131901","??","23","？？？","ハーフエルフ","?","9","銀髪のおっとりハーフエルフ","114","","パックの毛繕い、勉強","高橋李依","0","","エミリア（サマー）"
"164","132001","???","24","？？？","？？？","?","1","強欲の魔女","??","","知識欲を満たすこと","坂本真綾","0","","エキドナ（サマー）"
"154","132101","??","2","？？？","鬼族","?","2","鬼がかりの万能妹メイド","17","","演劇鑑賞、詩文","水瀬いのり","0","","レム（サマー）"
"157","132201","40","24","カルミナ","ヒューマン","B","1","歌って踊れる大人気アイドル","17","","舞台鑑賞、ダンス","日笠陽子","0","4","ノゾミ（アルケミスト）"
"155","180101","44","27","トゥインクルウィッシュ","獣人族","A","8","人助けが大好き！　前向き格闘娘","16","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","人助け、応援","東山奈央","0","2","ヒヨリ（プリンセス）"
"158","180201","47","5","トゥインクルウィッシュ","ヒューマン","O","4","戦闘のサポートが得意な、心優しい少女","17","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","料理、人間観察","種田梨沙","0","2","ユイ（プリンセス）"
"163","180301","46","12","トゥインクルウィッシュ","魔族","B","1","クールで何事にも真っ直ぐな剣士","18","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","読書、乗馬、お茶","早見沙織","0","2","レイ（プリンセス）"
"156","180401","46","31","美食殿","ヒューマン","O","3","いつも元気な腹ペコ少女","17","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","食べ歩き、料理","M・A・O","0","1","ぺコリーヌ（プリンセス）"
"140","180501","35","11","美食殿","エルフ","B","5","主を慕う、小さなガイド役","11","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","瞑想、動植物の飼育","伊藤美来","0","1","コッコロ（プリンセス）"
"152","180601","39","2","美食殿","獣人族","A","9","行き倒れの謎のネコミミ魔法使い","14","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","猫と遊ぶ","立花理香","0","1","キャル（プリンセス）"
"-","180701","-","-","フォレスティエ、牧場（エリザベスパーク）","エルフ、獣人族","-","-","絆でつながる信愛の姉妹","17","","二人でピクニックに行くこと","大橋彩香、小清水亜美","0","500","ハツネ＆シオリ"
"-","180801","-","-","リトルリリカル","ヒューマン、獣人族、エルフ","-","-","勇気！　友情！　リリカルズ！","17","","みんなで冒険すること","諸星すみれ、日高里菜、小倉唯","0","5","ミソギ＆ミミ＆キョウカ"
"-","180901","-","-","メルクリウス財団、サレンディア救護院","ヒューマン、エルフ","-","-","気高き友情で結ばれた好敵手","17","","切磋琢磨","松嵜麗、堀江由衣","0","501","アキノ＆サレン"
"-","181001","-","-","？？？","ヒューマン、半人半竜","-","-","約束を誓い合うマナリアの双姫","17","","一緒にピアノを連弾すること","日笠陽子、福原綾香","0","","アン＆グレア"
"-","181101","-","-","ラビリンス","ヒューマン、ヒューマン","-","-","真実も偽りも超えるきょうだい","18","","弟を愛でること＆兄に甘えること","生天目仁美、阿澄佳奈","0","3","シズル＆リノ"
"147","181201","???","14","美食殿","ドラゴン族","B","12","記憶喪失のドラゴン娘","14","","読書、ストレッチ","近藤玲奈","0","1","シェフィ（プリンセス）"
"-","427101","-","-","-","-","-","-","美女と娘が大好き♪　ろくでなし骸骨男","-","","-","-","0","","ドクロ親父"
"155","900103","44","27","トゥインクルウィッシュ","獣人族","A","8","人助けが大好き！　前向き格闘娘","16","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","人助け、応援","東山奈央","0","2","ヒヨリ"
"145","906601","???","29","ドラゴンズネスト","ドラゴン族","AB","9","口が達者なヘタレドラゴン","13","","ゲーム","藤田茜","0","17","イノリ"
"163","928801","46","12","トゥインクルウィッシュ","魔族","B","1","クールで何事にも真っ直ぐな剣士","18","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","読書、乗馬、お茶","早見沙織","0","17","レイ（アストラル）"
