d1589a1bded12db1be87ece5683a3147f3668d8d3e5f6eca4c87d3c22df531d2,adb856a976bbfdcae26f3f9b7d96c95c772ddaf789f437d48b09ddcc90227a9b,9644177e21e4c0f57f70474e9eef05bde055641563e2c11c1f45081bb441ee0c,0231d4a6dfe4b105fb91716137b843b744175715c2604d322fbd794c27da835c,ec4f82d4847c7a70f824371f14cb482847fc567454b043416e52548d8796fa85,b5eeab20144eea928ceda11589229f3f389b45eb30e950088c1120ed79a23b0b
"にんじゃ","3010802","2","10108","2","諜報活動など、暗闇で秘密裏に活動する存在。"
"オーエドのみやげもの","3010803","3","10108","2","オーエドのお土産品として人気。"
"いえ","3010900","1","10109","2","暮らしの拠点。暗くなる前に帰りたい。"
"おうち","3010901","1","10109","2","家のこと。帰ると安心する。"
"ハウス","3010902","2","10109","2","「いえ」の英語読み。"
"たてもの","3010903","2","10109","2","人が住んだり物を保管したりする為に建てられたもの。"
"ギルドハウス","3010904","3","10109","2","「ギルド」の活動の拠点。みんなの大切な場所。"
"おにぎり","3011000","1","10110","2","炊いたお米を握った料理。中に具材を入れても美味しい。"
"ライスボール","3011001","2","10110","2","「おにぎり」の英語読み。"
"むげんおにぎり","3011002","3","10110","2","食べても食べても無くならない夢のようなおにぎり。"
"ペコリーヌのこうぶつ","3011003","3","10110","2","戦闘中でも手放せないですね☆"
"ピーマン","3011100","1","10111","2","緑色のにがーい野菜。"
"パプリカ","3011101","2","10111","2","ピーマンに似ているけど苦くない野菜。カラフル。"
"りょくおうしょくやさい","3011102","2","10111","2","積極的に食べるといいらしい。"
"キョウカのにがてなもの","3011103","3","10111","2","にんじんも嫌いなのですがピーマンはもっとダメです。"
"くり","3011200","1","10112","2","トゲトゲのいがに守られた甘い木の実。"
"マロン","3011201","2","10112","2","「くり」の英語読み。"
"イガイガ","3011202","2","10112","2","中の木の実を守っている。刺さると痛い。"
"あきのみかく","3011203","2","10112","2","秋を代表する美味しいもの。"
"やきいも","3011300","1","10113","2","おいもを焼いた料理。"
"サツマイモ","3011301","1","10113","2","芋の種類の一部。甘くて美味しい素敵なお味。"
"スイートポテト","3011302","2","10113","2","「サツマイモ」の英語読み。"
"あきのみかく","3011303","2","10113","2","秋を代表する美味しいもの。"
"ほかほかやきたて","3011304","2","10113","2","焼き芋の一番おいしいタイミング。やけどに注意。"
"とうがらし","3011400","1","10114","2","とっても辛い香辛料。ピーマンの仲間。"
"たかのつめ","3011401","1","10114","2","「とうがらし」の種類の一部。"
"チリペッパー","3011402","2","10114","2","「とうがらし」の英語読み。"
"スパイス","3011403","2","10114","2","料理のアクセントとなる香辛料のこと。"
"ドラゴンもどきのひのみ","3011404","3","10114","2","ドラモのとっておき。"
"エビ","3011500","1","10115","2","水の中や湿った陸上に暮らす甲殻類。"
"シュリンプ","3011501","2","10115","2","「エビ」の英語読み。"
"うみのさち","3011502","2","10115","2","海からの美食の贈り物。"
"とれたて","3011503","2","10115","2","海産物は新鮮さが命。"
"スカート","3011600","1","10116","2","腰から下の部分に着ける筒状の衣服。"
"ミニスカート","3011601","2","10116","2","丈の短いスカートのこと。"
"プリーツスカート","3011602","2","10116","2","ウエストから裾までひだを繰り返し重ねたスカートのこと。"
"ズボン","3011700","1","10117","2","腰から下の部分に着ける衣服。股のある形状をしている。"
"ボトムス","3011701","2","10117","2","腰から下に身に着ける衣服全般のこと。"
"パンツ","3011702","2","10117","2","「ズボン」の別の言い方。"
"たんぱん","3011703","2","10117","2","丈の短いズボンのこと。"
"ひこうき","3011800","1","10118","2","空を飛ぶことができる乗り物。鳥じゃないけど翼がある。"
"プロペラ","3011801","2","10118","2","船や飛行機を動かすために着いている、回転式の羽。"
"ラジコン","3011802","2","10118","2","無人での遠隔操縦のこと。"
"エアプレーン","3011803","2","10118","2","「ひこうき」の英語読み。"
"あめ","3011900","1","10119","2","空から降る水滴。主に雲から生ずる。"
"レイン","3011901","2","10119","2","「あめ」の英語読み。"
"うてん","3011902","2","10119","2","雨の日の天気のこと。"
"おおあめ","3011903","2","10119","2","とても強い雨。"
"つえ","3012000","1","10120","2","細長い棒状の道具。"
"ステッキ","3012001","2","10120","2","「つえ」の英語読み。"
"まほうのつえ","3012002","2","10120","2","魔法を使う為の道具。振って呪文を唱えよう。"
"やり","3012100","1","10121","2","長い柄の先に刃物を付けた武器。"
"スピア","3012101","2","10121","2","「やり」の英語読み。"
"ほこ","3012102","2","10121","2","「やり」の別の言い方。矛と盾。"
"ながえ","3012103","2","10121","2","柄の長い道具や武器のこと。"
"かぶと","3012200","1","10122","2","頭を守るための防具。"
"よろい","3012201","2","10122","2","頑丈な素材でつくられた身を守るための防具。"
"アーマー","3012202","2","10122","2","「かっちゅう」の英語読み。"
"ぼうぐ","3012203","2","10122","2","身を守る装具。"
"おうきゅうきしだんのよろい","3012204","3","10122","2","名誉ある王宮騎士団の鎧。ランドソルの治安を守ろう。"
"リビングメイル","3012205","3","10122","2","金属を喰らい、武具を操る謎の魔物。"
"かぎ","3012300","1","10123","2","錠をかけたり開けたりするための道具。無くすと大変。"
"キー","3012301","2","10123","2","「かぎ」の英語読み。"
"マスターキー","3012302","2","10123","2","対応する全ての錠を開けることができる鍵。"
"たからばこ","3012400","1","10124","2","中に何が入っているかは開けてからのお楽しみ。"
"トレジャーボックス","3012401","2","10124","2","「たからばこ」の英語読み。"
"おたから","3012402","2","10124","2","手に入ればガッポガッポ。"
"レアドロップ","3012403","3","10124","2","稀にゲットできる特別なお宝。"
"ドラゴン","3012500","1","10125","2","とても強力な生き物。貴重な存在で数々の伝説に残っている。"
"きょうりゅう","3012501","2","10125","2","大昔に存在したと言われている生き物。"
"ダイナソー","3012502","2","10125","2","「きょうりゅう」の英語読み。"
"でんせつのせいぶつ","3012503","2","10125","2","探求心を掻き立てる存在。ロマンに溢れている。"
"ラースドラゴン","3012504","3","10125","2","忘却の秘境、緑龍の骸領に住まう若き巨竜。"
"もじ","3012600","1","10126","2","言葉を書き記すのに使う記号。"
"ひらがな","3012601","1","10126","2","文字の一種。"
"ちぇる","3012602","3","10126","2","チエルの発する口癖。世界共通語になる予定？"
"てかせ","3012700","1","10127","2","手の動きを封じる拘束具。"
"あしかせ","3012701","1","10127","2","足の動きを封じる拘束具。"
"こうそくぐ","3012702","1","10127","2","動きを封じるために身に着ける器具。"
"クウカのおきにいり","3012703","3","10127","2","こうして強く拘束されると、クウカは…ぐふふふふ。"
"もん","3012800","1","10128","2","壁に囲まれた敷地の出入り口。"
"こうもん","3012801","2","10128","2","学校の門。遅刻すると閉じられたりする。"
"てっぴ","3012802","2","10128","2","鉄でできた扉。"
"セントテレサじょがくいん","3012803","3","10128","2","ランドソル随一のお嬢様校。通称テレ女。"
"シェフィ","4006600","1","20066","2","氷雪を操るドラゴン族の少女。空から降ってきた。"
"ドラゴンぞくのしょうじょ","4006601","3","20066","2","希少なドラゴン族の女の子。"
"カリン","4006700","1","20067","2","【ギルド管理協会】で働いている優しいしっかり者。"
"ギルドかんりきょうかい","4006701","3","20067","2","ギルドを管理する公的な機関。申請の承認や管理をサポート。"
"ナビゲーター","4006702","3","20067","2","冒険を陰から支える案内役。"
"クソメガネ","4006703","3","20067","2","素敵な仲間！"
"エルダークラウド","4006800","1","20068","2","気象を自在に操り、雷を落とす雲の魔物。"
"かみなりぐも","4006801","3","20068","2","雷を落とす黒い雲。"
"ライライのてした","4006802","3","20068","2","ライライの手となり足となって戦う。"
"スリーピィオウル","4006900","1","20069","2","寝不足で気怠げなフクロウの魔物。"
"ふくろう","4006901","3","20069","2","鳥の一種。森の哲学者。"
"ワッパダヌキ","4007000","1","20070","2","豆狸の魔物。幼いながら必死に戦っている。"
"たぬき","4007001","3","20070","2","ふかふかのしっぽを持つ動物。お腹をぽんぽこ叩くとか。"
"こだぬき","4007002","3","20070","2","たぬきのこども。"
"ちゃがま","4007003","3","20070","2","トーゴクに伝わる茶道具デス。たまに爆発するデース。"
"マスターセンリのこぶん","4007004","3","20070","2","大仙狸の眷属。たくさんいる。"
"ゴーレム","4007100","1","20071","2","頑丈な身体を持つ岩の魔物。"
"がんせきのまもの","4007101","3","20071","2","岩石でできた魔物。ゴーレムのこと。"
"スズメのおともだち","4007102","3","20071","2","広場に並んでたお地蔵さんたち。"
"モーラ","4007200","1","20072","2","魔法の国からやってきた謎の生物。魔法少女の力を与える。"
"まほうせいぶつ","4007201","3","20072","2","生命活動を魔力によって維持している生物のこと。"
"ラブリーモニカのあいぼう","4007202","3","20072","2","モニカちゃん！ラブリー★モニカに変身だ！"
"はためいわくなけだま","4007203","3","20072","2","ちょっと強引だったかもしれない。"
