c4767686b398e3b0079ac7855558b06b3c103ba950e8c3f38622c4e55303747b,da9a6f84b2d0f8ef02cc09e0ad5fafe6e68a70975d40571cad2197cea546b68a,8ca90db42e0970293e6dd59a47459b6c728326088297745ab24ebc56cfe55246,a26049f9e4c4e681d064336a354a1919dc501aa76680e13a6555ff8e4ab1108d,2993cebe8c07b2bbb469d076cfa4d4673db402a1eceba7196888bbd4f810a834,d0595a51a5b33f1e509205bfc0b43dd8960ecb6918fc3772fb2ccd65c3efc44b,89819b2cfa33c9a48e14e1ccac7e2c2d28736b9401f80429abacc2574f3f3851,85a0aabc580f2641cd39ef1cf195a0e8dd01cfca4f2c5b04d817e3630496381e,27cba17ee9a8ff28e1b641a4fff8c21e946278531941acf7b472801de96eb6e0,b58488b89523d948d90bec3c5ca2b40625c9485d1488434235b27d6486efe911,7dc33b624a30ba56e6069611a91ba73c92139d12de2361e47e15d93da7d572cc,d7312bb0986ae24e8ce6fca5ecb8d0256d35b6f3ff0428a418c3eeae5980eb64,2939c765bc8d21cd61e2375a9693fbbd752e6f14b37264f202b8e5503fcf353b,ac6ec827301036016f518055ec68dcfda0e9f0ee6aa75e36dfb7ed1e75930fb5,47416c9d4bd784c1e63aba6eacaff14065cb5f4989f5b77b386beaf2c0bcd05b,c84599157163c71a76373c8420e29f872ed22a2b7ba4bd2bc92e9c3d014f01b3
"妄想大好き！　ほんとは照れ屋な女の子","157","19","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","49","ヒューマン","127001","11","小説を読むこと","長妻樹里","ヴァイスフリューゲル　ランドソル支部","0","AB","15","18","クウカ（サマー）"
"占いが得意な霊能少女","157","22","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","42","魔族","127101","12","占い","大坪由佳","悪魔偽王国軍（ディアボロス）","0","AB","7","18","シノブ（サマー）"
"行き倒れの謎のネコミミ魔法使い","152","2","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","39","獣人族","127201","9","猫と遊ぶ","立花理香","美食殿","0","A","1","14","キャル（編入生）"
"天真爛漫で人気者のカリスマモデル","167","10","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","48","魔族","127301","4","ファッション","上坂すみれ","ルーセント学院","0","O","14","18","スズナ（編入生）"
"救護院を経営する優しい庶民派お嬢様","156","4","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","43","エルフ","127501","10","経営、お茶会","堀江由衣","サレンディア救護院","0","A","9","17","サレン（サラサリア）"
"人情味溢れる粋でいなせな「姉御」","167","11","","54","ヒューマン","127601","7","釣り","佐藤利奈","トワイライトキャラバン","0","B","13","25","ルカ（サラサリア）"
"真面目で一生懸命なドラゴンメイド（姉）","145","5","","???","ドラゴン族","127701","2","妹と過ごす休日","豊田萌絵","？？？","0","?","","12","リンド"
"不真面目で気怠げなドラゴンメイド（妹）","145","5","","???","ドラゴン族","127801","2","サボり、姉と過ごす休日","関根明良","？？？","0","?","","12","ヴルム"
"いつも元気な腹ペコ少女","156","31","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","46","ヒューマン","127901","3","食べ歩き、料理","M・A・O","美食殿","0","O","1","17","ペコリーヌ（クリスマス）"
"忠義に目覚めた女商人","160","19","","57","ヒューマン","128001","9","お金を数えること、悪だくみ","Lynn","リッチモンド商工会","0","A","18","26","クレジッタ（クリスマス）"
"口が達者なヘタレドラゴン","145","29","","???","ドラゴン族","128301","9","ゲーム","藤田茜","ドラゴンズネスト","0","AB","17","13","イノリ（ニューイヤー）"
"みんなのために超能力を使う眠り姫","156","24","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","46","エルフ","128401","12","妹と遊ぶこと、二度寝、昼寝、早寝","大橋彩香","フォレスティエ","0","A","6","17","ハツネ（ニューイヤー）"
"頭脳明晰な美少女名探偵","152","3","","41","獣人族","128501","11","読書、推理","水瀬いのり","自警団（カォン）","0","AB","10","15","カスミ（ニューイヤー）"
"人助けが大好き！　前向き格闘娘","155","27","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","44","獣人族","128701","8","人助け、応援","東山奈央","トゥインクルウィッシュ","0","A","2","16","ヒヨリ（アストラル）"
"クールで何事にも真っ直ぐな剣士","163","12","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","46","魔族","128801","1","読書、乗馬、お茶","早見沙織","トゥインクルウィッシュ","0","B","2","18","レイ（アストラル）"
"戦闘のサポートが得意な、心優しい少女","158","5","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","47","ヒューマン","128901","4","料理、人間観察","種田梨沙","トゥインクルウィッシュ","0","O","2","17","ユイ（アストラル）"
"悲劇の根源に咲き誇る美しき黒薔薇","168","15","","??","ヒューマン","129001","2","騎士クンの話を聞くこと","桑島法子","？？？","0","?","","??","エリス"
"書庫に眠れる小さな賢人","142","28","","36","ヒューマン","129301","2","読書","小原好美","聖テレサ女学院（なかよし部）","0","O","16","18","ユニ（ウィンター）"
"ダウンタウン育ちのダウナー系エルフ","154","7","","42","エルフ","129401","8","ダーツ","種﨑敦美","聖テレサ女学院（なかよし部）","0","O","16","17","クロエ（ウィンター）"
"孤絶の香を纏う花の妖魔人","145","2","","39","妖魔人","129601","4","花の手入れ、トゲぬき","立花日菜","？？？","0","A","","13","アネモネ"
"万魔の頂点、煉獄の媛君","139","31","","??","妖魔人","129701","12","おままごと、人間観察","大久保瑠美","？？？","0","?","","??","ネフィ＝ネラ"
"男勝りで情に厚いワイルド娘","168","9","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","54","獣人族","129801","8","お菓子作り","小松未可子","自警団（カォン）","0","O","10","17","マコト（コマンダー）"
"運命の相手に一途すぎる乙女","154","30","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","43","魔族","129901","7","実験、裁縫、料理","橋本ちなみ","トワイライトキャラバン","0","B","13","16","エリコ（コマンダー）"
"悪運に愛された、盗賊ギルドの頭領長女","168","8","","55","エルフ","130001","1","妹たちを躾ける","ファイルーズあい","バンディ・シスターズ","0","B","21","21","ヤマト"
"生意気だけど超天才！　盗賊ギルドの三女","136","5","","37","獣人族","130201","3","ワカナをいぢめること","花井美春","バンディ・シスターズ","0","AB","21","12","フブキ"
"礼儀正しくしっかり者のちびっ子優等生","118","2","","21","エルフ","130701","2","お勉強","小倉唯","リトルリリカル","0","A","5","8","キョウカ（スプリング）"
"お嬢さまのためにがんばるドジっ娘メイド","154","12","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","43","ヒューマン","130801","12","ご奉仕","悠木碧","サレンディア救護院","0","O","9","15","スズメ（スプリング）"
"なんでもあげちゃうポンコツ支配人バニー","158","2","","46","宝石兎族","130901","8","掃除、宝石や遊園地の手入れ","田中美海","ジオ・テオゴニア","0","A","","16","クルル"
"マホマホ王国のプリンセス","155","22","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","42","獣人族","131001","9","空想、ぬいぐるみ集め","内田真礼","自警団（カォン）","0","O","10","16","マホ（ドリームパーク）"
"ショタ大好き♪　ギャル系スライム娘","157","13","","55","魔族？","131101","6","可愛いショタと遊ぶ、買い物","和氣あず未","レイジ・レギオン","0","B","19","19","ネア（サマー）"
"明朗快活、なれど破滅に流るる溌溂少女","159","2","","??","ヒューマン","131201","7","特に無し","鬼頭明里","レイジ・レギオン","0","A","","16","ミソラ（サマー）"
"贖罪を胸に強さを求める妹系大和撫子","154","29","","44","ヒューマン","131601","4","華道、読書（古典）、トーゴク画","鈴木みのり","アルターメイデン","0","A","20","15","リリ（サマー）"
"新たな姿で騎士の冒険を支え続ける妖精","150","?","","???","？？？","131701","?","？？？","相坂優歌","？？？","0","?","","??","アメス（サマー）"
"妖しい微笑で全てを見透かす臥竜の頭領","168","17","","???","ドラゴン族","131801","4","絵画、読書","大西沙織","ドラゴンズネスト","0","O","17","25","ホマレ（サマー）"
"銀髪のおっとりハーフエルフ","164","23","","??","ハーフエルフ","131901","9","パックの毛繕い、勉強","高橋李依","？？？","0","?","","114","エミリア（サマー）"
"強欲の魔女","164","24","","???","？？？","132001","1","知識欲を満たすこと","坂本真綾","？？？","0","?","","??","エキドナ（サマー）"
"鬼がかりの万能妹メイド","154","2","","??","鬼族","132101","2","演劇鑑賞、詩文","水瀬いのり","？？？","0","?","","17","レム（サマー）"
"歌って踊れる大人気アイドル","157","24","","40","ヒューマン","132201","1","舞台鑑賞、ダンス","日笠陽子","カルミナ","0","B","4","17","ノゾミ（アルケミスト）"
"人助けが大好き！　前向き格闘娘","155","27","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","44","獣人族","180101","8","人助け、応援","東山奈央","トゥインクルウィッシュ","0","A","2","16","ヒヨリ（プリンセス）"
"戦闘のサポートが得意な、心優しい少女","158","5","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","47","ヒューマン","180201","4","料理、人間観察","種田梨沙","トゥインクルウィッシュ","0","O","2","17","ユイ（プリンセス）"
"クールで何事にも真っ直ぐな剣士","163","12","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","46","魔族","180301","1","読書、乗馬、お茶","早見沙織","トゥインクルウィッシュ","0","B","2","18","レイ（プリンセス）"
"いつも元気な腹ペコ少女","156","31","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","46","ヒューマン","180401","3","食べ歩き、料理","M・A・O","美食殿","0","O","1","17","ぺコリーヌ（プリンセス）"
"主を慕う、小さなガイド役","140","11","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","35","エルフ","180501","5","瞑想、動植物の飼育","伊藤美来","美食殿","0","B","1","11","コッコロ（プリンセス）"
"行き倒れの謎のネコミミ魔法使い","152","2","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","39","獣人族","180601","9","猫と遊ぶ","立花理香","美食殿","0","A","1","14","キャル（プリンセス）"
"絆でつながる信愛の姉妹","-","-","","-","エルフ、獣人族","180701","-","二人でピクニックに行くこと","大橋彩香、小清水亜美","フォレスティエ、牧場（エリザベスパーク）","0","-","500","17","ハツネ＆シオリ"
"勇気！　友情！　リリカルズ！","-","-","","-","ヒューマン、獣人族、エルフ","180801","-","みんなで冒険すること","諸星すみれ、日高里菜、小倉唯","リトルリリカル","0","-","5","17","ミソギ＆ミミ＆キョウカ"
"気高き友情で結ばれた好敵手","-","-","","-","ヒューマン、エルフ","180901","-","切磋琢磨","松嵜麗、堀江由衣","メルクリウス財団、サレンディア救護院","0","-","501","17","アキノ＆サレン"
"約束を誓い合うマナリアの双姫","-","-","","-","ヒューマン、半人半竜","181001","-","一緒にピアノを連弾すること","日笠陽子、福原綾香","？？？","0","-","","17","アン＆グレア"
"真実も偽りも超えるきょうだい","-","-","","-","ヒューマン、ヒューマン","181101","-","弟を愛でること＆兄に甘えること","生天目仁美、阿澄佳奈","ラビリンス","0","-","3","18","シズル＆リノ"
"記憶喪失のドラゴン娘","147","14","","???","ドラゴン族","181201","12","読書、ストレッチ","近藤玲奈","美食殿","0","B","1","14","シェフィ（プリンセス）"
"美女と娘が大好き♪　ろくでなし骸骨男","-","-","","-","-","427101","-","-","-","-","0","-","","-","ドクロ親父"
"人助けが大好き！　前向き格闘娘","155","27","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","44","獣人族","900103","8","人助け、応援","東山奈央","トゥインクルウィッシュ","0","A","2","16","ヒヨリ"
"口が達者なヘタレドラゴン","145","29","","???","ドラゴン族","906601","9","ゲーム","藤田茜","ドラゴンズネスト","0","AB","17","13","イノリ"
"クールで何事にも真っ直ぐな剣士","163","12","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","46","魔族","928801","1","読書、乗馬、お茶","早見沙織","トゥインクルウィッシュ","0","B","17","18","レイ（アストラル）"
