b4ce14692ca0bd87a48c7e43d458264ca9adb2014264d063f19aab044fbec9ac,ad961dadb938c7151c4b3a7b959c7acce6ea424040d2999749ee5c227aeb7fba,a831f100ae4848ce259c15203909a1d230a11a7f1ef0ce412073ef30994b0c6f,44db306c42eeca41a12197e6fc51fa7b050fb68e65f269b7b4fa0e8ab95d0ab8,b33f0c7b44221fafc3a070601fdd307e958f3e4ab383194e236007e80943effe
"449","物理ダメージカット","boss_physics_cut","74008103","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。"
"450","編成キャラ数制限","limit_chara_num","74008104","編成可能キャラ数が4キャラになる。"
"451","物理ダメージカット","boss_physics_cut","74008104","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。"
"452","編成キャラ数制限","limit_chara_num","74008105","編成可能キャラ数が4キャラになる。"
"453","物理ダメージカット","boss_physics_cut","74008105","バトル開始時、すべてのモンスターが物理ダメージ100％カット状態になる。"
"454","シャドウ強化","star6_shadow","74008202","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネ、ミサキ（ハロウィン）のシャドウに専用装備が追加される。"
"455","シャドウ強化","star6_shadow","74008203","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネのシャドウが★6になる。"
"456","魔法ダメージカット","boss_magic_cut","74008203","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。"
"457","編成キャラ数制限","limit_chara_num","74008204","編成可能キャラ数が4キャラになる。"
"458","魔法ダメージカット","boss_magic_cut","74008204","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。"
"459","編成キャラ数制限","limit_chara_num","74008205","編成可能キャラ数が4キャラになる。"
"460","魔法ダメージカット","boss_magic_cut","74008205","バトル開始時、すべてのモンスターが魔法ダメージ100％カット状態になる。"
"461","モンスター1体追加","add_shadow","74008302","カーズ・レリックが追加される。"
"462","シャドウ強化","star6_shadow","74008303","アオイのシャドウが★6になる。"
"463","開始時魔法ダメージカット","boss_magic_cut","74008304","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ50%カット状態にさせる。"
"464","モンスター強化","boss_ub_enhance","74008304","カーズ・レリックのスキルが強化される。"
"465","開始時魔法ダメージカット","boss_magic_cut","74008305","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ75%カット状態にさせる。"
"466","編成キャラ数制限","limit_chara_num","74008305","編成可能キャラ数が4キャラになる。"
"467","モンスター1体追加","add_shadow","74008402","ヒール・レリックが追加される。"
"468","シャドウ強化","star6_shadow","74008403","キャル（ニューイヤー）のシャドウに専用装備が追加される。"
"469","開始時物理ダメージカット","boss_physics_cut","74008404","バトル開始時、ヒール・レリックが味方全体を物理ダメージ50%カット状態にさせる。"
"470","モンスター強化","boss_ub_enhance","74008404","ヒール・レリックのスキルが強化される。"
"471","開始時物理ダメージカット","boss_physics_cut","74008405","バトル開始時、ヒール・レリックが味方全体を物理ダメージ75%カット状態にさせる。"
"472","編成キャラ数制限","limit_chara_num","74008405","編成可能キャラ数が4キャラになる。"
"473","ダメージ減衰","18","74008501","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"474","ＴＰ上昇上限付与","17","74008501","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"475","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74008501","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"476","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74008501","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"477","ＨＰ吸収ダウン","9","74008501","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"478","モンスター追加","add_shadow","74008502","タートルタイラント、ホオズキムシが追加される。"
"479","ダメージ減衰","18","74008502","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"480","ＴＰ上昇上限付与","17","74008502","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"481","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74008502","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"482","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74008502","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"483","ＨＰ吸収ダウン","9","74008502","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"484","モンスター追加","add_shadow","74008503","シズル（ノワール）、コッコロ（サマー）が追加される。"
"485","ダメージ減衰","18","74008503","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"486","ＴＰ上昇上限付与","17","74008503","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"487","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74008503","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"488","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74008503","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"489","ＨＰ吸収ダウン","9","74008503","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"490","モンスター追加","add_shadow","74008504","ルナポッドが追加される。"
"491","ダメージ減衰","18","74008504","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"492","ＴＰ上昇上限付与","17","74008504","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"493","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74008504","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"494","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74008504","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"495","ＨＰ吸収ダウン","9","74008504","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
"496","バトル時間制限","limit_time","74008505","バトル時間が60秒になる。"
"497","ダメージ減衰","18","74008505","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。"
"498","ＴＰ上昇上限付与","17","74008505","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。"
"499","物理防御力（ダウン不可）アップ","boss_def_lower_limit","74008505","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。"
"500","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","74008505","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。"
"501","ＨＰ吸収ダウン","9","74008505","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。"
