d6647cbeb2c916a4fb1348db3d45ed78b0bc56d717547631cc5c82b52c9b218c,beef00883481d2f5ef14edb5321510e46d81e647759f25494dd0a54bd15a32e7,1a97f96ba8bdee4f100cbeefb37d688dc4b72314c3f6caff1af367ae27b55606,77694746595a6f5991f3ad70973de4ed0c16a8f6f54b5b698463ff558193caf6,c08a915fbe64027e3e74ae022c19a1843f3821877c161dece7f188f8196f9c25,c6026e01d261bd7b55158d2a7aaaaf16e1b270df41315f35112676c75e389784,0eea78e2b1cabfd7c1b70f8edec38a073928959da211b67b64f925a6a0346710
"231","Secret Star","キャラクターソング\n\n時間 / 01:30\n歌　 / ユイ（種田梨沙）\n　　　ヒヨリ（東山奈央）\n　　　レイ（早見沙織）\n作詞 / PandaBoY\n作曲 / PandaBoY\n編曲 / PandaBoY","bgm_M606","bgm_M606","0:43","1:30"
"232","駆けろ常夏！アルティメットビーチフラッグス","ミニゲーム\n-｢Secret Star｣アレンジ-\n\n時間 / 01:42\n作曲 / PandaBoY\n編曲 / 関根修平（Cygames）","bgm_M605_juke","bgm_M605","0:00","1:42"
"233","リトル・サマー・メモリーズ　渚でみつけた小さな幸せ","ストーリーイベントテーマ\n-｢わくわくSUMMER TIME！｣アレンジ-\n\n時間 / 01:08\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","bgm_M608_juke","bgm_M608","0:00","1:08"
"234","ムーンレイゲート","ストーリーイベントボスバトル\n-｢わくわくSUMMER TIME！｣アレンジ-\n\n時間 / 03:10\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 市橋卓也（Cygames）","bgm_M611_juke","bgm_M611","0:00","3:10"
"235","わくわくSUMMER TIME！","キャラクターソング\n\n時間 / 01:31\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","bgm_M607","bgm_M607","0:48","1:31"
"236","みゅ～ちゃんすくすく日記","ストーリーイベントミニコンテンツ\n-｢わくわくSUMMER TIME！｣アレンジ-\n\n時間 / 02:40\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 畑田浩孝（Cygames）","bgm_M612_juke","bgm_M612","0:00","2:40"
"237","マホマホ・ミラクル・ジャーニー！　旅する少女と最果ての大樹","ストーリーイベントテーマ\n-｢はんなり乙女道中｣アレンジ-\n\n時間 / 02:02\n作曲 / 金山秀士（Dream Monster）\n編曲 / 多田彰文","bgm_M618_juke","bgm_M618","0:00","2:02"
"238","哀執のバロメッツ","ストーリーイベントボスバトル\n\n時間 / 01:30\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_M621_juke","bgm_M621","0:00","1:30"
"239","はんなり乙女道中","キャラクターソング\n\n時間 / 01:36\n歌　 / マホ（内田真礼）\n作詞 / 金山秀士（Dream Monster）\n作曲 / 金山秀士（Dream Monster）\n編曲 / 金山秀士（Dream Monster）","bgm_M617","bgm_M617","0:55","1:36"
"240","ファボ！ラブ！大集合！　至高の祭典と少女の秘めた推し事","ストーリーイベントテーマ\n-｢O-TA-O-TA WORLD｣アレンジ-\n\n時間 / 01:34\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / 市橋卓也（Cygames）","bgm_M623_juke","bgm_M623","0:00","1:34"
"241","狂乱の配信者・カガミ","ストーリーイベントボスバトル\n\n時間 / 02:00\n作曲 / 榎本 三和子（Cygames）\n編曲 / 榎本 三和子（Cygames）","bgm_M625_juke","bgm_M625","0:00","2:00"
"242","O-TA-O-TA WORLD","キャラクターソング\n\n時間 / 01:35\n歌　 / トモ（茅原実里）\n　　　ナナカ（佳村はるか）\n　　　リン（小岩井ことり）\n作詞 / Heart's Cry (TOKYO LOGIC)\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / Heart's Cry (TOKYO LOGIC)","bgm_M622","bgm_M622","1:01","1:35"
"243","トライバルスピリッツ　掲げる剣と誇りの架け橋","ストーリーイベントテーマ\n-｢Knight's Soul｣アレンジ-\n\n時間 / 01:37\n作曲 / 設楽哲也\n編曲 / 畑田浩孝（Cygames）","bgm_M630_juke","bgm_M630","0:00","1:37"
"244","オブシダンゴーレム","ストーリーイベントボスバトル\n\n時間 / 01:59\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M634_juke","bgm_M634","0:00","1:59"
"245","Knight's Soul","キャラクターソング\n\n時間 / 01:28\n歌　 / マツリ（下田麻美）\n　　　クリスティーナ（たかはし智秋）\n作詞 / eNu\n作曲 / 設楽哲也\n編曲 / 設楽哲也","bgm_M637","bgm_M637","0:52","1:28"
"246","ハッピー・ハプニング　幸せの双子天使と聖夜の贈り物","ストーリーイベントテーマ\n-｢はつゆきツインアプローチ｣アレンジ-\n\n時間 / 01:08\n作曲 / 森本練\n編曲 / 中村早織（Cygames）","bgm_M638_juke","bgm_M638","0:00","1:08"
"247","アンハッピートレント","ストーリーイベントボスバトル\n\n時間 / 02:01\n作曲 / 守谷勇人\n編曲 / 守谷勇人","bgm_M641_juke","bgm_M641","0:00","2:01"
"248","はつゆきツインアプローチ","キャラクターソング\n\n時間 / 01:29\n歌　 / ヨリ（原紗友里）\n　　　アカリ（浅倉杏美）\n作詞 / 森本練\n作曲 / 森本練\n編曲 / 森本練","bgm_M656","bgm_M656","0:52","1:29"
"249","湯けむり忘年奇譚　初日の出に盃を","ストーリーイベントテーマ\n-｢ma.sa.yu.me.｣アレンジ-\n\n時間 / 01:21\n作曲 / ウツミタカアキ\n編曲 / 佐藤遥（Cygames）","bgm_M647_juke","bgm_M647","0:00","1:21"
"250","穢れし湯ノ神・陽卵","ストーリーイベントボスバトル\n\n時間 / 01:54\n作曲 / 亀井瑠美\n編曲 / 亀井瑠美","bgm_M650_juke","bgm_M650","0:00","1:54"
"251","ma.sa.yu.me.","キャラクターソング\n\n時間 / 01:39\n歌　 / ホマレ（大西沙織）\n　　　ミサト（國府田マリ子）\n作詞 / ウツミタカアキ\n作曲 / ウツミタカアキ\n編曲 / ウツミタカアキ","bgm_M666","bgm_M666","1:05","1:39"
"252","新春日替わり湯","ストーリーイベントミニコンテンツ\n-｢ma.sa.yu.me.｣アレンジ-\n\n時間 / 02:04\n作曲 / ウツミタカアキ\n編曲 / Enarak（Cygames）","bgm_M651_juke","bgm_M651","0:00","2:04"
"253","終炎のエリュシオン","終炎のエリュシオン\n\n時間 / 01:03\n作曲 / 中町友洋\n編曲 / 中町友洋","bgm_M643_juke","bgm_M643","0:00","1:03"
"254","甦りし脅威たち","終炎のエリュシオンボスバトル\n\n時間 / 02:05\n作曲 / 植田能平\n編曲 / 植田能平","bgm_M645_juke","bgm_M645","0:00","2:05"
"255","偽りの救済者","終炎のエリュシオンボスバトル\n\n時間 / 01:35\n作曲 / 千葉梓（Cygames）、関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_M646_Mode1_juke","bgm_M646","0:00","1:35"
"256","終炎を司りし魔術師","終炎のエリュシオンボスバトル\n\n時間 / 01:40\n作曲 / 千葉梓（Cygames）、関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_M646_Mode2_juke","bgm_M646","0:00","1:40"
"257","理外の力を求めし者","終炎のエリュシオンボスバトル\n-｢Mirage Game｣アレンジ-\n\n時間 / 02:00\n作曲 / 田中公平\n編曲 / 吉川美矩、関根修平（Cygames）","bgm_M646_Mode3_juke","bgm_M646","0:00","2:00"
"258","希望を夢見る楽園","ストーリーイベントテーマ\n-｢ネバールーズアゲイン｣アレンジ-\n\n時間 / 01:00\n作曲 / 奥井康介\n編曲 / 榎本三和子（Cygames）","bgm_M659_juke","bgm_M659","0:00","1:00"
"259","不確かな未来でも","ストーリーイベントテーマ\n-｢ネバールーズアゲイン｣アレンジ-\n\n時間 / 01:17\n作曲 / 奥井康介\n編曲 / Enarak（Cygames）","bgm_M660_juke","bgm_M660","0:00","1:17"
"260","楽園の守護者","ストーリーイベントボスバトル\n\n時間 / 02:12\n作曲 / 西木康智\n編曲 / 佐藤遥（Cygames）","bgm_M664_juke","bgm_M664","0:00","2:12"
"261","久遠の園を象る者","ストーリーイベントボスバトル\n\n時間 / 03:26\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_M665_juke","bgm_M665","0:00","3:26"
"262","ネバールーズアゲイン","キャラクターソング\n\n時間 / 01:22\n歌　 / ムイミ（潘めぐみ）\n作詞 / 稲葉エミ\n作曲 / 奥井康介\n編曲 / 奥井康介","bgm_M667","bgm_M667","0:42","1:22"
"263","猫と駄菓子の喫茶店　カフェ・ナッシュカッツェにようこそ","ストーリーイベントテーマ\n-｢にゃんだフルスウィング｣アレンジ-\n\n時間 / 01:39\n作曲 / TAKT (TRYTONELABO)\n編曲 / 佐藤遥（Cygames）","bgm_M668_juke","bgm_M668","0:00","1:39"
"264","願福寄災の招き猫","ストーリーイベントボスバトル\n\n時間 / 01:34\n作曲 / 多田彰文\n編曲 / 多田彰文","bgm_M671_juke","bgm_M671","0:00","1:34"
"265","にゃんだフルスウィング","キャラクターソング\n\n時間 / 01:35\n歌　 / タマキ（沼倉愛美）\n作詞 / TAKT (TRYTONELABO)\n作曲 / TAKT (TRYTONELABO)\n編曲 / TAKT (TRYTONELABO)","bgm_M674","bgm_M674","0:51","1:35"
"266","Dears　おかえりとただいまの約束","ストーリーイベントテーマ\n-｢私色STORY｣アレンジ-\n\n時間 / 01:21\n作曲 / 高木龍一 (Dream Monster)\n編曲 / Max Mullowney（Cygames）","bgm_MC017_juke","bgm_MC017","0:00","1:21"
"267","ダイオウショウジョウ","ストーリーイベントボスバトル\n\n時間 / 02:31\n作曲 / 小半大\n編曲 / 小半大","bgm_MC020_juke","bgm_MC020","0:00","2:31"
"268","私色STORY","キャラクターソング\n\n時間 / 01:29\n歌　 / シオリ（小清水亜美）\n作詞 / Cocoro. (Dream Monster)\n作曲 / 高木龍一 (Dream Monster)\n編曲 / 高木龍一 (Dream Monster)","bgm_MC034","bgm_MC034","0:59","1:29"
"269","魔物生態報告書","ストーリーイベントミニコンテンツ\n-｢私色STORY｣アレンジ-\n\n時間 / 02:19\n作曲 / 高木龍一 (Dream Monster)\n編曲 / Enarak（Cygames）","bgm_MC021_juke","bgm_MC021","0:00","2:19"
"270","万華色めく新天地","メインクエスト\n\n時間 / 02:06\n作曲 / 佐藤遥（Cygames）\n編曲 / 佐藤遥（Cygames）","bgm_MC001_juke","bgm_MC001","0:00","2:06"
"271","ジオ・テオゴニアの戦い","メインクエスト\n\n時間 / 01:23\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","bgm_MC022_juke","bgm_MC022","0:00","1:23"
"272","コネクト・ウィズ・ブルー　少女が空に至るまで","ストーリーイベントテーマ\n-｢ツバサのプロローグ｣アレンジ-\n\n時間 / 02:09\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 畑田浩孝（Cygames）","bgm_MC026_juke","bgm_MC026","0:00","2:09"
"273","叡智の錬金術師・モーヴ","ストーリーイベントボスバトル\n\n時間 / 02:08\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC029_juke","bgm_MC029","0:00","2:08"
"274","ツバサのプロローグ","キャラクターソング\n\n時間 / 01:32\n歌　 / ジータ（金元寿子）\n作詞 / 真崎エリカ\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 本多友紀 (Arte Refact)","bgm_MC035","bgm_MC035","1:03","1:32"
"275","ランドソル一期一会","ストーリーイベントミニコンテンツ\n-｢ツバサのプロローグ｣アレンジ-\n\n時間 / 01:58\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 亀井瑠美","bgm_MC030_juke","bgm_MC030","0:00","1:58"
"276","次元断層","次元断層\n\n時間 / 01:07\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC007_juke","bgm_MC007","0:00","1:07"
"277","次元の狭間に現れし脅威","次元断層\n\n時間 / 01:46\n作曲 / 中村博\n編曲 / 中村博","bgm_MC008_juke","bgm_MC008","0:00","1:46"
"278","華麗なる世界の強敵","メインクエストボスバトル\n\n時間 / 01:32\n作曲 / 中町友洋\n編曲 / 中町友洋","bgm_MC023_juke","bgm_MC023","0:00","1:32"
"279","ヴァンパイアフォークロア　夜と美の饗宴","ストーリーイベントテーマ\n-｢Gothical Radical † Eternal Wedding｣\nアレンジ-\n\n時間 / 01:13\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 佐藤遥（Cygames）","bgm_MC036_juke","bgm_MC036","0:00","1:13"
"280","変貌せし従者・ブラド","ストーリーイベントボスバトル\n\n時間 / 02:07\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC039_juke","bgm_MC039","0:00","2:07"
"281","Gothical Radical † Eternal Wedding","キャラクターソング\n\n時間 / 01:29\n歌　 / イリヤ（丹下桜）\n作詞 / 毛蟹（LIVE LAB.）\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 毛蟹（LIVE LAB.）","bgm_MC052","bgm_MC052","0:48","1:29"
"282","ユキの審美会","ストーリーイベントミニコンテンツ\n-｢Gothical Radical † Eternal Wedding｣\nアレンジ-\n\n時間 / 01:28\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 中村早織（Cygames）","bgm_MC040_juke","bgm_MC040","0:00","1:28"
"283","プリンセス・ファイト☆","メインクエスト\n\n時間 / 00:54\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M06_juke","bgm_M06","0:00","0:54"
"284","エルピス島の戦い","メインクエスト\n\n時間 / 01:10\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","bgm_M169_juke","bgm_M169","0:00","1:10"
"285","オーマの水からっぽ大作戦　秘密主義者と禁断の海","ストーリーイベントテーマ\n-｢メタモル・カレイドスコープ｣アレンジ-\n\n時間 / 01:14\n作曲 / やしきん\n編曲 / 守谷勇人","bgm_MC046_juke","bgm_MC046","0:00","1:14"
"286","復活の白き島クジラ","ストーリーイベントボスバトル\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 中町友洋","bgm_MC048_juke","bgm_MC048","0:00","2:28"
"287","メタモル・カレイドスコープ","キャラクターソング\n\n時間 / 01:29\n歌　 / ネネカ（井口裕香）\n作詞 / 高瀬愛虹\n作曲 / やしきん\n編曲 / やしきん","bgm_MC055","bgm_MC055","0:51","1:29"
"288","プリンセスの秘密","ストーリーイベントミニコンテンツ\n-｢メタモル・カレイドスコープ｣アレンジ-\n\n時間 / 01:42\n作曲 / やしきん\n編曲 / 塚越廉","bgm_MC049_juke","bgm_MC049","0:00","1:42"
"289","グルメチェイサー号、出発進行！","キャラバン\n-｢Precious Journey｣アレンジ-\n\n時間 / 01:39\n作曲 / 東大路憲太\n編曲 / 市橋卓也（Cygames）","bgm_MC043_juke","bgm_MC043","0:00","1:39"
"290","戦慄幽奇海岸　～サマーリゾートスリラーズ～","ストーリーイベントテーマ\n-｢アイノキズナ｣アレンジ-\n\n時間 / 01:08\n作曲 / 松坂康司 (SUPA LOVE)\n編曲 / 関根修平（Cygames）","bgm_MC056_juke","bgm_MC056","0:00","1:08"
"291","グラッジレイス","ストーリーイベントボスバトル\n\n時間 / 01:27\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_MC058_juke","bgm_MC058","0:00","1:27"
"292","アイノキズナ","キャラクターソング\n\n時間 / 01:33\n歌　 / ランファ（原田彩楓）\n作詞 / 松坂康司 (SUPA LOVE)\n作曲 / 松坂康司 (SUPA LOVE)\n編曲 / 松坂康司 (SUPA LOVE)","bgm_MC072_juke","bgm_MC072","0:55","1:33"
"293","Precious Journey","キャラクターソング\n\n時間 / 01:50\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n　　　リリ(鈴木みのり)\n　　　クリア(前田佳織里)\n　　　プレシア(高尾奏音)\n作詞 / マイクスギヤマ\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC070_juke","bgm_MC070","1:00","1:50"
"294","茜色の寄り道","キャラクターソング\n\n時間 / 01:32\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 白戸佑輔(Dream Monster)\n編曲 / 白戸佑輔(Dream Monster)","bgm_MC071_juke","bgm_MC071","0:52","1:32"
"295","ウィザーディング・アオハル・デイズ　魔法学園と奇跡の鐘","ストーリーイベントテーマ\n-｢その春、日記の続きから｣アレンジ-\n\n時間 / 01:24\n作曲 / 瀬名航（SOVA）\n編曲 / 中川峻彰","bgm_MC063_juke","bgm_MC063","0:00","1:24"
"296","放たれし暴魔・アルゲース","ストーリーイベントボスバトル\n\n時間 / 02:25\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC066_juke","bgm_MC066","0:00","2:25"
"297","その春、日記の続きから","キャラクターソング\n\n時間 / 01:29\n歌　 / キャル（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 瀬名航（SOVA）\n編曲 / 瀬名航（SOVA）","bgm_MC073","bgm_MC073","0:42","1:29"
"298","ライラエル","キャラクターテーマ\n-｢万華色めく新天地｣アレンジ-\n\n時間 / 02:37\n作曲 / 守谷勇人・佐藤遥（Cygames）\n編曲 / 守谷勇人","bgm_MC024_juke","bgm_MC024","0:00","2:37"
"299","勉強の準備はできてる？","ミニゲーム\n-｢その春、日記の続きから｣アレンジ-\n\n時間 / 01:19\n作曲 / 瀬名航（SOVA）\n編曲 / 畑田浩孝（Cygames）","bgm_MC067_juke","bgm_MC067","0:00","1:19"
"300","放課後エデュケーション","ミニゲーム\n-｢その春、日記の続きから｣アレンジ-\n\n時間 / 01:15\n作曲 / 瀬名航（SOVA）\n編曲 / Enarak（Cygames）","bgm_MC068_juke","bgm_MC068","0:00","1:15"
"301","ロマンシング・サラサリア　～砂漠の花嫁と不思議のランプ～","ストーリーイベントテーマ\n-｢Adenium｣アレンジ-\n\n時間 / 01:46\n作曲 / 山口朗彦\n編曲 / 畑田浩孝（Cygames）","bgm_MC075_juke","bgm_MC075","0:00","1:46"
"302","カリド","ストーリーイベントボスバトル\n\n時間 / 02:18\n作曲 / 植田能平\n編曲 / 植田能平","bgm_MC077_juke","bgm_MC077","0:00","2:18"
"303","Adenium","キャラクターソング\n\n時間 / 01:37\n歌　 / サレン（堀江由衣）\n　　　ルカ（佐藤利奈）\n作詞 / 山口朗彦\n作曲 / 山口朗彦\n編曲 / 山口朗彦","bgm_MC074","bgm_MC074","0:57","1:37"
"304","バンディ・シスターズ","キャラクターテーマ\n\n時間 / 01:59\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC032_juke","bgm_MC032","0:00","1:59"
"305","夢幻のマリッジ・シム","ストーリーイベントミニコンテンツ\n-｢Adenium｣アレンジ-\n\n時間 / 02:52\n作曲 / 山口朗彦\n編曲 / 佐藤遥（Cygames）","bgm_MC078_juke","bgm_MC078","0:00","2:52"
"306","魔物が！！","メインクエストボスバトル\n\n時間 / 00:50\n作曲 / 本田晃弘（Cygames）\n編曲 / 多田彰文","bgm_M17_02_juke","bgm_M17","0:00","0:50"
"307","新天地の強敵","メインクエストボスバトル\n\n時間 / 01:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M170_juke","bgm_M170","0:00","1:02"
"308","クリミナル ルーキー　天使たちのパラドクス","ストーリーイベントテーマ\n-｢イリドロータス｣アレンジ-\n\n時間 / 01:31\n作曲 / 宮谷礼治\n編曲 / 佐藤遥（Cygames）","bgm_MC082_juke","bgm_MC082","0:00","1:31"
"309","最終クエストです★","ストーリーイベントボスバトル\n\n時間 / 02:15\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC085_juke","bgm_MC085","0:00","2:15"
"310","イリドロータス","キャラクターソング\n\n時間 / 01:27\n歌　 / リリ（鈴木みのり）\n　　　クリア（前田佳織里）\n　　　プレシア（高尾奏音）\n作詞 / 宮谷礼治\n作曲 / 宮谷礼治\n編曲 / アッシュ井上（Dream Monster）","bgm_MC089","bgm_MC089","0:41","1:27"
"311","旅と成長（と反省）の記録","ストーリーイベントミニコンテンツ\n-｢イリドロータス｣アレンジ-\n\n時間 / 01:35\n作曲 / 宮谷礼治\n編曲 / 田山里奈","bgm_MC083B_02_juke","bgm_MC083B","0:00","1:35"
"312","アルターメイデン","キャラクターテーマ\n\n時間 / 02:41\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC002_juke","bgm_MC002","0:00","2:41"
"313","アドベンチャー","アドベンチャー\n\n時間 / 01:21\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M615_juke","bgm_M615","0:00","1:21"
"314","クライ・ベイビー・クリスマス　誰が為の幸福なる日","ストーリーイベントテーマ\n-｢Christmas Blessing｣アレンジ-\n\n時間 / 01:06\n作曲 / 高橋修平 (SUPA LOVE)\n編曲 / 松尾早人","bgm_MC091_juke","bgm_MC091","0:00","1:06"
"315","バジリスク・アロス","ストーリーイベントボスバトル\n\n時間 / 01:50\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_MC094_juke","bgm_MC094","0:00","1:50"
"316","Christmas Blessing","キャラクターソング\n\n時間 / 01:32\n歌　 / ペコリーヌ（M・A・O）\n　　　クレジッタ（Lynn）\n作詞 / 藤原優樹 (SUPA LOVE)\n作曲 / 高橋修平 (SUPA LOVE)\n編曲 / 高橋修平 (SUPA LOVE)\nストリングスアレンジ / 曽木琢磨 (SUPA LOVE)","bgm_MC090","bgm_MC090","0:50","1:32"
"317","アドベントカレンダー","ストーリーイベントミニコンテンツ\n-｢Christmas Blessing｣アレンジ-\n\n時間 / 02:09\n作曲 / 高橋修平 (SUPA LOVE)\n編曲 / Enarak（Cygames）","bgm_MC095_juke","bgm_MC095","0:00","2:09"
"318","業火燃え盛りし密林","メインクエスト\n\n時間 / 02:02\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC079_juke","bgm_MC079","0:00","2:02"
"319","ジオ・ゲヘナの戦い","メインクエスト\n\n時間 / 01:38\n作曲 / 植田能平\n編曲 / 植田能平","bgm_MC086_juke","bgm_MC086","0:00","1:38"
"320","迎春ドリーマーズ！　新年、あけましてお隕石（メテオ）！？","ストーリーイベントテーマ\n-｢ミライノユメ｣アレンジ-\n\n時間 / 01:10\n作曲 / 篠崎あやと\n編曲 / 塚越廉","bgm_MC099_juke","bgm_MC099","0:00","1:10"
"321","メテオ・イン・ドリーム","ストーリーイベントボスバトル\n\n時間 / 02:44\n作曲 / 佐藤遥（Cygames）\n編曲 / 佐藤遥（Cygames）","bgm_MC101_juke","bgm_MC101","0:00","2:44"
"322","ミライノユメ","キャラクターソング\n\n時間 / 01:27\n歌　 / ハツネ（大橋彩香）\n作詞 / 篠崎あやと\n作曲 / 篠崎あやと\n編曲 / 篠崎あやと","bgm_MC107","bgm_MC107","0:59","1:27"
"323","初夢チャレンジ","ストーリーイベントミニコンテンツ\n-｢ミライノユメ｣アレンジ-\n\n時間 / 01:31\n作曲 / 篠崎あやと\n編曲 / 小出大和（Cygames）","bgm_MC102_juke","bgm_MC102","0:00","1:31"
"324","灼けつく世界の強敵","メインクエストボスバトル\n\n時間 / 01:40\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC087_juke","bgm_MC087","0:00","1:40"
"325","天才発明家の三女　フブキ","EXクエストボスバトル\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","bgm_MC081_Fubuki_juke","bgm_MC081","0:00","1:45"
"326","受難体質の次女　ワカナ","EXクエストボスバトル\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","bgm_MC081_Wakana_juke","bgm_MC081","0:00","1:45"
"327","豪放磊落の長女　ヤマト","EXクエストボスバトル\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","bgm_MC081_Yamato_juke","bgm_MC081","0:00","1:45"
"328","ネフィ＝ネラ","キャラクターテーマ\n-｢業火燃え盛りし密林｣アレンジ-\n\n時間 / 02:30\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC096_juke","bgm_MC096","0:00","2:30"
"329","鏡映しの来訪者","ストーリーイベントテーマ\n-｢Prayer｣アレンジ-\n\n時間 / 01:28\n作曲 / 伊藤翼\n編曲 / Enarak（Cygames）","bgm_MC110_juke","bgm_MC110","0:00","1:28"
"330","もう一度。そして、もう二度と。","ストーリーイベントテーマ\n-｢Prayer｣アレンジ-\n\n時間 / 02:31\n作曲 / 伊藤翼\n編曲 / 佐藤遥（Cygames）","bgm_MC111_juke","bgm_MC111","0:00","2:31"
"331","赤い霧の精霊","ストーリーイベントボスバトル\n\n時間 / 01:51\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC114_juke","bgm_MC114","0:00","1:51"
"332","顕れる苦衷 アイラ＆シナツ","ストーリーイベントボスバトル\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC115_juke","bgm_MC115","0:00","2:28"
"333","Prayer","キャラクターソング\n\n時間 / 01:36\n歌　 / エリス（桑島法子）\n　　　ユイ（種田梨沙）\n作詞 / 磯谷佳江\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_MC108","bgm_MC108","1:02","1:36"
"334","アナザーウィッシュ・ログ","ストーリーイベントミニコンテンツ\n-｢Prayer｣アレンジ-\n\n時間 / 04:38\n作曲 / 伊藤翼\n編曲 / 吉川美矩","bgm_MC116_juke","bgm_MC116","0:00","4:38"
"335","灼けつく世界をゆく","キャラバン\n-｢Precious Journey｣アレンジ-\n\n時間 / 01:37\n作曲 / 東大路憲太\n編曲 / IM.Lab","bgm_MC103_juke","bgm_MC103","0:00","1:37"
"336","乱入！バンディ・シスターズ","キャラバン\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:40\n作曲 / 関根修平（Cygames）\n編曲 / IM.Lab","bgm_MC104_juke","bgm_MC104","0:00","1:40"
"337","エリス","キャラクターテーマ\n\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M471_juke","bgm_M471","0:00","2:28"
"338","真冬の真夏と聖なる学舎の異端児","ストーリーイベントテーマ\n-｢妄想サマーハレーション｣アレンジ-\n\n時間 / 01:18\n作曲 / 出口遼\n編曲 / 関根修平（Cygames）","bgm_MC124_juke","bgm_MC124","0:00","1:18"
"339","奈落の聖女トミヱ","ストーリーイベントボスバトル\n\n時間 / 01:42\n作曲 / 小半大\n編曲 / 小半大","bgm_MC126_juke","bgm_MC126","0:00","1:42"
"340","妄想サマーハレーション","キャラクターソング\n\n時間 / 01:41\n歌　 / チエル（佐倉綾音）\n　　　クロエ（種﨑敦美）\n　　　ユニ（小原好美）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 出口遼、半田翼","bgm_MC109","bgm_MC109","0:59","1:41"
"341","【LIVE】流れるプール　昼","ストーリーイベントミニコンテンツ\n-｢妄想サマーハレーション｣アレンジ-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 古見千桜子（Cygames）","bgm_MC127_01_juke","bgm_MC127","0:00","2:10"
"342","【LIVE】流れるプール　夜","ストーリーイベントミニコンテンツ\n-｢妄想サマーハレーション｣アレンジ-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 小出大和（Cygames）","bgm_MC128_01_juke","bgm_MC128","0:00","2:10"
