e7e81181ee7ff6b5b83a0455b8892e0ae51acae80ab172976b60503311ee33b7,613729582ebbd697cc6edb4baa814fb25659782a3bf31819de963ddedb7404d0,269672b01a29d2b128eefee27a8d16c27c59e41b5176ad2d3b2c5016cf2243cb,b5ff0be0805c424e43eb9f1fdbbbbfb6f19564b08acfa9111f6cac050a710ceb,f3317f66f31d3ddccc8d5e06fdcd9ef142c3141f79bd001fa71222dcc0fa04cb,58f754bf0ea50216239f6d032f212a298ab95ce26aa557c297521f6b01563745
"とびどうぐ","遠くから飛ばして攻撃するタイプの武器のこと。","2","10108","2","3010801"
"にんじゃ","諜報活動など、暗闇で秘密裏に活動する存在。","2","10108","2","3010802"
"オーエドのみやげもの","オーエドのお土産品として人気。","2","10108","3","3010803"
"いえ","暮らしの拠点。暗くなる前に帰りたい。","2","10109","1","3010900"
"おうち","家のこと。帰ると安心する。","2","10109","1","3010901"
"ハウス","「いえ」の英語読み。","2","10109","2","3010902"
"たてもの","人が住んだり物を保管したりする為に建てられたもの。","2","10109","2","3010903"
"ギルドハウス","「ギルド」の活動の拠点。みんなの大切な場所。","2","10109","3","3010904"
"おにぎり","炊いたお米を握った料理。中に具材を入れても美味しい。","2","10110","1","3011000"
"ライスボール","「おにぎり」の英語読み。","2","10110","2","3011001"
"むげんおにぎり","食べても食べても無くならない夢のようなおにぎり。","2","10110","3","3011002"
"ペコリーヌのこうぶつ","戦闘中でも手放せないですね☆","2","10110","3","3011003"
"ピーマン","緑色のにがーい野菜。","2","10111","1","3011100"
"パプリカ","ピーマンに似ているけど苦くない野菜。カラフル。","2","10111","2","3011101"
"りょくおうしょくやさい","積極的に食べるといいらしい。","2","10111","2","3011102"
"キョウカのにがてなもの","にんじんも嫌いなのですがピーマンはもっとダメです。","2","10111","3","3011103"
"くり","トゲトゲのいがに守られた甘い木の実。","2","10112","1","3011200"
"マロン","「くり」の英語読み。","2","10112","2","3011201"
"イガイガ","中の木の実を守っている。刺さると痛い。","2","10112","2","3011202"
"あきのみかく","秋を代表する美味しいもの。","2","10112","2","3011203"
"やきいも","おいもを焼いた料理。","2","10113","1","3011300"
"サツマイモ","芋の種類の一部。甘くて美味しい素敵なお味。","2","10113","1","3011301"
"スイートポテト","「サツマイモ」の英語読み。","2","10113","2","3011302"
"あきのみかく","秋を代表する美味しいもの。","2","10113","2","3011303"
"ほかほかやきたて","焼き芋の一番おいしいタイミング。やけどに注意。","2","10113","2","3011304"
"とうがらし","とっても辛い香辛料。ピーマンの仲間。","2","10114","1","3011400"
"たかのつめ","「とうがらし」の種類の一部。","2","10114","1","3011401"
"チリペッパー","「とうがらし」の英語読み。","2","10114","2","3011402"
"スパイス","料理のアクセントとなる香辛料のこと。","2","10114","2","3011403"
"ドラゴンもどきのひのみ","ドラモのとっておき。","2","10114","3","3011404"
"エビ","水の中や湿った陸上に暮らす甲殻類。","2","10115","1","3011500"
"シュリンプ","「エビ」の英語読み。","2","10115","2","3011501"
"うみのさち","海からの美食の贈り物。","2","10115","2","3011502"
"とれたて","海産物は新鮮さが命。","2","10115","2","3011503"
"スカート","腰から下の部分に着ける筒状の衣服。","2","10116","1","3011600"
"ミニスカート","丈の短いスカートのこと。","2","10116","2","3011601"
"プリーツスカート","ウエストから裾までひだを繰り返し重ねたスカートのこと。","2","10116","2","3011602"
"ズボン","腰から下の部分に着ける衣服。股のある形状をしている。","2","10117","1","3011700"
"ボトムス","腰から下に身に着ける衣服全般のこと。","2","10117","2","3011701"
"パンツ","「ズボン」の別の言い方。","2","10117","2","3011702"
"たんぱん","丈の短いズボンのこと。","2","10117","2","3011703"
"ひこうき","空を飛ぶことができる乗り物。鳥じゃないけど翼がある。","2","10118","1","3011800"
"プロペラ","船や飛行機を動かすために着いている、回転式の羽。","2","10118","2","3011801"
"ラジコン","無人での遠隔操縦のこと。","2","10118","2","3011802"
"エアプレーン","「ひこうき」の英語読み。","2","10118","2","3011803"
"あめ","空から降る水滴。主に雲から生ずる。","2","10119","1","3011900"
"レイン","「あめ」の英語読み。","2","10119","2","3011901"
"うてん","雨の日の天気のこと。","2","10119","2","3011902"
"おおあめ","とても強い雨。","2","10119","2","3011903"
"つえ","細長い棒状の道具。","2","10120","1","3012000"
"ステッキ","「つえ」の英語読み。","2","10120","2","3012001"
"まほうのつえ","魔法を使う為の道具。振って呪文を唱えよう。","2","10120","2","3012002"
"やり","長い柄の先に刃物を付けた武器。","2","10121","1","3012100"
"スピア","「やり」の英語読み。","2","10121","2","3012101"
"ほこ","「やり」の別の言い方。矛と盾。","2","10121","2","3012102"
"ながえ","柄の長い道具や武器のこと。","2","10121","2","3012103"
"かぶと","頭を守るための防具。","2","10122","1","3012200"
"よろい","頑丈な素材でつくられた身を守るための防具。","2","10122","2","3012201"
"アーマー","「かっちゅう」の英語読み。","2","10122","2","3012202"
"ぼうぐ","身を守る装具。","2","10122","2","3012203"
"おうきゅうきしだんのよろい","名誉ある王宮騎士団の鎧。ランドソルの治安を守ろう。","2","10122","3","3012204"
"リビングメイル","金属を喰らい、武具を操る謎の魔物。","2","10122","3","3012205"
"かぎ","錠をかけたり開けたりするための道具。無くすと大変。","2","10123","1","3012300"
"キー","「かぎ」の英語読み。","2","10123","2","3012301"
"マスターキー","対応する全ての錠を開けることができる鍵。","2","10123","2","3012302"
"たからばこ","中に何が入っているかは開けてからのお楽しみ。","2","10124","1","3012400"
"トレジャーボックス","「たからばこ」の英語読み。","2","10124","2","3012401"
"おたから","手に入ればガッポガッポ。","2","10124","2","3012402"
"レアドロップ","稀にゲットできる特別なお宝。","2","10124","3","3012403"
"ドラゴン","とても強力な生き物。貴重な存在で数々の伝説に残っている。","2","10125","1","3012500"
"きょうりゅう","大昔に存在したと言われている生き物。","2","10125","2","3012501"
"ダイナソー","「きょうりゅう」の英語読み。","2","10125","2","3012502"
"でんせつのせいぶつ","探求心を掻き立てる存在。ロマンに溢れている。","2","10125","2","3012503"
"ラースドラゴン","忘却の秘境、緑龍の骸領に住まう若き巨竜。","2","10125","3","3012504"
"もじ","言葉を書き記すのに使う記号。","2","10126","1","3012600"
"ひらがな","文字の一種。","2","10126","1","3012601"
"ちぇる","チエルの発する口癖。世界共通語になる予定？","2","10126","3","3012602"
"てかせ","手の動きを封じる拘束具。","2","10127","1","3012700"
"あしかせ","足の動きを封じる拘束具。","2","10127","1","3012701"
"こうそくぐ","動きを封じるために身に着ける器具。","2","10127","1","3012702"
"クウカのおきにいり","こうして強く拘束されると、クウカは…ぐふふふふ。","2","10127","3","3012703"
"もん","壁に囲まれた敷地の出入り口。","2","10128","1","3012800"
"こうもん","学校の門。遅刻すると閉じられたりする。","2","10128","2","3012801"
"てっぴ","鉄でできた扉。","2","10128","2","3012802"
"セントテレサじょがくいん","ランドソル随一のお嬢様校。通称テレ女。","2","10128","3","3012803"
"シェフィ","氷雪を操るドラゴン族の少女。空から降ってきた。","2","20066","1","4006600"
"ドラゴンぞくのしょうじょ","希少なドラゴン族の女の子。","2","20066","3","4006601"
"カリン","【ギルド管理協会】で働いている優しいしっかり者。","2","20067","1","4006700"
"ギルドかんりきょうかい","ギルドを管理する公的な機関。申請の承認や管理をサポート。","2","20067","3","4006701"
"ナビゲーター","冒険を陰から支える案内役。","2","20067","3","4006702"
"クソメガネ","素敵な仲間！","2","20067","3","4006703"
"エルダークラウド","気象を自在に操り、雷を落とす雲の魔物。","2","20068","1","4006800"
"かみなりぐも","雷を落とす黒い雲。","2","20068","3","4006801"
"ライライのてした","ライライの手となり足となって戦う。","2","20068","3","4006802"
"スリーピィオウル","寝不足で気怠げなフクロウの魔物。","2","20069","1","4006900"
"ふくろう","鳥の一種。森の哲学者。","2","20069","3","4006901"
"ワッパダヌキ","豆狸の魔物。幼いながら必死に戦っている。","2","20070","1","4007000"
"たぬき","ふかふかのしっぽを持つ動物。お腹をぽんぽこ叩くとか。","2","20070","3","4007001"
"こだぬき","たぬきのこども。","2","20070","3","4007002"
"ちゃがま","トーゴクに伝わる茶道具デス。たまに爆発するデース。","2","20070","3","4007003"
"マスターセンリのこぶん","大仙狸の眷属。たくさんいる。","2","20070","3","4007004"
"ゴーレム","頑丈な身体を持つ岩の魔物。","2","20071","1","4007100"
"がんせきのまもの","岩石でできた魔物。ゴーレムのこと。","2","20071","3","4007101"
"スズメのおともだち","広場に並んでたお地蔵さんたち。","2","20071","3","4007102"
"モーラ","魔法の国からやってきた謎の生物。魔法少女の力を与える。","2","20072","1","4007200"
"まほうせいぶつ","生命活動を魔力によって維持している生物のこと。","2","20072","3","4007201"
"ラブリーモニカのあいぼう","モニカちゃん！ラブリー★モニカに変身だ！","2","20072","3","4007202"
"はためいわくなけだま","ちょっと強引だったかもしれない。","2","20072","3","4007203"
