f5ff534ea11e99b2c7b00fea83827ce0351da80cfcc8715560040c5a4c318389,fe7ae7b78b1bc8e20d9c4eb7372207dfa7153a2b22f609eb85b3c641772f48ab,8caba80404a972b94a9412ff17312a9f425cfe45c7119aaa1037dc59150ccb4f,8dff3d25615b4ff09191303e88c4ca2f5a15202141848d950348f1c511c5ea3a,3b3fc33b2b237ed2f596b2398eecee1c4d4c1455c413f24b7e728505f1113e61,6ac7cf770c4370fa1689fd3e91f068edbbd8b975343a17b123526e414072b372,a3446d80b1b71b749332a54745152ee9972e65274de066ba355d719acdb726af,57e39a8dd22a8e5d4bf9259ddf9ed0cf2d711febcc9c364b852ea52da5e1ab63,ecc970bee923faa6438214b97455d375f22dcb93e589265cc08005afcd702728,9cd6228b2fa93a4514dbea7b16ed46d2ab6fd0937b6297810dec17fd0b9018a3,062bb252eac31bf0a380f871df865b0f6873ddd201fb202029884842b427f8f9
"","19110051","","21","vo_fpc","","0","vo_fpc_21103","","","911"
"10","19110052","0.5","11","25","0","1","何していいか\n困りますよね？","0","0","911"
"","19110053","","91","0","","","","","","911"
"","19110054","","93","0.5","","","0","","","911"
"1","19110055","","3","21","","","11_neneka_talk_loop","","0.1","911"
"","19110056","","21","vo_fpc","","0","vo_fpc_21104","","","911"
"10","19110057","0.5","11","21","-10","1","ええ…","0","20","911"
"","19110058","","91","0","","","","","","911"
"","19110059","","93","0.5","","","0","","","911"
"1","19110060","","3","21","","","11_neneka_think_loop","","0.1","911"
"","19110061","","21","vo_fpc","","0","vo_fpc_21105","","","911"
"10","19110062","0.5","11","21","-10","1","（これは…\n完全に同世代だと思われていますね）","0","50","911"
"","19110063","","91","0","","","","","","911"
"","19110064","","93","0.5","","","0","","","911"
"","19110065","","21","vo_fpc","","0","vo_fpc_21106","","","911"
"10","19110066","0.5","11","21","-10","1","（変身した際に子供のふりを\nすることはありますし\nいっそのこと演技して\n話を合わせる…？）","0","50","911"
"","19110067","","91","0","","","","","","911"
"","19110068","","93","0.5","","","0","","","911"
"","19110069","","21","vo_fpc","","0","vo_fpc_21107","","","911"
"10","19110070","0.5","11","21","-10","1","（いや、ですが目的もなく\n子供のふりなど…\nいっそのこと今からでも変身して…\nいや、目的もなく変身も何というか…）","0","50","911"
"","19110071","","91","0","","","","","","911"
"","19110072","","93","0.5","","","0","","","911"
"0","19110073","","3","122811","0.1","11_misogi_turn_loop","11_misogi_turn_in","1","0.3","911"
"1","19110074","","3","2","","","cmn_boat_idle","","0.3","911"
"","19110075","","21","vo_fpc","","0","vo_fpc_21108","","","911"
"10","19110076","0.5","11","122811","0","1","みんなー！\nついてきてるかー！","0","0","911"
"","19110077","","91","0","","","","","","911"
"","19110078","","93","0.5","","","0","","","911"
"0","19110079","","3","122911","0.1","11_mimi_handUp_loop","11_mimi_handUp_in","1","0.3","911"
"1","19110080","","3","1","","","11_petitGryphon_float","","0.3","911"
"","19110081","","21","vo_fpc","","0","vo_fpc_21109","","","911"
"10","19110082","0.5","11","122911","0","1","ほらほら、いきますよー♪","0","0","911"
"","19110083","","91","0","","","","","","911"
"","19110084","","93","0.5","","","0","","","911"
"0","19110085","","3","25","0.1","11_kyouka_sigh_loop","11_kyouka_sigh_in","1","0.1","911"
"","19110086","","21","vo_fpc","","0","vo_fpc_21110","","","911"
"10","19110087","0.5","11","25","0","1","もう、しょうがないんだから…\n一緒にいきましょ！","0","0","911"
"","19110088","","91","0","","","","","","911"
"","19110089","","93","0.5","","","0","","","911"
"","19110090","","21","vo_fpc","","0","vo_fpc_21111","","","911"
"10","19110091","0.5","11","21","-10","1","（ここは、最低限話をあわせるだけに\nしておきましょうか…）","0","50","911"
"","19110092","","91","0","","","","","","911"
"","19110093","","93","0.5","","","0","","","911"
"1","19110094","","3","21","","","11_neneka_talk_loop","","0.1","911"
"","19110095","","21","vo_fpc","","0","vo_fpc_21112","","","911"
"10","19110096","0.5","11","21","-10","1","はいはい。","0","20","911"
"","19110097","","91","0","","","","","","911"
"","19110098","","93","0.5","","","0","","","911"
"0","19110099","","3","25","0.1","11_kyouka_smile_loop","11_kyouka_smile_in","1","0.1","911"
"-180","19110100","","2","122911","","3.97058823529412","850","","","911"
"-180","19110101","","2","1","","3.97058823529412","850","","","911"
"-180","19110102","","33","122911","","3.97058823529412","850","","","911"
"","19110103","","93","0.1","","","1","","","911"
"-180","19110104","","2","122811","","2.5","900","","","911"
"-180","19110105","","2","2","","2.5","900","","","911"
"-180","19110106","","33","122811","","2.5","900","","","911"
"","19110107","","93","0.3","","","1","","","911"
"-180","19110108","","2","26","","9.58823529411765","850","","","911"
"-180","19110109","","33","26","","9.58823529411765","850","","","911"
"-180","19110110","","2","25","","5.82352941176471","850","","","911"
"-180","19110111","","33","25","","5.82352941176471","850","","","911"
"-180","19110112","","2","21","","7.70588235294118","850","","","911"
"-180","19110113","","33","21","","7.70588235294118","850","","","911"
"","19110114","","91","19110108","","","","","","911"
"22","19120001","cmn_float","1","1","0","-850","127111","-180","1.75","912"
"12","19120002","cmn_float","1","1","0","-850","126911","-125","1.75","912"
"12","19120003","cmn_walk_r","1","1","0","750","122711","-15","1.4875","912"
"-850","19120004","","31","6","","-180","11","1","1","912"
"-850","19120005","","31","6","","-125","21","1","1","912"
"1","19120006","","23","se_10053800","","","se_fpc_water_random","","","912"
"","19120007","","91","19120005","","","0","","","912"
"-180","19120008","","2","127111","","4.41176470588235","-100","12","","912"
"-180","19120009","","33","11","","4.41176470588235","-100","12","","912"
"","19120010","","93","4","","","0","","","912"
"-125","19120011","","2","126911","","3.67647058823529","-350","12","","912"
"-125","19120012","","33","21","","3.67647058823529","-350","12","","912"
"","19120013","","91","19120008","","","","","","912"
"1","19120014","","3","127111","","","cmn_float","","0.1","912"
"","19120015","","21","vo_fpc","","0","vo_fpc_21200","","","912"
"10","19120016","0.5","11","127111","0","1","あっ…","0","0","912"
"","19120017","","93","0.6","","","0","","","912"
"-15","19120018","","2","122711","","4.97058823529412","100","0","","912"
"","19120019","","93","1.5","","","0","","","912"
"","19120020","","91","19120016","","","","","","912"
"","19120021","","91","19120011","","","","","","912"
"1","19120022","","3","126911","","","cmn_float","","0.1","912"
"","19120023","","21","vo_fpc","","0","vo_fpc_21201","","","912"
"10","19120024","0.5","11","126911","0","1","あっ…","0","0","912"
"","19120025","","91","0","","","","","","912"
"","19120026","","93","0.5","","","0","","","912"
"","19120027","","91","19120018","","","","","","912"
"0","19120028","","3","122711","0.1","12_kyouka_notice_loop","12_kyouka_notice","1","0.1","912"
"","19120029","","21","vo_fpc","","0","vo_fpc_21202","","","912"
"10","19120030","0.5","11","122711","0","1","えっ？\nな、なんですか？","0","0","912"
"","19120031","","91","0","","","","","","912"
"","19120032","","93","0.5","","","0","","","912"
"1","19120033","","3","127111","","","cmn_float","","0.1","912"
"","19120034","","21","vo_fpc","","0","vo_fpc_21203","","","912"
"10","19120035","0.5","11","127111","0","1","いえ、あそこ…","0","0","912"
"","19120036","","91","0","","","","","","912"
"","19120037","","93","0.5","","","0","","","912"
"1","19120038","","3","126911","","","cmn_float","","0.1","912"
"","19120039","","21","vo_fpc","","0","vo_fpc_21204","","","912"
"10","19120040","0.5","11","126911","0","1","うん…","0","0","912"
"","19120041","","91","0","","","","","","912"
"","19120042","","93","0.5","","","0","","","912"
"0","19120043","","3","122711","0.1","12_kyouka_turn_loop","12_kyouka_turn_in","1","0.1","912"
"","19120044","","21","vo_fpc","","0","vo_fpc_21205","","","912"
"10","19120045","0.5","11","122711","0","1","なに？\nなにもないみたいだけど…","0","0","912"
"","19120046","","91","0","","","","","","912"
"","19120047","","93","0.5","","","0","","","912"
"1","19120048","","3","127111","","","12_cmn_float_smile","","0.1","912"
"","19120049","","21","vo_fpc","","0","vo_fpc_21206","","","912"
"10","19120050","0.5","11","127111","0","1","ふふっ。","0","0","912"
"","19120051","","91","0","","","","","","912"
"","19120052","","93","0.5","","","0","","","912"
"1","19120053","","3","126911","","","12_cmn_float_smile","","0.1","912"
"","19120054","","21","vo_fpc","","0","vo_fpc_21207","","","912"
"10","19120055","0.5","11","126911","0","1","ふふふふっ…","0","0","912"
"","19120056","","91","0","","","","","","912"
"","19120057","","93","0.5","","","0","","","912"
"-180","19120058","","2","127111","","4.29864253393665","850","","","912"
"-180","19120059","","33","11","","4.29864253393665","850","","","912"
"-125","19120060","","2","126911","","5.42986425339367","850","","","912"
"-125","19120061","","33","21","","5.42986425339367","850","","","912"
"","19120062","","93","1","","","0","","","912"
"0","19120063","","3","122711","0.1","12_kyouka_scare_loop","12_kyouka_scare_in","1","0.1","912"
"","19120064","","21","vo_fpc","","0","vo_fpc_21208","","","912"
"10","19120065","0.5","11","122711","0","1","ひぅっ！\nな、なんなんですかあ…","0","0","912"
"","19120066","","91","0","","","","","","912"
"","19120067","","93","0.5","","","0","","","912"
"0","19120068","","3","122711","0.1","12_kyouka_run_loop","12_kyouka_run_in","1","0.1","912"
"-15","19120069","","2","122711","","3.58220211161388","-850","","","912"
"","19120070","","91","19120069","","","","","","912"
"22","19130001","13_kuka_bound","1","1","0","-800","127011","-180","1.75","913"
"-600","19130002","","31","104","","-170","1041","1","0","913"
"-240","19130003","","31","104","","-170","1042","1","0","913"
"170","19130004","","31","104","","-170","1043","1","0","913"
"560","19130005","","31","104","","-170","1044","1","0","913"
"-575","19130006","","31","1003","","-85","1003","1","0","913"
"1","19130007","","23","se_10053800","","","se_fpc_water_random","","","913"
"","19130008","","91","19130006","","","0","","","913"
"","19130009","","32","1003","","0","1","","","913"
"","19130010","","93","2","","","0","","","913"
"1","19130011","","3","127011","","","13_kuka_bound","","0.1","913"
"-180","19130012","","2","127011","","2.35294117647059","800","","","913"
"","19130013","","93","0.236666666666667","","","0","","","913"
"0","19130014","","23","se_10053800","","","se_10053800_913_kuka","","","913"
"","19130015","","21","vo_fpc","","0","vo_fpc_21300","","","913"
"","19130016","","32","1041","","0","1","","","913"
"","19130017","","93","0.536666666666667","","","0","","","913"
"","19130018","","32","1042","","0","1","","","913"
"","19130019","","93","0.536666666666667","","","0","","","913"
"","19130020","","21","vo_fpc","","0","vo_fpc_21301","","","913"
"","19130021","","32","1043","","0","1","","","913"
"","19130022","","93","0.536666666666667","","","0","","","913"
"","19130023","","32","1044","","0","1","","","913"
"","19130024","","93","2","","","0","","","913"
"","19130025","","91","19130012","","","","","","913"
"24","19140001","14_maho_idle_loop","1","1","0","-1000","110611","-185","1.75","914"
"22","19140002","cmn_boat_idle","5","2","0","-1000","2","-185","1.75","914"
"23","19140003","14_maho_idle_loop","5","3","0","-1000","3","-185","1.75","914"
"25","19140004","cmn_float","1","1","0","-1220","110511","-175","1.75","914"
"12","19140005","14_makoto_float","1","1","0","-1520","110411","-125","1.75","914"
"-1000","19140006","","31","116","","-185","110611","1","1","914"
"-1220","19140007","","31","8","","-175","41","1","1","914"
"-50","19140008","","31","120","","-175","120","1","0","914"
"-1520","19140009","","31","4","","-125","42","1","1","914"
"-350","19140010","","31","117","","-125","117","1","0","914"
"1","19140011","","23","se_10053800","","","se_fpc_water_random","","","914"
"","19140012","","91","19140010","","","0","","","914"
"-185","19140013","","2","110611","","8.60294117647059","170","12","","914"
"-185","19140014","","2","2","","8.60294117647059","170","12","","914"
"-185","19140015","","2","3","","8.60294117647059","170","12","","914"
"-185","19140016","","33","110611","","8.60294117647059","170","12","","914"
"-175","19140017","","2","110511","","8.60294117647059","-50","12","","914"
"-175","19140018","","33","41","","8.60294117647059","-50","12","","914"
"-125","19140019","","2","110411","","8.60294117647059","-350","12","","914"
"-125","19140020","","33","42","","8.60294117647059","-350","12","","914"
"","19140021","","91","19140013","","","","","","914"
"0","19140022","","3","110611","0.1","14_maho_point_loop","14_maho_point_in","1","0.3","914"
"1","19140023","","3","2","","","cmn_boat_idle","","0.3","914"
"1","19140024","","3","3","","","14_maho_idle_loop","","0.3","914"
"","19140025","","21","vo_fpc","","0","vo_fpc_21400","","","914"
"10","19140026","0.5","11","110611","0","1","アーサー、ガウェイン、ランスロット\nうん、みんなそろっとるね。\nほな、いきまひょか。\nカオリはん、お願いしますー","0","0","914"
"","19140027","","91","0","","","","","","914"
"","19140028","","93","0.5","","","0","","","914"
"0","19140029","","3","110511","0.1","14_kaori_handUp_loop","14_kaori_handUp_in","1","0.1","914"
"","19140030","","21","vo_fpc","","0","vo_fpc_21401","","","914"
"10","19140031","0.5","11","110511","0","1","まーかせるさー！\nしゅっぱつしんこー！","0","0","914"
"","19140032","","91","0","","","","","","914"
"","19140033","","93","0.5","","","0","","","914"
"1","19140034","","3","110411","","","14_makoto_pazzled","","0.1","914"
"","19140035","","21","vo_fpc","","0","vo_fpc_21402","","","914"
"10","19140036","0.5","11","110411","0","1","いやいや待てって。\nそんなに張り切って押したら\nこいつら、水に落ちて濡れちまうだろ？","0","0","914"
"","19140037","","91","0","","","","","","914"
"","19140038","","93","0.5","","","0","","","914"
"0","19140039","","3","110611","0.1","14_maho_smile_loop","14_maho_smile_in","1","0.3","914"
"1","19140040","","3","2","","","cmn_boat_idle","","0.3","914"
"1","19140041","","3","3","","","14_maho_idle_loop","","0.3","914"
"","19140042","","21","vo_fpc","","0","vo_fpc_21403","","","914"
"10","19140043","0.5","11","110611","0","1","ふふっ、この子らは前に一緒に海に\n来てた子やから、お水には強いんどす。\nけど、落っこちたらかわいそうやし\n安全運転でお願いできますやろか♪","0","0","914"
"","19140044","","91","0","","","","","","914"
"","19140045","","93","0.5","","","0","","","914"
"","19140046","","21","vo_fpc","","0","vo_fpc_21404","","","914"
"10","19140047","0.5","11","110511","0","1","わかってるさー！\n琉球犬肉球安全泳法でいくさー！","0","0","914"
"","19140048","","91","0","","","","","","914"
"","19140049","","93","0.5","","","0","","","914"
"0","19140050","","3","110511","0.1","14_kaori_flutterKick_loop","14_kaori_flutterKick_in","1","0.1","914"
"","19140051","","93","0.3","","","0","","","914"
"-185","19140052","","2","110611","","6.47058823529412","1270","","","914"
"-185","19140053","","2","2","","6.47058823529412","1270","","","914"
"-185","19140054","","2","3","","6.47058823529412","1270","","","914"
"-185","19140055","","33","110611","","6.47058823529412","1270","","","914"
"","19140056","","32","41","","","0","","","914"
"","19140057","","32","120","","","1","","","914"
"-175","19140058","","2","110511","","6.47058823529412","1050","","","914"
"-175","19140059","","33","120","","6.47058823529412","1050","","","914"
"","19140060","","93","1","","","0","","","914"
"","19140061","","21","vo_fpc","","0","vo_fpc_21405","","","914"
"10","19140062","0.5","11","110411","0","1","な～んか心配なんだよな…\nしょうがない、あたしもついてくか。\nおーい、待てってば！","0","0","914"
"","19140063","","91","0","","","","","","914"
"","19140064","","93","0.5","","","0","","","914"
"0","19140065","","3","110411","0.1","cmn_swm_dogscratch","14_makoto_dogscratch_in","1","0.1","914"
"","19140066","","93","0.3","","","0","","","914"
"","19140067","","32","42","","","0","","","914"
"","19140068","","32","117","","","1","","","914"
"-125","19140069","","2","110411","","3.72637742879957","1050","","","914"
"-125","19140070","","33","117","","3.72637742879957","1050","","","914"
"","19140071","","91","19140069","","s","","","","914"
"23","19150001","15_saren_idle","1","1","0","-950","110311","-180","1.75","915"
"22","19150002","cmn_boat_idle","5","2","0","-950","2","-180","1.75","915"
"12","19150003","15_suzume_walk_loop","1","1","0","-750","107711","-15","1.75","915"
"-950","19150004","","31","101","","-180","110311","1","1","915"
"210","19150005","","31","109","","30","109","1","0","915"
"330","19150006","","31","4","","-125","4","1","0","915"
"1","19150007","","23","se_10053800","","","se_fpc_water_random","","","915"
"","19150008","","13","107711","","","49","","","915"
"","19150009","","91","0","","","0","","","915"
"-15","19150010","","2","107711","","5.51470588235294","0","","","915"
"","19150011","","91","19150010","","","","","","915"
"0","19150012","","3","107711","0.1","15_suzume_talk_loop","15_suzume_talk_in","1","0.1","915"
"","19150013","","21","vo_fpc","","0","vo_fpc_21500","","","915"
"10","19150014","0.5","11","107711","0","1","お嬢様とはぐれてしまいました…\n迷子だなんてメイド失格です～","0","0","915"
"","19150015","","93","3.2","","","1","","","915"
"","19150016","","93","1.5","","","0","","","915"
"","19150017","","91","19150014","","","","","","915"
"0","19150018","","3","107711","0.1","15_suzume_walk_loop","15_suzume_walk_in","1","0.1","915"
"-180","19150019","","2","110311","","11.9779411764706","-100","","","915"
"-180","19150020","","2","2","","11.9779411764706","-100","","","915"
"-180","19150021","","33","110311","","11.9779411764706","-100","","","915"
"-15","19150022","","2","107711","","4.22794117647059","460","","","915"
"","19150023","","91","19150022","","","","","","915"
"0","19150024","","3","107711","0.1","15_suzume_turn_loop","15_suzume_turn_in","1","0.1","915"
"","19150025","","93","0.6","","","0","","","915"
"","19150026","","21","vo_fpc","","0","vo_fpc_21501","","","915"
"20","19150027","0.5","11","107711","0","1","あれは…お嬢様～！\n今参ります！","0","-15","915"
"","19150028","","93","1.7","","","0","","","915"
"0","19150029","","3","110311","0.1","15_saren_notice_loop","15_saren_notice_in","1","0.3","915"
"1","19150030","","3","2","","","cmn_boat_idle","","0.3","915"
"","19150031","","93","0.35","","","0","","","915"
"","19150032","","93","1.5","","","0","","","915"
"-15","19150033","","2","107711","","0.5","330","","","915"
"1","19150034","","3","107711","0.1","","15_suzume_run","","0.2","915"
"","19150035","","21","vo_fpc","","0","vo_fpc_21502","","","915"
"100","19150036","-0.5","11","110311","0","1","スズメ？\nって、走ると危なっ…","0","0","915"
"","19150037","","93","0.5","","","0","","","915"
"0","19150038","","3","107711","","","15_suzume_fallDown","","0.1","915"
"","19150039","","93","1.3","","","0","","","915"
"","19150040","","21","vo_fpc","","0","vo_fpc_21503","","","915"
"150","19150041","-1.5","11","107711","0","1","きゃあああ～！","0","0","915"
"0","19150042","","3","110311","0.1","15_saren_rise_loop","15_saren_rise_in","1","0.1","915"
"1","19150043","","3","2","","","cmn_boat_idle","","0.1","915"
"","19150044","","93","0.5","","","0","","","915"
"1","19150045","","6","107711","","1","1","0","0.1","915"
"","19150046","","32","109","","","1","","","915"
"","19150047","","93","1","","","0","","","915"
"-125","19150048","","2","107711","","0","330","","","915"
"1","19150049","","6","107711","","1","1","1","0.4","915"
"0","19150050","","3","107711","0.1","15_suzume_drown_loop","15_suzume_drown_in","1","0.1","915"
"-125","19150051","","2","107711","","2.76470588235294","800","","","915"
"-125","19150052","","33","4","","2.76470588235294","800","","","915"
"","19150053","","91","19150019","","","","","","915"
"-180","19150054","","2","110311","","7.35294117647059","900","","","915"
"-180","19150055","","2","2","","7.35294117647059","900","","","915"
"-180","19150056","","33","110311","","7.35294117647059","900","","","915"
"","19150057","","21","vo_fpc","","0","vo_fpc_21504","","","915"
"10","19150058","0.5","11","110311","0","1","ス、スズメ？\nスズメ～っ！？","0","0","915"
"","19150059","","91","0","","","","","","915"
"","19150060","","93","1.5","","","0","","","915"
"","19150061","","91","19150054","","s","","","","915"
"12","19160001","cmn_walk","1","1","0","-750","113111","-15","1.4875","916"
"12","19160002","16_nanaka_run","1","1","0","750","113311","-15","1.4875","916"
"22","19160003","cmn_swm_diving","1","1","0","-850","117411","-180","1.75","916"
"22","19160004","cmn_swm_diving","1","1","0","-2500","117011","-180","1.75","916"
"22","19160005","none","5","7","0","50","7","-180","1.75","916"
"22","19160006","cmn_floatRing_pink","5","1","0","-1375","11","-180","1.75","916"
"12","19160007","cmn_float_item_01_Ball","5","1","0","-2500","12","-125","1.75","916"
"-1375","19160008","","31","4","","-180","11","1","1","916"
"-2500","19160009","","31","4","","-125","12","1","1","916"
"-850","19160010","","31","9","","-180","91","1","1","916"
"-2500","19160011","","31","9","","-180","92","1","1","916"
"-183","19160012","","31","1015","","155","1015","1","0","916"
"50","19160013","","31","1013","","-180","1013","1","0","916"
"1","19160014","","23","se_10053800","","","se_fpc_water_random","","","916"
"","19160015","","91","19160013","","","0","","","916"
"-180","19160016","","2","117411","","19.7058823529412","2500","","","916"
"-180","19160017","","33","91","","19.7058823529412","2500","","","916"
"-180","19160018","","2","11","","24.6323529411765","1975","","","916"
"-180","19160019","","33","11","","24.6323529411765","1975","","","916"
"-180","19160020","","2","117011","","19.7058823529412","850","","","916"
"-180","19160021","","33","92","","19.7058823529412","850","","","916"
"-125","19160022","","2","12","","24.6323529411765","850","","","916"
"-125","19160023","","33","12","","24.6323529411765","850","","","916"
"","19160024","","93","3","","","0","","","916"
"-15","19160025","","2","113111","","4.41176470588235","-150","","","916"
"","19160026","","91","19160025","","","","","","916"
"1","19160027","","3","113111","","","16_ruka_think","","0.3","916"
"","19160028","","32","1015","","","1","","","916"
"","19160029","","21","vo_fpc","","0","vo_fpc_21600","","","916"
"","19160030","","93","0.6","","","0","","","916"
"","19160031","","93","1.5","","","0","","","916"
"-15","19160032","","2","113311","","2.71493212669683","150","","","916"
"","19160033","","91","19160032","","","","","","916"
"1","19160034","","3","113311","","","16_nanaka_idle_loop","","0.2","916"
"","19160035","","21","vo_fpc","","0","vo_fpc_21601","","","916"
"10","19160036","0.5","11","113311","0","1","ル～カ～姉♪\n何見てんのかにゃ～？","0","0","916"
"","19160037","","91","0","","","","","","916"
"","19160038","","93","0.5","","","0","","","916"
"0","19160039","","3","113111","0.1","16_ruka_notice_loop","16_ruka_notice_in","1","0.1","916"
"","19160040","","21","vo_fpc","","0","vo_fpc_21602","","","916"
"10","19160041","0.5","11","113111","0","1","ん？　いや、特に何か\n考えてたわけじゃないが…","0","0","916"
"","19160042","","91","0","","","","","","916"
"","19160043","","93","0.5","","","0","","","916"
"0","19160044","","3","113311","0.1","16_nanaka_point_loop","16_nanaka_point_in","1","0.1","916"
"","19160045","","21","vo_fpc","","0","vo_fpc_21603","","","916"
"10","19160046","0.5","11","113311","0","1","ふっふっふ、ルカ姉の考えは\nまるっとお見通しだ！","0","0","916"
"","19160047","","91","0","","","","","","916"
"","19160048","","93","0.5","","","0","","","916"
"","19160049","","21","vo_fpc","","0","vo_fpc_21604","","","916"
"10","19160050","0.5","11","113311","0","1","ズバリ！\n「見ろ！　人が魚のようだ！」でしょ？","0","0","916"
"","19160051","","91","0","","","","","","916"
"","19160052","","93","0.5","","","0","","","916"
"0","19160053","","3","113111","0.1","16_ruka_talk_loop","16_ruka_talk_in","1","0.1","916"
"","19160054","","21","vo_fpc","","0","vo_fpc_21605","","","916"
"10","19160055","0.5","11","113111","0","1","そんなことはっ…\nちょっとだけ、考えちまったね…","0","0","916"
"","19160056","","91","0","","","","","","916"
"","19160057","","93","0.5","","","0","","","916"
"0","19160058","","3","113311","0.1","16_nanaka_idle_loop","16_nanaka_idle_in","1","0.1","916"
"","19160059","","21","vo_fpc","","0","vo_fpc_21606","","","916"
"10","19160060","0.5","11","113311","0","1","なっはっは、やっぱりね～♪","0","0","916"
"","19160061","","91","0","","","","","","916"
"","19160062","","93","0.5","","","0","","","916"
"0","19160063","","3","113311","0.1","cmn_run_def_N","16_nanaka_turn","1","0.1","916"
"-15","19160064","","2","113311","","2.71493212669683","750","","","916"
"1","19160065","","3","113111","","","cmn_walk","","0.1","916"
"-15","19160066","","2","113111","","5.29411764705882","750","","","916"
"","19160067","","93","1.5","","","0","","","916"
"0","19160068","","3","7","0.1","none","fish","","","916"
"","19160069","","32","1013","","","1","","","916"
"","19160070","","93","3.2","","","0","","","916"
"","19160071","","91","19160018","","s","","","","916"
"","19160072","","91","19160064","","s","","","","916"
"","19160073","","91","19160066","","s","","","","916"
"23","19170001","17_akino_worry","1","1","0","-950","126711","-180","1.75","917"
"24","19170002","empty","5","3","0","-950","3","-180","1.75","917"
"22","19170003","cmn_boat_idle","5","2","0","-950","2","-180","1.75","917"
"12","19170004","cmn_walk_r","1","1","0","750","110311","-15","1.4875","917"
"-950","19170005","","31","101","","-180","126711","1","1","917"
"1","19170006","","23","se_10053800","","","se_fpc_water_random","","","917"
"","19170007","","91","19170005","","","0","","","917"
"-180","19170008","","2","126711","","6.98529411764706","0","12","","917"
"-180","19170009","","2","3","","6.98529411764706","0","12","","917"
"-180","19170010","","2","2","","6.98529411764706","0","12","","917"
"-180","19170011","","33","126711","","6.98529411764706","0","12","","917"
"","19170012","","91","19170008","","","","","","917"
"","19170013","","21","vo_fpc","","0","vo_fpc_21700","","","917"
"10","19170014","0.5","11","126711","0","1","一向に目的地に着きませんわね…\nまさか、また迷ってしまいましたの？\nメルクリゾートは私の庭…\nそう思ってましたのに～っ！","0","0","917"
"","19170015","","91","0","","","","","","917"
"","19170016","","93","0.5","","","0","","","917"
"-15","19170017","","2","110311","","4.72689075630252","300","","","917"
"0","19170018","","3","126711","0.1","17_akino_laugh_loop","17_akino_laugh_in","1","0.3","917"
"0","19170019","","3","3","0.1","17_akino_laugh_loop","17_akino_laugh_in","1","0.3","917"
"1","19170020","","3","2","","","cmn_boat_idle","","0.3","917"
"","19170021","","21","vo_fpc","","0","vo_fpc_21701","","","917"
"20","19170022","0.5","11","126711","0","1","いいえ、違いますわ！…この私ですら\n迷わせるほどの広大なリゾート…\n財団の偉業を誇るべきですわね♪\nおーっほっほっほ！","0","0","917"
"","19170023","","91","19170017","","","","","","917"
"0","19170024","","3","110311","0.1","17_saren_talk_loop","17_saren_talk_in","1","0.2","917"
"","19170025","","93","0.673109243697478","","","0","","","917"
"","19170026","","93","0.5","","","0","","","917"
"","19170027","","91","19170022","","","","","","917"
"","19170028","","21","vo_fpc","","0","vo_fpc_21702","","","917"
"10","19170029","0.5","11","110311","0","1","…流れるプールなんだし、同じ場所を\nループしてるだけじゃない？","0","0","917"
"","19170030","","91","0","","","","","","917"
"0","19170031","","3","126711","0.1","17_akino_pause_loop","17_akino_pause_in","1","0.1","917"
"0","19170032","","3","3","0.1","17_akino_pause_loop","17_akino_pause_in","1","0.1","917"
"1","19170033","","3","2","","","cmn_boat_idle","","0.1","917"
"","19170034","","93","2","","","0","","","917"
"0","19170035","","3","126711","0.1","17_akino_shock_loop","17_akino_shock_in","1","0.3","917"
"0","19170036","","3","3","","","empty","","","917"
"1","19170037","","3","2","","","cmn_boat_idle","","0.3","917"
"","19170038","","21","vo_fpc","","0","vo_fpc_21703","","","917"
"10","19170039","0.5","11","126711","0","1","そ、そうなんですの！？\n盲点でしたわーーー！","0","0","917"
"","19170040","","91","0","","","","","","917"
"","19170041","","93","0.5","","","0","","","917"
"-180","19170042","","2","126711","","5.29411764705882","900","","","917"
"-180","19170043","","2","2","","5.29411764705882","900","","","917"
"-180","19170044","","33","126711","","5.29411764705882","900","","","917"
"","19170045","","93","2.7","","","0","","","917"
"0","19170046","","3","110311","0.1","cmn_walk","17_saren_turn","1","0.1","917"
"-15","19170047","","2","110311","","2.64705882352941","750","","","917"
"","19170048","","91","19170042","","","","","","917"
"","19170049","","91","19170047","","","","","","917"
"22","19180001","18_misato_backWalk","1","1","0","-850","113511","-180","1.75","918"
"23","19180002","18_io_flutterKick","1","1","0","-1010","110111","-180","1.75","918"
"-850","19180003","","31","14","","-180","41","1","0","918"
"50","19180004","","31","2","","-180","11","1","0","918"
"-110","19180005","","31","14","","-180","42","1","0","918"
"-1010","19180006","","31","123","","-180","12","1","1","918"
"1","19180007","","23","se_10053800","","","se_fpc_water_random","","","918"
"","19180008","","91","19180006","","","0","","","918"
"-180","19180009","","2","113511","","6.61764705882353","50","12","","918"
"-180","19180010","","33","41","","6.61764705882353","50","12","","918"
"-180","19180011","","2","110111","","6.61764705882353","-110","12","","918"
"-180","19180012","","33","12","","6.61764705882353","-110","12","","918"
"","19180013","","91","19180009","","","","","","918"
"1","19180014","","3","113511","","","18_misato_backWalkIdle","","0.2","918"
"","19180015","","21","vo_fpc","","0","vo_fpc_21800","","","918"
"10","19180016","0.5","11","113511","0","1","イオ先生、その調子。\n上手にバタ足できてるわよ～♪","0","0","918"
"","19180017","","91","0","","","","","","918"
"","19180018","","93","0.5","","","0","","","918"
"","19180019","","21","vo_fpc","","0","vo_fpc_21801","","","918"
