12e6279ffed2209909f92e16f29bc4cfb483c71bfbce07d1fc2881d42dd257f3,e05c4998217dff5e4a4be2fe1b16fd60c26015bf4d8f55b2f2e363b1579661a2,e53a9a64175c95ee9e26720651c4ec54d1992eaa2b27236b7ef2c2cb3c545b3a,5a20f6ad838cabe497dcff30ea47740ec8150015ab7f037dddbc7958691137d8,a66fe4d389649ae5c61ac061627765b13dfe73a86f2b9928244de9d12fe87801,023dd2a27b75ca8e4ef0384f2da348c0b63f23f143733117333925405a0fcf9c,ce15e8dbf3f73fcbff36e25b618df649b196719b8ed29663c919fded22167606
"230","ストーリーイベントボスバトル\n\n時間 / 02:31\n作曲 / 中川峻彰\n編曲 / 中川峻彰","bgm_M604","2:31","0:00","bgm_M604_juke","海将タツノココマンダー"
"231","キャラクターソング\n\n時間 / 01:30\n歌　 / ユイ（種田梨沙）\n　　　ヒヨリ（東山奈央）\n　　　レイ（早見沙織）\n作詞 / PandaBoY\n作曲 / PandaBoY\n編曲 / PandaBoY","bgm_M606","1:30","0:43","bgm_M606","Secret Star"
"232","ミニゲーム\n-｢Secret Star｣アレンジ-\n\n時間 / 01:42\n作曲 / PandaBoY\n編曲 / 関根修平（Cygames）","bgm_M605","1:42","0:00","bgm_M605_juke","駆けろ常夏！アルティメットビーチフラッグス"
"233","ストーリーイベントテーマ\n-｢わくわくSUMMER TIME！｣アレンジ-\n\n時間 / 01:08\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","bgm_M608","1:08","0:00","bgm_M608_juke","リトル・サマー・メモリーズ　渚でみつけた小さな幸せ"
"234","ストーリーイベントボスバトル\n-｢わくわくSUMMER TIME！｣アレンジ-\n\n時間 / 03:10\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 市橋卓也（Cygames）","bgm_M611","3:10","0:00","bgm_M611_juke","ムーンレイゲート"
"235","キャラクターソング\n\n時間 / 01:31\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","bgm_M607","1:31","0:48","bgm_M607","わくわくSUMMER TIME！"
"236","ストーリーイベントミニコンテンツ\n-｢わくわくSUMMER TIME！｣アレンジ-\n\n時間 / 02:40\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 畑田浩孝（Cygames）","bgm_M612","2:40","0:00","bgm_M612_juke","みゅ～ちゃんすくすく日記"
"237","ストーリーイベントテーマ\n-｢はんなり乙女道中｣アレンジ-\n\n時間 / 02:02\n作曲 / 金山秀士（Dream Monster）\n編曲 / 多田彰文","bgm_M618","2:02","0:00","bgm_M618_juke","マホマホ・ミラクル・ジャーニー！　旅する少女と最果ての大樹"
"238","ストーリーイベントボスバトル\n\n時間 / 01:30\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_M621","1:30","0:00","bgm_M621_juke","哀執のバロメッツ"
"239","キャラクターソング\n\n時間 / 01:36\n歌　 / マホ（内田真礼）\n作詞 / 金山秀士（Dream Monster）\n作曲 / 金山秀士（Dream Monster）\n編曲 / 金山秀士（Dream Monster）","bgm_M617","1:36","0:55","bgm_M617","はんなり乙女道中"
"240","ストーリーイベントテーマ\n-｢O-TA-O-TA WORLD｣アレンジ-\n\n時間 / 01:34\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / 市橋卓也（Cygames）","bgm_M623","1:34","0:00","bgm_M623_juke","ファボ！ラブ！大集合！　至高の祭典と少女の秘めた推し事"
"241","ストーリーイベントボスバトル\n\n時間 / 02:00\n作曲 / 榎本 三和子（Cygames）\n編曲 / 榎本 三和子（Cygames）","bgm_M625","2:00","0:00","bgm_M625_juke","狂乱の配信者・カガミ"
"242","キャラクターソング\n\n時間 / 01:35\n歌　 / トモ（茅原実里）\n　　　ナナカ（佳村はるか）\n　　　リン（小岩井ことり）\n作詞 / Heart's Cry (TOKYO LOGIC)\n作曲 / Heart's Cry (TOKYO LOGIC)\n編曲 / Heart's Cry (TOKYO LOGIC)","bgm_M622","1:35","1:01","bgm_M622","O-TA-O-TA WORLD"
"243","ストーリーイベントテーマ\n-｢Knight's Soul｣アレンジ-\n\n時間 / 01:37\n作曲 / 設楽哲也\n編曲 / 畑田浩孝（Cygames）","bgm_M630","1:37","0:00","bgm_M630_juke","トライバルスピリッツ　掲げる剣と誇りの架け橋"
"244","ストーリーイベントボスバトル\n\n時間 / 01:59\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M634","1:59","0:00","bgm_M634_juke","オブシダンゴーレム"
"245","キャラクターソング\n\n時間 / 01:28\n歌　 / マツリ（下田麻美）\n　　　クリスティーナ（たかはし智秋）\n作詞 / eNu\n作曲 / 設楽哲也\n編曲 / 設楽哲也","bgm_M637","1:28","0:52","bgm_M637","Knight's Soul"
"246","ストーリーイベントテーマ\n-｢はつゆきツインアプローチ｣アレンジ-\n\n時間 / 01:08\n作曲 / 森本練\n編曲 / 中村早織（Cygames）","bgm_M638","1:08","0:00","bgm_M638_juke","ハッピー・ハプニング　幸せの双子天使と聖夜の贈り物"
"247","ストーリーイベントボスバトル\n\n時間 / 02:01\n作曲 / 守谷勇人\n編曲 / 守谷勇人","bgm_M641","2:01","0:00","bgm_M641_juke","アンハッピートレント"
"248","キャラクターソング\n\n時間 / 01:29\n歌　 / ヨリ（原紗友里）\n　　　アカリ（浅倉杏美）\n作詞 / 森本練\n作曲 / 森本練\n編曲 / 森本練","bgm_M656","1:29","0:52","bgm_M656","はつゆきツインアプローチ"
"249","ストーリーイベントテーマ\n-｢ma.sa.yu.me.｣アレンジ-\n\n時間 / 01:21\n作曲 / ウツミタカアキ\n編曲 / 佐藤遥（Cygames）","bgm_M647","1:21","0:00","bgm_M647_juke","湯けむり忘年奇譚　初日の出に盃を"
"250","ストーリーイベントボスバトル\n\n時間 / 01:54\n作曲 / 亀井瑠美\n編曲 / 亀井瑠美","bgm_M650","1:54","0:00","bgm_M650_juke","穢れし湯ノ神・陽卵"
"251","キャラクターソング\n\n時間 / 01:39\n歌　 / ホマレ（大西沙織）\n　　　ミサト（國府田マリ子）\n作詞 / ウツミタカアキ\n作曲 / ウツミタカアキ\n編曲 / ウツミタカアキ","bgm_M666","1:39","1:05","bgm_M666","ma.sa.yu.me."
"252","ストーリーイベントミニコンテンツ\n-｢ma.sa.yu.me.｣アレンジ-\n\n時間 / 02:04\n作曲 / ウツミタカアキ\n編曲 / Enarak（Cygames）","bgm_M651","2:04","0:00","bgm_M651_juke","新春日替わり湯"
"253","終炎のエリュシオン\n\n時間 / 01:03\n作曲 / 中町友洋\n編曲 / 中町友洋","bgm_M643","1:03","0:00","bgm_M643_juke","終炎のエリュシオン"
"254","終炎のエリュシオンボスバトル\n\n時間 / 02:05\n作曲 / 植田能平\n編曲 / 植田能平","bgm_M645","2:05","0:00","bgm_M645_juke","甦りし脅威たち"
"255","終炎のエリュシオンボスバトル\n\n時間 / 01:35\n作曲 / 千葉梓（Cygames）、関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_M646","1:35","0:00","bgm_M646_Mode1_juke","偽りの救済者"
"256","終炎のエリュシオンボスバトル\n\n時間 / 01:40\n作曲 / 千葉梓（Cygames）、関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_M646","1:40","0:00","bgm_M646_Mode2_juke","終炎を司りし魔術師"
"257","終炎のエリュシオンボスバトル\n-｢Mirage Game｣アレンジ-\n\n時間 / 02:00\n作曲 / 田中公平\n編曲 / 吉川美矩、関根修平（Cygames）","bgm_M646","2:00","0:00","bgm_M646_Mode3_juke","理外の力を求めし者"
"258","ストーリーイベントテーマ\n-｢ネバールーズアゲイン｣アレンジ-\n\n時間 / 01:00\n作曲 / 奥井康介\n編曲 / 榎本三和子（Cygames）","bgm_M659","1:00","0:00","bgm_M659_juke","希望を夢見る楽園"
"259","ストーリーイベントテーマ\n-｢ネバールーズアゲイン｣アレンジ-\n\n時間 / 01:17\n作曲 / 奥井康介\n編曲 / Enarak（Cygames）","bgm_M660","1:17","0:00","bgm_M660_juke","不確かな未来でも"
"260","ストーリーイベントボスバトル\n\n時間 / 02:12\n作曲 / 西木康智\n編曲 / 佐藤遥（Cygames）","bgm_M664","2:12","0:00","bgm_M664_juke","楽園の守護者"
"261","ストーリーイベントボスバトル\n\n時間 / 03:26\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_M665","3:26","0:00","bgm_M665_juke","久遠の園を象る者"
"262","キャラクターソング\n\n時間 / 01:22\n歌　 / ムイミ（潘めぐみ）\n作詞 / 稲葉エミ\n作曲 / 奥井康介\n編曲 / 奥井康介","bgm_M667","1:22","0:42","bgm_M667","ネバールーズアゲイン"
"263","ストーリーイベントテーマ\n-｢にゃんだフルスウィング｣アレンジ-\n\n時間 / 01:39\n作曲 / TAKT (TRYTONELABO)\n編曲 / 佐藤遥（Cygames）","bgm_M668","1:39","0:00","bgm_M668_juke","猫と駄菓子の喫茶店　カフェ・ナッシュカッツェにようこそ"
"264","ストーリーイベントボスバトル\n\n時間 / 01:34\n作曲 / 多田彰文\n編曲 / 多田彰文","bgm_M671","1:34","0:00","bgm_M671_juke","願福寄災の招き猫"
"265","キャラクターソング\n\n時間 / 01:35\n歌　 / タマキ（沼倉愛美）\n作詞 / TAKT (TRYTONELABO)\n作曲 / TAKT (TRYTONELABO)\n編曲 / TAKT (TRYTONELABO)","bgm_M674","1:35","0:51","bgm_M674","にゃんだフルスウィング"
"266","ストーリーイベントテーマ\n-｢私色STORY｣アレンジ-\n\n時間 / 01:21\n作曲 / 高木龍一 (Dream Monster)\n編曲 / Max Mullowney（Cygames）","bgm_MC017","1:21","0:00","bgm_MC017_juke","Dears　おかえりとただいまの約束"
"267","ストーリーイベントボスバトル\n\n時間 / 02:31\n作曲 / 小半大\n編曲 / 小半大","bgm_MC020","2:31","0:00","bgm_MC020_juke","ダイオウショウジョウ"
"268","キャラクターソング\n\n時間 / 01:29\n歌　 / シオリ（小清水亜美）\n作詞 / Cocoro. (Dream Monster)\n作曲 / 高木龍一 (Dream Monster)\n編曲 / 高木龍一 (Dream Monster)","bgm_MC034","1:29","0:59","bgm_MC034","私色STORY"
"269","ストーリーイベントミニコンテンツ\n-｢私色STORY｣アレンジ-\n\n時間 / 02:19\n作曲 / 高木龍一 (Dream Monster)\n編曲 / Enarak（Cygames）","bgm_MC021","2:19","0:00","bgm_MC021_juke","魔物生態報告書"
"270","メインクエスト\n\n時間 / 02:06\n作曲 / 佐藤遥（Cygames）\n編曲 / 佐藤遥（Cygames）","bgm_MC001","2:06","0:00","bgm_MC001_juke","万華色めく新天地"
"271","メインクエスト\n\n時間 / 01:23\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","bgm_MC022","1:23","0:00","bgm_MC022_juke","ジオ・テオゴニアの戦い"
"272","ストーリーイベントテーマ\n-｢ツバサのプロローグ｣アレンジ-\n\n時間 / 02:09\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 畑田浩孝（Cygames）","bgm_MC026","2:09","0:00","bgm_MC026_juke","コネクト・ウィズ・ブルー　少女が空に至るまで"
"273","ストーリーイベントボスバトル\n\n時間 / 02:08\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC029","2:08","0:00","bgm_MC029_juke","叡智の錬金術師・モーヴ"
"274","キャラクターソング\n\n時間 / 01:32\n歌　 / ジータ（金元寿子）\n作詞 / 真崎エリカ\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 本多友紀 (Arte Refact)","bgm_MC035","1:32","1:03","bgm_MC035","ツバサのプロローグ"
"275","ストーリーイベントミニコンテンツ\n-｢ツバサのプロローグ｣アレンジ-\n\n時間 / 01:58\n作曲 / 本多友紀 (Arte Refact)\n編曲 / 亀井瑠美","bgm_MC030","1:58","0:00","bgm_MC030_juke","ランドソル一期一会"
"276","次元断層\n\n時間 / 01:07\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC007","1:07","0:00","bgm_MC007_juke","次元断層"
"277","次元断層\n\n時間 / 01:46\n作曲 / 中村博\n編曲 / 中村博","bgm_MC008","1:46","0:00","bgm_MC008_juke","次元の狭間に現れし脅威"
"278","メインクエストボスバトル\n\n時間 / 01:32\n作曲 / 中町友洋\n編曲 / 中町友洋","bgm_MC023","1:32","0:00","bgm_MC023_juke","華麗なる世界の強敵"
"279","ストーリーイベントテーマ\n-｢Gothical Radical † Eternal Wedding｣\nアレンジ-\n\n時間 / 01:13\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 佐藤遥（Cygames）","bgm_MC036","1:13","0:00","bgm_MC036_juke","ヴァンパイアフォークロア　夜と美の饗宴"
"280","ストーリーイベントボスバトル\n\n時間 / 02:07\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC039","2:07","0:00","bgm_MC039_juke","変貌せし従者・ブラド"
"281","キャラクターソング\n\n時間 / 01:29\n歌　 / イリヤ（丹下桜）\n作詞 / 毛蟹（LIVE LAB.）\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 毛蟹（LIVE LAB.）","bgm_MC052","1:29","0:48","bgm_MC052","Gothical Radical † Eternal Wedding"
"282","ストーリーイベントミニコンテンツ\n-｢Gothical Radical † Eternal Wedding｣\nアレンジ-\n\n時間 / 01:28\n作曲 / 毛蟹（LIVE LAB.）\n編曲 / 中村早織（Cygames）","bgm_MC040","1:28","0:00","bgm_MC040_juke","ユキの審美会"
"283","メインクエスト\n\n時間 / 00:54\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M06","0:54","0:00","bgm_M06_juke","プリンセス・ファイト☆"
"284","メインクエスト\n\n時間 / 01:10\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","bgm_M169","1:10","0:00","bgm_M169_juke","エルピス島の戦い"
"285","ストーリーイベントテーマ\n-｢メタモル・カレイドスコープ｣アレンジ-\n\n時間 / 01:14\n作曲 / やしきん\n編曲 / 守谷勇人","bgm_MC046","1:14","0:00","bgm_MC046_juke","オーマの水からっぽ大作戦　秘密主義者と禁断の海"
"286","ストーリーイベントボスバトル\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 中町友洋","bgm_MC048","2:28","0:00","bgm_MC048_juke","復活の白き島クジラ"
"287","キャラクターソング\n\n時間 / 01:29\n歌　 / ネネカ（井口裕香）\n作詞 / 高瀬愛虹\n作曲 / やしきん\n編曲 / やしきん","bgm_MC055","1:29","0:51","bgm_MC055","メタモル・カレイドスコープ"
"288","ストーリーイベントミニコンテンツ\n-｢メタモル・カレイドスコープ｣アレンジ-\n\n時間 / 01:42\n作曲 / やしきん\n編曲 / 塚越廉","bgm_MC049","1:42","0:00","bgm_MC049_juke","プリンセスの秘密"
"289","キャラバン\n-｢Precious Journey｣アレンジ-\n\n時間 / 01:39\n作曲 / 東大路憲太\n編曲 / 市橋卓也（Cygames）","bgm_MC043","1:39","0:00","bgm_MC043_juke","グルメチェイサー号、出発進行！"
"290","ストーリーイベントテーマ\n-｢アイノキズナ｣アレンジ-\n\n時間 / 01:08\n作曲 / 松坂康司 (SUPA LOVE)\n編曲 / 関根修平（Cygames）","bgm_MC056","1:08","0:00","bgm_MC056_juke","戦慄幽奇海岸　～サマーリゾートスリラーズ～"
"291","ストーリーイベントボスバトル\n\n時間 / 01:27\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_MC058","1:27","0:00","bgm_MC058_juke","グラッジレイス"
"292","キャラクターソング\n\n時間 / 01:33\n歌　 / ランファ（原田彩楓）\n作詞 / 松坂康司 (SUPA LOVE)\n作曲 / 松坂康司 (SUPA LOVE)\n編曲 / 松坂康司 (SUPA LOVE)","bgm_MC072","1:33","0:55","bgm_MC072_juke","アイノキズナ"
"293","キャラクターソング\n\n時間 / 01:50\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n　　　リリ(鈴木みのり)\n　　　クリア(前田佳織里)\n　　　プレシア(高尾奏音)\n作詞 / マイクスギヤマ\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC070","1:50","1:00","bgm_MC070_juke","Precious Journey"
"294","キャラクターソング\n\n時間 / 01:32\n歌　 / ペコリーヌ（Ｍ・Ａ・Ｏ）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 白戸佑輔(Dream Monster)\n編曲 / 白戸佑輔(Dream Monster)","bgm_MC071","1:32","0:52","bgm_MC071_juke","茜色の寄り道"
"295","ストーリーイベントテーマ\n-｢その春、日記の続きから｣アレンジ-\n\n時間 / 01:24\n作曲 / 瀬名航（SOVA）\n編曲 / 中川峻彰","bgm_MC063","1:24","0:00","bgm_MC063_juke","ウィザーディング・アオハル・デイズ　魔法学園と奇跡の鐘"
"296","ストーリーイベントボスバトル\n\n時間 / 02:25\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC066","2:25","0:00","bgm_MC066_juke","放たれし暴魔・アルゲース"
"297","キャラクターソング\n\n時間 / 01:29\n歌　 / キャル（立花理香）\n作詞 / 瀬名航（SOVA）\n作曲 / 瀬名航（SOVA）\n編曲 / 瀬名航（SOVA）","bgm_MC073","1:29","0:42","bgm_MC073","その春、日記の続きから"
"298","キャラクターテーマ\n-｢万華色めく新天地｣アレンジ-\n\n時間 / 02:37\n作曲 / 守谷勇人・佐藤遥（Cygames）\n編曲 / 守谷勇人","bgm_MC024","2:37","0:00","bgm_MC024_juke","ライラエル"
"299","ミニゲーム\n-｢その春、日記の続きから｣アレンジ-\n\n時間 / 01:19\n作曲 / 瀬名航（SOVA）\n編曲 / 畑田浩孝（Cygames）","bgm_MC067","1:19","0:00","bgm_MC067_juke","勉強の準備はできてる？"
"300","ミニゲーム\n-｢その春、日記の続きから｣アレンジ-\n\n時間 / 01:15\n作曲 / 瀬名航（SOVA）\n編曲 / Enarak（Cygames）","bgm_MC068","1:15","0:00","bgm_MC068_juke","放課後エデュケーション"
"301","ストーリーイベントテーマ\n-｢Adenium｣アレンジ-\n\n時間 / 01:46\n作曲 / 山口朗彦\n編曲 / 畑田浩孝（Cygames）","bgm_MC075","1:46","0:00","bgm_MC075_juke","ロマンシング・サラサリア　～砂漠の花嫁と不思議のランプ～"
"302","ストーリーイベントボスバトル\n\n時間 / 02:18\n作曲 / 植田能平\n編曲 / 植田能平","bgm_MC077","2:18","0:00","bgm_MC077_juke","カリド"
"303","キャラクターソング\n\n時間 / 01:37\n歌　 / サレン（堀江由衣）\n　　　ルカ（佐藤利奈）\n作詞 / 山口朗彦\n作曲 / 山口朗彦\n編曲 / 山口朗彦","bgm_MC074","1:37","0:57","bgm_MC074","Adenium"
"304","キャラクターテーマ\n\n時間 / 01:59\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC032","1:59","0:00","bgm_MC032_juke","バンディ・シスターズ"
"305","ストーリーイベントミニコンテンツ\n-｢Adenium｣アレンジ-\n\n時間 / 02:52\n作曲 / 山口朗彦\n編曲 / 佐藤遥（Cygames）","bgm_MC078","2:52","0:00","bgm_MC078_juke","夢幻のマリッジ・シム"
"306","メインクエストボスバトル\n\n時間 / 00:50\n作曲 / 本田晃弘（Cygames）\n編曲 / 多田彰文","bgm_M17","0:50","0:00","bgm_M17_02_juke","魔物が！！"
"307","メインクエストボスバトル\n\n時間 / 01:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M170","1:02","0:00","bgm_M170_juke","新天地の強敵"
"308","ストーリーイベントテーマ\n-｢イリドロータス｣アレンジ-\n\n時間 / 01:31\n作曲 / 宮谷礼治\n編曲 / 佐藤遥（Cygames）","bgm_MC082","1:31","0:00","bgm_MC082_juke","クリミナル ルーキー　天使たちのパラドクス"
"309","ストーリーイベントボスバトル\n\n時間 / 02:15\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC085","2:15","0:00","bgm_MC085_juke","最終クエストです★"
"310","キャラクターソング\n\n時間 / 01:27\n歌　 / リリ（鈴木みのり）\n　　　クリア（前田佳織里）\n　　　プレシア（高尾奏音）\n作詞 / 宮谷礼治\n作曲 / 宮谷礼治\n編曲 / アッシュ井上（Dream Monster）","bgm_MC089","1:27","0:41","bgm_MC089","イリドロータス"
"311","ストーリーイベントミニコンテンツ\n-｢イリドロータス｣アレンジ-\n\n時間 / 01:35\n作曲 / 宮谷礼治\n編曲 / 田山里奈","bgm_MC083B","1:35","0:00","bgm_MC083B_02_juke","旅と成長（と反省）の記録"
"312","キャラクターテーマ\n\n時間 / 02:41\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC002","2:41","0:00","bgm_MC002_juke","アルターメイデン"
"313","アドベンチャー\n\n時間 / 01:21\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M615","1:21","0:00","bgm_M615_juke","アドベンチャー"
"314","ストーリーイベントテーマ\n-｢Christmas Blessing｣アレンジ-\n\n時間 / 01:06\n作曲 / 高橋修平 (SUPA LOVE)\n編曲 / 松尾早人","bgm_MC091","1:06","0:00","bgm_MC091_juke","クライ・ベイビー・クリスマス　誰が為の幸福なる日"
"315","ストーリーイベントボスバトル\n\n時間 / 01:50\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_MC094","1:50","0:00","bgm_MC094_juke","バジリスク・アロス"
"316","キャラクターソング\n\n時間 / 01:32\n歌　 / ペコリーヌ（M・A・O）\n　　　クレジッタ（Lynn）\n作詞 / 藤原優樹 (SUPA LOVE)\n作曲 / 高橋修平 (SUPA LOVE)\n編曲 / 高橋修平 (SUPA LOVE)\nストリングスアレンジ / 曽木琢磨 (SUPA LOVE)","bgm_MC090","1:32","0:50","bgm_MC090","Christmas Blessing"
"317","ストーリーイベントミニコンテンツ\n-｢Christmas Blessing｣アレンジ-\n\n時間 / 02:09\n作曲 / 高橋修平 (SUPA LOVE)\n編曲 / Enarak（Cygames）","bgm_MC095","2:09","0:00","bgm_MC095_juke","アドベントカレンダー"
"318","メインクエスト\n\n時間 / 02:02\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC079","2:02","0:00","bgm_MC079_juke","業火燃え盛りし密林"
"319","メインクエスト\n\n時間 / 01:38\n作曲 / 植田能平\n編曲 / 植田能平","bgm_MC086","1:38","0:00","bgm_MC086_juke","ジオ・ゲヘナの戦い"
"320","ストーリーイベントテーマ\n-｢ミライノユメ｣アレンジ-\n\n時間 / 01:10\n作曲 / 篠崎あやと\n編曲 / 塚越廉","bgm_MC099","1:10","0:00","bgm_MC099_juke","迎春ドリーマーズ！　新年、あけましてお隕石（メテオ）！？"
"321","ストーリーイベントボスバトル\n\n時間 / 02:44\n作曲 / 佐藤遥（Cygames）\n編曲 / 佐藤遥（Cygames）","bgm_MC101","2:44","0:00","bgm_MC101_juke","メテオ・イン・ドリーム"
"322","キャラクターソング\n\n時間 / 01:27\n歌　 / ハツネ（大橋彩香）\n作詞 / 篠崎あやと\n作曲 / 篠崎あやと\n編曲 / 篠崎あやと","bgm_MC107","1:27","0:59","bgm_MC107","ミライノユメ"
"323","ストーリーイベントミニコンテンツ\n-｢ミライノユメ｣アレンジ-\n\n時間 / 01:31\n作曲 / 篠崎あやと\n編曲 / 小出大和（Cygames）","bgm_MC102","1:31","0:00","bgm_MC102_juke","初夢チャレンジ"
"324","メインクエストボスバトル\n\n時間 / 01:40\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC087","1:40","0:00","bgm_MC087_juke","灼けつく世界の強敵"
"325","EXクエストボスバトル\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","bgm_MC081","1:45","0:00","bgm_MC081_Fubuki_juke","天才発明家の三女　フブキ"
"326","EXクエストボスバトル\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","bgm_MC081","1:45","0:00","bgm_MC081_Wakana_juke","受難体質の次女　ワカナ"
"327","EXクエストボスバトル\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:45\n作曲 / 関根修平（Cygames）\n編曲 / 植田能平","bgm_MC081","1:45","0:00","bgm_MC081_Yamato_juke","豪放磊落の長女　ヤマト"
"328","キャラクターテーマ\n-｢業火燃え盛りし密林｣アレンジ-\n\n時間 / 02:30\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC096","2:30","0:00","bgm_MC096_juke","ネフィ＝ネラ"
"329","ストーリーイベントテーマ\n-｢Prayer｣アレンジ-\n\n時間 / 01:28\n作曲 / 伊藤翼\n編曲 / Enarak（Cygames）","bgm_MC110","1:28","0:00","bgm_MC110_juke","鏡映しの来訪者"
"330","ストーリーイベントテーマ\n-｢Prayer｣アレンジ-\n\n時間 / 02:31\n作曲 / 伊藤翼\n編曲 / 佐藤遥（Cygames）","bgm_MC111","2:31","0:00","bgm_MC111_juke","もう一度。そして、もう二度と。"
"331","ストーリーイベントボスバトル\n\n時間 / 01:51\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC114","1:51","0:00","bgm_MC114_juke","赤い霧の精霊"
"332","ストーリーイベントボスバトル\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC115","2:28","0:00","bgm_MC115_juke","顕れる苦衷 アイラ＆シナツ"
"333","キャラクターソング\n\n時間 / 01:36\n歌　 / エリス（桑島法子）\n　　　ユイ（種田梨沙）\n作詞 / 磯谷佳江\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_MC108","1:36","1:02","bgm_MC108","Prayer"
"334","ストーリーイベントミニコンテンツ\n-｢Prayer｣アレンジ-\n\n時間 / 04:38\n作曲 / 伊藤翼\n編曲 / 吉川美矩","bgm_MC116","4:38","0:00","bgm_MC116_juke","アナザーウィッシュ・ログ"
"335","キャラバン\n-｢Precious Journey｣アレンジ-\n\n時間 / 01:37\n作曲 / 東大路憲太\n編曲 / IM.Lab","bgm_MC103","1:37","0:00","bgm_MC103_juke","灼けつく世界をゆく"
"336","キャラバン\n-｢バンディ・シスターズ｣アレンジ-\n\n時間 / 01:40\n作曲 / 関根修平（Cygames）\n編曲 / IM.Lab","bgm_MC104","1:40","0:00","bgm_MC104_juke","乱入！バンディ・シスターズ"
"337","キャラクターテーマ\n\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M471","2:28","0:00","bgm_M471_juke","エリス"
"338","ストーリーイベントテーマ\n-｢妄想サマーハレーション｣アレンジ-\n\n時間 / 01:18\n作曲 / 出口遼\n編曲 / 関根修平（Cygames）","bgm_MC124","1:18","0:00","bgm_MC124_juke","真冬の真夏と聖なる学舎の異端児"
"339","ストーリーイベントボスバトル\n\n時間 / 01:42\n作曲 / 小半大\n編曲 / 小半大","bgm_MC126","1:42","0:00","bgm_MC126_juke","奈落の聖女トミヱ"
"340","キャラクターソング\n\n時間 / 01:41\n歌　 / チエル（佐倉綾音）\n　　　クロエ（種﨑敦美）\n　　　ユニ（小原好美）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 出口遼、半田翼","bgm_MC109","1:41","0:59","bgm_MC109","妄想サマーハレーション"
"341","ストーリーイベントミニコンテンツ\n-｢妄想サマーハレーション｣アレンジ-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 古見千桜子（Cygames）","bgm_MC127","2:10","0:00","bgm_MC127_01_juke","【LIVE】流れるプール　昼"
