8355d924a4f76e67bc9cc54c24924f641b6138c4b058eeac61a6aab9d9df91be,d37cdb8d1200a8b78c6b2aa63094b67315c6901457901f3806da5a6f2a1a0b92,8e7dff2dfd5cc0bffb141ab477d9ec101f15a0663d621e4674814e23c0aabc89,c18331724d88be10797a8e596799e08a4f99cc4a011e39d3f141e9707e2188fc,82cf98b0c1ffcaeeb06b27dfd50850684cf21a4eddeb012e266e9aef9e53100f,ad8cdcd6b166f98ff7c5efadbd64d15848fa659a6b3355c71f131e719f06f068,681971086a77d7201e0abfc40a022b0bb6a5069643b10f0076b8390969f0a29e,616886c7c853c2f0b5ef673f9428a6342dcf089c2d30e7471a348665b40e45bf,be6790df93efeebb1fa65b2e1e0bed26f3543f79b656e2528e230717384a7718,4709c7ff9c54e8787bf6ce538a001a6b0b608eb729568a696239795c04876f91,13eeaaf5de874f20365f1ffc12b807688f180d8ef846af1fa4db69e61e2550c4
"wac_birthday_reaction_01","0.2","","1","27014021","3","104611","wac_birthday_reaction_03","0","0.2","27014"
"","","","","27014022","93","0.1","","","","27014"
"wac_birthday_reaction_03","0.2","","1","27014023","3","103211","wac_birthday_reaction_01","0","0.2","27014"
"wac_birthday_reaction_02_yukari","0.2","","1","27014024","3","103411","wac_birthday_reaction_04_yukari","0","0.2","27014"
"","","","","27014025","93","0.3","","","","27014"
"wac_birthday_run_01","","","","27014026","3","104811","","1","0.2","27014"
"0","","","","27014027","2","104811","3","-70","","27014"
"","","","","27014028","93","2.5","","","","27014"
"1","","","","27014029","32","602","","","","27014"
"","","","","27014030","93","0.6","","","","27014"
"0","","","","27014031","32","600","","","","27014"
"0","","","","27014032","32","614","","","","27014"
"0","","","","27014033","32","604","","","","27014"
"1","","","","27014034","32","701","","","","27014"
"0","","","","27014035","33","945","0.01","0","","27014"
"wac_birthday_blowout_03","0.2","","1","27014036","3","104811","wac_birthday_wish_05","0","0.2","27014"
"-200","","","","27014037","2","104811","0.01","-330","","27014"
"wac_birthday_idle_doya","","","","27014038","3","103211","","1","0.2","27014"
"180","","","","27014039","2","103211","0.01","-320","","27014"
"wac_birthday_idle_smile","","","","27014040","3","104611","","1","0.2","27014"
"285","","","","27014041","2","104611","0.01","-360","","27014"
"wac_birthday_idle_kyapi_yukari","","","","27014042","3","103411","","1","0.2","27014"
"425","","","","27014043","2","103411","0.01","-340","","27014"
"","","","","27014044","93","0","","","","27014"
"1","","","","27014045","32","800","","","","27014"
"","","","","27014046","93","0.7","","","","27014"
"1","","","","27014047","32","702","","","","27014"
"","","","","27014048","93","0.5","","","","27014"
"se_sys_login_birthday_blow_candle","","","","27014049","23","se_common","","0","","27014"
"0","","","","27014050","32","701","","","","27014"
"","","","","27014051","93","0.4","","","","27014"
"se_sys_login_birthday_cracker","","","","27014052","23","se_common","","0","","27014"
"1","","","","27014053","32","700","","","","27014"
"se_sys_login_birthday_calendar_applause","","","","27014054","23","se_common","","0","","27014"
"wac_birthday_clap","0.2","","1","27014055","3","103211","wac_birthday_idle_doya","0","0.2","27014"
"","","","","27014056","93","0.1","","","","27014"
"wac_birthday_clap","0.2","","1","27014057","3","104611","wac_birthday_idle_smile","0","0.2","27014"
"","","","","27014058","93","0.1","","","","27014"
"wac_birthday_clap_yukari","0.2","","1","27014059","3","103411","wac_birthday_idle_kyapi_yukari","0","0.2","27014"
"","","","","27014060","93","2","","","","27014"
"","","","","27014061","131","1","","","","27014"
"vo_wac_27014_000","","","","27014062","21","vo_wac_27014","0","0","","27014"
"最初に聞いた時は驚いたけれど。\n今日は私の誕生日を\nお祝いしてくれてありがとう♪\n素敵なケーキまで用意してくれて……","0","0.5","1","27014063","11","104811","1","10","0","27014"
"","","","","27014064","91","0","","","","27014"
"wac_birthday_idle_wish","","","","27014065","3","104811","","1","0.2","27014"
"wac_birthday_talk_doya","","","","27014066","3","103211","","1","0.2","27014"
"vo_wac_27014_001","","","","27014067","21","vo_wac_27014","0","0","","27014"
"なにを水臭いことを\nおっしゃるんですの、ミフユさん！\n私たちは天下御免の\n【メルクリウス財団】ですのよ？","0","0.5","1","27014068","11","103211","1","10","0","27014"
"","","","","27014069","91","0","","","","27014"
"wac_birthday_idle_doya","","","","27014070","3","103211","","1","0.2","27014"
"wac_birthday_talk_smile","","","","27014071","3","104611","","1","0.2","27014"
"vo_wac_27014_002","","","","27014072","21","vo_wac_27014","0","0","","27014"
"生まれし日、時は違えど！\nいっぱいお金を稼いで世の中を\nよくしようという志は同じにゃ！","0","0.5","1","27014073","11","104611","1","10","0","27014"
"","","","","27014074","91","27014073","","","","27014"
"wac_birthday_idle_smile","","","","27014075","3","104611","","1","0.2","27014"
"wac_birthday_talk_kyapi_yukari","","","","27014076","3","103411","","1","0.2","27014"
"vo_wac_27014_003","","","","27014077","21","vo_wac_27014","0","0","","27014"
"だから仲間のお祝いは、\nケーキと麦しゅわでパーッと、\n楽しく盛り上げなきゃね♪\n……ひっく。","0","0.5","1","27014078","11","103411","1","10","0","27014"
"","","","","27014079","91","0","","","","27014"
"wac_birthday_talk_normal","","","","27014080","3","104811","","1","0.2","27014"
"wac_birthday_idle_kyapi_yukari","","","","27014081","3","103411","","1","0.2","27014"
"vo_wac_27014_004","","","","27014082","21","vo_wac_27014","0","0","","27014"
"か、乾杯前にデキあがってる人が……\nでも、これくらいにぎやかな方が、\n私たちらしいかもしれないわね。\nキミもそう思うでしょ？　ふふっ♪","0","0.5","1","27014083","11","104811","1","10","0","27014"
"","","","","27014084","91","0","","","","27014"
"","","","","27014085","22","0","","","","27014"
"bgm_M321_2C","","","","27814001","25","bgm_M321","","","","27814"
"104511","0","wac_birthday_idle_normal","-70","27814002","1","1","-1000","250","2","27814"
"105311","1","wac_birthday_idle_normal","-260","27814003","1","1","170","256","2","27814"
"105511","1","wac_birthday_idle_smile","-310","27814004","1","1","270","259","2","27814"
"103011","1","wac_birthday_idle_kyapi","-270","27814005","1","1","400","257","2","27814"
"100811","1","wac_birthday_idle_smile","-310","27814006","1","1","510","258","2","27814"
"300","","","","27814007","13","104511","","","","27814"
"300","","","","27814008","13","105311","","","","27814"
"300","","","","27814009","13","105511","","","","27814"
"300","","","","27814010","13","103011","","","","27814"
"300","","","","27814011","13","100811","","","","27814"
"600","","","1","27814012","31","600","0","0","1","27814"
"602","","","1","27814013","31","602","0","0","0","27814"
"603","","","1","27814014","31","603","0","0","0","27814"
"604","","","1","27814015","31","604","60","30","1","27814"
"614","","","1","27814016","31","614","0","0","1","27814"
"700","","","1","27814017","31","700","0","0","0","27814"
"701","","","1","27814018","31","701","0","0","0","27814"
"702","","","1","27814019","31","702","0","0","0","27814"
"800","","","1","27814020","31","800","0","0","0","27814"
"946","","","1","27814021","31","946","60","30","1","27814"
"","","","","27814022","93","1","","","","27814"
"wac_birthday_reaction_03","0.2","","1","27814023","3","105511","wac_birthday_reaction_04","0","0.2","27814"
"wac_birthday_reaction_01","0.2","","1","27814024","3","105311","wac_birthday_reaction_03","0","0.2","27814"
"","","","","27814025","93","0.1","","","","27814"
"wac_birthday_reaction_05","0.2","","1","27814026","3","103011","wac_birthday_reaction_03","0","0.2","27814"
"wac_birthday_reaction_04","0.2","","1","27814027","3","100811","wac_birthday_reaction_01","0","0.2","27814"
"","","","","27814028","93","0.3","","","","27814"
"wac_birthday_run_01","","","","27814029","3","104511","","1","0.2","27814"
"0","","","","27814030","2","104511","3","-70","","27814"
"","","","","27814031","93","2.5","","","","27814"
"1","","","","27814032","32","602","","","","27814"
"","","","","27814033","93","0.6","","","","27814"
"0","","","","27814034","32","600","","","","27814"
"0","","","","27814035","32","614","","","","27814"
"0","","","","27814036","32","604","","","","27814"
"1","","","","27814037","32","701","","","","27814"
"0","","","","27814038","33","946","0.01","0","","27814"
"wac_birthday_blowout_03","0.2","","1","27814039","3","104511","wac_birthday_wish_04","0","0.2","27814"
"-200","","","","27814040","2","104511","0.01","-330","","27814"
"wac_birthday_idle_normal","","","","27814041","3","105311","","1","0.2","27814"
"150","","","","27814042","2","105311","0.01","-320","","27814"
"wac_birthday_idle_smile","","","","27814043","3","105511","","1","0.2","27814"
"260","","","","27814044","2","105511","0.01","-360","","27814"
"wac_birthday_idle_kyapi","","","","27814045","3","103011","","1","0.2","27814"
"400","","","","27814046","2","103011","0.01","-320","","27814"
"wac_birthday_idle_smile","","","","27814047","3","100811","","1","0.2","27814"
"520","","","","27814048","2","100811","0.01","-340","","27814"
"","","","","27814049","93","0","","","","27814"
"1","","","","27814050","32","800","","","","27814"
"","","","","27814051","93","0.7","","","","27814"
"1","","","","27814052","32","702","","","","27814"
"","","","","27814053","93","0.5","","","","27814"
"se_sys_login_birthday_blow_candle","","","","27814054","23","se_common","","0","","27814"
"0","","","","27814055","32","701","","","","27814"
"","","","","27814056","93","0.4","","","","27814"
"se_sys_login_birthday_cracker","","","","27814057","23","se_common","","0","","27814"
"1","","","","27814058","32","700","","","","27814"
"se_sys_login_birthday_calendar_applause","","","","27814059","23","se_common","","0","","27814"
"wac_birthday_clap","0.2","","1","27814060","3","105311","wac_birthday_idle_normal","0","0.2","27814"
"wac_birthday_clap","0.2","","1","27814061","3","103011","wac_birthday_idle_kyapi","0","0.2","27814"
"","","","","27814062","93","0.1","","","","27814"
"wac_birthday_clap","0.2","","1","27814063","3","105511","wac_birthday_idle_smile","0","0.2","27814"
"","","","","27814064","93","0.1","","","","27814"
"wac_birthday_clap","0.2","","1","27814065","3","100811","wac_birthday_idle_smile","0","0.2","27814"
"","","","","27814066","93","2","","","","27814"
"","","","","27814067","131","1","","","","27814"
"vo_wac_27814_000","","","","27814068","21","vo_wac_27814","0","0","","27814"
"こ、このケーキはクウカのために……？\nそれに、ドＳさんまで……ま、まさか、\nここにあるローソクを使ってクウカに\n何か良からぬことを……！？","0","0.5","1","27814069","11","104511","1","10","0","27814"
"","","","","27814070","91","0","","","","27814"
"wac_birthday_talk_doya","","","","27814071","3","105311","","1","0.2","27814"
"vo_wac_27814_001","","","","27814072","21","vo_wac_27814","0","0","","27814"
"ちがう！\nこれは其方を祝うために用意したのだ！\nと、とにかく……\n誕生日おめでとう、クウカ。","0","0.5","1","27814073","11","105311","1","10","0","27814"
"","","","","27814074","91","0","","","","27814"
"wac_birthday_idle_doya","","","","27814075","3","105311","","1","0.2","27814"
"wac_birthday_talk_smile","","","","27814076","3","105511","","1","0.2","27814"
"vo_wac_27814_002","","","","27814077","21","vo_wac_27814","0","0","","27814"
"お、お誕生日\nおめでとうございます、クウカさん。\nせ、せっかく、ケーキを用意したので、\nみんなでこれを食べませんか……？","0","0.5","1","27814078","11","105511","1","10","0","27814"
"","","","","27814079","91","0","","","","27814"
"wac_birthday_idle_smile","","","","27814080","3","105511","","1","0.2","27814"
"wac_birthday_talk_kyapi","","","","27814081","3","103011","","1","0.2","27814"
"vo_wac_27814_003","","","","27814082","21","vo_wac_27814","0","0","","27814"
"そうデス！\nクウカのために、\nショーグンも手伝ってくれたデスよ！\nみんなで甘いケーキを食べまショウ！","0","0.5","1","27814083","11","103011","1","10","0","27814"
"","","","","27814084","91","0","","","","27814"
"wac_birthday_idle_kyapi","","","","27814085","3","103011","","1","0.2","27814"
"wac_birthday_talk_smile","","","","27814086","3","100811","","1","0.2","27814"
"vo_wac_27814_004","","","","27814087","21","vo_wac_27814","0","0","","27814"
"うんうん、せっかくだから、\nみんなでおいしく頂こうじゃないか♪\nそれにかわいらしいボクが祝うんだから、\n最高の誕生日になるよ♪","0","0.5","1","27814088","11","100811","1","10","0","27814"
"","","","","27814089","91","0","","","","27814"
"wac_birthday_idle_smile","","","","27814090","3","100811","","1","0.2","27814"
"wac_birthday_talk_wish","","","","27814091","3","104511","","1","0.2","27814"
"vo_wac_27814_005","","","","27814092","21","vo_wac_27814","0","0","","27814"
"た、誕生日を祝ってもらえるなんて……\nありがとうございます。\nで、でもドＳさんがいるということは\nこの後にどんでん返しが……じゅるり♪","0","0.5","1","27814093","11","104511","1","10","0","27814"
"","","","","27814094","91","0","","","","27814"
"","","","","27814095","22","0","","","","27814"
"bgm_M321_2C","","","","28114001","25","bgm_M321","","","","28114"
"102211","0","wac_birthday_idle_normal","-70","28114002","1","1","-1000","250","2","28114"
"100611","0","wac_birthday_idle_normal","-100","28114003","1","1","-1150","251","2","28114"
"104411","1","wac_birthday_idle_doya","-270","28114004","1","1","200","256","2","28114"
"100711","1","wac_birthday_idle_smile","-310","28114005","1","1","315","258","2","28114"
"103111","1","wac_birthday_idle_wish","-290","28114006","1","1","450","257","2","28114"
"300","","","","28114007","13","102211","","","","28114"
"300","","","","28114008","13","100611","","","","28114"
"300","","","","28114009","13","104411","","","","28114"
"300","","","","28114010","13","100711","","","","28114"
"300","","","","28114011","13","103111","","","","28114"
"600","","","1","28114012","31","600","0","0","1","28114"
"602","","","1","28114013","31","602","0","0","0","28114"
"603","","","1","28114014","31","603","0","0","0","28114"
"604","","","1","28114015","31","604","60","30","1","28114"
"614","","","1","28114016","31","614","0","0","1","28114"
"700","","","1","28114017","31","700","0","0","0","28114"
"701","","","1","28114018","31","701","0","0","0","28114"
"702","","","1","28114019","31","702","0","0","0","28114"
"800","","","1","28114020","31","800","0","0","0","28114"
"947","","","1","28114021","31","947","60","30","1","28114"
"","","","","28114022","93","1","","","","28114"
"wac_birthday_reaction_05","0.2","","1","28114023","3","100711","wac_birthday_reaction_03","0","0.2","28114"
"","","","","28114024","93","0.1","","","","28114"
"wac_birthday_reaction_03","0.2","","1","28114025","3","104411","wac_birthday_reaction_01","0","0.2","28114"
"wac_birthday_reaction_01","0.2","","1","28114026","3","103111","wac_birthday_reaction_04","0","0.2","28114"
"","","","","28114027","93","0.3","","","","28114"
"wac_birthday_kyaru_run_01","","","","28114028","3","102211","","1","0.2","28114"
"0","","","","28114029","2","102211","3","-70","","28114"
"wac_birthday_run_01","","","","28114030","3","100611","","1","0.2","28114"
"-150","","","","28114031","2","100611","3","-100","","28114"
"","","","","28114032","93","2.5","","","","28114"
"1","","","","28114033","32","602","","","","28114"
"","","","","28114034","93","0.6","","","","28114"
"0","","","","28114035","32","600","","","","28114"
"0","","","","28114036","32","614","","","","28114"
"0","","","","28114037","32","604","","","","28114"
"1","","","","28114038","32","701","","","","28114"
"0","","","","28114039","33","947","0.01","0","","28114"
"wac_birthday_blowout_03","0.2","","1","28114040","3","102211","wac_birthday_wish_yori","0","0.2","28114"
"-200","","","","28114041","2","102211","0.01","-330","","28114"
"wac_birthday_blowout_02","0.2","","1","28114042","3","100611","wac_birthday_wish_03","0","0.2","28114"
"-320","","","","28114043","2","100611","0.01","-360","","28114"
"wac_birthday_idle_doya","","","","28114044","3","104411","","1","0.2","28114"
"180","","","","28114045","2","104411","0.01","-320","","28114"
"wac_birthday_idle_smile","","","","28114046","3","100711","","1","0.2","28114"
"285","","","","28114047","2","100711","0.01","-360","","28114"
"wac_birthday_idle_wish","","","","28114048","3","103111","","1","0.2","28114"
"425","","","","28114049","2","103111","0.01","-340","","28114"
"","","","","28114050","93","0","","","","28114"
"1","","","","28114051","32","800","","","","28114"
"","","","","28114052","93","0.7","","","","28114"
"1","","","","28114053","32","702","","","","28114"
"","","","","28114054","93","0.5","","","","28114"
"se_sys_login_birthday_blow_candle","","","","28114055","23","se_common","","0","","28114"
"0","","","","28114056","32","701","","","","28114"
"","","","","28114057","93","0.4","","","","28114"
"se_sys_login_birthday_cracker","","","","28114058","23","se_common","","0","","28114"
"1","","","","28114059","32","700","","","","28114"
"se_sys_login_birthday_calendar_applause","","","","28114060","23","se_common","","0","","28114"
"wac_birthday_clap","0.2","","1","28114061","3","104411","wac_birthday_idle_doya","0","0.2","28114"
"","","","","28114062","93","0.1","","","","28114"
"wac_birthday_clap","0.2","","1","28114063","3","100711","wac_birthday_idle_smile","0","0.2","28114"
"","","","","28114064","93","0.1","","","","28114"
"wac_birthday_clap","0.2","","1","28114065","3","103111","wac_birthday_idle_wish","0","0.2","28114"
"","","","","28114066","93","2","","","","28114"
"","","","","28114067","131","1","","","","28114"
"vo_wac_28114_000","","","","28114068","21","vo_wac_28114","0","0","","28114"
"わわっ、お姉ちゃん、これって\nもしかして……","0","0.5","1","28114069","11","100611","1","10","0","28114"
"","","","","28114070","91","0","","","","28114"
"wac_birthday_idle_smile","","","","28114071","3","100611","","1","0.2","28114"
"wac_birthday_talk_wish","","","","28114072","3","102211","","1","0.2","28114"
"vo_wac_28114_001","","","","28114073","21","vo_wac_28114","0","0","","28114"
"わ、私たちの誕生日ケーキっ？\nいつの間にこんなものを……？","0","0.5","1","28114074","11","102211","1","10","0","28114"
"","","","","28114075","91","0","","","","28114"
"wac_birthday_idle_wish","","","","28114076","3","102211","","1","0.2","28114"
"wac_birthday_talk_doya","","","","28114077","3","104411","","1","0.2","28114"
"vo_wac_28114_002","","","","28114078","21","vo_wac_28114","0","0","","28114"
"もちろん、わらわが……と\n言いたいところじゃが、\nみんなで準備したのじゃ。\nあやつも手伝ってくれたのだぞ。","0","0.5","1","28114079","11","104411","1","10","0","28114"
"","","","","28114080","91","0","","","","28114"
"wac_birthday_idle_doya","","","","28114081","3","104411","","1","0.2","28114"
"wac_birthday_talk_smile","","","","28114082","3","100711","","1","0.2","28114"
"vo_wac_28114_003","","","","28114083","21","vo_wac_28114","0","0","","28114"
"ミヤコもお手伝いしたの～♪\nでも、大きなプリンを乗せようとしたら\nみんなにとめられたの～……\nむ～……分かってないの～！","0","0.5","1","28114084","11","100711","1","10","0","28114"
"1","","","","28114085","93","3","","","","28114"
"wac_birthday_talk_sad_maturi","","","","28114086","3","100711","","1","0.5","28114"
"","","","","28114087","91","28114084","","","","28114"
"wac_birthday_idle_normal","","","","28114088","3","100711","","1","0.5","28114"
"wac_birthday_talk_wish","","","","28114089","3","103111","","1","0.2","28114"
"vo_wac_28114_004","","","","28114090","21","vo_wac_28114","0","0","","28114"
"ヨリさん、アカリさん、お二人とも\nお誕生日おめでとうございます。\n同時にお祝いできるなんて、にぎやかで\n楽しいですね。","0","0.5","1","28114091","11","103111","1","10","0","28114"
"","","","","28114092","91","0","","","","28114"
"wac_birthday_idle_wish","","","","28114093","3","103111","","1","0.2","28114"
"wac_birthday_talk_wish","","","","28114094","3","102211","","1","0.2","28114"
"vo_wac_28114_005","","","","28114095","21","vo_wac_28114","0","0","","28114"
"み、みんな……その、ありがとう。\nあ、アンタも、そのぅ……あ、\nありが……っ……や、やっぱり\nなんでもないわよっ！","0","0.5","1","28114096","11","102211","1","10","0","28114"
"1","","","","28114097","93","16","","","","28114"
"wac_birthday_talk_shy_yori","","","","28114098","3","102211","","1","0.2","28114"
"","","","","28114099","91","28114096","","","","28114"
"wac_birthday_idle_shy_yori","","","","28114100","3","102211","","1","0.2","28114"
"wac_birthday_talk_smile","","","","28114101","3","100611","","1","0.2","28114"
"vo_wac_28114_006","","","","28114102","21","vo_wac_28114","0","0","","28114"
"お姉ちゃん、また照れちゃって♪\nこういう時は素直にありがとうで\nいいんだよ～？\nね、お兄ちゃん♪","0","0.5","1","28114103","11","100611","1","10","0","28114"
"","","","","28114104","91","0","","","","28114"
"","","","","28114105","22","0","","","","28114"
"bgm_M321_2C","","","","28414001","25","bgm_M321","","","","28414"
"100511","0","wac_birthday_idle_normal","-70","28414002","1","1","-1000","250","2","28414"
"103711","1","wac_birthday_idle_smile","-270","28414003","1","1","200","256","2","28414"
"104711","1","wac_birthday_idle_wish","-310","28414004","1","1","315","258","2","28414"
"107111","1","wac_birthday_idle_doya","-290","28414005","1","1","450","257","2","28414"
"300","","","","28414006","13","100511","","","","28414"
"300","","","","28414007","13","103711","","","","28414"
"300","","","","28414008","13","104711","","","","28414"
"300","","","","28414009","13","107111","","","","28414"
"600","","","1","28414010","31","600","0","0","1","28414"
"602","","","1","28414011","31","602","0","0","0","28414"
"603","","","1","28414012","31","603","0","0","0","28414"
"604","","","1","28414013","31","604","60","30","1","28414"
"614","","","1","28414014","31","614","0","0","1","28414"
"700","","","1","28414015","31","700","0","0","0","28414"
"701","","","1","28414016","31","701","0","0","0","28414"
"702","","","1","28414017","31","702","0","0","0","28414"
"800","","","1","28414018","31","800","0","0","0","28414"
"948","","","1","28414019","31","948","60","30","1","28414"
"","","","","28414020","93","1","","","","28414"
"wac_birthday_reaction_01","0.2","","1","28414021","3","104711","wac_birthday_reaction_04","0","0.2","28414"
"","","","","28414022","93","0.1","","","","28414"
"wac_birthday_reaction_03","0.2","","1","28414023","3","103711","wac_birthday_reaction_01","0","0.2","28414"
"wac_birthday_reaction_02","0.2","","1","28414024","3","107111","wac_birthday_reaction_03","0","0.2","28414"
"","","","","28414025","93","0.3","","","","28414"
"wac_birthday_kyaru_run_01","","","","28414026","3","100511","","1","0.2","28414"
"0","","","","28414027","2","100511","3","-70","","28414"
"","","","","28414028","93","2.5","","","","28414"
"1","","","","28414029","32","602","","","","28414"
"","","","","28414030","93","0.6","","","","28414"
"0","","","","28414031","32","600","","","","28414"
"0","","","","28414032","32","614","","","","28414"
"0","","","","28414033","32","604","","","","28414"
"1","","","","28414034","32","701","","","","28414"
"0","","","","28414035","33","948","0.01","0","","28414"
"wac_birthday_blowout_02","0.2","","1","28414036","3","100511","wac_birthday_wish_02","0","0.2","28414"
"-200","","","","28414037","2","100511","0.01","-330","","28414"
"wac_birthday_idle_smile","","","","28414038","3","103711","","1","0.2","28414"
"180","","","","28414039","2","103711","0.01","-320","","28414"
"wac_birthday_idle_wish","","","","28414040","3","104711","","1","0.2","28414"
"285","","","","28414041","2","104711","0.01","-360","","28414"
"wac_birthday_idle_doya","","","","28414042","3","107111","","1","0.2","28414"
"425","","","","28414043","2","107111","0.01","-340","","28414"
"","","","","28414044","93","0","","","","28414"
"1","","","","28414045","32","800","","","","28414"
"","","","","28414046","93","0.7","","","","28414"
"1","","","","28414047","32","702","","","","28414"
"","","","","28414048","93","0.5","","","","28414"
"se_sys_login_birthday_blow_candle","","","","28414049","23","se_common","","0","","28414"
"0","","","","28414050","32","701","","","","28414"
"","","","","28414051","93","0.4","","","","28414"
"se_sys_login_birthday_cracker","","","","28414052","23","se_common","","0","","28414"
"1","","","","28414053","32","700","","","","28414"
"se_sys_login_birthday_calendar_applause","","","","28414054","23","se_common","","0","","28414"
"wac_birthday_clap","0.2","","1","28414055","3","103711","wac_birthday_idle_smile","0","0.2","28414"
"","","","","28414056","93","0.1","","","","28414"
"wac_birthday_clap","0.2","","1","28414057","3","104711","wac_birthday_idle_wish","0","0.2","28414"
"","","","","28414058","93","0.1","","","","28414"
"wac_birthday_clap","0.2","","1","28414059","3","107111","wac_birthday_idle_doya","0","0.2","28414"
"","","","","28414060","93","2","","","","28414"
"","","","","28414061","131","1","","","","28414"
"vo_wac_28414_000","","","","28414062","21","vo_wac_28414","0","0","","28414"
"わわっ、大きなケーキッス！\n……え、もしかして自分のッスかねっ？\n誕生日覚えてくれてたッスか？","0","0.5","1","28414063","11","100511","1","10","0","28414"
"","","","","28414064","91","0","","","","28414"
"wac_birthday_idle_kyapi","","","","28414065","3","100511","","1","0.2","28414"
"wac_birthday_talk_smile","","","","28414066","3","103711","","1","0.2","28414"
"vo_wac_28414_001","","","","28414067","21","vo_wac_28414","0","0","","28414"
"もちろんだよ。\n誕生日おめでとう、マツリちゃん。\nこの間の予防注射もきちんと受けてたし\n大人にまた一歩近づいたね♪","0","0.5","1","28414068","11","103711","1","10","0","28414"
"","","","","28414069","91","0","","","","28414"
"wac_birthday_idle_smile","","","","28414070","3","103711","","1","0.2","28414"
"wac_birthday_talk_wish","","","","28414071","3","104711","","1","0.2","28414"
"vo_wac_28414_002","","","","28414072","21","vo_wac_28414","0","0","","28414"
"おめでとう、マツリちゃん。\n私たちだけではなく、\n少年も一緒に準備してくれたんだよ。","0","0.5","1","28414073","11","104711","1","10","0","28414"
"","","","","28414074","91","28414073","","","","28414"
"wac_birthday_idle_wish","","","","28414075","3","104711","","1","0.2","28414"
"wac_birthday_talk_doya","","","","28414076","3","107111","","1","0.2","28414"
"vo_wac_28414_003","","","","28414077","21","vo_wac_28414","0","0","","28414"
"ふふん、マツリちゃんもまた一歩、\nワタシに近づいたということだ。\n良かったな、これからも\nビシバシ鍛えてやるから期待していろ♪","0","0.5","1","28414078","11","107111","1","10","0","28414"
"","","","","28414079","91","0","","","","28414"
"wac_birthday_talk_smile","","","","28414080","3","100511","","1","0.2","28414"
"wac_birthday_idle_doya","","","","28414081","3","107111","","1","0.2","28414"
"vo_wac_28414_004","","","","28414082","21","vo_wac_28414","0","0","","28414"
"うっ……クリスティーナおばさんは\n怖いけど……みんな、ありがとうッス！\nそれにあんたも祝ってくれるなんて、\n自分はすごく幸せ者ッスよー！","0","0.5","1","28414083","11","100511","1","10","0","28414"
"","","","","28414084","91","0","","","","28414"
"","","","","28414085","22","0","","","","28414"
"bgm_M321_2C","","","","29014001","25","bgm_M321","","","","29014"
"109211","0","wac_birthday_idle_normal","-70","29014002","1","1","-1000","250","2","29014"
"109411","1","wac_birthday_idle_wish","-270","29014003","1","1","230","256","2","29014"
"109311","1","wac_birthday_idle_normal","-310","29014004","1","1","410","257","2","29014"
"300","","","","29014005","13","109211","","","","29014"
"300","","","","29014006","13","109411","","","","29014"
"300","","","","29014007","13","109311","","","","29014"
"502","","","1","29014008","31","502","0","0","0","29014"
"600","","","1","29014009","31","600","0","0","1","29014"
"602","","","1","29014010","31","602","0","0","0","29014"
"603","","","1","29014011","31","603","0","0","0","29014"
"604","","","1","29014012","31","604","60","30","1","29014"
"615","","","1","29014013","31","615","0","0","1","29014"
"700","","","1","29014014","31","700","0","0","0","29014"
"701","","","1","29014015","31","701","0","0","0","29014"
"702","","","1","29014016","31","702","0","0","0","29014"
"800","","","1","29014017","31","800","0","0","0","29014"
"949","","","1","29014018","31","949","60","30","1","29014"
"","","","","29014019","93","1","","","","29014"
"wac_birthday_reaction_02","0.2","","1","29014020","3","109311","wac_birthday_reaction_03","0","0.2","29014"
"","","","","29014021","93","0.1","","","","29014"
"wac_birthday_reaction_01","0.2","","1","29014022","3","109411","wac_birthday_reaction_03","0","0.2","29014"
"","","","","29014023","93","0.3","","","","29014"
"wac_birthday_run_01","","","","29014024","3","109211","","1","0.2","29014"
"0","","","","29014025","2","109211","3","-70","","29014"
"","","","","29014026","93","2.5","","","","29014"
"1","","","","29014027","32","602","","","","29014"
"","","","","29014028","93","0.6","","","","29014"
"1","","","","29014029","32","502","","","","29014"
"0","","","","29014030","32","600","","","","29014"
"0","","","","29014031","32","615","","","","29014"
"0","","","","29014032","32","604","","","","29014"
"1","","","","29014033","32","701","","","","29014"
"0","","","","29014034","33","949","0.01","0","","29014"
"wac_birthday_blowout_03","0.2","","1","29014035","3","109211","wac_birthday_wish_04","0","0.2","29014"
"-200","","","","29014036","2","109211","0.01","-330","","29014"
"wac_birthday_idle_wish","","","","29014037","3","109411","","1","0.2","29014"
"180","","","","29014038","2","109411","0.01","-320","","29014"
"wac_birthday_idle_normal","","","","29014039","3","109311","","1","0.2","29014"
"320","","","","29014040","2","109311","0.01","-340","","29014"
"","","","","29014041","93","0","","","","29014"
"1","","","","29014042","32","800","","","","29014"
"","","","","29014043","93","0.7","","","","29014"
"1","","","","29014044","32","702","","","","29014"
"","","","","29014045","93","0.5","","","","29014"
"se_sys_login_birthday_blow_candle","","","","29014046","23","se_common","","0","","29014"
"0","","","","29014047","32","701","","","","29014"
"","","","","29014048","93","0.4","","","","29014"
"se_sys_login_birthday_cracker","","","","29014049","23","se_common","","0","","29014"
"1","","","","29014050","32","700","","","","29014"
"se_sys_login_birthday_calendar_applause","","","","29014051","23","se_common","","0","","29014"
"wac_birthday_clap_to_wish","0.2","","1","29014052","3","109411","wac_birthday_idle_wish","0","0.2","29014"
"","","","","29014053","93","0.1","","","","29014"
