ae824303450318d66f3529ceb9e66f85de23abdb37a425b9aeb79c0332299a43,30a431fea16e4c6af08511155872fd046028d5255927f5b4ddc8220c175af594,6938c601f0eed1d18d6d641e88fc78f24ea4b6f4d42a1dfc3322e91ec9d4d2fb,13e4663a3d2f5d6823033faa0018ab6159976dab682354b2943e2202e43a24bf,216d1defec1085004326956dacf71840755a2b2cd2b1fd7b07cef6d6cd4764c0
"336","82001025","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"337","82001025","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"338","82001025","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"339","82001025","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"340","82001025","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"341","82001026","13","물 속성 보너스 (특대) 증가","물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다."
"342","82001026","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"343","82001026","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"344","82001026","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"345","82001026","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"346","82001026","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"347","82001027","13","물 속성 보너스 (특대) 증가","물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다."
"348","82001027","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"349","82001027","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"350","82001027","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"351","82001027","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"352","82001027","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"353","82001028","13","물 속성 보너스 (특대) 증가","물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다."
"354","82001028","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"355","82001028","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"356","82001028","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"357","82001028","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"358","82001028","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"359","82001029","13","물 속성 보너스 (특대) 증가","물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다."
"360","82001029","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"361","82001029","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"362","82001029","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"363","82001029","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"364","82001029","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"365","82001030","13","물 속성 보너스 (특대) 증가","물 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 물 속성 이외의 속성 보너스는 무효화된다."
"366","82001030","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"367","82001030","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"368","82001030","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"369","82001030","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"370","82001030","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"371","82001030","boss_tp_down_cut","TP 감소 컷","전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다."
"372","82001030","5","물리 공격력 감소","전투 시작 시 모든 캐릭터의 물리 공격력이 (대) 감소한다."
"373","82001030","6","마법 공격력 감소","전투 시작 시 모든 캐릭터의 마법 공격력이 (대) 감소한다."
"374","83001001","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"375","83001001","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"376","83001001","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"377","83001001","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"378","83001001","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"379","83001001","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"380","83001002","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"381","83001002","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"382","83001002","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"383","83001002","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"384","83001002","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"385","83001002","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"386","83001003","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"387","83001003","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"388","83001003","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"389","83001003","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"390","83001003","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"391","83001003","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"392","83001004","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"393","83001004","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"394","83001004","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"395","83001004","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"396","83001004","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"397","83001004","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"398","83001005","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"399","83001005","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"400","83001005","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"401","83001005","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"402","83001005","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"403","83001005","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"404","83001006","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"405","83001006","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"406","83001006","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"407","83001006","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"408","83001006","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"409","83001006","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"410","83001007","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"411","83001007","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"412","83001007","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"413","83001007","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"414","83001007","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"415","83001007","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"416","83001008","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"417","83001008","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"418","83001008","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"419","83001008","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"420","83001008","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"421","83001008","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"422","83001009","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"423","83001009","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"424","83001009","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"425","83001009","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"426","83001009","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"427","83001009","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"428","83001010","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"429","83001010","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"430","83001010","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"431","83001010","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"432","83001010","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"433","83001010","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (특대) 감소한다."
"434","83001010","boss_tp_down_cut","TP 감소 컷","전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다."
"435","83001011","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"436","83001011","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"437","83001011","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"438","83001011","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"439","83001011","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"440","83001011","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"441","83001012","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"442","83001012","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"443","83001012","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"444","83001012","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"445","83001012","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"446","83001012","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"447","83001013","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"448","83001013","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"449","83001013","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"450","83001013","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"451","83001013","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"452","83001013","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"453","83001014","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"454","83001014","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"455","83001014","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"456","83001014","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"457","83001014","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"458","83001014","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"459","83001015","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"460","83001015","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"461","83001015","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"462","83001015","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"463","83001015","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"464","83001015","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"465","83001016","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"466","83001016","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"467","83001016","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"468","83001016","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"469","83001016","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"470","83001016","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"471","83001017","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"472","83001017","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"473","83001017","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"474","83001017","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"475","83001017","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"476","83001017","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"477","83001018","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"478","83001018","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"479","83001018","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"480","83001018","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"481","83001018","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"482","83001018","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"483","83001019","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"484","83001019","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"485","83001019","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"486","83001019","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"487","83001019","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"488","83001019","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"489","83001020","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"490","83001020","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"491","83001020","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"492","83001020","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"493","83001020","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"494","83001020","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"495","83001020","boss_tp_down_cut","TP 감소 컷","전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다."
"496","83001020","boss_haste","행동 속도 증가","전투 시작 시 모든 몬스터의 행동 속도가 (대) 증가한다."
"497","83001021","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"498","83001021","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"499","83001021","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"500","83001021","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"501","83001021","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"502","83001021","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"503","83001022","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
